"","Table 4BU3# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201"
"11","54","  Durable goods industries","KS30DF0",80055,80926,79895,81680,82372,82737,83797,84143,84271,85999,85035,85655,86523,87833,88809,88382,88669,88428,88416,88921,89547,89938,91234,91084,90725,90980,91810,92247,92412,92292,91847,92976,92833,93094,93384,94143,94425,94580,94249,95207,94219,94953,96339,97631,97317,98912,98739,98605,100309,100046,98478,99257,98996,99134,98114,97627,96707,95839,94927,94424,93991,93936,93490,93929,93684,93529,94009,93927,93571,93842,93918,93708,93541,94224,94139,94019,93745,93452,93068,92908,92394,92105,91653,92281,91462,91496,91544,91034,91823,92277,92104,92967,93940,93432,93380,94467,95010,96329,97274,97891,98069,97757,98687,99137,98326,98958,99551,99652,100742,100870,100536,100882,101214,101913,102185,103631,103891,104155,105176,105069,105492,106119,106060,105530,104835,104873,104252,103658,104673,103906,104084,105245,104888,104633,104697,104171,103476,102888,102372,102837,102334,102323,101995,102531,101587,100366,99125,98624,97300,96108,95472,94825,93546,93375,93532,93567,93799,93709,93835,93909,94210,94669,95367,95758,96327,96426,96790,96049,96363,97488,97874,98030,98447,98658,99355,100043,100397,100496,100698,100339,100370,100407,100651,101147,101997,101959,102617,103299,103453,104074,103911,103294,103324,102677,102229,102412,102231,102733
"12","55","    Wood product manufacturing","KS321F0",3671,3643,3628,3595,3570,3623,3768,3873,3918,3994,4011,3934,3874,3873,3835,3944,3982,3803,3917,4102,4117,4170,4246,4179,4141,4114,4084,4051,4187,4337,4583,4388,4325,4323,4343,4477,4528,4541,4495,4668,4505,4680,4858,4685,4579,4703,4655,4802,4733,4768,4638,4598,4767,5029,5059,4982,4761,4763,4633,4471,4796,4576,4719,4740,4828,4683,4640,4697,4879,4896,4807,4737,4774,4870,4784,4746,4662,4541,4490,4401,4455,4451,4537,4525,4419,4563,4649,4705,4798,4751,4614,4662,4796,4583,4748,4723,5051,5123,5216,5181,5109,5115,5117,5087,5041,5189,5139,5126,5112,5039,5015,5149,5175,5285,5305,5348,5397,5276,5257,5243,5253,5227,5242,5191,5015,5117,5181,5170,5072,5081,5004,5026,4998,4688,4567,4568,4531,4596,4609,4580,4627,4542,4386,4447,4400,4187,4118,4047,3876,3879,3864,3854,3795,3718,3696,3659,3688,3780,3800,3793,3919,3917,3894,3898,3908,3894,3832,3831,3943,3991,3874,3876,3892,3848,3896,3942,3919,3913,3941,3930,3901,3903,3915,3925,3883,3920,3893,3908,3977,4037,4161,4049,4100,4098,4178,4232,4306,4345
"13","56","    Nonmetallic mineral product manufacturing","KS327F0",7045,7012,7071,7093,7115,7292,7117,7020,6947,6801,6905,6990,6979,7017,7092,7094,7150,7095,6972,6946,6987,7037,7104,7030,7056,7012,6889,6790,6924,6831,6851,7041,7017,7130,7143,7214,7311,7242,7095,7187,7085,7057,7087,7053,7108,7096,7170,7263,7219,7145,7207,7148,7086,7150,7077,7015,7017,6957,6902,6885,6770,6792,6796,6758,6785,6806,6795,6906,6945,6988,7039,7127,7144,7122,7248,7440,7458,7491,7417,7390,7336,7171,7018,7020,7031,7019,7004,6995,7011,6954,6934,7002,7044,7185,7204,7214,7146,7309,7211,7228,7202,7238,7322,7259,7233,7216,7251,7285,7343,7299,7313,7357,7321,7344,7382,7385,7515,7611,7664,7619,7490,7583,7565,7573,7609,7633,7622,7653,7697,7683,7708,7776,7611,7536,7576,7541,7587,7533,7430,7366,7279,7283,7335,7366,7250,7084,6985,6908,6845,6786,6683,6560,6538,6501,6446,6359,6290,6240,6237,6165,6202,6209,6247,6204,6295,6293,6319,6331,6214,6283,6242,6239,6279,6328,6338,6356,6399,6442,6499,6576,6486,6504,6481,6492,6488,6504,6513,6563,6555,6590,6559,6521,6584,6513,6567,6602,6627,6649
"14","57","    Primary metal manufacturing","KS331F0",8738,8714,8995,8938,8953,8997,8944,9115,9129,9166,9363,9368,9458,9325,9294,9327,9452,9585,9653,9847,9896,9911,9836,9898,9803,9812,9568,9750,9877,9911,9925,9970,9900,10001,10041,9915,10022,9947,9897,9998,10042,9915,10020,9970,10019,10107,10092,10001,10178,10044,9939,9837,9635,9514,9435,9282,9429,9397,9205,9247,9153,9323,9273,9226,9238,9284,9213,9237,9227,9158,9318,9328,9348,9301,9316,9469,9333,9302,9288,9279,9101,8979,9094,9054,9008,8972,8817,8791,8802,8861,8878,8969,9180,9369,9492,9726,9791,10096,10640,10576,10430,10373,10431,10334,10139,10256,10281,10370,10491,10415,10234,10245,10398,10315,10298,10366,10440,10772,10682,10482,10458,10610,10597,10681,10227,10506,10796,10960,10807,10606,10636,10759,10939,10929,11164,10992,11104,10985,10761,11224,10950,10670,10032,9611,9352,8972,8623,8264,7902,7576,7424,7345,7403,7627,7613,7888,7868,7965,8119,8312,8286,8309,8528,8496,8383,8441,8595,8619,8726,8882,8888,9036,9207,9388,9453,9503,9547,9590,9691,9678,9712,9679,9699,9730,9942,9902,9910,9943,10048,10063,9898,10164,10034,10121,10110,9878,9665,9857
"15","58","    Fabricated metal product manufacturing","KS332F0",12888,12940,12893,12980,13131,13178,13048,13083,13111,13252,13289,13343,13469,13828,13699,13650,13751,13865,13848,13990,13958,14038,14244,14207,14308,14229,14555,14549,14480,14303,14375,14326,14203,14423,14535,14612,14911,14628,14473,14529,14501,14640,14631,14860,14927,15010,15060,15128,15344,15270,15222,15220,15281,15151,15090,15021,15066,15174,14981,14775,14790,14803,14781,14895,14738,15084,14909,15006,15117,15118,15100,15233,15349,15980,16181,15895,15842,15664,15433,15135,15017,15059,15090,15002,14804,14884,14843,14718,14795,14949,15115,15171,15121,14888,14696,14820,14901,15104,15111,15377,15487,15462,15361,15300,15164,15100,15214,15347,15395,15452,15621,15519,15495,15378,15377,15558,15659,15600,15749,15835,15983,15986,16075,15919,15884,15923,15819,15414,15568,15778,15922,16084,16099,16057,16020,16202,16084,15877,15963,16029,16009,16003,16031,16216,16161,16348,16168,15812,15731,15688,15645,15665,15171,15034,15019,15130,15282,15102,15078,15065,15069,15107,15284,15280,15294,15313,15351,15325,15174,15454,15677,15688,15806,15779,15860,15958,16060,16129,16235,16222,16006,16051,16024,15995,16061,16141,16161,16192,16260,16277,16180,16275,16226,16186,16395,16411,16425,16424
"16","59","    Machinery manufacturing","KS333F0",13592,13667,13380,13560,13818,13892,13754,13741,13831,14136,14015,14081,13961,14359,14515,14525,14361,14265,14597,14775,14958,15073,15375,15345,15282,15085,15105,15250,15097,15003,14780,14799,14970,15172,15306,15353,15239,15484,15628,16622,15581,15527,15872,16276,16066,16224,16281,15976,16497,16158,16216,16339,15905,15917,15613,15527,15438,14799,14589,14454,14484,14310,14467,14340,14345,14222,14480,14442,14575,14612,14671,14762,14707,14835,14575,14692,14659,14535,14492,14125,13954,13995,13819,13979,13991,13907,14039,13823,13793,13961,13969,14163,14128,13973,13980,14189,14117,14369,14479,14380,14628,14469,14931,15051,15141,14795,14910,15072,15322,15291,15212,15275,15401,15428,15286,15732,16026,16211,16216,16313,16281,16538,16237,16252,16436,16272,16366,16146,16417,16213,16491,16543,16755,16758,16854,16834,16676,16334,16239,16090,15696,15812,16159,16448,16513,16241,15999,16028,15651,15616,15332,15210,15000,14976,15041,15033,14840,14584,14583,14579,14640,14880,15058,14894,14967,15172,15328,15254,15263,15438,15638,15827,15927,15916,16216,16716,16512,16741,16802,16462,16935,17380,17383,17689,17922,17977,18212,18566,18715,18720,18599,18252,18349,18089,18259,18439,18543,18360
"17","60","    Computer and electronic product manufacturing","KS334F0",9960,9948,9468,10136,10242,10178,10753,11229,10923,11218,11276,11174,11370,11666,11934,11857,11941,11984,11664,11558,11647,11623,11705,11697,11470,11889,12416,12452,12448,12443,11947,12600,12625,12418,12303,12592,12516,12241,12197,12169,12255,12084,12323,12440,12907,13612,13811,13986,14306,14562,13575,13882,14296,14512,14227,14227,13507,13361,13328,13023,13178,13002,12478,12808,12754,12474,12695,12743,11730,11832,11755,11575,11481,11556,11818,11660,11640,11777,11790,11783,11992,11891,11819,11838,11528,11609,11581,11328,11721,11939,11838,11978,12168,12126,11925,12284,12466,12512,12505,12609,12722,12750,12834,12842,12673,12812,12967,12948,12969,12754,13139,13457,13374,13312,13446,13348,13573,13180,13667,13723,14099,13993,14280,14542,14002,13914,13302,13480,14044,13686,13699,13918,13791,13912,14131,13964,14135,14173,14333,14530,14346,14450,14455,14764,14354,14155,13883,14232,14308,14102,14054,14185,13936,14038,14247,14280,14217,14373,14467,14410,14332,14596,14659,14826,15296,15322,15073,15172,15419,15579,15610,15552,15701,15911,15838,15773,15982,15817,15943,15998,15918,15868,15847,16059,16223,15964,16229,16452,16237,16438,16610,16384,16346,16283,16261,16089,16189,16493
"18","61","    Electrical equipment, appliance, and component manufacturing","KS335F0",4326,4423,4362,4435,4538,4574,4735,4759,4671,4594,4591,4530,4601,4678,4750,4767,4740,4685,4752,4788,4862,4959,5013,4987,4892,4869,4822,4938,4917,4938,4857,4739,4890,4863,4854,4831,4747,4767,4807,4832,4936,4845,4873,5074,5028,5111,4731,5050,5073,5017,5028,4906,4749,4679,4517,4551,4501,4506,4497,4611,4659,4768,4684,4709,4691,4732,4771,4720,4804,4799,4775,4644,4570,4603,4633,4657,4679,4597,4520,4475,4434,4448,4544,4524,4433,4363,4343,4246,4340,4375,4491,4527,4492,4443,4325,4311,4327,4348,4341,4438,4435,4350,4291,4217,4202,4280,4199,4210,4313,4293,4362,4267,4224,4461,4441,4531,4502,4472,4603,4692,4782,4724,4725,4704,4646,4628,4673,4859,4831,5066,5015,5039,5046,5118,4980,4990,4915,4875,4848,4795,4826,4842,4943,4940,4658,4667,4608,4613,4563,4435,4407,4368,4348,4165,4127,4171,4072,4195,3994,3941,3963,4032,4062,4088,4229,4186,4147,4135,4152,4195,4147,4180,4256,4271,4258,4304,4295,4278,4355,4321,4479,4511,4492,4509,4465,4465,4465,4440,4495,4509,4449,4410,4558,4484,4545,4521,4513,4576
"19","62","    Transportation equipment manufacturing","KS336F0",11658,12246,12005,12464,12661,12691,13230,12410,13021,13835,12556,13161,13605,13719,14147,13756,13667,13702,13572,13613,13827,13947,14377,14553,14707,14633,14737,14715,14643,14775,14920,15220,14897,14604,14787,14908,14685,15344,15078,14798,14686,15565,15900,16301,15497,15598,15378,14895,15221,15064,14947,15510,15378,15203,15252,15063,15186,15275,15284,15432,14550,14837,15169,15178,15117,14952,14972,14762,14914,15157,15084,14938,14793,14508,14056,13890,13929,14105,14277,14785,14125,14069,14066,14219,14177,14060,14168,14443,14418,14414,14328,14402,14901,14695,14867,14926,14864,15290,15525,15830,15638,15400,15597,15873,15499,16038,16204,15780,16168,16722,15937,15957,16270,16715,16877,17496,16820,17030,17378,17098,17170,17371,17223,16956,17061,16923,16540,16146,16326,15906,15664,16092,15682,15745,15531,15369,15028,15209,14856,14669,14956,14957,14843,14579,14659,14428,14362,14387,14098,13720,13798,13436,13149,13167,13194,13075,13454,13298,13440,13328,13356,13149,13107,13400,13202,12983,13293,12342,12315,12557,12641,12567,12490,12424,12727,12741,12914,12624,12338,12428,12478,12393,12552,12486,12770,12833,12807,12861,12863,13149,13143,12918,12756,12464,11567,11907,11697,11804
"20","63","      Motor vehicle and parts manufacturing","KS3MVF0",6543,6643,6519,6541,6658,6401,6344,6035,6229,6322,6236,6335,6562,6483,6560,6461,6420,6454,6335,6365,6529,6768,6968,6740,6821,6857,6881,6975,6834,7066,7141,7278,7194,7214,7182,7156,7220,7381,7394,7269,7230,7686,7776,7835,7671,7795,7821,7634,7618,7412,7481,7645,7526,7422,7395,7244,7177,7118,6975,7136,6605,6627,6984,7137,7306,7109,7352,7176,7455,7553,7538,7428,7467,7376,7055,7026,7145,7293,7449,7800,7302,7395,7322,7554,7912,7645,7578,7553,7361,7480,7323,7385,7787,7659,7793,7670,7643,7823,8018,8094,8089,8013,7928,8141,7879,8064,8317,7893,8243,8541,7950,7683,7597,7700,7600,7840,8123,8311,8472,7882,7964,8204,8189,8044,8179,8146,8171,7911,7882,7579,7463,7970,7553,7636,7701,7636,7501,7629,7478,7369,7639,7878,7722,7694,7737,7447,7400,7278,7081,6714,6784,6657,6676,6741,6848,6963,7171,7557,7826,7712,7798,7688,7737,8021,7781,7601,7974,7393,7251,7482,7702,7546,7584,7579,7820,7855,7930,7818,7673,7621,7884,7623,7691,7642,7769,7753,7666,7724,7592,7925,7813,7790,7812,7296,6572,6838,6642,6758
