"","Table 4BU2# Real Manufacturing Inventories, by Stage of Fabricat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201"
"11","28","  Durable goods industries","KS30DW0",118921,119079,118836,118544,118602,118446,118264,118407,117847,117450,117948,119829,120692,121710,122869,124514,125422,126439,126604,128056,127304,128921,128278,128478,126265,126445,127355,126383,126418,125464,127484,126447,127131,127261,128047,127246,126634,127128,126577,126001,124676,124684,123537,122497,121846,121607,122485,121772,121501,120527,119744,120991,119640,118559,117701,117199,117624,116604,114804,112763,113627,113724,111399,110677,110640,111301,110721,110922,111336,110438,109976,112434,111755,112720,112294,112915,113012,111308,110785,110729,110350,111123,110445,111710,111336,111110,110448,110036,109707,110036,110246,109894,108536,108581,109759,109004,109716,111441,111550,110840,111904,111860,113730,113182,113976,114788,115497,116057,116718,115655,116505,117050,116745,117044,117348,115446,117123,117900,117375,118166,119346,119730,120036,120793,121658,121827,122418,123119,124125,125478,126599,128017,128303,128183,128759,128096,127389,126269,125718,125527,124507,125253,125559,126513,126798,125970,124701,124002,124050,123730,124265,122515,121929,123055,124088,123515,124708,125757,126077,127243,127589,128601,129280,130396,132501,133336,134439,136116,136790,136961,139555,140233,141730,141908,142526,142686,142064,143221,144611,144771,145618,146302,146551,146869,147043,147720,148934,149843,149848,149979,150614,150875,151480,152743,153209,154309,154029,154710
"12","29","    Wood product manufacturing","KS321W0",2020,2065,2018,1981,2024,2031,2067,2099,2103,2126,2125,2078,2056,2060,2193,2126,2197,2130,2121,2113,2129,2147,2207,2204,2216,2227,2227,2312,2239,2230,2234,2303,2287,2335,2341,2349,2536,2491,2467,2460,2423,2449,2448,2418,2398,2448,2500,2375,2350,2283,2218,2146,2173,2161,2149,2141,2586,2472,2384,2253,2252,2341,2306,2314,2318,2352,2332,2299,2314,2308,2334,2319,2322,2327,2338,2341,2327,2331,2309,2299,2318,2288,2329,2333,2362,2387,2400,2394,2411,2371,2403,2411,2468,2493,2459,2483,2534,2520,2632,2574,2610,2509,2458,2468,2441,2469,2505,2591,2562,2597,2580,2550,2687,2502,2537,2544,2524,2486,2458,2452,2429,2389,2377,2392,2483,2403,2404,2357,2318,2279,2296,2289,2264,2134,2094,2082,2046,2064,2068,2031,2043,2052,2029,1892,1856,1801,1754,1716,1671,1633,1660,1668,1650,1616,1577,1573,1584,1571,1602,1653,1627,1633,1624,1576,1650,1660,1657,1669,1692,1675,1683,1643,1676,1682,1657,1679,1661,1721,1728,1698,1721,1736,1721,1755,1739,1751,1802,1772,1804,1795,1810,1831,1780,1855,1884,1866,1887,1860
"13","30","    Nonmetallic mineral product manufacturing","KS327W0",1786,1841,1825,1786,1842,1706,1725,1810,1832,1827,1803,1787,1836,1891,1847,1781,1762,1741,1773,1737,1707,1719,1707,1729,1754,1715,1688,1721,1713,1721,1735,1788,1771,1799,1772,1786,1784,1781,1798,1868,1838,1796,1777,1779,1743,1739,1739,1844,1826,1809,1799,1782,1753,1747,1731,1677,1715,1737,1721,1659,1629,1581,1592,1614,1631,1648,1670,1659,1677,1691,1713,1713,1676,1809,1835,1752,1716,1716,1691,1664,1647,1626,1636,1652,1657,1670,1675,1610,1627,1611,1582,1610,1580,1584,1572,1575,1559,1557,1546,1520,1546,1541,1550,1540,1538,1501,1507,1518,1537,1515,1529,1554,1558,1571,1572,1579,1598,1605,1611,1615,1638,1634,1635,1654,1656,1628,1615,1621,1612,1609,1616,1633,1613,1654,1593,1578,1535,1530,1492,1468,1490,1499,1504,1494,1514,1445,1443,1425,1413,1392,1352,1370,1369,1354,1309,1261,1284,1303,1291,1257,1266,1291,1301,1300,1322,1337,1360,1351,1342,1296,1302,1301,1333,1333,1328,1322,1311,1324,1361,1364,1343,1330,1337,1359,1348,1358,1372,1388,1392,1388,1352,1363,1360,1372,1341,1321,1306,1330
"14","31","    Primary metal manufacturing","KS331W0",10274,10331,10494,10387,10481,10574,10549,10500,10504,10390,10471,10557,10764,10645,10633,10618,10588,10486,10620,10680,10733,10774,10894,10767,11002,10913,10887,10774,11116,11052,11083,11046,11006,11115,11233,11278,11322,11215,11026,11151,11096,11100,11027,11032,11018,10944,10816,10929,10577,10443,10269,10214,10077,9956,9914,9844,9821,9764,9614,9480,9347,9357,9151,9102,9107,9207,9238,9388,9392,9447,9554,9581,9592,9652,9509,9460,9383,9033,8987,8823,8572,8539,8461,8501,8671,8350,8721,8698,8408,8412,8340,8503,8702,8853,8833,8799,9241,9236,9112,9082,9314,9404,9342,9310,9360,9218,9217,9521,9461,9605,9580,9630,9604,9591,9519,9623,9707,9861,9986,9898,9948,10013,10044,9998,9884,10066,10056,9907,9747,9724,9835,10017,9985,10024,10123,9976,10165,10009,10033,9802,9758,9674,9462,9120,8638,8439,8185,7791,7616,7717,7768,8113,8238,7766,7764,7803,7995,8099,8163,8334,8646,8385,8506,8581,8650,8779,8770,8857,8970,8999,8918,9187,9250,9210,9296,9353,9330,9401,9594,9539,9502,9638,9548,9517,9526,9577,9589,9569,9534,9537,9553,9595,9536,9477,9301,9125,9097,9237
"15","32","    Fabricated metal product manufacturing","KS332W0",11989,12095,12167,12240,12188,12440,12417,12411,12425,12464,12531,12684,12547,12396,12637,12725,12738,12864,12734,12797,12728,12606,12577,12617,12572,12484,12538,12472,12634,12371,12491,12468,12547,12686,12862,12779,13022,13012,12919,12973,13074,13098,13082,13040,12953,12960,12860,12804,13059,12854,12758,12680,12697,12624,12483,12429,12721,12498,12445,12241,12000,12119,12197,12224,12232,12464,12383,12359,12415,12303,12354,12445,12096,12373,12292,12074,12059,11984,11793,11971,11884,12011,12037,12122,12190,12175,12195,12096,12113,12112,12010,11815,11694,11669,11839,12017,11936,12108,12341,12320,12506,12417,12521,12643,12746,12723,12890,12841,13031,12962,12979,13156,13114,13258,13331,13454,13423,13425,13562,13670,13926,13823,13701,13873,13938,13960,14054,14093,14268,14471,14104,14282,14259,14353,14353,14083,14099,14000,13980,13979,13298,13442,13449,13639,13548,13340,13215,13032,12906,12630,12638,12171,12286,12360,12568,12339,12354,12294,12342,12429,12175,12355,12475,12419,12463,12458,12588,12557,12558,12524,12665,12709,12759,12775,12886,12962,12923,12948,13147,13276,13344,13420,13373,13440,13518,13599,13616,13744,13695,13777,13765,13883,13750,13790,13943,13979,13982,14081
"16","33","    Machinery manufacturing","KS333W0",16658,16282,16464,16730,16549,16549,16373,16221,16112,16032,16178,16480,16465,16642,16474,16374,16411,16481,16329,16541,16584,16573,16573,16468,16220,15992,16013,16000,16241,15935,16151,16083,15809,16003,15777,15895,16155,16538,16096,15473,16153,16498,16473,16298,16437,16950,17093,17560,16955,16814,16829,16613,16473,16098,15965,15636,15502,15623,15153,14848,14807,14858,14685,14734,14505,14367,14194,14060,14002,13782,13702,14144,13635,13492,13423,13610,13370,13230,12991,13405,13522,13500,13317,13491,13387,13439,13267,13301,13468,13456,13566,13375,13240,13025,13268,13099,13347,13261,13354,13400,13432,13336,13558,13640,13561,13793,13904,13844,13782,13605,13903,13872,13948,14034,14168,13977,14144,14045,13674,14319,14197,14240,14293,14341,14348,14294,14154,14444,14449,14509,14418,14413,14360,14328,14595,14251,14022,13963,13977,14103,14562,14399,14122,14580,14723,14452,14177,13978,13995,13987,13616,13598,13427,13408,13297,13444,13487,13559,13558,13508,13267,13403,13788,14045,14285,14399,14398,14539,14573,14725,14977,15027,15588,15479,15676,15539,15523,16017,16230,16131,16762,16569,16486,16778,16559,16582,16754,16763,16709,16714,16819,16912,16669,16632,16600,16494,16523,16481
"17","34","    Computer and electronic product manufacturing","KS334W0",14265,14360,14526,14470,14551,14746,15049,15049,15139,14929,15200,15632,15519,15835,16138,16270,16191,16179,15809,15895,15532,15596,15577,15456,15422,15559,15571,15795,15868,15677,15588,15595,15521,15534,15325,15277,15566,15790,15657,16535,16601,16791,17193,17440,16567,17161,17942,18072,18392,18486,18593,18989,18122,18168,17464,17452,17082,16600,16349,15558,15758,15706,15804,15449,15463,15463,15458,15392,15866,15353,15361,15383,15447,15556,15605,15907,15850,15811,16036,16027,16166,16546,16766,17362,16860,16903,17273,17704,18181,18222,18284,18588,18697,18838,18867,18649,18680,18635,18776,18779,18956,19216,19832,19683,19771,20375,20535,20442,21068,20602,20193,20092,19905,19827,19538,19278,19185,19351,19141,18970,19127,19086,18691,18316,18681,18041,18112,18161,18257,18669,18809,18720,19074,19269,19361,20147,20323,20077,20573,20604,20748,21243,21515,21591,21635,21496,21568,21516,21497,20971,20781,20655,20656,20624,20794,21312,21098,21425,21165,21072,21242,21581,21411,21765,21744,21677,21611,21632,21378,21761,22203,22286,22504,22637,22462,22448,22506,22807,22733,22613,22679,22563,22502,22408,21909,21765,21815,21726,21682,21332,21262,21170,21182,21119,21066,21202,21211,21028
"18","35","    Electrical equipment, appliance, and component manufacturing","KS335W0",6432,6444,6475,6516,6556,6508,6581,6559,6533,6574,6565,6580,6607,6596,6527,6513,6479,6471,6544,6624,6641,6618,6604,6607,6536,6507,6568,6537,6544,6542,6417,6382,6580,6614,6592,6521,6493,6514,6381,6446,6488,6562,6594,6611,6612,6666,6693,6695,6671,6708,6673,6630,6530,6447,6421,6391,6397,6375,6291,6185,6162,6101,6135,6160,6150,6069,6002,5988,5958,5935,5933,6008,5982,5949,5925,5898,5870,5837,5830,5820,5828,5840,5858,5826,5817,5810,5758,5746,5790,5809,5731,5748,5721,5590,5679,5692,5717,5696,5677,5657,5630,5623,5636,5653,5688,5673,5638,5672,5670,5693,5749,5793,5781,5824,5798,5957,5872,5890,5885,6014,5989,6045,6083,6119,6114,6083,6111,5929,5931,6004,6200,6251,6270,6295,6227,6164,6140,6261,6125,6116,6165,6235,6223,6198,6010,6030,6002,5951,5884,5839,5782,5778,5742,5733,5734,5620,5647,5672,5566,5574,5594,5584,5620,5648,5672,5656,5664,5689,5726,5737,5732,5774,5771,5786,5797,5833,5792,5832,5882,5838,5967,5937,5897,5918,5941,5961,5935,5914,6002,5994,5946,5935,6017,6006,6080,6023,6035,6058
"19","36","    Transportation equipment manufacturing","KS336W0",51014,51271,50413,50162,50058,49377,48761,49042,48361,48337,48104,49005,50013,50646,51121,52756,53818,54849,55567,56671,56467,58205,57422,58042,55897,56281,57142,55926,55246,55139,57132,56039,56827,56548,57607,56740,55099,54967,55353,53749,51681,50988,49326,48112,48523,46976,46761,45467,45347,44587,44141,45299,45379,44832,45254,45374,45805,45770,45152,45099,46000,46094,43911,43488,43583,44156,43938,44270,43947,43940,43377,45299,45287,45878,45454,46033,46543,45317,44600,44375,44669,44915,43790,44063,44181,43999,42694,42366,41546,41776,42023,41458,40136,39919,40626,40096,40248,41681,41531,40579,41142,41157,42209,41517,42241,42396,42601,42848,42797,42315,43296,43644,43467,43801,44051,42212,43810,44336,44178,44479,45333,45731,46585,47577,47924,48780,49263,49988,50927,51528,52692,53794,53774,53568,53828,53446,52788,52099,51225,51233,50153,50396,50934,51576,52371,52450,51880,52298,52823,53436,54537,53100,52562,54206,54996,54096,55234,55758,56274,57195,57552,58112,58306,58838,60448,61107,62199,63614,64304,63997,65910,66126,66686,66867,67280,67330,66793,66995,67665,68053,68029,68855,69405,69399,70144,70782,71650,72580,72636,73056,73706,73760,74788,76160,76749,78054,77801,78435
"20","37","      Motor vehicle and parts manufacturing","KS3MVW0",8421,8525,8580,8832,9002,8744,8511,8700,9449,8613,8488,8576,8562,8520,9001,8554,8387,8127,8095,7850,7755,7236,7743,8148,7716,7208,8233,7374,7181,7313,7816,7707,7702,7954,8069,8251,7985,8084,7654,7873,8573,8209,8081,8174,8230,8293,8329,8284,8096,8010,7618,8075,7955,7784,7631,7502,7507,7357,7190,7110,7433,7040,6706,7052,7005,7374,7381,7361,7435,7491,7422,7463,7253,7798,7763,7969,7857,7512,7651,7621,7657,7651,7824,7767,7772,7722,7666,7560,7480,7626,7657,7638,7539,7463,7404,7409,7525,7538,7529,7530,7571,7724,7574,7557,7375,7765,7666,7743,7656,7328,7700,7952,7934,7996,7900,7723,7499,7493,7723,8026,7986,7823,7861,7830,7783,7627,7735,7679,7701,7931,7740,7545,7598,7394,7296,7104,6799,6851,6557,6535,6447,6273,6169,6014,5844,6053,5813,5738,5835,5620,5565,5643,5612,5568,5528,5654,5787,6007,5885,6156,6058,5978,6076,6025,6012,5987,6038,6319,6461,6319,6430,6413,6431,6388,6459,6320,6564,6643,6703,6661,6596,6667,6856,6546,6708,6777,6882,6930,6827,6900,6934,6793,6665,7016,7062,7094,7227,7140
