"","Table 2#3#6U# Real Personal Consumption Expenditures by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (2009) dollars; quarters and months are seasonally adjusted at annual rates]                                                                                                                                                         ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 30, 2013   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/29/2013 4:19:00 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"8",NA,"Personal consumption expenditures by major type of product (From NIPA table 2.3.6):"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","      Personal consumption expenditures (PCE)","DPCERX0",7788142,8182101,8387516,8600363,8866170,9205644,9527791,9814874,10035540,9999243,9842939,10035856,10291309,10517605
"10","2","Goods","DGDSRX0",2460874,2588250,2666644,2770177,2904451,3051921,3177160,3292529,3381763,3297792,3198444,3308651,3419922,3534113
"11","3","  Durable goods","DDURRX0",698312,758332,798016,856587,917639,992924,1046946,1091545,1141662,1083235,1023318,1085658,1157111,1246735
"12","4","    Motor vehicles and parts","DMOTRX0",335750,346435,364142,383313,394574,405492,399996,385132,392789,340814,317058,323406,339404,363977
"13","5","    Furnishings and durable household equipment","DFDHRX0",171234,187747,197294,211699,226793,248326,264837,278298,280443,267670,244311,261502,275971,292766
"14","6","    Recreational goods and vehicles","DREQRX0",113096,132046,144203,160652,181585,209327,237637,268788,298972,308742,303775,336804,370503,410850
"15","7","    Other durable goods","DODGRX0",105980,115397,112918,119881,131131,142773,153326,164427,172196,166497,158174,164876,173672,183637
"16","8","  Nondurable goods","DNDGRX0",1805974,1863598,1896024,1931107,1998542,2063650,2132331,2202167,2239326,2214659,2175126,2223535,2265971,2296795
"17","9","    Food and beverages purchased for off-premises consumption","DFXARX0",668124,684549,693975,697031,713257,729766,757613,780821,791281,781866,769958,786471,798831,809381
"18","10","    Clothing and footwear","DCLORX0",243190,254958,257369,265228,278318,291162,306770,317445,323901,322312,306499,322664,334950,338872
"19","11","    Gasoline and other energy goods","DGOERX0",302321,294435,294152,296443,296758,299290,297997,297429,296838,283403,284500,282220,275221,271468
"20","12","    Other nondurable goods","DONGRX0",605825,636117,656047,675748,709548,740594,765910,803343,825151,828317,814169,832974,861569,885073
"21","13","Services","DSERRX0",5344758,5611558,5736252,5839992,5965617,6154108,6349438,6519763,6650409,6700632,6644495,6727177,6871126,6982672
"22","14","  Household consumption expenditures (for services)","DHCERX0",5205822,5459377,5568165,5649906,5761719,5946686,6143369,6284954,6409210,6427132,6368478,6448877,6592033,6689389
