"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","      Motor vehicle output","A953RX1","341,169.0","343,589.0","354,072.0","361,329.0","366,811.0","352,882.0","336,556.0","325,139.0","310,423.0","333,095.0","330,089.0","343,402.0","360,706.0","365,621.0","376,337.0","364,444.0","356,232.0","373,802.0","375,172.0","380,458.0","382,813.0","376,942.0","394,357.0","392,724.0","394,375.0","400,608.0","421,791.0","389,423.0","403,494.0","395,434.0","398,358.0","388,214.0","398,935.0","403,667.0","401,474.0","385,719.0","369,685.0","349,634.0","326,321.0","259,392.0","209,440.0","222,679.0","272,352.0","282,824.0","305,886.0","318,804.0","336,473.0","324,779.0","348,637.0","342,283.0","352,153.0","370,941.0","394,186.0","400,989.0","400,982.0","398,921.0","414,867.0","423,369.0","408,051.0","426,975.0","429,161.0","445,902.0","466,512.0","452,734.0","454,353.0","469,969.0","491,081.0","462,796.0","464,490.0"
"21","2","        Auto output","A133RX1","141,005.0","145,343.0","143,831.0","153,078.0","156,566.0","149,052.0","144,992.0","139,980.0","134,174.0","141,750.0","139,401.0","143,539.0","154,421.0","147,833.0","141,647.0","141,145.0","130,871.0","135,144.0","130,665.0","128,267.0","128,348.0","135,238.0","129,150.0","137,155.0","150,781.0","145,046.0","146,856.0","150,156.0","160,387.0","153,707.0","146,483.0","148,056.0","152,845.0","152,474.0","147,414.0","147,560.0","149,306.0","150,890.0","150,795.0","110,661.0","75,373.0","89,121.0","99,108.0","104,849.0","112,393.0","114,028.0","108,393.0","99,345.0","110,347.0","117,349.0","110,621.0","119,583.0","141,369.0","138,130.0","141,750.0","140,246.0","145,997.0","140,005.0","131,097.0","140,421.0","139,626.0","133,956.0","142,992.0","135,908.0","121,671.0","121,818.0","117,528.0","104,887.0","104,654.0"
"22","3","        Truck output","A716RX1","200,839.0","199,081.0","210,793.0","209,136.0","211,203.0","204,674.0","192,523.0","186,080.0","177,159.0","192,202.0","191,475.0","200,594.0","207,205.0","218,374.0","234,889.0","223,642.0","225,363.0","238,550.0","244,142.0","251,596.0","253,842.0","241,499.0","264,470.0","255,190.0","243,808.0","255,395.0","274,544.0","239,262.0","243,188.0","241,790.0","251,858.0","240,184.0","246,124.0","251,235.0","254,099.0","238,162.0","220,407.0","198,792.0","175,443.0","148,745.0","134,231.0","133,585.0","173,153.0","177,875.0","193,442.0","204,779.0","228,147.0","225,472.0","238,300.0","224,986.0","241,471.0","251,332.0","253,070.0","263,001.0","259,500.0","258,915.0","269,112.0","283,261.0","276,677.0","286,436.0","289,330.0","311,059.0","322,773.0","315,913.0","330,806.0","345,944.0","370,509.0","354,535.0","356,397.0"
"23","4","Final sales of domestic product","AB60RX1","322,791.0","344,782.0","349,678.0","337,965.0","361,523.0","329,791.0","327,203.0","322,906.0","335,025.0","328,077.0","325,588.0","379,549.0","349,486.0","349,729.0","374,535.0","341,823.0","346,966.0","360,436.0","383,499.0","367,940.0","370,111.0","371,103.0","393,054.0","406,437.0","399,626.0","413,856.0","429,733.0","369,517.0","395,439.0","390,401.0","401,063.0","394,689.0","401,556.0","404,282.0","396,442.0","405,593.0","378,280.0","348,286.0","336,872.0","267,102.0","268,067.0","268,713.0","288,157.0","255,269.0","283,940.0","298,647.0","314,140.0","335,523.0","344,496.0","348,353.0","341,912.0","358,230.0","366,555.0","378,755.0","381,229.0","390,707.0","410,306.0","408,254.0","397,633.0","405,697.0","416,347.0","436,997.0","455,712.0","449,288.0","439,769.0","446,833.0","456,893.0","445,325.0","429,264.0"
"24","5","  Personal consumption expenditures","AB61RX1","269,937.0","291,112.0","291,505.0","281,349.0","308,266.0","283,840.0","289,375.0","291,201.0","301,432.0","295,131.0","299,624.0","349,912.0","323,208.0","325,016.0","347,651.0","324,996.0","324,357.0","338,919.0","349,837.0","343,609.0","344,915.0","344,216.0","348,680.0","350,523.0","341,217.0","353,240.0","355,529.0","308,113.0","320,794.0","321,892.0","327,800.0","327,016.0","328,906.0","334,201.0","331,087.0","329,578.0","312,621.0","296,523.0","280,929.0","245,424.0","255,354.0","257,421.0","290,323.0","258,033.0","253,829.0","265,501.0","270,930.0","285,859.0","286,685.0","268,288.0","268,590.0","285,900.0","295,716.0","297,780.0","302,934.0","310,743.0","318,647.0","317,556.0","315,333.0","316,142.0","319,773.0","335,221.0","342,763.0","346,578.0","343,403.0","351,800.0","354,560.0","348,368.0","335,192.0"
"25","6","    New motor vehicles","AB67RX1","179,459.0","188,591.0","190,487.0","194,229.0","206,667.0","196,610.0","199,587.0","190,933.0","205,274.0","203,686.0","201,348.0","260,977.0","234,622.0","223,758.0","247,277.0","232,210.0","230,573.0","248,626.0","255,716.0","248,072.0","251,330.0","245,342.0","248,193.0","247,961.0","237,084.0","258,302.0","263,246.0","215,395.0","227,222.0","227,784.0","232,904.0","229,985.0","235,603.0","234,881.0","227,949.0","229,710.0","213,437.0","197,866.0","184,930.0","152,397.0","152,962.0","154,703.0","190,325.0","164,503.0","163,469.0","176,196.0","180,853.0","193,838.0","198,842.0","190,200.0","192,629.0","212,306.0","220,083.0","220,945.0","221,763.0","227,400.0","231,190.0","231,603.0","232,053.0","233,394.0","235,647.0","245,491.0","248,926.0","249,438.0","247,833.0","253,577.0","257,925.0","250,917.0","233,371.0"
"26","7","      Autos","A136RX1","86,788.0","92,996.0","93,787.0","97,713.0","102,598.0","98,896.0","96,139.0","92,010.0","95,408.0","91,462.0","87,834.0","110,611.0","96,096.0","93,153.0","98,761.0","91,329.0","93,292.0","91,172.0","92,938.0","90,294.0","94,005.0","91,653.0","90,601.0","95,445.0","94,379.0","99,465.0","102,397.0","94,530.0","99,751.0","99,227.0","101,063.0","97,749.0","97,674.0","97,165.0","90,919.0","97,464.0","94,618.0","98,997.0","83,611.0","66,787.0","61,938.0","63,498.0","89,895.0","69,378.0","63,953.0","67,338.0","70,130.0","73,612.0","79,108.0","76,718.0","72,089.0","80,233.0","91,624.0","88,814.0","89,190.0","90,441.0","91,725.0","88,704.0","89,851.0","91,499.0","87,457.0","89,133.0","89,856.0","89,257.0","83,440.0","81,442.0","81,327.0","77,998.0","73,239.0"
"27","8","      Light trucks (including utility vehicles)","B704RX1","93,375.0","96,444.0","97,543.0","97,523.0","105,047.0","98,732.0","104,197.0","99,640.0","110,408.0","112,553.0","113,676.0","150,372.0","138,334.0","130,507.0","148,177.0","140,482.0","137,046.0","156,614.0","161,859.0","156,891.0","156,586.0","152,958.0","156,727.0","151,962.0","142,385.0","158,285.0","160,338.0","120,951.0","127,539.0","128,583.0","131,848.0","132,194.0","137,849.0","137,628.0","136,857.0","132,160.0","118,768.0","98,905.0","101,326.0","85,605.0","91,061.0","91,200.0","100,444.0","95,079.0","99,454.0","108,787.0","110,670.0","120,126.0","119,696.0","113,454.0","120,433.0","131,968.0","128,489.0","132,114.0","132,561.0","136,918.0","139,407.0","142,752.0","142,082.0","141,817.0","147,922.0","156,000.0","158,686.0","159,757.0","163,704.0","171,224.0","175,583.0","171,862.0","159,193.0"
"28","9","    Net purchases of used autos and used light trucks","W240RX1","90,289.0","101,965.0","100,580.0","87,621.0","101,627.0","87,798.0","90,268.0","99,772.0","96,383.0","91,929.0","98,186.0","91,699.0","90,474.0","101,629.0","101,896.0","94,341.0","95,161.0","92,455.0","96,245.0","97,420.0","95,554.0","100,526.0","102,123.0","104,070.0","105,237.0","97,179.0","94,875.0","93,630.0","94,881.0","95,424.0","96,345.0","98,267.0","94,952.0","100,554.0","103,885.0","100,844.0","99,681.0","98,845.0","96,106.0","93,019.0","102,464.0","102,823.0","99,953.0","93,399.0","90,371.0","89,871.0","90,785.0","93,112.0","89,430.0","80,035.0","78,155.0","76,754.0","78,903.0","80,026.0","84,116.0","86,363.0","90,413.0","89,014.0","86,481.0","86,014.0","87,383.0","93,018.0","97,053.0","100,274.0","98,704.0","101,420.0","99,946.0","100,630.0","104,733.0"
"29","10","      Used autos","A137RX1","52,356.0","58,708.0","57,948.0","48,814.0","58,183.0","48,378.0","49,285.0","58,142.0","53,407.0","51,943.0","53,600.0","48,021.0","48,881.0","53,929.0","53,313.0","49,052.0","50,038.0","48,650.0","51,012.0","52,103.0","50,623.0","53,982.0","54,289.0","55,036.0","55,439.0","51,229.0","49,420.0","48,783.0","48,889.0","48,775.0","48,387.0","47,706.0","44,940.0","46,763.0","48,037.0","47,431.0","48,218.0","48,021.0","45,372.0","41,149.0","44,169.0","43,530.0","42,633.0","40,307.0","38,516.0","37,892.0","39,383.0","41,774.0","40,758.0","36,700.0","35,215.0","34,789.0","35,788.0","35,515.0","36,711.0","37,915.0","39,918.0","39,500.0","38,844.0","38,819.0","39,410.0","42,128.0","44,199.0","45,660.0","44,656.0","46,060.0","45,360.0","45,043.0","47,151.0"
"30","11","      Used light trucks (including utility vehicles)","W241RX1","38,239.0","43,571.0","42,942.0","38,954.0","43,721.0","39,517.0","41,043.0","42,016.0","43,103.0","40,197.0","44,650.0","43,569.0","41,608.0","47,642.0","48,473.0","45,169.0","45,042.0","43,730.0","45,177.0","45,286.0","44,872.0","46,506.0","47,780.0","48,974.0","49,734.0","45,890.0","45,388.0","44,778.0","45,922.0","46,579.0","47,886.0","50,503.0","49,988.0","53,802.0","55,870.0","53,411.0","51,451.0","50,811.0","50,725.0","51,882.0","58,302.0","59,292.0","57,317.0","53,088.0","51,857.0","51,990.0","51,396.0","51,320.0","48,652.0","43,317.0","42,925.0","41,951.0","43,102.0","44,495.0","47,384.0","48,427.0","50,474.0","49,495.0","47,621.0","47,181.0","47,959.0","50,877.0","52,843.0","54,602.0","54,033.0","55,348.0","54,574.0","55,564.0","57,563.0"
"31","12","  Private fixed investment","AB62RX1","145,321.0","149,180.0","159,151.0","156,535.0","159,454.0","149,694.0","144,186.0","134,727.0","135,913.0","132,988.0","123,866.0","123,665.0","123,721.0","123,820.0","128,118.0","118,201.0","114,021.0","119,119.0","126,006.0","123,566.0","125,153.0","130,812.0","144,482.0","154,765.0","150,864.0","156,317.0","170,625.0","166,805.0","185,165.0","176,757.0","173,155.0","175,310.0","169,995.0","158,137.0","154,956.0","155,509.0","147,793.0","124,949.0","104,016.0","66,730.0","35,223.0","36,796.0","39,691.0","50,331.0","82,124.0","103,836.0","113,636.0","120,031.0","131,080.0","133,674.0","150,151.0","156,570.0","166,844.0","173,615.0","175,829.0","177,509.0","186,240.0","192,645.0","192,273.0","199,792.0","204,933.0","215,005.0","219,918.0","218,009.0","226,141.0","229,339.0","238,638.0","239,122.0","236,280.0"
"32","13","    New motor vehicles","AB68RX1","195,085.0","196,847.0","208,348.0","206,848.0","212,653.0","199,750.0","196,265.0","182,177.0","188,614.0","182,787.0","175,366.0","170,334.0","168,960.0","179,459.0","184,939.0","174,570.0","164,346.0","163,789.0","176,812.0","179,478.0","177,018.0","185,442.0","200,291.0","207,205.0","200,174.0","207,456.0","222,867.0","217,725.0","236,519.0","224,458.0","223,497.0","228,736.0","227,435.0","215,978.0","218,903.0","214,994.0","206,785.0","189,115.0","173,680.0","133,127.0","102,891.0","112,076.0","119,422.0","138,622.0","151,872.0","162,152.0","170,045.0","171,591.0","182,639.0","178,516.0","193,055.0","196,696.0","207,072.0","209,896.0","211,527.0","221,534.0","230,848.0","233,176.0","233,990.0","239,915.0","244,898.0","260,609.0","265,181.0","264,932.0","276,852.0","281,970.0","296,496.0","299,527.0","297,373.0"
"33","14","      Autos","B139RX1","76,880.0","79,770.0","82,170.0","81,146.0","86,563.0","80,642.0","79,669.0","78,277.0","82,364.0","81,243.0","76,334.0","71,296.0","73,159.0","80,951.0","81,726.0","76,628.0","73,819.0","70,120.0","73,568.0","70,909.0","69,079.0","73,347.0","74,355.0","77,454.0","75,465.0","75,705.0","79,851.0","81,286.0","85,340.0","79,876.0","79,537.0","81,366.0","82,814.0","82,809.0","84,131.0","82,660.0","77,272.0","77,708.0","75,284.0","55,596.0","42,339.0","49,945.0","53,007.0","61,558.0","65,884.0","69,915.0","71,019.0","66,583.0","70,709.0","69,936.0","70,599.0","71,706.0","85,801.0","81,845.0","82,259.0","88,920.0","92,363.0","90,542.0","92,447.0","92,102.0","90,956.0","96,062.0","96,369.0","97,573.0","95,912.0","98,400.0","99,342.0","99,339.0","95,460.0"
"34","15","      Trucks","B705RX1","118,380.0","117,239.0","126,358.0","125,882.0","126,267.0","119,274.0","116,757.0","104,033.0","106,383.0","101,667.0","99,159.0","99,174.0","95,924.0","98,615.0","103,341.0","98,072.0","90,661.0","93,791.0","103,365.0","108,658.0","108,013.0","112,181.0","125,977.0","129,803.0","124,772.0","131,778.0","143,023.0","136,475.0","151,200.0","144,597.0","143,975.0","147,391.0","144,647.0","133,196.0","134,802.0","132,365.0","129,531.0","111,436.0","98,388.0","77,550.0","60,567.0","62,124.0","66,408.0","77,062.0","85,994.0","92,253.0","99,013.0","104,889.0","111,798.0","108,467.0","122,283.0","124,814.0","121,246.0","127,930.0","129,143.0","132,548.0","138,406.0","142,482.0","141,439.0","147,606.0","153,611.0","164,166.0","168,363.0","166,975.0","180,232.0","182,886.0","196,197.0","199,156.0","200,679.0"
"35","16","        Light trucks (including utility vehicles)","B196RX1","79,095.0","78,291.0","85,790.0","84,934.0","86,730.0","81,966.0","82,671.0","74,760.0","77,735.0","74,873.0","74,151.0","74,812.0","72,863.0","72,744.0","75,089.0","70,869.0","68,367.0","69,208.0","76,877.0","80,393.0","77,716.0","80,667.0","91,286.0","93,010.0","86,301.0","93,049.0","103,678.0","97,379.0","109,316.0","102,834.0","102,413.0","105,581.0","105,829.0","101,458.0","106,351.0","104,989.0","103,157.0","85,298.0","74,104.0","53,498.0","42,868.0","45,538.0","48,260.0","55,749.0","64,446.0","69,709.0","74,202.0","79,982.0","82,955.0","78,085.0","89,831.0","89,402.0","84,614.0","89,807.0","92,684.0","97,370.0","103,125.0","104,871.0","104,774.0","108,837.0","114,325.0","121,271.0","122,252.0","121,168.0","132,021.0","132,347.0","144,905.0","152,126.0","154,448.0"
"36","17","        Other","B197RX1","42,050.0","41,691.0","43,008.0","43,570.0","41,631.0","39,270.0","35,152.0","29,848.0","28,796.0","26,736.0","24,584.0","23,740.0","22,318.0","25,785.0","28,511.0","27,561.0","21,815.0","24,491.0","26,212.0","28,078.0","30,681.0","31,918.0","34,973.0","37,297.0","39,595.0","39,518.0","39,710.0","39,737.0","42,419.0","42,537.0","42,300.0","42,415.0","39,102.0","31,651.0","28,124.0","27,083.0","26,176.0","26,156.0","24,340.0","24,043.0","17,698.0","16,591.0","18,144.0","21,313.0","21,532.0","22,531.0","24,807.0","24,902.0","28,842.0","30,397.0","32,450.0","35,423.0","36,639.0","38,131.0","36,470.0","35,189.0","35,289.0","37,621.0","36,668.0","38,774.0","39,294.0","42,902.0","46,123.0","45,819.0","48,223.0","50,551.0","51,300.0","47,039.0","46,243.0"
"37","18","    Net purchases of used autos and used light trucks","W242RX1","-60,163.0","-58,817.0","-61,349.0","-61,962.0","-64,757.0","-60,899.0","-61,898.0","-56,859.0","-61,280.0","-58,544.0","-58,666.0","-54,675.0","-53,465.0","-62,163.0","-63,649.0","-62,032.0","-56,326.0","-52,097.0","-58,211.0","-62,727.0","-59,084.0","-62,249.0","-64,461.0","-62,193.0","-58,929.0","-61,089.0","-63,407.0","-61,858.0","-63,989.0","-59,882.0","-61,903.0","-64,862.0","-68,035.0","-67,414.0","-72,945.0","-68,944.0","-67,931.0","-70,485.0","-73,686.0","-67,844.0","-67,876.0","-75,420.0","-79,614.0","-88,060.0","-73,863.0","-65,716.0","-64,903.0","-61,236.0","-62,800.0","-57,203.0","-57,666.0","-56,023.0","-57,298.0","-54,498.0","-54,192.0","-62,032.0","-63,656.0","-60,694.0","-61,758.0","-61,195.0","-61,661.0","-68,070.0","-68,326.0","-69,663.0","-74,199.0","-76,387.0","-82,417.0","-84,909.0","-85,245.0"
"38","19","      Used autos","B140RX1","-32,891.0","-32,706.0","-32,599.0","-32,249.0","-34,703.0","-31,474.0","-31,880.0","-30,518.0","-31,174.0","-30,624.0","-29,061.0","-25,815.0","-26,339.0","-30,332.0","-30,630.0","-29,929.0","-28,026.0","-25,935.0","-28,135.0","-29,701.0","-28,953.0","-31,976.0","-31,678.0","-31,254.0","-30,546.0","-30,259.0","-30,788.0","-32,161.0","-30,377.0","-29,534.0","-30,751.0","-31,590.0","-32,008.0","-31,134.0","-33,053.0","-30,889.0","-32,051.0","-33,375.0","-35,150.0","-30,838.0","-28,322.0","-32,897.0","-35,766.0","-40,575.0","-35,361.0","-30,311.0","-29,231.0","-26,771.0","-30,447.0","-29,622.0","-28,162.0","-26,910.0","-29,540.0","-26,212.0","-25,413.0","-28,934.0","-30,037.0","-29,224.0","-30,239.0","-29,567.0","-29,340.0","-32,739.0","-32,556.0","-33,543.0","-33,657.0","-34,446.0","-34,372.0","-33,754.0","-31,779.0"
"39","20","      Used light trucks (including utility vehicles)","W243RX1","-27,211.0","-26,039.0","-28,703.0","-29,676.0","-29,999.0","-29,393.0","-29,987.0","-26,293.0","-30,080.0","-27,883.0","-29,595.0","-28,873.0","-27,117.0","-31,830.0","-33,028.0","-32,111.0","-28,289.0","-26,154.0","-30,079.0","-33,043.0","-30,128.0","-30,238.0","-32,779.0","-30,922.0","-28,348.0","-30,818.0","-32,613.0","-29,669.0","-33,610.0","-30,336.0","-31,137.0","-33,260.0","-36,022.0","-36,278.0","-39,895.0","-38,060.0","-35,878.0","-37,107.0","-38,534.0","-37,005.0","-39,553.0","-42,522.0","-43,848.0","-47,487.0","-38,506.0","-35,404.0","-35,671.0","-34,464.0","-32,356.0","-27,585.0","-29,508.0","-29,117.0","-27,765.0","-28,289.0","-28,780.0","-33,099.0","-33,621.0","-31,474.0","-31,524.0","-31,631.0","-32,323.0","-35,334.0","-35,773.0","-36,123.0","-40,541.0","-41,938.0","-48,032.0","-51,135.0","-53,435.0"
