"","Table 3#1# Government Current Receipts and Expenditures","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50"
"1","[Millions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2016    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2016 3:03:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"19","1","    Current receipts","W021RC1","282,523.0","285,679.0","302,136.0","345,393.0","388,541.0","429,999.0","440,943.0","505,367.0","567,021.0","645,656.0","728,816.0","799,329.0","918,661.0","940,544.0","1,001,675.0","1,114,449.0","1,216,471.0","1,292,277.0","1,406,061.0","1,506,546.0","1,631,419.0","1,712,851.0","1,763,318.0","1,848,228.0","1,952,329.0","2,096,526.0","2,222,753.0","2,387,389.0","2,564,996.0","2,737,696.0","2,908,067.0","3,138,175.0","3,123,213.0","2,971,863.0","3,047,952.0","3,270,267.0","3,668,950.0","4,007,851.0","4,208,779.0","4,117,547.0","3,699,533.0","3,936,516.0","4,132,154.0","4,312,254.0","4,827,640.0","4,995,418.0","5,224,252.0"
"20","2","Current tax receipts","W054RC1","228,430.0","229,213.0","240,305.0","273,830.0","299,293.0","328,111.0","334,276.0","383,986.0","431,314.0","485,007.0","538,158.0","586,224.0","664,084.0","660,129.0","694,612.0","763,030.0","824,397.0","869,379.0","966,261.0","1,019,935.0","1,110,794.0","1,163,294.0","1,182,172.0","1,241,964.0","1,319,995.0","1,428,155.0","1,521,201.0","1,646,637.0","1,785,671.0","1,916,749.0","2,040,382.0","2,207,119.0","2,168,190.0","2,006,171.0","2,054,083.0","2,216,525.0","2,555,788.0","2,817,868.0","2,963,752.0","2,849,605.0","2,439,224.0","2,658,388.0","2,922,103.0","3,077,208.0","3,304,767.0","3,491,890.0","3,696,679.0"
"21","3","  Personal current taxes","W055RC1","104,506.0","103,070.0","101,705.0","123,640.0","132,407.0","151,048.0","147,607.0","172,671.0","197,879.0","229,649.0","268,913.0","299,512.0","345,780.0","354,743.0","352,879.0","377,916.0","417,813.0","437,806.0","489,587.0","505,939.0","567,734.0","594,668.0","588,901.0","612,802.0","648,755.0","693,072.0","748,406.0","837,083.0","931,820.0","1,032,420.0","1,112,116.0","1,236,556.0","1,239,323.0","1,054,665.0","1,005,323.0","1,050,612.0","1,213,227.0","1,357,059.0","1,493,194.0","1,507,806.0","1,152,263.0","1,239,251.0","1,453,166.0","1,511,400.0","1,672,765.0","1,780,243.0","1,945,437.0"
"22","4","  Taxes on production and imports","W056RC1","83,856.0","91,413.0","100,493.0","107,928.0","117,220.0","124,902.0","135,292.0","146,388.0","159,664.0","170,898.0","180,101.0","200,330.0","235,644.0","240,933.0","263,281.0","289,773.0","308,133.0","323,373.0","347,545.0","374,464.0","398,867.0","424,990.0","457,091.0","483,376.0","503,125.0","545,248.0","557,903.0","580,754.0","611,615.0","639,473.0","673,585.0","708,556.0","727,690.0","762,602.0","808,004.0","863,941.0","934,530.0","991,945.0","1,034,562.0","1,041,917.0","1,026,146.0","1,057,110.0","1,102,626.0","1,132,054.0","1,177,995.0","1,213,737.0","1,235,974.0"
"23","5","  Taxes on corporate income","W025RC1","39,674.0","34,356.0","37,740.0","41,859.0","49,288.0","51,794.0","50,906.0","64,213.0","73,044.0","83,506.0","87,996.0","84,785.0","81,143.0","63,081.0","77,241.0","94,037.0","96,512.0","106,487.0","127,089.0","137,158.0","141,453.0","140,606.0","133,578.0","143,148.0","165,375.0","186,693.0","210,976.0","223,645.0","237,140.0","239,176.0","248,763.0","254,671.0","193,523.0","181,322.0","231,802.0","291,990.0","395,901.0","454,253.0","420,717.0","281,084.0","245,988.0","346,318.0","349,581.0","415,604.0","434,731.0","476,203.0","490,583.0"
"24","6","  Taxes from the rest of the world","W008RC1","394.0","374.0","367.0","403.0","378.0","367.0","471.0","714.0","727.0","954.0","1,148.0","1,597.0","1,517.0","1,372.0","1,211.0","1,304.0","1,939.0","1,713.0","2,040.0","2,374.0","2,740.0","3,030.0","2,602.0","2,638.0","2,740.0","3,142.0","3,916.0","5,155.0","5,096.0","5,680.0","5,918.0","7,336.0","7,654.0","7,582.0","8,954.0","9,983.0","12,130.0","14,611.0","15,279.0","18,799.0","14,827.0","15,709.0","16,731.0","18,150.0","19,276.0","21,707.0","24,685.0"
"25","7","Contributions for government social insurance","W782RC1","44,340.0","46,593.0","51,504.0","59,578.0","76,038.0","85,750.0","89,897.0","101,973.0","113,853.0","132,125.0","153,678.0","167,203.0","196,869.0","210,086.0","227,208.0","258,806.0","282,795.0","304,890.0","324,638.0","363,156.0","386,937.0","412,075.0","432,232.0","457,088.0","479,646.0","510,667.0","535,503.0","557,866.0","590,255.0","627,753.0","664,578.0","709,393.0","736,944.0","755,247.0","783,175.0","833,564.0","878,006.0","927,175.0","966,127.0","993,062.0","969,365.0","989,033.0","922,208.0","956,186.0","1,111,965.0","1,164,059.0","1,207,797.0"
"26","8","  From persons","A061RC1","44,127.0","46,359.0","51,176.0","59,204.0","75,496.0","85,181.0","89,310.0","101,334.0","113,094.0","131,260.0","152,749.0","166,188.0","195,701.0","208,894.0","225,953.0","257,470.0","281,370.0","303,438.0","323,113.0","361,482.0","385,231.0","410,108.0","430,182.0","454,951.0","477,425.0","508,180.0","532,800.0","555,078.0","587,241.0","624,651.0","661,285.0","705,840.0","733,196.0","751,497.0","779,256.0","829,178.0","873,345.0","922,591.0","961,398.0","988,237.0","964,407.0","984,108.0","917,798.0","951,575.0","1,106,809.0","1,158,959.0","1,202,544.0"
"27","9","  From the rest of the world \1\","W781RC1","213.0","234.0","328.0","374.0","542.0","569.0","587.0","639.0","759.0","865.0","929.0","1,015.0","1,168.0","1,192.0","1,255.0","1,336.0","1,425.0","1,452.0","1,525.0","1,674.0","1,706.0","1,967.0","2,050.0","2,137.0","2,221.0","2,487.0","2,703.0","2,788.0","3,014.0","3,102.0","3,293.0","3,553.0","3,748.0","3,750.0","3,919.0","4,386.0","4,661.0","4,584.0","4,729.0","4,825.0","4,958.0","4,925.0","4,410.0","4,611.0","5,156.0","5,100.0","5,254.0"
"28","10","Income receipts on assets","W058RC1","7,153.0","8,360.0","9,109.0","9,688.0","11,779.0","14,703.0","16,439.0","16,656.0","18,731.0","23,604.0","31,336.0","40,633.0","51,190.0","60,128.0","66,152.0","75,389.0","85,748.0","91,073.0","86,733.0","91,412.0","95,426.0","98,909.0","97,251.0","89,700.0","87,709.0","87,079.0","92,926.0","100,340.0","103,587.0","102,768.0","106,317.0","119,528.0","115,572.0","100,341.0","97,329.0","102,161.0","115,841.0","136,127.0","151,348.0","139,576.0","136,337.0","137,178.0","135,617.0","128,019.0","237,509.0","150,477.0","128,974.0"
"29","11","  Interest and miscellaneous receipts","W059RC1","7,153.0","8,360.0","9,109.0","9,688.0","11,752.0","14,671.0","16,401.0","16,613.0","18,685.0","23,539.0","31,253.0","40,536.0","51,064.0","59,974.0","65,976.0","75,225.0","85,592.0","90,923.0","86,571.0","91,236.0","95,249.0","98,671.0","96,908.0","89,235.0","87,123.0","86,323.0","91,963.0","98,987.0","102,062.0","101,138.0","104,820.0","118,173.0","114,150.0","98,790.0","95,609.0","100,145.0","113,625.0","133,793.0","148,954.0","136,401.0","115,448.0","117,845.0","114,188.0","103,576.0","102,525.0","105,927.0","108,565.0"
"30","12","    Interest receipts \2\","Y703RC1","6,060.0","7,141.0","7,698.0","8,191.0","9,964.0","12,538.0","14,098.0","14,199.0","16,148.0","20,696.0","27,264.0","34,375.0","43,321.0","51,415.0","57,372.0","65,371.0","75,676.0","81,413.0","78,168.0","83,981.0","88,155.0","91,023.0","88,616.0","81,018.0","78,828.0","78,236.0","84,469.0","90,248.0","92,758.0","92,285.0","95,665.0","105,631.0","99,293.0","85,730.0","80,960.0","83,015.0","94,185.0","113,486.0","126,310.0","110,545.0","97,197.0","98,645.0","92,520.0","81,063.0","80,845.0","82,173.0","86,049.0"
"31","13","    Rents and royalties","Y704RC1","1,093.0","1,219.0","1,411.0","1,497.0","1,788.0","2,133.0","2,303.0","2,414.0","2,537.0","2,843.0","3,989.0","6,161.0","7,743.0","8,559.0","8,604.0","9,854.0","9,916.0","9,510.0","8,403.0","7,255.0","7,094.0","7,648.0","8,292.0","8,217.0","8,295.0","8,087.0","7,494.0","8,739.0","9,304.0","8,853.0","9,155.0","12,542.0","14,857.0","13,060.0","14,649.0","17,130.0","19,440.0","20,307.0","22,644.0","25,856.0","18,251.0","19,200.0","21,668.0","22,513.0","21,680.0","23,754.0","22,516.0"
"32","14","  Dividends","W065RC1",".....",".....",".....",".....","27.0","32.0","38.0","43.0","46.0","65.0","83.0","97.0","126.0","154.0","176.0","164.0","156.0","150.0","162.0","176.0","177.0","238.0","343.0","465.0","586.0","756.0","963.0","1,353.0","1,525.0","1,630.0","1,497.0","1,355.0","1,422.0","1,551.0","1,720.0","2,016.0","2,216.0","2,334.0","2,394.0","3,175.0","20,889.0","19,333.0","21,429.0","24,443.0","134,984.0","44,550.0","20,409.0"
"33","15","Current transfer receipts","W060RC1","2,595.0","2,712.0","2,916.0","3,453.0","3,635.0","4,118.0","4,685.0","5,460.0","6,457.0","7,767.0","8,855.0","10,319.0","11,689.0","13,996.0","16,015.0","18,599.0","22,225.0","24,972.0","26,260.0","27,005.0","31,588.0","35,338.0","43,824.0","49,548.0","54,208.0","58,795.0","57,505.0","65,657.0","68,030.0","74,163.0","80,620.0","91,409.0","97,344.0","103,110.0","109,477.0","119,815.0","125,712.0","135,994.0","143,994.0","156,510.0","175,237.0","174,804.0","176,737.0","170,130.0","192,185.0","207,252.0","207,327.0"
"34","16","  From business (net)","W061RC1","1,467.0","1,431.0","1,461.0","1,667.0","1,800.0","2,050.0","2,192.0","2,442.0","2,991.0","3,911.0","4,527.0","5,367.0","5,738.0","6,930.0","7,885.0","9,431.0","11,800.0","13,013.0","13,066.0","12,159.0","15,095.0","16,986.0","21,253.0","23,553.0","25,639.0","27,903.0","24,857.0","30,726.0","29,831.0","34,300.0","36,451.0","41,919.0","43,882.0","46,228.0","48,306.0","52,369.0","53,397.0","58,289.0","61,982.0","70,569.0","88,455.0","87,193.0","89,230.0","72,550.0","91,920.0","94,798.0","102,620.0"
"35","17","  From persons","W062RC1","1,128.0","1,281.0","1,455.0","1,786.0","1,835.0","2,068.0","2,493.0","3,018.0","3,466.0","3,856.0","4,328.0","4,952.0","5,951.0","7,066.0","8,130.0","9,168.0","10,425.0","11,959.0","13,194.0","14,846.0","16,493.0","18,352.0","22,571.0","25,995.0","28,569.0","30,892.0","32,648.0","34,931.0","38,199.0","39,863.0","44,062.0","48,750.0","52,921.0","56,380.0","60,509.0","66,899.0","71,625.0","76,634.0","80,955.0","82,752.0","83,540.0","83,858.0","85,461.0","91,077.0","92,629.0","95,294.0","97,656.0"
"36","18","  From the rest of the world \3\","LA0000141",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","107.0","740.0","541.0","502.0","662.0","547.0","690.0","1,070.0","1,057.0","3,189.0","3,242.0","3,753.0","2,046.0","6,503.0","7,636.0","17,160.0","7,051.0"
