"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","    Gross domestic product","A191RX1","1,056,555.0","966,654.0","904,836.0","788,205.0","778,281.0","862,206.0","939,014.0","1,060,497.0","1,114,566.0","1,077,658.0","1,163,620.0","1,266,115.0","1,490,250.0","1,771,770.0","2,073,742.0","2,239,390.0","2,217,790.0","1,960,925.0","1,939,443.0","2,019,967.0","2,008,940.0","2,183,987.0","2,359,993.0","2,456,103.0","2,571,384.0","2,556,850.0","2,739,027.0","2,797,432.0","2,856,269.0","2,835,335.0","3,030,971.0","3,108,707.0","3,188,123.0","3,383,085.0","3,530,412.0","3,734,043.0","3,976,660.0","4,238,931.0","4,355,242.0","4,569,047.0","4,712,483.0"
"20","2","       Final sales of domestic product","A190RX1","1,067,510.0","995,442.0","937,714.0","832,292.0","807,417.0","883,690.0","939,031.0","1,062,094.0","1,106,311.0","1,091,648.0","1,171,369.0","1,251,645.0","1,460,768.0","1,771,123.0","2,100,598.0","2,268,860.0","2,253,731.0","1,932,668.0","1,967,730.0","2,001,158.0","2,046,868.0","2,167,094.0","2,328,526.0","2,457,451.0","2,580,541.0","2,588,918.0","2,733,949.0","2,800,521.0","2,874,668.0","2,858,560.0","3,031,905.0","3,114,104.0","3,195,718.0","3,374,428.0","3,525,346.0","3,734,813.0","3,955,174.0","4,196,906.0","4,334,063.0","4,553,371.0","4,697,682.0"
"21","3","       Change in private inventories","A014RX1","11,353.0","-5,022.0","-11,655.0","-26,247.0","-13,444.0","-6,433.0","8,339.0","8,548.0","14,284.0","-3,360.0","1,711.0","17,758.0","29,072.0","11,327.0","-3,978.0","-4,725.0","-8,869.0","28,008.0","-3,924.0","21,290.0","-11,233.0","21,234.0","29,461.0","11,851.0","7,387.0","-7,078.0","17,571.0","13,127.0","3,226.0","-819.0","15,340.0","13,033.0","11,693.0","24,110.0","22,308.0","19,011.0","36,239.0","51,924.0","37,321.0","33,908.0","33,346.0"
"22","4","       Residual","A958RX1","-22,300.0","-23,700.0","-21,200.0","-17,900.0","-15,700.0","-15,100.0","-8,300.0","-10,100.0","-6,000.0","-10,500.0","-9,500.0","-3,300.0","400.0","-10,600.0","-22,900.0","-24,800.0","-27,000.0","200.0","-24,400.0","-2,500.0","-26,800.0","-4,300.0","2,000.0","-13,300.0","-16,500.0","-24,900.0","-12,500.0","-16,200.0","-21,600.0","-22,500.0","-16,200.0","-18,400.0","-19,300.0","-15,400.0","-17,200.0","-19,800.0","-14,700.0","-9,900.0","-16,200.0","-18,300.0","-18,500.0"
"23","5","Goods","A353RX1","227,408.0","197,963.0","181,608.0","149,045.0","153,909.0","176,259.0","201,207.0","231,624.0","248,083.0","230,549.0","250,597.0","283,167.0","331,940.0","349,710.0","402,284.0","427,463.0","418,717.0","448,611.0","453,009.0","471,824.0","453,487.0","501,255.0","530,412.0","532,054.0","557,996.0","547,272.0","611,061.0","624,988.0","634,762.0","608,192.0","659,673.0","682,963.0","692,529.0","739,162.0","772,485.0","824,038.0","892,898.0","972,252.0","979,297.0","1,019,590.0","1,053,087.0"
"24","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"25","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"26","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"27","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"28","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"32","14","Services \2\","A341RX1","638,554.0","633,453.0","625,428.0","595,422.0","583,281.0","621,951.0","640,130.0","681,867.0","704,031.0","711,403.0","749,176.0","785,784.0","911,425.0","1,274,049.0","1,694,109.0","1,923,854.0","1,917,723.0","1,297,723.0","1,215,520.0","1,227,981.0","1,271,220.0","1,304,277.0","1,495,701.0","1,633,097.0","1,702,381.0","1,685,311.0","1,718,311.0","1,764,914.0","1,828,664.0","1,870,204.0","1,948,744.0","1,997,924.0","2,070,820.0","2,186,843.0","2,265,528.0","2,370,496.0","2,490,616.0","2,639,792.0","2,791,165.0","2,940,489.0","3,041,000.0"
"33","15","Structures","A755RX1","276,413.0","235,142.0","190,842.0","133,175.0","104,519.0","122,155.0","138,677.0","191,329.0","196,103.0","191,549.0","224,175.0","236,369.0","300,927.0","323,864.0","185,725.0","127,784.0","132,291.0","260,177.0","296,257.0","346,709.0","350,245.0","430,715.0","417,886.0","427,199.0","451,326.0","480,955.0","524,870.0","522,972.0","517,456.0","526,577.0","586,048.0","581,031.0","597,432.0","631,870.0","674,751.0","720,684.0","757,325.0","759,209.0","749,533.0","796,126.0","807,022.0"
"34","16","Residual","A959RX1","-85,800.0","-99,900.0","-93,000.0","-89,400.0","-63,400.0","-58,300.0","-41,000.0","-44,300.0","-33,600.0","-55,700.0","-60,400.0","-39,300.0","-53,900.0","-175,800.0","-208,400.0","-239,800.0","-250,900.0","-45,600.0","-25,400.0","-26,500.0","-66,000.0","-52,300.0","-84,000.0","-136,300.0","-140,300.0","-156,700.0","-115,300.0","-115,500.0","-124,700.0","-169,700.0","-163,400.0","-153,200.0","-172,600.0","-174,800.0","-182,400.0","-181,200.0","-164,100.0","-132,400.0","-164,800.0","-187,200.0","-188,600.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","17","  Motor vehicle output","A953RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","18","  Gross domestic product excluding motor vehicle output","A962RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"38","19","  Final sales of computers \3\","BB01RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"39","20","  Gross domestic product excluding final sales of computers","BB00RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"40","21","  Research and development","Y694RX1","2,620.0","3,072.0","3,710.0","4,001.0","3,986.0","4,109.0","4,354.0","4,517.0","4,543.0","5,110.0","5,066.0","5,790.0","9,817.0","10,762.0","11,655.0","14,933.0","14,952.0","15,949.0","15,859.0","16,973.0","16,780.0","18,569.0","19,374.0","23,375.0","27,555.0","30,300.0","33,330.0","43,133.0","48,097.0","51,190.0","55,017.0","60,575.0","66,355.0","73,177.0","83,641.0","90,895.0","98,704.0","109,350.0","116,258.0","121,452.0","123,664.0"
"41","22","  Gross domestic product excluding research and development","Y695RX1","1,058,430.0","967,714.0","905,004.0","787,575.0","777,624.0","861,774.0","938,659.0","1,060,481.0","1,114,749.0","1,077,137.0","1,163,499.0","1,265,688.0","1,486,540.0","1,768,345.0","2,070,852.0","2,233,188.0","2,211,426.0","1,951,873.0","1,930,388.0","2,009,991.0","1,999,138.0","2,172,938.0","2,348,899.0","2,440,609.0","2,551,385.0","2,533,435.0","2,712,889.0","2,759,643.0","2,812,758.0","2,787,991.0","2,980,005.0","3,051,440.0","3,124,325.0","3,312,105.0","3,447,799.0","3,643,840.0","3,878,416.0","4,129,573.0","4,238,606.0","4,447,235.0","4,588,542.0"
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","1. Prior to 1959, inventories held by construction establishments are included in nondurable goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Beginning with 1959, these inventories are included in durable goods. Estimates for durable goods and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","nondurable goods for 1996 and earlier periods are based on the 1987 Standard Industrial Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","(SIC); later estimates for these industries are based on the North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. Includes government consumption expenditures, which are for services (such as education and national",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","defense) produced by government. In current dollars, these services are valued at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Note. Chained (2009) dollar series are calculated as the product of the chain-type quantity index and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","the 2009 current-dollar value of the corresponding series, divided by 100. Because the formula for the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","are usually not additive. The residual line following change in private inventories is the difference",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","between gross domestic product and the sum of final sales of domestic product and of change in private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","inventories; the residual line following structures is the difference between gross domestic product",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","and the sum of the detailed lines of goods, of services, and of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
