"","Table 2#6# Personal Income and Its Disposition, Monthly","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","Personal income","A065RC1","392,128.0","394,138.0","396,906.0","400,135.0","402,745.0","405,196.0","405,742.0","404,063.0","405,281.0","406,981.0","410,292.0","414,720.0","416,290.0","417,007.0","418,010.0","420,967.0","422,479.0","422,929.0","424,144.0","424,585.0","425,491.0","427,220.0","426,676.0","424,602.0","428,775.0","430,854.0","432,316.0","433,139.0","436,552.0","441,013.0","443,252.0","443,768.0","444,883.0","449,143.0","453,299.0","456,000.0","456,285.0","459,612.0","463,289.0","466,053.0","466,867.0","468,178.0","469,966.0","471,292.0","473,791.0","475,572.0","478,079.0","480,053.0","484,150.0","482,008.0","483,661.0","485,140.0","487,771.0","491,407.0","492,545.0","495,046.0","498,171.0","502,086.0","503,711.0","508,366.0","511,552.0","514,314.0","517,047.0","520,649.0","523,895.0","526,633.0","529,579.0","533,697.0","536,695.0","537,367.0","541,344.0","547,499.0","551,769.0","552,222.0","555,439.0","558,908.0","563,069.0","566,237.0","570,405.0","572,920.0","587,883.0","585,011.0","590,521.0","595,764.0","598,335.0","603,410.0","607,660.0","609,699.0","612,434.0","617,018.0","620,819.0","626,228.0","631,724.0","636,341.0","641,090.0","642,089.0","648,313.0","649,655.0","653,976.0","654,504.0","656,936.0","661,618.0","667,457.0","672,442.0","674,793.0","676,506.0","682,835.0","689,921.0","694,531.0","702,575.0","710,819.0","716,655.0","722,862.0","728,299.0","735,036.0","741,148.0","746,827.0","751,418.0","757,129.0","761,559.0","765,448.0","770,766.0","777,750.0","784,063.0","790,369.0","796,848.0","805,189.0","812,752.0","818,024.0","822,920.0","826,839.0","832,132.0"
"21","2","  Compensation of employees","A033RC1","278,404.0","279,849.0","282,419.0","284,801.0","287,133.0","288,876.0","288,668.0","286,702.0","286,843.0","287,777.0","290,040.0","294,194.0","298,611.0","299,303.0","299,915.0","301,701.0","302,604.0","302,534.0","303,161.0","303,037.0","303,267.0","304,398.0","303,096.0","300,585.0","303,314.0","303,415.0","304,490.0","305,825.0","307,607.0","310,449.0","311,814.0","313,305.0","313,894.0","316,840.0","320,220.0","321,891.0","323,380.0","326,119.0","329,090.0","331,427.0","331,898.0","333,095.0","334,004.0","334,379.0","336,449.0","336,474.0","338,748.0","339,881.0","341,783.0","343,352.0","345,068.0","345,972.0","347,916.0","351,062.0","351,406.0","353,299.0","355,548.0","357,962.0","358,925.0","361,842.0","362,506.0","366,851.0","368,634.0","371,167.0","373,578.0","375,646.0","377,747.0","381,459.0","383,376.0","383,441.0","386,612.0","390,841.0","391,694.0","393,880.0","395,915.0","397,924.0","401,448.0","403,168.0","406,204.0","408,999.0","412,672.0","417,704.0","421,441.0","425,098.0","430,379.0","434,329.0","437,551.0","441,850.0","444,940.0","449,459.0","453,820.0","457,005.0","459,340.0","462,951.0","465,132.0","466,667.0","470,385.0","470,430.0","472,546.0","474,635.0","475,875.0","479,827.0","483,291.0","486,964.0","489,076.0","490,625.0","496,463.0","505,203.0","506,361.0","513,173.0","516,915.0","520,453.0","525,622.0","529,870.0","534,939.0","538,982.0","543,663.0","547,380.0","552,195.0","555,653.0","560,228.0","563,357.0","569,095.0","573,578.0","578,168.0","582,964.0","590,016.0","595,528.0","599,555.0","603,593.0","606,574.0","609,529.0"
"22","3","    Wages and salaries","A034RC1","252,231.0","253,665.0","256,137.0","258,498.0","260,805.0","262,366.0","262,115.0","260,260.0","260,322.0","261,190.0","263,323.0","267,193.0","270,227.0","270,771.0","271,249.0","272,933.0","273,750.0","273,511.0","274,044.0","273,868.0","273,980.0","275,043.0","273,725.0","271,157.0","273,466.0","273,447.0","274,453.0","275,619.0","277,299.0","279,981.0","281,189.0","282,545.0","283,022.0","285,786.0","288,965.0","290,457.0","290,653.0","293,226.0","295,950.0","298,159.0","298,520.0","299,562.0","300,377.0","300,626.0","302,522.0","302,481.0","304,636.0","305,584.0","306,495.0","307,934.0","309,457.0","310,207.0","311,992.0","314,869.0","315,044.0","316,754.0","318,738.0","320,888.0","321,628.0","324,204.0","325,066.0","329,013.0","330,586.0","332,803.0","334,908.0","336,788.0","338,614.0","341,980.0","343,632.0","343,533.0","346,335.0","350,193.0","351,004.0","352,859.0","354,579.0","356,306.0","359,449.0","360,876.0","363,524.0","365,926.0","369,195.0","373,819.0","377,181.0","380,364.0","382,485.0","385,999.0","388,805.0","392,700.0","395,463.0","399,546.0","403,510.0","406,415.0","408,471.0","411,774.0","413,663.0","415,018.0","418,304.0","418,186.0","420,033.0","421,812.0","422,716.0","426,285.0","429,297.0","432,517.0","434,213.0","435,388.0","440,601.0","448,760.0","449,033.0","455,178.0","458,419.0","461,600.0","466,192.0","469,977.0","474,567.0","478,121.0","482,301.0","485,626.0","489,847.0","492,795.0","495,599.0","498,220.0","503,385.0","507,272.0","511,310.0","515,564.0","521,931.0","526,928.0","530,434.0","533,954.0","536,432.0","538,968.0"
"23","4","      Private industries","A132RC1","206,835.0","208,185.0","210,645.0","212,850.0","214,953.0","216,334.0","216,023.0","213,976.0","213,990.0","214,714.0","216,595.0","220,357.0","222,779.0","223,107.0","223,225.0","224,561.0","225,042.0","224,683.0","224,640.0","223,912.0","223,724.0","224,631.0","223,205.0","220,565.0","222,610.0","222,303.0","223,141.0","223,995.0","225,627.0","227,877.0","228,821.0","229,841.0","229,718.0","232,146.0","234,665.0","235,833.0","235,753.0","237,822.0","240,354.0","242,431.0","242,708.0","243,174.0","244,001.0","244,166.0","245,894.0","245,433.0","246,868.0","247,528.0","248,163.0","249,290.0","250,573.0","251,107.0","252,784.0","255,037.0","255,284.0","256,502.0","258,210.0","259,280.0","259,720.0","261,948.0","262,258.0","265,857.0","267,178.0","269,131.0","270,768.0","272,120.0","273,818.0","276,080.0","277,348.0","276,893.0","279,695.0","283,205.0","283,780.0","285,395.0","286,911.0","288,086.0","290,941.0","291,960.0","293,852.0","295,666.0","297,663.0","301,483.0","303,981.0","306,444.0","307,953.0","311,035.0","313,517.0","316,596.0","318,615.0","321,870.0","324,382.0","326,567.0","328,047.0","330,474.0","331,691.0","332,434.0","335,240.0","334,762.0","336,165.0","337,356.0","337,792.0","340,677.0","342,837.0","345,445.0","346,541.0","347,104.0","351,657.0","354,740.0","357,197.0","362,406.0","364,747.0","367,148.0","370,996.0","374,013.0","376,383.0","379,301.0","383,085.0","386,026.0","389,815.0","392,271.0","394,739.0","396,928.0","401,685.0","404,816.0","408,206.0","411,788.0","414,819.0","418,592.0","421,390.0","424,526.0","426,620.0","428,688.0"
"24","5","      Government","B202RC1","45,396.0","45,480.0","45,492.0","45,648.0","45,852.0","46,032.0","46,092.0","46,284.0","46,332.0","46,476.0","46,728.0","46,836.0","47,448.0","47,664.0","48,024.0","48,372.0","48,708.0","48,828.0","49,404.0","49,956.0","50,256.0","50,412.0","50,520.0","50,592.0","50,856.0","51,144.0","51,312.0","51,624.0","51,672.0","52,104.0","52,368.0","52,704.0","53,304.0","53,640.0","54,300.0","54,624.0","54,900.0","55,404.0","55,596.0","55,728.0","55,812.0","56,388.0","56,376.0","56,460.0","56,628.0","57,048.0","57,768.0","58,056.0","58,332.0","58,644.0","58,884.0","59,100.0","59,208.0","59,832.0","59,760.0","60,252.0","60,528.0","61,608.0","61,908.0","62,256.0","62,808.0","63,156.0","63,408.0","63,672.0","64,140.0","64,668.0","64,796.0","65,900.0","66,284.0","66,640.0","66,640.0","66,988.0","67,224.0","67,464.0","67,668.0","68,220.0","68,508.0","68,916.0","69,672.0","70,260.0","71,532.0","72,336.0","73,200.0","73,920.0","74,532.0","74,964.0","75,288.0","76,104.0","76,848.0","77,676.0","79,128.0","79,848.0","80,424.0","81,300.0","81,972.0","82,584.0","83,064.0","83,424.0","83,868.0","84,456.0","84,924.0","85,608.0","86,460.0","87,072.0","87,672.0","88,284.0","88,944.0","94,020.0","91,836.0","92,772.0","93,672.0","94,452.0","95,196.0","95,964.0","98,184.0","98,820.0","99,216.0","99,600.0","100,032.0","100,524.0","100,860.0","101,292.0","101,700.0","102,456.0","103,104.0","103,776.0","107,112.0","108,336.0","109,044.0","109,428.0","109,812.0","110,280.0"
"25","6","    Supplements to wages and salaries","A038RC1","26,173.0","26,184.0","26,282.0","26,304.0","26,329.0","26,510.0","26,553.0","26,442.0","26,521.0","26,587.0","26,717.0","27,001.0","28,384.0","28,532.0","28,666.0","28,767.0","28,854.0","29,023.0","29,117.0","29,170.0","29,286.0","29,355.0","29,372.0","29,429.0","29,848.0","29,967.0","30,037.0","30,206.0","30,308.0","30,468.0","30,625.0","30,761.0","30,872.0","31,053.0","31,255.0","31,433.0","32,728.0","32,893.0","33,141.0","33,268.0","33,378.0","33,534.0","33,626.0","33,754.0","33,927.0","33,993.0","34,112.0","34,296.0","35,288.0","35,419.0","35,611.0","35,765.0","35,924.0","36,193.0","36,362.0","36,545.0","36,811.0","37,074.0","37,298.0","37,637.0","37,439.0","37,837.0","38,048.0","38,364.0","38,670.0","38,858.0","39,133.0","39,478.0","39,743.0","39,908.0","40,277.0","40,649.0","40,689.0","41,022.0","41,336.0","41,618.0","41,999.0","42,293.0","42,680.0","43,073.0","43,478.0","43,886.0","44,260.0","44,734.0","47,894.0","48,329.0","48,746.0","49,150.0","49,477.0","49,914.0","50,310.0","50,590.0","50,869.0","51,177.0","51,469.0","51,649.0","52,081.0","52,244.0","52,513.0","52,823.0","53,160.0","53,542.0","53,994.0","54,447.0","54,863.0","55,237.0","55,862.0","56,443.0","57,328.0","57,995.0","58,496.0","58,853.0","59,430.0","59,893.0","60,372.0","60,861.0","61,362.0","61,753.0","62,348.0","62,858.0","64,629.0","65,137.0","65,709.0","66,306.0","66,858.0","67,400.0","68,085.0","68,600.0","69,121.0","69,639.0","70,142.0","70,562.0"
