"","Table 6#1D# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","      National income without capital consumption adjustment","A422RC1","9,061,580.0","9,085,526.0","9,019,231.0","9,005,363.0","9,093,646.0","9,172,570.0","9,217,160.0","9,341,241.0","9,441,330.0","9,556,789.0","9,700,179.0","9,902,917.0","10,107,650.0","10,281,058.0","10,486,502.0","10,620,568.0","11,082,388.0","11,228,509.0","11,444,882.0","11,659,884.0","11,954,012.0","12,059,338.0","12,177,455.0","12,316,632.0","12,353,800.0","12,468,735.0","12,517,619.0","12,659,797.0","12,523,394.0","12,504,640.0","12,569,403.0","12,179,382.0","12,114,308.0","12,079,305.0","12,144,096.0","12,354,369.0","12,706,551.0","12,868,030.0","12,964,380.0","12,904,355.0","....."
"21","2","Domestic industries","A423RC1","9,020,444.0","9,035,926.0","8,992,256.0","8,915,438.0","9,042,628.0","9,139,791.0","9,169,757.0","9,276,003.0","9,389,508.0","9,491,237.0","9,634,606.0","9,811,101.0","9,997,053.0","10,195,240.0","10,389,706.0","10,548,942.0","10,975,564.0","11,132,282.0","11,337,769.0","11,581,455.0","11,873,503.0","11,983,821.0","12,115,525.0","12,244,927.0","12,283,534.0","12,389,264.0","12,372,867.0","12,461,201.0","12,331,031.0","12,329,140.0","12,365,094.0","12,053,365.0","11,991,766.0","11,949,585.0","11,976,861.0","12,188,834.0","12,515,358.0","12,672,690.0","12,775,905.0","12,726,359.0","....."
"22","3","  Private industries","A736RC1","7,973,683.0","7,974,961.0","7,908,403.0","7,823,960.0","7,922,825.0","8,007,797.0","8,020,515.0","8,108,912.0","8,189,885.0","8,276,305.0","8,411,404.0","8,579,819.0","8,738,436.0","8,923,955.0","9,109,397.0","9,256,010.0","9,653,702.0","9,802,966.0","9,997,191.0","10,231,864.0","10,496,993.0","10,593,918.0","10,709,201.0","10,823,572.0","10,834,230.0","10,928,589.0","10,897,637.0","10,972,072.0","10,813,507.0","10,795,266.0","10,813,058.0","10,485,633.0","10,410,667.0","10,350,133.0","10,375,115.0","10,582,227.0","10,891,854.0","11,039,608.0","11,149,411.0","11,096,721.0","....."
"23","4","    Agriculture, forestry, fishing, and hunting","N5004C1","73,683.0","71,451.0","72,755.0","72,495.0","63,485.0","61,424.0","70,477.0","74,904.0","75,897.0","83,134.0","85,026.0","89,274.0","108,548.0","107,990.0","98,715.0","101,227.0","92,775.0","92,725.0","93,161.0","92,465.0","86,567.0","88,938.0","92,662.0","99,560.0","106,919.0","106,256.0","108,030.0","118,728.0","129,111.0","119,944.0","117,943.0","107,163.0","99,589.0","97,280.0","96,454.0","106,127.0","106,737.0","110,405.0","122,631.0","129,121.0","....."
"24","5","    Mining","N5005C1","109,921.0","107,240.0","98,066.0","82,114.0","75,688.0","78,762.0","81,405.0","88,974.0","100,095.0","100,852.0","105,334.0","106,790.0","118,832.0","123,281.0","123,762.0","134,070.0","145,680.0","152,496.0","162,674.0","191,601.0","200,226.0","193,221.0","201,426.0","200,524.0","188,050.0","206,445.0","207,954.0","215,451.0","230,095.0","254,312.0","278,085.0","251,904.0","217,250.0","183,820.0","182,731.0","200,462.0","239,974.0","229,537.0","232,975.0","216,846.0","....."
"25","6","    Utilities","N5006C1","136,323.0","137,395.0","146,258.0","140,067.0","129,041.0","134,181.0","136,032.0","138,532.0","136,454.0","134,364.0","137,485.0","138,897.0","144,379.0","148,379.0","149,268.0","154,520.0","158,269.0","160,044.0","154,719.0","172,021.0","185,027.0","194,353.0","203,506.0","202,960.0","199,129.0","197,637.0","206,664.0","189,991.0","167,096.0","134,311.0","219,480.0","204,782.0","194,538.0","187,671.0","174,788.0","180,344.0","197,477.0","189,777.0","192,434.0","177,888.0","....."
"26","7","    Construction","N5007C1","511,780.0","511,838.0","510,640.0","502,984.0","510,063.0","510,944.0","514,262.0","521,720.0","529,659.0","526,672.0","534,331.0","548,407.0","551,619.0","570,884.0","596,707.0","614,055.0","626,743.0","650,318.0","667,390.0","683,649.0","717,193.0","707,330.0","696,813.0","685,890.0","692,363.0","689,979.0","680,878.0","680,133.0","657,374.0","642,877.0","616,794.0","587,291.0","543,092.0","514,995.0","511,127.0","505,381.0","503,404.0","511,881.0","506,661.0","502,825.0","....."
"27","8","    Manufacturing","N5008C1","1,127,609.0","1,113,924.0","1,060,079.0","986,898.0","1,023,932.0","1,042,313.0","1,038,582.0","1,047,530.0","1,060,773.0","1,049,482.0","1,065,976.0","1,121,451.0","1,123,302.0","1,159,554.0","1,193,487.0","1,210,213.0","1,282,468.0","1,286,415.0","1,315,318.0","1,334,966.0","1,385,434.0","1,392,801.0","1,428,099.0","1,397,164.0","1,416,128.0","1,435,337.0","1,367,221.0","1,417,739.0","1,349,427.0","1,316,643.0","1,361,247.0","1,294,943.0","1,227,914.0","1,201,363.0","1,199,315.0","1,232,487.0","1,314,021.0","1,360,902.0","1,363,395.0","1,336,378.0","....."
"28","9","      Durable goods","N5009C1","665,568.0","637,384.0","584,193.0","537,010.0","577,757.0","599,986.0","601,846.0","603,713.0","610,422.0","605,260.0","602,533.0","637,188.0","634,264.0","654,841.0","672,212.0","677,108.0","723,276.0","736,791.0","753,160.0","762,779.0","795,273.0","763,353.0","801,547.0","805,205.0","804,825.0","796,853.0","786,404.0","815,654.0","786,252.0","746,898.0","770,238.0","717,621.0","683,341.0","678,619.0","680,291.0","717,285.0","774,198.0","799,104.0","819,079.0","812,890.0","....."
"29","10","      Nondurable goods","N5010C1","462,042.0","476,540.0","475,885.0","449,888.0","446,175.0","442,328.0","436,738.0","443,817.0","450,351.0","444,222.0","463,442.0","484,263.0","489,037.0","504,713.0","521,275.0","533,105.0","559,192.0","549,626.0","562,161.0","572,185.0","590,162.0","629,448.0","626,553.0","591,961.0","611,305.0","638,484.0","580,815.0","602,085.0","563,175.0","569,743.0","591,009.0","577,323.0","544,574.0","522,744.0","519,023.0","515,202.0","539,823.0","561,799.0","544,318.0","523,489.0","....."
"30","11","    Wholesale trade","N5011C1","561,258.0","556,992.0","560,635.0","575,466.0","565,664.0","566,412.0","555,584.0","560,050.0","564,214.0","575,348.0","591,003.0","598,829.0","614,441.0","633,339.0","649,537.0","639,944.0","671,900.0","695,872.0","686,337.0","699,348.0","730,590.0","734,440.0","747,118.0","752,672.0","765,614.0","777,021.0","774,509.0","759,429.0","736,796.0","745,685.0","761,239.0","782,795.0","734,751.0","697,640.0","695,389.0","696,465.0","724,442.0","749,251.0","738,942.0","700,280.0","....."
"31","12","    Retail trade","N5012C1","695,250.0","695,412.0","699,096.0","708,759.0","714,645.0","718,588.0","725,145.0","734,505.0","748,818.0","760,531.0","762,483.0","767,333.0","783,675.0","785,999.0","790,078.0","797,116.0","822,274.0","862,216.0","861,830.0","892,157.0","896,267.0","890,815.0","907,986.0","920,235.0","906,869.0","915,711.0","895,507.0","890,458.0","844,631.0","840,981.0","832,214.0","818,239.0","815,309.0","813,522.0","804,925.0","815,545.0","854,793.0","860,973.0","862,548.0","866,599.0","....."
"32","13","    Transportation and warehousing","N5013C1","273,169.0","275,922.0","254,458.0","262,333.0","260,072.0","259,530.0","262,505.0","268,493.0","272,915.0","268,427.0","278,547.0","283,796.0","291,818.0","305,026.0","303,850.0","304,587.0","323,854.0","330,111.0","335,134.0","342,542.0","356,648.0","362,147.0","360,428.0","363,767.0","357,106.0","365,159.0","361,262.0","360,358.0","361,926.0","367,155.0","365,075.0","363,329.0","345,529.0","334,642.0","331,969.0","339,489.0","353,845.0","371,481.0","378,686.0","363,941.0","....."
"33","14","    Information","N5014C1","306,255.0","312,868.0","293,285.0","275,245.0","298,185.0","301,307.0","297,108.0","302,315.0","262,293.0","300,836.0","339,519.0","336,548.0","331,968.0","353,067.0","372,717.0","372,651.0","396,534.0","413,707.0","410,459.0","411,565.0","414,013.0","430,972.0","432,864.0","420,102.0","437,697.0","447,080.0","451,984.0","475,732.0","466,734.0","483,977.0","454,871.0","365,502.0","400,355.0","418,270.0","424,384.0","449,173.0","466,653.0","457,454.0","473,589.0","460,444.0","....."
"34","15","    Finance, insurance, real estate, rental, and leasing","N5015C1","1,675,465.0","1,652,520.0","1,648,890.0","1,644,452.0","1,651,585.0","1,660,431.0","1,629,012.0","1,633,422.0","1,638,766.0","1,665,337.0","1,693,748.0","1,730,692.0","1,748,525.0","1,764,509.0","1,787,999.0","1,839,603.0","1,959,018.0","1,937,988.0","2,015,886.0","2,081,050.0","2,098,783.0","2,139,156.0","2,124,935.0","2,200,459.0","2,164,569.0","2,157,413.0","2,175,928.0","2,143,153.0","2,104,555.0","2,106,892.0","2,022,738.0","2,013,054.0","2,100,092.0","2,176,237.0","2,235,937.0","2,290,412.0","2,313,177.0","2,322,572.0","2,358,583.0","2,383,365.0","....."
"35","16","    Professional and business services \1\","N5016C1","1,150,598.0","1,171,462.0","1,182,108.0","1,180,974.0","1,193,486.0","1,208,819.0","1,221,053.0","1,226,556.0","1,278,117.0","1,274,707.0","1,262,972.0","1,275,478.0","1,299,356.0","1,323,561.0","1,367,444.0","1,406,530.0","1,450,614.0","1,458,604.0","1,516,576.0","1,535,444.0","1,591,535.0","1,599,156.0","1,635,316.0","1,666,738.0","1,661,150.0","1,675,014.0","1,691,748.0","1,711,558.0","1,766,981.0","1,768,443.0","1,755,649.0","1,657,140.0","1,706,099.0","1,679,055.0","1,659,321.0","1,694,324.0","1,719,543.0","1,745,112.0","1,760,736.0","1,782,514.0","....."
"36","17","    Educational services, health care, and social assistance","N5017C1","737,656.0","746,448.0","756,976.0","770,763.0","793,323.0","810,775.0","826,011.0","839,393.0","856,488.0","866,580.0","877,565.0","893,225.0","913,521.0","931,058.0","950,141.0","955,954.0","970,235.0","990,706.0","1,002,973.0","1,010,161.0","1,036,262.0","1,053,917.0","1,064,644.0","1,082,621.0","1,094,660.0","1,103,853.0","1,120,847.0","1,139,815.0","1,154,374.0","1,174,253.0","1,194,272.0","1,216,771.0","1,221,713.0","1,239,850.0","1,251,370.0","1,266,592.0","1,277,442.0","1,300,247.0","1,314,417.0","1,330,998.0","....."
"37","18","    Arts, entertainment, recreation, accommodation, and food services","N5018C1","343,532.0","350,154.0","353,171.0","350,139.0","354,994.0","361,009.0","364,647.0","370,506.0","369,772.0","372,638.0","378,689.0","386,980.0","399,634.0","406,385.0","410,708.0","407,725.0","420,396.0","434,529.0","437,976.0","446,465.0","453,392.0","456,541.0","460,726.0","471,909.0","482,592.0","487,437.0","490,936.0","500,045.0","482,366.0","480,622.0","475,012.0","463,062.0","453,933.0","451,897.0","454,063.0","451,969.0","464,223.0","470,880.0","479,275.0","474,964.0","....."
"38","19","    Other services, except government","N5019C1","271,181.0","271,330.0","271,979.0","271,264.0","288,653.0","293,291.0","298,680.0","302,006.0","295,624.0","297,409.0","298,726.0","302,116.0","308,816.0","310,919.0","314,992.0","317,814.0","332,931.0","337,230.0","336,760.0","338,434.0","345,060.0","350,134.0","352,682.0","358,980.0","361,385.0","364,240.0","364,165.0","369,471.0","362,039.0","359,163.0","358,434.0","359,644.0","350,492.0","353,883.0","353,343.0","353,463.0","356,120.0","359,135.0","364,572.0","370,551.0","....."
"39","20","  Government","B436RC1","1,046,761.0","1,060,965.0","1,083,853.0","1,091,478.0","1,119,803.0","1,131,994.0","1,149,242.0","1,167,091.0","1,199,623.0","1,214,932.0","1,223,202.0","1,231,282.0","1,258,617.0","1,271,285.0","1,280,309.0","1,292,932.0","1,321,862.0","1,329,316.0","1,340,578.0","1,349,591.0","1,376,510.0","1,389,903.0","1,406,324.0","1,421,355.0","1,449,304.0","1,460,675.0","1,475,230.0","1,489,129.0","1,517,524.0","1,533,874.0","1,552,036.0","1,567,732.0","1,581,099.0","1,599,452.0","1,601,746.0","1,606,607.0","1,623,504.0","1,633,082.0","1,626,494.0","1,629,638.0","....."
"40","21","Rest of the world","A192RC1","41,136.0","49,600.0","26,975.0","89,925.0","51,018.0","32,779.0","47,403.0","65,238.0","51,822.0","65,552.0","65,573.0","91,816.0","110,597.0","85,818.0","96,796.0","71,626.0","106,824.0","96,227.0","107,113.0","78,429.0","80,509.0","75,517.0","61,930.0","71,705.0","70,266.0","79,471.0","144,752.0","198,596.0","192,363.0","175,500.0","204,309.0","126,017.0","122,542.0","129,720.0","167,235.0","165,535.0","191,193.0","195,340.0","188,475.0","177,996.0","....."
"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","1. Consists of professional, scientific, and technical services; management of companies and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","enterprises; and administrative and waste management services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
