"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","       Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"22","4","Goods","A353RC1","52,020.0","43,249.0","33,926.0","23,817.0","24,278.0","30,926.0","36,090.0","41,540.0","46,584.0","40,516.0","43,616.0","50,351.0","63,995.0","74,152.0","90,847.0","97,780.0","96,522.0","110,875.0","126,207.0","138,779.0","130,113.0","144,682.0","166,049.0","166,177.0","172,468.0","168,007.0","188,569.0","197,172.0","205,174.0","200,000.0","219,046.0","227,482.0","230,583.0","247,381.0","258,504.0","277,821.0","304,318.0","337,086.0","345,369.0","370,789.0","397,571.0"
"23","5","    Final sales","A325RC1","50,480.0","43,472.0","35,038.0","26,168.0","25,681.0","31,506.0","34,950.0","40,379.0","43,959.0","41,091.0","43,409.0","47,958.0","59,665.0","72,246.0","91,593.0","98,704.0","97,998.0","104,864.0","126,757.0","133,121.0","132,805.0","138,912.0","156,140.0","162,663.0","170,520.0","169,944.0","183,581.0","193,222.0","204,397.0","200,366.0","215,129.0","224,250.0","227,609.0","241,280.0","252,883.0","273,000.0","295,071.0","323,450.0","335,503.0","361,736.0","388,398.0"
"24","6","    Change in private inventories","A014RC1","1,540.0","-223.0","-1,112.0","-2,351.0","-1,403.0","-580.0","1,140.0","1,161.0","2,625.0","-575.0","207.0","2,393.0","4,330.0","1,906.0","-746.0","-924.0","-1,476.0","6,011.0","-550.0","5,658.0","-2,692.0","5,770.0","9,909.0","3,514.0","1,948.0","-1,937.0","4,988.0","3,950.0","777.0","-366.0","3,917.0","3,232.0","2,974.0","6,101.0","5,621.0","4,821.0","9,247.0","13,636.0","9,866.0","9,053.0","9,173.0"
"25","7","  Durable goods","A354RC1","18,029.0","11,852.0","8,060.0","3,847.0","5,125.0","7,654.0","9,512.0","12,474.0","14,228.0","10,174.0","12,968.0","16,957.0","25,937.0","30,588.0","44,296.0","46,844.0","38,419.0","37,907.0","47,126.0","49,706.0","48,177.0","59,114.0","68,957.0","66,501.0","73,171.0","66,278.0","81,165.0","83,226.0","86,697.0","76,123.0","91,442.0","94,199.0","92,548.0","105,381.0","111,234.0","123,088.0","137,825.0","155,440.0","154,821.0","167,344.0","181,648.0"
"26","8","    Final sales","A326RC1","16,613.0","12,868.0","9,305.0","5,889.0","5,615.0","7,521.0","9,173.0","11,531.0","13,460.0","11,039.0","12,673.0","15,743.0","22,887.0","29,565.0","44,285.0","47,482.0","39,676.0","32,586.0","45,684.0","48,692.0","49,980.0","55,483.0","62,872.0","65,341.0","71,652.0","68,822.0","77,770.0","81,092.0","86,183.0","78,901.0","88,576.0","92,536.0","92,602.0","101,960.0","108,600.0","119,262.0","131,582.0","145,412.0","149,973.0","162,798.0","175,683.0"
"27","9","    Change in private inventories \1\","A355RC1","1,416.0","-1,016.0","-1,245.0","-2,042.0","-490.0","133.0","339.0","943.0","768.0","-865.0","295.0","1,214.0","3,050.0","1,023.0","11.0","-638.0","-1,257.0","5,321.0","1,442.0","1,014.0","-1,803.0","3,631.0","6,085.0","1,160.0","1,519.0","-2,544.0","3,395.0","2,134.0","514.0","-2,778.0","2,866.0","1,663.0","-54.0","3,421.0","2,634.0","3,826.0","6,243.0","10,028.0","4,848.0","4,546.0","5,965.0"
"28","10","  Nondurable goods","A356RC1","33,991.0","31,397.0","25,866.0","19,970.0","19,153.0","23,272.0","26,578.0","29,066.0","32,356.0","30,342.0","30,648.0","33,394.0","38,058.0","43,564.0","46,551.0","50,936.0","58,103.0","72,968.0","79,081.0","89,073.0","81,936.0","85,568.0","97,093.0","99,676.0","99,297.0","101,729.0","107,403.0","113,946.0","118,477.0","123,877.0","127,604.0","133,283.0","138,035.0","142,000.0","147,270.0","154,733.0","166,493.0","181,646.0","190,548.0","203,445.0","215,923.0"
"29","11","    Final sales","A334RC1","33,867.0","30,604.0","25,733.0","20,279.0","20,066.0","23,985.0","25,777.0","28,848.0","30,499.0","30,052.0","30,736.0","32,215.0","36,778.0","42,681.0","47,308.0","51,222.0","58,322.0","72,278.0","81,073.0","84,429.0","82,825.0","83,429.0","93,268.0","97,322.0","98,868.0","101,122.0","105,811.0","112,130.0","118,214.0","121,465.0","126,553.0","131,714.0","135,007.0","139,320.0","144,283.0","153,738.0","163,489.0","178,038.0","185,530.0","198,938.0","212,715.0"
"30","12","    Change in private inventories \1\","A357RC1","124.0","793.0","133.0","-309.0","-913.0","-713.0","801.0","218.0","1,857.0","290.0","-88.0","1,179.0","1,280.0","883.0","-757.0","-286.0","-219.0","690.0","-1,992.0","4,644.0","-889.0","2,139.0","3,825.0","2,354.0","429.0","607.0","1,592.0","1,816.0","263.0","2,412.0","1,051.0","1,569.0","3,028.0","2,680.0","2,987.0","995.0","3,004.0","3,608.0","5,018.0","4,507.0","3,208.0"
"31","13","Services \2\","A341RC1","39,642.0","38,296.0","35,490.0","30,857.0","28,752.0","30,670.0","32,257.0","34,982.0","37,278.0","37,779.0","39,478.0","41,357.0","49,266.0","71,257.0","97,598.0","115,005.0","118,997.0","94,649.0","94,986.0","100,870.0","107,251.0","111,930.0","133,658.0","150,570.0","162,629.0","165,683.0","174,413.0","185,587.0","200,344.0","211,169.0","225,039.0","237,032.0","250,566.0","270,426.0","286,585.0","307,378.0","330,100.0","362,578.0","397,465.0","439,095.0","478,594.0"
"32","14","Structures","A755RC1","11,946.0","9,668.0","7,074.0","4,047.0","3,372.0","4,384.0","4,957.0","7,244.0","8,005.0","7,829.0","9,076.0","9,722.0","13,480.0","16,500.0","10,162.0","6,974.0","7,530.0","16,704.0","22,902.0","29,470.0","29,869.0","37,132.0","39,553.0","41,552.0","44,230.0","46,664.0","51,738.0","54,669.0","55,537.0","56,001.0","62,543.0","61,924.0","63,609.0","67,849.0","72,671.0","78,439.0","84,697.0","88,028.0","89,611.0","99,958.0","108,267.0"
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","15","  Motor vehicle output","A953RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","34,710.0","43,792.0","44,679.0"
"35","16","  Gross domestic product excluding motor vehicle output","A962RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","797,735.0","866,051.0","939,752.0"
"36","17","  Final sales of computers \3\","BB01RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"37","18","  Gross domestic product excluding final sales of computers","BB00RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
