"","Table 5#2#6# Real Gross and Net Domestic Investment by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Millions of chained (2005) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2010   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:42:07 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19","1","      Gross domestic investment","W170RX1","673,862.0","629,078.0","669,709.0","725,211.0","799,257.0","756,393.0","649,471.0","754,602.0","843,618.0","939,626.0","973,801.0","887,457.0","948,783.0","835,110.0","910,463.0","1,150,793.0","1,166,894.0","1,179,202.0","1,221,292.0","1,243,282.0","1,293,072.0","1,273,076.0","1,191,431.0","1,269,420.0","1,349,938.0","1,494,564.0","1,539,359.0","1,662,260.0","1,842,548.0","2,008,431.0","2,181,097.0","2,318,393.0","2,194,230.0","2,188,854.0","2,262,740.0","2,453,242.0","2,564,242.0","2,635,223.0","2,573,530.0","2,389,941.0","1,956,239.0"
"20","2","      Less: Consumption of fixed capital","A262RX1","333,626.0","347,254.0","358,713.0","372,051.0","391,778.0","409,643.0","423,763.0","437,326.0","454,577.0","475,297.0","499,669.0","522,852.0","543,831.0","566,225.0","585,070.0","609,491.0","643,095.0","674,111.0","705,485.0","735,137.0","766,181.0","796,546.0","821,205.0","844,006.0","872,332.0","906,497.0","946,976.0","994,768.0","1,051,376.0","1,120,469.0","1,199,404.0","1,282,387.0","1,350,819.0","1,399,790.0","1,441,252.0","1,488,270.0","1,541,376.0","1,598,438.0","1,660,881.0","1,714,497.0","1,744,809.0"
"21","3","      Equals: Net domestic investment","W171RX1","344,557.0","285,722.0","311,529.0","351,718.0","405,807.0","346,251.0","226,457.0","316,983.0","387,034.0","462,060.0","472,780.0","366,119.0","404,592.0","270,718.0","327,155.0","541,251.0","526,071.0","509,095.0","520,383.0","511,726.0","530,497.0","482,835.0","378,336.0","431,870.0","481,103.0","588,538.0","593,259.0","668,055.0","790,619.0","886,878.0","980,821.0","1,035,084.0","843,491.0","789,579.0","821,987.0","965,081.0","1,022,867.0","1,036,769.0","912,174.0","672,115.0","201,497.0"
"22","4","Gross private domestic investment","A006RX1","508,495.0","475,086.0","529,254.0","591,929.0","661,289.0","612,578.0","504,074.0","605,900.0","697,443.0","781,525.0","806,444.0","717,863.0","782,407.0","672,792.0","735,461.0","952,146.0","943,288.0","936,866.0","965,728.0","988,458.0","1,028,113.0","993,499.0","912,677.0","986,650.0","1,074,835.0","1,220,886.0","1,258,923.0","1,370,294.0","1,540,807.0","1,695,066.0","1,844,296.0","1,970,292.0","1,831,901.0","1,806,964.0","1,871,626.0","2,058,244.0","2,172,227.0","2,230,393.0","2,161,558.0","1,957,290.0","1,515,728.0"
"23","5","Less: Consumption of fixed capital","B024RX1","241,433.0","253,580.0","264,922.0","278,614.0","298,129.0","315,099.0","327,694.0","339,353.0","354,631.0","373,162.0","394,769.0","414,673.0","432,306.0","451,070.0","465,715.0","484,524.0","510,885.0","534,044.0","557,620.0","580,139.0","604,085.0","627,083.0","645,142.0","662,342.0","685,982.0","716,527.0","753,678.0","797,634.0","850,016.0","913,862.0","986,246.0","1,062,676.0","1,125,496.0","1,168,884.0","1,204,494.0","1,244,369.0","1,290,810.0","1,341,012.0","1,395,560.0","1,440,291.0","1,461,343.0"
"24","6","Equals: Net private domestic investment","A557RX1","267,062.0","221,506.0","264,332.0","313,314.0","363,160.0","297,478.0","176,380.0","266,546.0","342,812.0","408,363.0","411,675.0","303,190.0","350,100.0","221,722.0","269,746.0","467,622.0","432,403.0","402,822.0","408,108.0","408,319.0","424,028.0","366,416.0","267,536.0","324,308.0","388,853.0","504,360.0","505,245.0","572,660.0","690,791.0","781,204.0","858,050.0","907,616.0","706,405.0","638,080.0","667,133.0","813,875.0","881,417.0","889,381.0","765,999.0","516,999.0","54,385.0"
"25","7","  Fixed investment","A007RX1","495,097.0","484,691.0","521,402.0","584,090.0","637,470.0","597,622.0","533,444.0","586,034.0","670,260.0","751,403.0","793,814.0","742,238.0","758,834.0","705,631.0","757,085.0","884,942.0","931,497.0","942,333.0","947,500.0","978,748.0","1,008,168.0","987,116.0","923,106.0","977,835.0","1,061,653.0","1,160,942.0","1,235,714.0","1,346,547.0","1,470,775.0","1,630,377.0","1,782,057.0","1,913,823.0","1,877,578.0","1,798,123.0","1,856,231.0","1,992,481.0","2,122,275.0","2,171,281.0","2,132,666.0","1,996,966.0","1,630,657.0"
