"","Table 3#9#5# Government Consumption Expenditures and Gross Inves","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"40","21","State and local","A829RC1","12,973.0","13,375.0","13,980.0","14,665.0","15,169.0","15,931.0","16,802.0","17,484.0","18,018.0","18,742.0","19,491.0","19,734.0","20,039.0","20,355.0","20,972.0","21,603.0","22,136.0","22,906.0","23,441.0","23,706.0","23,797.0","24,595.0","24,411.0","24,951.0","25,754.0","25,627.0","26,308.0","26,898.0","27,785.0","28,534.0","29,492.0","29,796.0","30,813.0","31,338.0","31,817.0","32,394.0","33,487.0","34,362.0","35,119.0","35,836.0","37,113.0","37,976.0","38,682.0","39,605.0","40,627.0","41,575.0","42,733.0","43,686.0","44,544.0","44,737.0","44,778.0","44,615.0","45,821.0","47,163.0","48,080.0","48,817.0","50,650.0","50,783.0","51,567.0","53,432.0","53,749.0","54,379.0","55,172.0","56,117.0","57,641.0","58,488.0","60,183.0","61,512.0","62,715.0","64,469.0","65,477.0","66,457.0","67,756.0","69,878.0","72,454.0","74,082.0","76,021.0","77,907.0","79,914.0","83,032.0","85,444.0","86,813.0","88,348.0","90,931.0","93,992.0","96,977.0","99,245.0","101,981.0","104,405.0"
"41","22","  Consumption expenditures","A991RC1","10,332.0","10,694.0","11,088.0","11,515.0","11,757.0","12,045.0","12,540.0","12,969.0","13,273.0","13,429.0","13,846.0","14,070.0","14,492.0","14,680.0","15,017.0","15,332.0","15,630.0","15,852.0","16,243.0","16,596.0","16,522.0","17,320.0","17,122.0","17,504.0","18,034.0","17,999.0","18,383.0","18,532.0","18,937.0","19,423.0","20,102.0","20,368.0","21,094.0","21,336.0","21,667.0","22,126.0","22,554.0","23,097.0","23,751.0","24,353.0","24,787.0","25,495.0","26,203.0","26,812.0","27,601.0","28,412.0","28,988.0","29,486.0","30,046.0","30,485.0","30,948.0","31,509.0","32,465.0","33,392.0","33,829.0","34,505.0","35,490.0","36,484.0","36,770.0","37,497.0","38,133.0","38,745.0","39,183.0","39,876.0","40,663.0","41,474.0","42,324.0","43,305.0","44,371.0","45,329.0","46,214.0","47,247.0","48,339.0","49,514.0","50,865.0","52,060.0","53,659.0","55,185.0","56,895.0","58,663.0","59,999.0","61,531.0","63,519.0","65,251.0","67,425.0","69,195.0","71,296.0","73,610.0","75,858.0"
"42","23","  Gross investment","A799RC1","2,641.0","2,681.0","2,892.0","3,150.0","3,412.0","3,886.0","4,262.0","4,515.0","4,745.0","5,313.0","5,645.0","5,664.0","5,547.0","5,675.0","5,955.0","6,271.0","6,506.0","7,054.0","7,198.0","7,110.0","7,275.0","7,275.0","7,289.0","7,447.0","7,720.0","7,628.0","7,925.0","8,366.0","8,848.0","9,111.0","9,390.0","9,428.0","9,719.0","10,002.0","10,150.0","10,268.0","10,933.0","11,265.0","11,368.0","11,483.0","12,326.0","12,481.0","12,479.0","12,793.0","13,026.0","13,163.0","13,745.0","14,200.0","14,498.0","14,252.0","13,830.0","13,106.0","13,356.0","13,771.0","14,251.0","14,312.0","15,160.0","14,299.0","14,797.0","15,935.0","15,616.0","15,634.0","15,989.0","16,241.0","16,978.0","17,014.0","17,859.0","18,207.0","18,344.0","19,140.0","19,263.0","19,210.0","19,417.0","20,364.0","21,589.0","22,022.0","22,362.0","22,722.0","23,019.0","24,369.0","25,445.0","25,282.0","24,829.0","25,680.0","26,567.0","27,782.0","27,949.0","28,371.0","28,547.0"
"43","24","    Structures","A842RC1","2,350.0","2,374.0","2,570.0","2,814.0","2,970.0","3,462.0","3,838.0","4,086.0","4,342.0","4,874.0","5,170.0","5,162.0","5,072.0","5,200.0","5,476.0","5,792.0","5,958.0","6,506.0","6,650.0","6,562.0","6,687.0","6,683.0","6,691.0","6,847.0","7,089.0","6,997.0","7,293.0","7,733.0","8,156.0","8,408.0","8,668.0","8,684.0","8,987.0","9,239.0","9,371.0","9,499.0","10,063.0","10,383.0","10,463.0","10,559.0","11,300.0","11,428.0","11,404.0","11,700.0","12,004.0","12,128.0","12,692.0","13,104.0","13,442.0","13,177.0","12,739.0","11,998.0","12,170.0","12,556.0","13,022.0","13,060.0","13,921.0","13,038.0","13,526.0","14,659.0","14,288.0","14,294.0","14,639.0","14,875.0","15,498.0","15,490.0","16,292.0","16,596.0","16,657.0","17,405.0","17,486.0","17,380.0","17,598.0","18,491.0","19,670.0","20,053.0","20,350.0","20,628.0","20,859.0","22,135.0","23,223.0","23,018.0","22,555.0","23,372.0","24,209.0","25,386.0","25,473.0","25,812.0","25,927.0"
"44","25","    Equipment and software","B881RC1","291.0","307.0","322.0","336.0","442.0","424.0","424.0","429.0","403.0","439.0","475.0","502.0","475.0","475.0","479.0","479.0","548.0","548.0","548.0","548.0","588.0","592.0","598.0","600.0","631.0","631.0","632.0","633.0","692.0","703.0","722.0","744.0","732.0","763.0","779.0","769.0","870.0","882.0","905.0","924.0","1,026.0","1,053.0","1,075.0","1,093.0","1,022.0","1,035.0","1,053.0","1,096.0","1,056.0","1,075.0","1,091.0","1,108.0","1,186.0","1,215.0","1,229.0","1,252.0","1,239.0","1,261.0","1,271.0","1,276.0","1,328.0","1,340.0","1,350.0","1,366.0","1,480.0","1,524.0","1,567.0","1,611.0","1,687.0","1,735.0","1,777.0","1,830.0","1,819.0","1,873.0","1,919.0","1,969.0","2,012.0","2,094.0","2,160.0","2,234.0","2,222.0","2,264.0","2,274.0","2,308.0","2,358.0","2,396.0","2,476.0","2,559.0","2,620.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Government consumption expenditures are services (such as education and national defense) produced by government that",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","are valued at their cost of production. Excludes government sales to other sectors and government own-account investment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","(construction and software).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","investment is included in government consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
