"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172"
"21","2","Personal consumption expenditures","DPCERX1","2,652,861.0","2,669,825.0","2,682,729.0","2,704,123.0","2,720,719.0","2,733,162.0","2,757,114.0","2,749,636.0","2,802,184.0","2,827,852.0","2,850,437.0","2,897,849.0","2,936,524.0","2,992,603.0","3,038,802.0","3,110,052.0","3,166,962.0","3,165,371.0","3,176,705.0","3,167,420.0","3,139,695.0","3,150,649.0","3,163,603.0","3,117,267.0","3,143,431.0","3,195,816.0","3,241,354.0","3,275,681.0","3,341,157.0","3,371,831.0","3,407,460.0","3,451,848.0","3,491,299.0","3,510,621.0","3,544,066.0","3,597,541.0","3,618,541.0","3,695,895.0","3,711,438.0","3,741,253.0","3,760,172.0","3,757,970.0","3,794,945.0","3,805,009.0","3,798,418.0","3,712,207.0","3,751,999.0","3,802,034.0","3,822,849.0","3,822,791.0","3,838,304.0","3,809,291.0","3,833,916.0","3,847,686.0","3,877,166.0","3,947,854.0","3,986,569.0","4,065,737.0","4,137,587.0","4,203,188.0","4,239,206.0","4,299,858.0","4,333,034.0","4,390,119.0","4,464,554.0","4,505,234.0","4,590,817.0","4,600,864.0","4,639,272.0","4,688,729.0","4,770,654.0","4,799,411.0","4,792,109.0","4,856,256.0","4,910,444.0","4,922,226.0","5,004,433.0","5,040,825.0","5,080,574.0","5,140,445.0","5,159,253.0","5,182,351.0","5,236,108.0","5,261,739.0","5,303,333.0","5,320,834.0","5,341,035.0","5,299,450.0","5,284,360.0","5,324,650.0","5,345,028.0","5,342,595.0","5,434,476.0","5,466,693.0","5,527,124.0","5,594,580.0","5,617,248.0","5,671,138.0","5,732,704.0","5,783,691.0","5,848,134.0","5,891,492.0","5,938,675.0","5,997,303.0","6,004,292.0","6,053,528.0","6,107,635.0","6,150,578.0","6,206,855.0","6,277,064.0","6,314,643.0","6,366,068.0","6,430,182.0","6,456,248.0","6,566,010.0","6,641,141.0","6,707,194.0","6,822,555.0","6,913,080.0","7,019,060.0","7,088,328.0","7,199,865.0","7,286,395.0","7,389,184.0","7,501,254.0","7,571,777.0","7,645,877.0","7,713,539.0","7,744,296.0","7,773,540.0","7,807,721.0","7,929,993.0","7,957,326.0","7,997,762.0","8,051,982.0","8,080,550.0","8,122,288.0","8,197,799.0","8,312,136.0","8,358,011.0","8,437,640.0","8,483,216.0","8,555,838.0","8,654,230.0","8,718,987.0","8,802,947.0","8,865,580.0","8,888,481.0","8,986,625.0","9,035,047.0","9,090,711.0","9,181,617.0","9,235,175.0","9,270,456.0","9,310,002.0","9,342,251.0","9,324,067.0","9,326,226.0","9,243,479.0","9,166,282.0","9,154,133.0","9,116,975.0","9,161,603.0","9,182,858.0","9,225,371.0","9,275,656.0","9,330,628.0","9,422,897.0","9,486,363.0"
"22","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,873,190.0","1,885,825.0","1,908,669.0","1,926,694.0","1,942,124.0","1,979,994.0","1,994,068.0","2,018,253.0","2,045,475.0","2,043,912.0","2,097,370.0","2,126,013.0","2,142,537.0","2,198,851.0","2,232,409.0","2,300,578.0","2,329,122.0","2,384,235.0","2,412,947.0","2,454,919.0","2,492,384.0","2,506,054.0","2,532,806.0","2,555,407.0","2,562,088.0","2,569,460.0","2,588,786.0","2,683,143.0","2,677,802.0","2,690,558.0","2,725,136.0","2,732,806.0","2,752,373.0","2,800,046.0","2,876,425.0","2,890,558.0","2,919,441.0","2,931,764.0","2,966,380.0","3,003,557.0","3,032,628.0","3,075,095.0","3,098,428.0","3,089,519.0","3,145,693.0","3,150,807.0","3,176,403.0","3,222,544.0","3,241,058.0","3,252,436.0","3,271,871.0","3,281,013.0","3,232,609.0","3,235,155.0","3,171,381.0","3,082,250.0","3,095,707.0","3,084,002.0","3,138,235.0","3,151,778.0","3,195,392.0","3,222,606.0","3,255,206.0","3,328,383.0","3,367,224.0"
"23","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","498,482.0","503,551.0","517,766.0","526,759.0","532,479.0","549,419.0","553,309.0","564,115.0","579,399.0","577,529.0","603,280.0","618,674.0","623,858.0","655,668.0","674,597.0","714,640.0","716,407.0","750,861.0","769,145.0","778,710.0","822,514.0","807,711.0","821,678.0","827,720.0","841,751.0","841,332.0","851,518.0","923,052.0","912,481.0","922,077.0","949,075.0","936,563.0","937,463.0","974,111.0","1,013,204.0","1,019,750.0","1,031,036.0","1,038,271.0","1,058,712.0","1,076,082.0","1,083,293.0","1,113,592.0","1,126,681.0","1,098,405.0","1,142,277.0","1,139,363.0","1,152,103.0","1,167,921.0","1,181,156.0","1,194,470.0","1,205,662.0","1,212,910.0","1,178,646.0","1,169,997.0","1,133,162.0","1,063,913.0","1,076,587.0","1,068,226.0","1,118,302.0","1,115,113.0","1,138,938.0","1,157,837.0","1,179,258.0","1,237,162.0","1,268,829.0"
"24","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,428,144.0","1,435,165.0","1,440,261.0","1,447,690.0","1,457,063.0","1,475,787.0","1,486,286.0","1,498,322.0","1,507,432.0","1,508,261.0","1,532,540.0","1,543,316.0","1,554,719.0","1,573,924.0","1,585,529.0","1,607,217.0","1,636,906.0","1,652,274.0","1,660,134.0","1,694,136.0","1,679,513.0","1,713,067.0","1,724,719.0","1,741,570.0","1,731,414.0","1,739,683.0","1,748,107.0","1,763,233.0","1,770,395.0","1,772,672.0","1,777,696.0","1,800,221.0","1,819,521.0","1,827,959.0","1,863,817.0","1,871,298.0","1,888,935.0","1,893,954.0","1,907,813.0","1,927,578.0","1,949,629.0","1,961,527.0","1,971,843.0","1,990,700.0","2,003,718.0","2,011,559.0","2,024,538.0","2,054,704.0","2,060,218.0","2,058,983.0","2,067,748.0","2,070,345.0","2,054,493.0","2,064,619.0","2,035,625.0","2,010,114.0","2,012,022.0","2,008,290.0","2,016,855.0","2,032,344.0","2,053,486.0","2,063,360.0","2,076,213.0","2,097,367.0","2,108,186.0"
"25","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,159,078.0","4,196,680.0","4,226,589.0","4,250,476.0","4,292,089.0","4,320,635.0","4,343,731.0","4,369,278.0","4,404,824.0","4,434,714.0","4,487,445.0","4,533,125.0","4,583,542.0","4,639,433.0","4,695,808.0","4,728,508.0","4,768,458.0","4,822,355.0","4,880,272.0","4,940,089.0","5,014,818.0","5,073,095.0","5,120,121.0","5,165,054.0","5,189,338.0","5,211,370.0","5,225,401.0","5,248,639.0","5,282,654.0","5,310,536.0","5,329,179.0","5,350,101.0","5,371,800.0","5,398,686.0","5,435,671.0","5,467,466.0","5,518,285.0","5,551,657.0","5,589,600.0","5,650,789.0","5,686,394.0","5,727,869.0","5,767,133.0","5,798,930.0","5,841,003.0","5,884,155.0","5,914,292.0","5,959,424.0","5,994,433.0","6,018,302.0","6,038,655.0","6,061,742.0","6,090,605.0","6,090,165.0","6,069,953.0","6,078,490.0","6,053,575.0","6,027,709.0","6,020,685.0","6,028,663.0","6,029,578.0","6,053,382.0","6,076,854.0","6,099,165.0","6,124,947.0"
"26","7","Gross private domestic investment","A006RX1","512,686.0","508,601.0","520,360.0","492,334.0","476,925.0","478,419.0","486,594.0","458,406.0","517,935.0","533,986.0","541,010.0","524,085.0","561,147.0","595,495.0","603,970.0","607,104.0","645,654.0","675,837.0","649,412.0","674,253.0","631,230.0","628,102.0","592,672.0","598,306.0","493,212.0","476,085.0","516,402.0","530,596.0","585,541.0","610,513.0","611,646.0","615,898.0","646,198.0","696,141.0","734,078.0","713,356.0","727,504.0","777,454.0","801,452.0","819,689.0","819,556.0","817,660.0","801,742.0","786,817.0","781,114.0","710,640.0","656,477.0","723,220.0","795,091.0","757,240.0","804,242.0","773,053.0","692,514.0","691,900.0","683,825.0","622,930.0","645,110.0","707,372.0","754,937.0","834,427.0","921,763.0","952,841.0","974,989.0","958,993.0","927,375.0","943,383.0","932,959.0","969,434.0","967,442.0","945,972.0","916,315.0","917,736.0","945,776.0","947,100.0","948,055.0","1,021,980.0","964,398.0","987,858.0","994,204.0","1,007,371.0","1,045,975.0","1,033,753.0","1,021,604.0","1,011,119.0","1,021,070.0","1,021,360.0","997,319.0","934,248.0","896,210.0","891,704.0","913,904.0","948,891.0","927,796.0","988,912.0","999,135.0","1,030,758.0","1,054,979.0","1,063,263.0","1,062,514.0","1,118,583.0","1,166,845.0","1,234,855.0","1,212,655.0","1,269,190.0","1,282,090.0","1,247,610.0","1,235,601.0","1,270,392.0","1,287,128.0","1,353,795.0","1,422,059.0","1,418,193.0","1,451,304.0","1,543,976.0","1,571,426.0","1,596,523.0","1,672,732.0","1,652,716.0","1,700,071.0","1,754,743.0","1,809,993.0","1,803,674.0","1,848,949.0","1,914,567.0","1,887,836.0","2,018,529.0","1,986,956.0","1,987,845.0","1,882,691.0","1,876,650.0","1,837,074.0","1,731,189.0","1,789,327.0","1,810,779.0","1,814,531.0","1,813,219.0","1,813,141.0","1,823,698.0","1,889,883.0","1,959,783.0","1,970,015.0","2,055,580.0","2,082,231.0","2,125,152.0","2,170,299.0","2,131,468.0","2,154,949.0","2,232,193.0","2,264,721.0","2,261,247.0","2,229,636.0","2,165,966.0","2,146,116.0","2,195,126.0","2,178,938.0","2,126,053.0","2,074,340.0","2,033,841.0","1,967,227.0","1,753,753.0","1,529,455.0","1,453,238.0","1,494,496.0","1,585,724.0","1,690,229.0","1,791,514.0","1,855,073.0","1,761,258.0","1,797,533.0"
"27","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,224,705.0","1,220,060.0","1,236,160.0","1,261,933.0","1,293,819.0","1,335,909.0","1,366,817.0","1,389,642.0","1,416,778.0","1,447,311.0","1,503,053.0","1,515,959.0","1,561,603.0","1,616,021.0","1,646,770.0","1,697,113.0","1,728,580.0","1,769,036.0","1,810,201.0","1,820,413.0","1,873,664.0","1,920,764.0","1,927,531.0","1,933,331.0","1,921,766.0","1,891,738.0","1,871,913.0","1,824,895.0","1,808,700.0","1,801,531.0","1,798,401.0","1,783,859.0","1,784,110.0","1,829,724.0","1,888,654.0","1,922,436.0","1,918,616.0","1,977,721.0","2,019,682.0","2,053,906.0","2,079,160.0","2,115,998.0","2,142,965.0","2,150,975.0","2,200,168.0","2,189,898.0","2,162,182.0","2,132,875.0","2,127,670.0","2,147,243.0","2,140,846.0","2,114,906.0","2,081,564.0","2,057,336.0","1,993,318.0","1,855,646.0","1,663,435.0","1,619,634.0","1,622,421.0","1,617,136.0","1,630,454.0","1,702,463.0","1,708,784.0","1,737,253.0","1,740,244.0"
"28","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","781,543.0","786,966.0","792,246.0","808,185.0","828,244.0","852,052.0","880,412.0","904,217.0","927,294.0","950,313.0","998,762.0","1,006,786.0","1,041,609.0","1,079,733.0","1,096,002.0","1,132,173.0","1,158,424.0","1,190,904.0","1,225,136.0","1,228,977.0","1,274,682.0","1,321,702.0","1,336,310.0","1,341,479.0","1,328,716.0","1,293,824.0","1,272,481.0","1,232,171.0","1,203,368.0","1,183,877.0","1,177,788.0","1,155,611.0","1,150,414.0","1,181,366.0","1,208,262.0","1,223,973.0","1,214,265.0","1,247,018.0","1,281,235.0","1,309,553.0","1,321,537.0","1,340,802.0","1,359,711.0","1,367,251.0","1,424,916.0","1,450,307.0","1,466,035.0","1,474,517.0","1,498,999.0","1,539,104.0","1,574,072.0","1,595,905.0","1,603,661.0","1,597,027.0","1,561,530.0","1,464,174.0","1,313,651.0","1,288,291.0","1,282,875.0","1,278,327.0","1,302,552.0","1,355,305.0","1,387,998.0","1,413,873.0","1,420,191.0"
"29","10","      Structures","B009RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","336,459.0","343,189.0","345,687.0","342,774.0","348,888.0","356,530.0","360,923.0","379,289.0","382,629.0","379,235.0","393,543.0","396,246.0","391,971.0","413,084.0","413,244.0","412,586.0","410,888.0","405,906.0","405,593.0","410,442.0","418,367.0","435,715.0","452,121.0","453,989.0","441,472.0","443,048.0","445,548.0","403,248.0","381,350.0","360,711.0","344,697.0","339,628.0","336,246.0","346,299.0","345,551.0","343,946.0","341,939.0","345,904.0","349,378.0","349,693.0","355,957.0","354,612.0","347,168.0","349,281.0","364,755.0","383,652.0","393,161.0","394,617.0","404,800.0","430,550.0","454,627.0","462,854.0","462,734.0","471,172.0","466,887.0","456,126.0","399,726.0","377,781.0","365,512.0","335,256.0","319,257.0","318,861.0","316,046.0","321,854.0","302,742.0"
"30","11","      Equipment and software","B010RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","486,783.0","488,007.0","491,184.0","506,017.0","519,800.0","535,960.0","557,668.0","568,161.0","586,004.0","607,550.0","641,302.0","646,720.0","679,598.0","700,422.0","714,630.0","747,010.0","771,307.0","803,409.0","834,275.0","834,614.0","870,673.0","901,597.0","903,724.0","907,121.0","904,180.0","870,857.0","849,170.0","843,286.0","832,928.0","830,505.0","837,281.0","820,401.0","818,256.0","839,497.0","865,702.0","882,019.0","874,423.0","902,515.0","932,545.0","959,830.0","965,646.0","986,026.0","1,012,463.0","1,018,150.0","1,060,701.0","1,066,263.0","1,072,041.0","1,079,334.0","1,092,963.0","1,104,565.0","1,112,614.0","1,125,685.0","1,134,016.0","1,116,544.0","1,084,074.0","993,334.0","903,432.0","903,836.0","913,102.0","944,745.0","989,679.0","1,046,012.0","1,084,160.0","1,104,474.0","1,135,172.0"
"31","12","    Residential","A011RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","457,682.0","442,972.0","456,667.0","467,026.0","479,303.0","499,548.0","498,172.0","493,022.0","494,692.0","500,948.0","503,248.0","508,411.0","517,476.0","533,029.0","549,027.0","562,176.0","565,516.0","571,605.0","576,351.0","583,405.0","587,972.0","583,962.0","573,713.0","574,206.0","576,833.0","584,946.0","588,113.0","583,109.0","598,681.0","613,362.0","616,937.0","626,362.0","632,417.0","646,812.0","679,798.0","698,236.0","704,463.0","730,965.0","738,403.0","744,203.0","757,691.0","775,331.0","783,265.0","783,512.0","775,189.0","740,093.0","697,361.0","660,214.0","631,333.0","611,395.0","570,621.0","523,293.0","482,238.0","464,421.0","435,572.0","394,711.0","352,717.0","333,920.0","342,414.0","341,693.0","330,669.0","350,101.0","323,299.0","325,897.0","322,530.0"
"32","13","  Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-8,231.0","-20,570.0","-27,390.0","-94,321.0","-125,799.0","-161,784.0","-128,213.0","-36,701.0","44,131.0","68,847.0","121,412.0","16,215.0","43,838.0"
"33","14","Net exports of goods and services","A019RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-117,053.0","-114,678.0","-81,932.0","-81,548.0","-101,639.0","-108,899.0","-134,377.0","-97,969.0","-125,014.0","-123,273.0","-141,752.0","-169,323.0","-209,951.0","-250,937.0","-273,130.0","-276,418.0","-319,009.0","-350,854.0","-374,400.0","-382,195.0","-424,091.0","-439,426.0","-467,242.0","-475,557.0","-466,844.0","-456,329.0","-476,622.0","-488,680.0","-510,536.0","-534,903.0","-554,263.0","-595,569.0","-585,254.0","-612,712.0","-603,113.0","-614,673.0","-632,474.0","-687,074.0","-705,685.0","-726,728.0","-714,838.0","-709,412.0","-721,376.0","-745,307.0","-732,552.0","-732,813.0","-756,478.0","-694,891.0","-696,360.0","-696,211.0","-666,573.0","-560,398.0","-529,910.0","-493,790.0","-514,829.0","-477,670.0","-389,237.0","-342,010.0","-390,793.0","-330,058.0","-338,378.0","-448,958.0","-504,961.0","-397,699.0","-399,685.0"
"34","15","  Exports","A020RX1","136,139.0","166,658.0","162,659.0","168,299.0","169,752.0","177,222.0","176,644.0","178,268.0","178,948.0","178,587.0","185,923.0","170,336.0","188,377.0","182,894.0","193,937.0","202,160.0","216,976.0","227,440.0","228,198.0","239,409.0","242,469.0","254,259.0","240,547.0","246,832.0","248,574.0","241,340.0","237,274.0","250,690.0","248,952.0","251,461.0","258,767.0","261,396.0","257,197.0","264,130.0","266,176.0","257,634.0","263,702.0","291,185.0","294,378.0","306,066.0","306,320.0","307,129.0","318,190.0","338,214.0","347,653.0","354,206.0","353,455.0","351,313.0","357,949.0","359,884.0","352,227.0","353,856.0","338,516.0","340,557.0","325,470.0","310,565.0","315,581.0","316,533.0","321,302.0","327,782.0","334,630.0","342,951.0","350,526.0","357,646.0","357,893.0","356,606.0","351,378.0","361,958.0","373,401.0","377,466.0","386,091.0","400,472.0","400,778.0","416,681.0","434,636.0","450,707.0","475,678.0","488,845.0","497,904.0","513,105.0","528,197.0","551,182.0","557,219.0","565,981.0","590,709.0","598,738.0","603,109.0","608,169.0","612,523.0","634,576.0","649,105.0","663,904.0","675,744.0","675,764.0","690,443.0","693,969.0","695,544.0","704,053.0","701,753.0","724,204.0","731,137.0","755,248.0","784,103.0","801,461.0","816,192.0","827,441.0","863,425.0","875,888.0","886,922.0","901,789.0","909,084.0","966,073.0","984,474.0","1,023,460.0","1,047,239.0","1,045,332.0","1,050,264.0","1,038,158.0","1,033,339.0","1,072,307.0","1,064,068.0","1,076,302.0","1,104,529.0","1,132,209.0","1,151,723.0","1,184,426.0","1,213,327.0","1,203,766.0","1,187,985.0","1,149,212.0","1,090,055.0","1,059,319.0","1,076,249.0","1,105,462.0","1,113,165.0","1,101,826.0","1,091,641.0","1,088,214.0","1,117,599.0","1,169,707.0","1,197,293.0","1,215,992.0","1,225,039.0","1,252,932.0","1,276,194.0","1,303,489.0","1,303,859.0","1,336,687.0","1,388,773.0","1,412,067.0","1,414,069.0","1,473,171.0","1,496,360.0","1,521,264.0","1,577,995.0","1,621,999.0","1,644,695.0","1,696,610.0","1,674,951.0","1,574,541.0","1,451,598.0","1,447,840.0","1,490,030.0","1,573,500.0","1,616,422.0","1,652,095.0","1,679,335.0","1,714,344.0","1,735,152.0"
"35","16","    Goods","A253RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","555,562.0","564,877.0","586,556.0","594,660.0","607,153.0","613,614.0","625,002.0","658,887.0","681,681.0","713,417.0","734,289.0","735,361.0","737,362.0","719,947.0","721,252.0","750,098.0","735,417.0","743,685.0","767,885.0","793,103.0","810,774.0","836,155.0","871,664.0","858,660.0","847,235.0","808,931.0","764,741.0","747,281.0","746,749.0","772,894.0","776,445.0","758,083.0","761,290.0","760,963.0","775,545.0","810,924.0","823,974.0","837,716.0","848,271.0","861,601.0","879,231.0","908,112.0","905,686.0","931,315.0","970,279.0","987,825.0","988,254.0","1,019,241.0","1,050,512.0","1,070,040.0","1,102,745.0","1,129,062.0","1,155,256.0","1,195,122.0","1,181,944.0","1,094,125.0","985,755.0","976,396.0","1,019,108.0","1,091,687.0","1,128,036.0","1,159,241.0","1,175,753.0","1,207,110.0","1,230,122.0"
