"","Table 1#5#6# Real Gross Domestic Product, Expanded Detail, Chain","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68"
"40","21","      Financial services and insurance","DIFSRX1","482,049.0","487,645.0","492,351.0","495,642.0","503,882.0","508,631.0","506,550.0","511,976.0","517,152.0","518,274.0","531,323.0","534,155.0","540,330.0","553,031.0","564,536.0","576,640.0","582,862.0","597,946.0","610,437.0","631,246.0","662,395.0","664,188.0","666,501.0","668,440.0","659,133.0","658,860.0","656,552.0","668,383.0","662,323.0","657,894.0","659,368.0","653,750.0","647,872.0","653,188.0","660,848.0","669,271.0","683,138.0","686,708.0","690,639.0","706,619.0","703,197.0","710,751.0","717,195.0","719,335.0","726,034.0","731,311.0","735,629.0","748,770.0","755,853.0","765,654.0","769,809.0","774,235.0","774,904.0","772,133.0","772,792.0","763,906.0","753,915.0","746,218.0","739,400.0","732,523.0","727,396.0","729,465.0","720,744.0","725,875.0","736,554.0"
"41","22","      Other services","DOTSRX1","522,491.0","525,137.0","522,797.0","526,638.0","535,681.0","537,262.0","551,801.0","543,027.0","558,163.0","566,808.0","578,790.0","592,441.0","606,988.0","615,327.0","631,059.0","633,268.0","643,581.0","652,483.0","660,338.0","670,513.0","684,968.0","699,256.0","713,893.0","718,487.0","721,300.0","737,731.0","737,606.0","733,815.0","737,250.0","739,544.0","735,081.0","736,239.0","751,374.0","753,856.0","759,408.0","758,123.0","767,171.0","771,662.0","776,877.0","778,098.0","780,987.0","777,895.0","780,672.0","786,841.0","795,817.0","806,273.0","811,043.0","820,070.0","829,263.0","834,079.0","826,667.0","825,285.0","831,199.0","825,750.0","821,132.0","828,072.0","827,904.0","817,201.0","812,662.0","810,127.0","807,661.0","806,079.0","809,462.0","812,850.0","815,462.0"
"42","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRX1","140,280.0","141,595.0","142,229.0","145,070.0","149,953.0","151,774.0","152,936.0","149,053.0","140,868.0","139,861.0","139,734.0","141,766.0","146,379.0","151,028.0","156,482.0","161,810.0","162,953.0","164,153.0","165,422.0","167,442.0","172,792.0","173,560.0","179,926.0","185,093.0","186,076.0","189,811.0","192,895.0","196,843.0","200,357.0","204,994.0","212,785.0","218,058.0","217,617.0","220,498.0","220,023.0","219,242.0","220,045.0","218,078.0","216,979.0","218,154.0","213,432.0","213,662.0","212,771.0","216,437.0","222,784.0","232,101.0","243,135.0","243,571.0","240,861.0","237,500.0","246,505.0","256,433.0","261,094.0","262,421.0","269,143.0","276,668.0","260,708.0","248,954.0","254,577.0","259,872.0","260,649.0","262,859.0","263,539.0","259,080.0","256,063.0"
"43","24","      Gross output of nonprofit institutions \2\","DNPERX1","632,622.0","634,784.0","636,945.0","641,400.0","644,231.0","651,513.0","655,538.0","662,385.0","657,822.0","659,632.0","665,505.0","672,230.0","684,939.0","691,945.0","701,409.0","708,605.0","713,334.0","717,185.0","722,795.0","730,551.0","736,946.0","744,153.0","752,607.0","762,258.0","770,912.0","779,144.0","789,801.0","801,353.0","815,289.0","827,978.0","838,386.0","842,786.0","841,867.0","843,335.0","844,433.0","846,425.0","851,501.0","856,348.0","864,109.0","870,456.0","871,616.0","872,179.0","874,456.0","880,278.0","891,474.0","899,019.0","903,741.0","909,823.0","919,101.0","919,191.0","921,522.0","930,421.0","940,346.0","943,758.0","946,376.0","956,743.0","952,805.0","951,017.0","950,274.0","954,114.0","952,003.0","959,857.0","962,659.0","970,654.0","973,327.0"
"44","25","      Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRX1","495,377.0","496,201.0","497,734.0","499,279.0","497,067.0","502,545.0","505,413.0","516,397.0","520,335.0","523,250.0","529,385.0","534,114.0","542,167.0","544,280.0","547,979.0","549,462.0","553,033.0","555,648.0","560,008.0","565,748.0","566,321.0","572,927.0","574,416.0","578,519.0","586,376.0","590,602.0","598,101.0","605,538.0","615,938.0","623,791.0","625,778.0","624,526.0","624,136.0","622,618.0","624,272.0","627,121.0","631,421.0","638,264.0","647,145.0","652,326.0","658,180.0","658,519.0","661,691.0","663,837.0","668,686.0","666,991.0","660,886.0","666,514.0","678,357.0","681,704.0","675,347.0","674,674.0","680,045.0","682,165.0","678,458.0","681,689.0","692,427.0","701,196.0","695,569.0","694,678.0","691,975.0","697,634.0","699,745.0","711,285.0","716,485.0"
"45","26","Gross private domestic investment","A006RX1","1,282,090.0","1,247,610.0","1,235,601.0","1,270,392.0","1,287,128.0","1,353,795.0","1,422,059.0","1,418,193.0","1,451,304.0","1,543,976.0","1,571,426.0","1,596,523.0","1,672,732.0","1,652,716.0","1,700,071.0","1,754,743.0","1,809,993.0","1,803,674.0","1,848,949.0","1,914,567.0","1,887,836.0","2,018,529.0","1,986,956.0","1,987,845.0","1,882,691.0","1,876,650.0","1,837,074.0","1,731,189.0","1,789,327.0","1,810,779.0","1,814,531.0","1,813,219.0","1,813,141.0","1,823,698.0","1,889,883.0","1,959,783.0","1,970,015.0","2,055,580.0","2,082,231.0","2,125,152.0","2,170,299.0","2,131,468.0","2,154,949.0","2,232,193.0","2,264,721.0","2,261,247.0","2,229,636.0","2,165,966.0","2,146,116.0","2,195,126.0","2,178,938.0","2,126,053.0","2,074,340.0","2,033,841.0","1,967,227.0","1,753,753.0","1,529,455.0","1,453,238.0","1,494,496.0","1,585,724.0","1,690,229.0","1,791,514.0","1,855,073.0","1,761,258.0","1,797,533.0"
"46","27","  Fixed investment","A007RX1","1,224,705.0","1,220,060.0","1,236,160.0","1,261,933.0","1,293,819.0","1,335,909.0","1,366,817.0","1,389,642.0","1,416,778.0","1,447,311.0","1,503,053.0","1,515,959.0","1,561,603.0","1,616,021.0","1,646,770.0","1,697,113.0","1,728,580.0","1,769,036.0","1,810,201.0","1,820,413.0","1,873,664.0","1,920,764.0","1,927,531.0","1,933,331.0","1,921,766.0","1,891,738.0","1,871,913.0","1,824,895.0","1,808,700.0","1,801,531.0","1,798,401.0","1,783,859.0","1,784,110.0","1,829,724.0","1,888,654.0","1,922,436.0","1,918,616.0","1,977,721.0","2,019,682.0","2,053,906.0","2,079,160.0","2,115,998.0","2,142,965.0","2,150,975.0","2,200,168.0","2,189,898.0","2,162,182.0","2,132,875.0","2,127,670.0","2,147,243.0","2,140,846.0","2,114,906.0","2,081,564.0","2,057,336.0","1,993,318.0","1,855,646.0","1,663,435.0","1,619,634.0","1,622,421.0","1,617,136.0","1,630,454.0","1,702,463.0","1,708,784.0","1,737,253.0","1,740,244.0"
"47","28","    Nonresidential","A008RX1","781,543.0","786,966.0","792,246.0","808,185.0","828,244.0","852,052.0","880,412.0","904,217.0","927,294.0","950,313.0","998,762.0","1,006,786.0","1,041,609.0","1,079,733.0","1,096,002.0","1,132,173.0","1,158,424.0","1,190,904.0","1,225,136.0","1,228,977.0","1,274,682.0","1,321,702.0","1,336,310.0","1,341,479.0","1,328,716.0","1,293,824.0","1,272,481.0","1,232,171.0","1,203,368.0","1,183,877.0","1,177,788.0","1,155,611.0","1,150,414.0","1,181,366.0","1,208,262.0","1,223,973.0","1,214,265.0","1,247,018.0","1,281,235.0","1,309,553.0","1,321,537.0","1,340,802.0","1,359,711.0","1,367,251.0","1,424,916.0","1,450,307.0","1,466,035.0","1,474,517.0","1,498,999.0","1,539,104.0","1,574,072.0","1,595,905.0","1,603,661.0","1,597,027.0","1,561,530.0","1,464,174.0","1,313,651.0","1,288,291.0","1,282,875.0","1,278,327.0","1,302,552.0","1,355,305.0","1,387,998.0","1,413,873.0","1,420,191.0"
"48","29","      Structures","B009RX1","336,459.0","343,189.0","345,687.0","342,774.0","348,888.0","356,530.0","360,923.0","379,289.0","382,629.0","379,235.0","393,543.0","396,246.0","391,971.0","413,084.0","413,244.0","412,586.0","410,888.0","405,906.0","405,593.0","410,442.0","418,367.0","435,715.0","452,121.0","453,989.0","441,472.0","443,048.0","445,548.0","403,248.0","381,350.0","360,711.0","344,697.0","339,628.0","336,246.0","346,299.0","345,551.0","343,946.0","341,939.0","345,904.0","349,378.0","349,693.0","355,957.0","354,612.0","347,168.0","349,281.0","364,755.0","383,652.0","393,161.0","394,617.0","404,800.0","430,550.0","454,627.0","462,854.0","462,734.0","471,172.0","466,887.0","456,126.0","399,726.0","377,781.0","365,512.0","335,256.0","319,257.0","318,861.0","316,046.0","321,854.0","302,742.0"
"49","30","      Equipment and software","B010RX1","486,783.0","488,007.0","491,184.0","506,017.0","519,800.0","535,960.0","557,668.0","568,161.0","586,004.0","607,550.0","641,302.0","646,720.0","679,598.0","700,422.0","714,630.0","747,010.0","771,307.0","803,409.0","834,275.0","834,614.0","870,673.0","901,597.0","903,724.0","907,121.0","904,180.0","870,857.0","849,170.0","843,286.0","832,928.0","830,505.0","837,281.0","820,401.0","818,256.0","839,497.0","865,702.0","882,019.0","874,423.0","902,515.0","932,545.0","959,830.0","965,646.0","986,026.0","1,012,463.0","1,018,150.0","1,060,701.0","1,066,263.0","1,072,041.0","1,079,334.0","1,092,963.0","1,104,565.0","1,112,614.0","1,125,685.0","1,134,016.0","1,116,544.0","1,084,074.0","993,334.0","903,432.0","903,836.0","913,102.0","944,745.0","989,679.0","1,046,012.0","1,084,160.0","1,104,474.0","1,135,172.0"
"50","31","        Information processing equipment and software","A679RX1","140,472.0","147,449.0","150,644.0","159,407.0","167,859.0","175,179.0","183,536.0","189,835.0","201,816.0","213,319.0","229,625.0","238,510.0","254,421.0","265,277.0","273,992.0","290,579.0","306,556.0","329,398.0","344,573.0","347,555.0","370,850.0","389,896.0","396,997.0","409,684.0","409,114.0","392,100.0","381,694.0","377,698.0","375,761.0","378,986.0","385,858.0","376,780.0","386,001.0","391,088.0","412,490.0","430,376.0","431,401.0","438,619.0","446,678.0","455,637.0","461,971.0","471,189.0","481,507.0","486,409.0","505,707.0","508,910.0","520,369.0","524,074.0","546,486.0","550,188.0","561,459.0","583,804.0","597,389.0","606,213.0","598,090.0","577,241.0","567,272.0","581,437.0","601,754.0","632,887.0","645,704.0","669,059.0","683,263.0","706,834.0","712,758.0"
"51","32","          Computers and peripheral equipment \4\","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"52","33","          Software \5\","B985RX1","63,630.0","65,539.0","67,906.0","70,589.0","73,437.0","76,510.0","79,768.0","84,325.0","93,186.0","98,159.0","104,400.0","110,891.0","115,058.0","119,128.0","124,972.0","132,178.0","138,603.0","148,633.0","156,876.0","161,878.0","167,493.0","172,100.0","172,458.0","177,714.0","179,072.0","175,010.0","172,946.0","167,698.0","169,228.0","173,708.0","177,634.0","173,210.0","177,237.0","179,120.0","189,352.0","196,595.0","199,054.0","200,389.0","206,553.0","212,484.0","213,385.0","218,612.0","219,893.0","220,126.0","222,416.0","224,826.0","228,514.0","232,750.0","238,916.0","239,195.0","241,132.0","244,171.0","253,378.0","254,754.0","256,308.0","255,005.0","250,737.0","256,243.0","260,650.0","269,452.0","275,447.0","280,875.0","287,497.0","295,261.0","301,918.0"
"53","34","          Other","A937RX1","93,377.0","94,191.0","92,640.0","94,589.0","98,980.0","101,781.0","104,733.0","105,116.0","105,917.0","108,694.0","114,786.0","116,524.0","121,968.0","124,461.0","125,461.0","130,133.0","132,314.0","138,990.0","144,340.0","144,049.0","159,343.0","166,222.0","170,396.0","177,596.0","172,270.0","163,669.0","160,271.0","156,734.0","149,156.0","149,596.0","149,282.0","145,549.0","148,816.0","151,789.0","159,479.0","165,650.0","165,954.0","169,883.0","168,734.0","167,761.0","174,895.0","176,304.0","181,748.0","180,558.0","192,205.0","189,834.0","191,908.0","190,997.0","201,377.0","205,788.0","210,868.0","224,503.0","220,965.0","224,140.0","219,273.0","207,416.0","204,820.0","209,510.0","220,342.0","227,447.0","232,316.0","239,534.0","245,903.0","254,066.0","254,816.0"
"54","35","        Industrial equipment","A680RX1","143,596.0","145,823.0","146,862.0","145,593.0","149,033.0","151,848.0","150,417.0","152,165.0","151,431.0","154,321.0","155,181.0","155,554.0","163,413.0","161,992.0","158,669.0","159,248.0","158,957.0","161,248.0","163,373.0","163,712.0","171,519.0","176,042.0","179,195.0","176,441.0","176,836.0","164,284.0","157,369.0","152,853.0","154,172.0","150,224.0","152,041.0","151,155.0","150,395.0","156,150.0","152,039.0","147,970.0","141,884.0","145,233.0","149,743.0","152,679.0","156,230.0","154,427.0","160,734.0","167,181.0","165,111.0","176,186.0","174,718.0","175,584.0","172,585.0","184,982.0","185,364.0","176,510.0","177,640.0","176,168.0","172,391.0","162,795.0","138,156.0","132,843.0","129,308.0","128,328.0","128,388.0","140,688.0","143,048.0","146,662.0","151,737.0"
"55","36","        Transportation equipment","A681RX1","142,423.0","128,411.0","125,886.0","129,408.0","127,758.0","131,745.0","143,961.0","143,796.0","144,175.0","147,535.0","155,218.0","145,935.0","148,716.0","155,385.0","163,753.0","180,240.0","181,917.0","187,739.0","199,317.0","192,221.0","190,747.0","193,076.0","185,424.0","175,539.0","170,435.0","171,532.0","164,481.0","171,788.0","163,062.0","155,149.0","152,687.0","145,927.0","131,484.0","142,471.0","144,016.0","143,743.0","142,483.0","156,773.0","169,046.0","181,084.0","174,322.0","180,115.0","189,707.0","182,720.0","202,620.0","194,100.0","193,720.0","195,548.0","195,071.0","184,056.0","181,252.0","182,645.0","182,072.0","158,117.0","136,493.0","95,342.0","64,210.0","70,536.0","68,464.0","74,504.0","95,845.0","110,212.0","124,806.0","117,501.0","129,674.0"
"56","37","        Other equipment","A862RX1","111,152.0","110,351.0","109,849.0","110,972.0","111,954.0","113,391.0","116,398.0","117,436.0","120,242.0","122,209.0","129,796.0","131,311.0","136,784.0","140,658.0","139,923.0","137,677.0","142,443.0","140,339.0","141,932.0","144,958.0","149,073.0","152,544.0","150,086.0","149,985.0","152,168.0","147,965.0","150,618.0","146,343.0","144,502.0","149,611.0","149,335.0","149,181.0","151,191.0","151,534.0","157,778.0","159,646.0","158,151.0","161,703.0","167,209.0","170,640.0","173,232.0","180,306.0","180,491.0","181,744.0","187,282.0","186,955.0","183,432.0","184,295.0","179,923.0","185,825.0","185,563.0","185,639.0","180,832.0","181,051.0","182,285.0","165,713.0","148,145.0","136,361.0","134,125.0","132,657.0","142,387.0","147,832.0","154,545.0","156,777.0","162,668.0"
"57","38","    Residential","A011RX1","457,682.0","442,972.0","456,667.0","467,026.0","479,303.0","499,548.0","498,172.0","493,022.0","494,692.0","500,948.0","503,248.0","508,411.0","517,476.0","533,029.0","549,027.0","562,176.0","565,516.0","571,605.0","576,351.0","583,405.0","587,972.0","583,962.0","573,713.0","574,206.0","576,833.0","584,946.0","588,113.0","583,109.0","598,681.0","613,362.0","616,937.0","626,362.0","632,417.0","646,812.0","679,798.0","698,236.0","704,463.0","730,965.0","738,403.0","744,203.0","757,691.0","775,331.0","783,265.0","783,512.0","775,189.0","740,093.0","697,361.0","660,214.0","631,333.0","611,395.0","570,621.0","523,293.0","482,238.0","464,421.0","435,572.0","394,711.0","352,717.0","333,920.0","342,414.0","341,693.0","330,669.0","350,101.0","323,299.0","325,897.0","322,530.0"
"58","39","  Change in private inventories","A014RX1","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-8,231.0","-20,570.0","-27,390.0","-94,321.0","-125,799.0","-161,784.0","-128,213.0","-36,701.0","44,131.0","68,847.0","121,412.0","16,215.0","43,838.0"
"59","40","    Farm","B018RX1","-5,867.0","-13,593.0","-26,443.0","-6,232.0","-2,946.0","7,397.0","27,433.0","1,292.0","-10,773.0","8,235.0","10,061.0","7,194.0","6,339.0","-3,013.0","2,550.0","681.0","-2,145.0","1,395.0","-11,155.0","-2,897.0","-20,106.0","7,186.0","-2,185.0","8,007.0","5,935.0","-3,350.0","2,731.0","-4,854.0","5,085.0","-13,325.0","-3,133.0","-858.0","4,019.0","-1,301.0","418.0","-2,547.0","3,197.0","17,677.0","7,041.0","3,660.0","-6,893.0","207.0","4,586.0","2,565.0","3,774.0","-8,158.0","-6,311.0","-4,052.0","5,168.0","-5,032.0","-2,494.0","-941.0","-7,571.0","4,371.0","1,595.0","5,666.0","2,032.0","5,959.0","-644.0","6,368.0","7,585.0","7,760.0","5,113.0","1,188.0","-870.0"
"60","41","    Nonfarm","A015RX1","71,204.0","50,149.0","32,837.0","22,863.0","6,199.0","19,770.0","35,025.0","31,736.0","53,323.0","95,686.0","65,495.0","79,750.0","110,639.0","45,616.0","57,626.0","63,960.0","90,026.0","39,313.0","53,504.0","100,315.0","36,549.0","93,663.0","64,325.0","50,454.0","-40,084.0","-7,412.0","-33,112.0","-85,513.0","-19,465.0","25,512.0","22,616.0","33,626.0","27,494.0","-2,283.0","2,494.0","41,251.0","49,418.0","60,213.0","55,697.0","68,050.0","98,403.0","15,300.0","7,208.0","78,433.0","62,294.0","80,350.0","73,866.0","36,210.0","11,986.0","50,283.0","38,897.0","13,686.0","168.0","-25,599.0","-29,351.0","-101,113.0","-128,612.0","-168,511.0","-127,652.0","-42,983.0","36,525.0","61,049.0","116,636.0","15,072.0","45,803.0"
"61","42","Net exports of goods and services","A019RX1","-117,053.0","-114,678.0","-81,932.0","-81,548.0","-101,639.0","-108,899.0","-134,377.0","-97,969.0","-125,014.0","-123,273.0","-141,752.0","-169,323.0","-209,951.0","-250,937.0","-273,130.0","-276,418.0","-319,009.0","-350,854.0","-374,400.0","-382,195.0","-424,091.0","-439,426.0","-467,242.0","-475,557.0","-466,844.0","-456,329.0","-476,622.0","-488,680.0","-510,536.0","-534,903.0","-554,263.0","-595,569.0","-585,254.0","-612,712.0","-603,113.0","-614,673.0","-632,474.0","-687,074.0","-705,685.0","-726,728.0","-714,838.0","-709,412.0","-721,376.0","-745,307.0","-732,552.0","-732,813.0","-756,478.0","-694,891.0","-696,360.0","-696,211.0","-666,573.0","-560,398.0","-529,910.0","-493,790.0","-514,829.0","-477,670.0","-389,237.0","-342,010.0","-390,793.0","-330,058.0","-338,378.0","-448,958.0","-504,961.0","-397,699.0","-399,685.0"
"62","43","  Exports","B020RX1","816,192.0","827,441.0","863,425.0","875,888.0","886,922.0","901,789.0","909,084.0","966,073.0","984,474.0","1,023,460.0","1,047,239.0","1,045,332.0","1,050,264.0","1,038,158.0","1,033,339.0","1,072,307.0","1,064,068.0","1,076,302.0","1,104,529.0","1,132,209.0","1,151,723.0","1,184,426.0","1,213,327.0","1,203,766.0","1,187,985.0","1,149,212.0","1,090,055.0","1,059,319.0","1,076,249.0","1,105,462.0","1,113,165.0","1,101,826.0","1,091,641.0","1,088,214.0","1,117,599.0","1,169,707.0","1,197,293.0","1,215,992.0","1,225,039.0","1,252,932.0","1,276,194.0","1,303,489.0","1,303,859.0","1,336,687.0","1,388,773.0","1,412,067.0","1,414,069.0","1,473,171.0","1,496,360.0","1,521,264.0","1,577,995.0","1,621,999.0","1,644,695.0","1,696,610.0","1,674,951.0","1,574,541.0","1,451,598.0","1,447,840.0","1,490,030.0","1,573,500.0","1,616,422.0","1,652,095.0","1,679,335.0","1,714,344.0","1,735,152.0"
"63","44","    Goods","A253RX1","555,562.0","564,877.0","586,556.0","594,660.0","607,153.0","613,614.0","625,002.0","658,887.0","681,681.0","713,417.0","734,289.0","735,361.0","737,362.0","719,947.0","721,252.0","750,098.0","735,417.0","743,685.0","767,885.0","793,103.0","810,774.0","836,155.0","871,664.0","858,660.0","847,235.0","808,931.0","764,741.0","747,281.0","746,749.0","772,894.0","776,445.0","758,083.0","761,290.0","760,963.0","775,545.0","810,924.0","823,974.0","837,716.0","848,271.0","861,601.0","879,231.0","908,112.0","905,686.0","931,315.0","970,279.0","987,825.0","988,254.0","1,019,241.0","1,050,512.0","1,070,040.0","1,102,745.0","1,129,062.0","1,155,256.0","1,195,122.0","1,181,944.0","1,094,125.0","985,755.0","976,396.0","1,019,108.0","1,091,687.0","1,128,036.0","1,159,241.0","1,175,753.0","1,207,110.0","1,230,122.0"
"64","45","    Services","A646RX1","262,742.0","264,348.0","279,339.0","283,812.0","281,455.0","290,530.0","285,384.0","309,240.0","303,546.0","310,210.0","312,620.0","309,408.0","312,534.0","318,664.0","312,191.0","322,199.0","329,150.0","333,113.0","336,912.0","339,081.0","340,740.0","347,968.0","340,871.0","344,510.0","340,183.0","340,038.0","325,151.0","311,782.0","329,487.0","332,448.0","336,624.0","343,821.0","330,279.0","327,155.0","342,019.0","358,760.0","373,384.0","378,335.0","376,761.0","391,392.0","397,007.0","395,358.0","398,153.0","405,367.0","418,510.0","424,262.0","425,819.0","453,923.0","445,861.0","451,268.0","475,282.0","492,946.0","489,432.0","501,493.0","493,072.0","480,457.0","465,006.0","470,407.0","470,520.0","482,045.0","488,870.0","493,558.0","504,218.0","508,014.0","505,819.0"
"65","46","  Imports","B021RX1","933,245.0","942,119.0","945,357.0","957,436.0","988,561.0","1,010,688.0","1,043,461.0","1,064,042.0","1,109,488.0","1,146,733.0","1,188,991.0","1,214,654.0","1,260,215.0","1,289,095.0","1,306,469.0","1,348,725.0","1,383,077.0","1,427,155.0","1,478,929.0","1,514,404.0","1,575,814.0","1,623,851.0","1,680,568.0","1,679,324.0","1,654,828.0","1,605,542.0","1,566,677.0","1,548,000.0","1,586,785.0","1,640,366.0","1,667,429.0","1,697,394.0","1,676,895.0","1,700,926.0","1,720,712.0","1,784,380.0","1,829,767.0","1,903,065.0","1,930,724.0","1,979,660.0","1,991,032.0","2,012,901.0","2,025,235.0","2,081,994.0","2,121,325.0","2,144,880.0","2,170,548.0","2,168,061.0","2,192,720.0","2,217,475.0","2,244,568.0","2,182,397.0","2,174,606.0","2,190,400.0","2,189,780.0","2,052,211.0","1,840,835.0","1,789,850.0","1,880,823.0","1,903,558.0","1,954,800.0","2,101,053.0","2,184,296.0","2,112,044.0","2,134,837.0"
"66","47","    Goods","A255RX1","755,326.0","765,745.0","767,386.0","776,021.0","803,637.0","823,850.0","851,771.0","872,474.0","910,027.0","944,640.0","979,034.0","1,001,068.0","1,038,082.0","1,062,418.0","1,074,547.0","1,114,063.0","1,144,435.0","1,184,612.0","1,230,980.0","1,263,895.0","1,312,813.0","1,354,182.0","1,402,021.0","1,402,413.0","1,381,298.0","1,325,983.0","1,300,593.0","1,288,939.0","1,314,328.0","1,370,172.0","1,395,488.0","1,413,492.0","1,397,947.0","1,434,455.0","1,440,265.0","1,490,952.0","1,526,401.0","1,592,919.0","1,618,790.0","1,660,669.0","1,675,033.0","1,694,894.0","1,706,284.0","1,755,709.0","1,782,719.0","1,804,741.0","1,829,253.0","1,818,589.0","1,848,880.0","1,870,545.0","1,893,915.0","1,835,367.0","1,820,144.0","1,840,864.0","1,836,089.0","1,689,327.0","1,493,269.0","1,452,038.0","1,542,717.0","1,566,062.0","1,610,988.0","1,753,929.0","1,825,512.0","1,756,745.0","1,781,915.0"
"67","48","    Services","B656RX1","180,769.0","178,458.0","180,281.0","183,984.0","187,043.0","188,544.0","193,221.0","192,517.0","200,412.0","202,556.0","210,496.0","214,042.0","222,682.0","227,185.0","232,580.0","235,039.0","238,882.0","242,591.0","247,829.0","250,205.0","262,828.0","269,377.0","278,181.0","276,392.0","273,038.0","280,052.0","266,191.0","259,012.0","272,471.0","270,029.0","271,761.0","283,797.0","278,893.0","266,630.0","280,270.0","293,214.0","303,139.0","310,052.0","311,913.0","318,983.0","316,024.0","318,023.0","318,948.0","326,246.0","338,642.0","340,145.0","341,285.0","349,475.0","343,824.0","346,901.0","350,647.0","347,108.0","355,010.0","349,558.0","353,817.0","363,710.0","347,384.0","337,505.0","338,727.0","338,271.0","344,646.0","348,324.0","360,109.0","356,355.0","353,931.0"
"68","49","Government consumption expenditures and gross investment","A822RX1","1,891,553.0","1,897,867.0","1,893,691.0","1,872,504.0","1,884,502.0","1,911,577.0","1,909,730.0","1,925,899.0","1,929,350.0","1,946,046.0","1,948,231.0","1,951,466.0","1,939,723.0","1,981,881.0","2,000,225.0","2,018,131.0","2,028,442.0","2,036,925.0","2,063,255.0","2,095,874.0","2,078,721.0","2,106,440.0","2,099,809.0","2,106,206.0","2,137,344.0","2,181,739.0","2,177,755.0","2,216,427.0","2,250,402.0","2,272,017.0","2,290,386.0","2,305,727.0","2,300,945.0","2,335,133.0","2,342,019.0","2,343,706.0","2,354,858.0","2,363,476.0","2,372,102.0","2,357,599.0","2,359,869.0","2,362,421.0","2,383,875.0","2,373,365.0","2,397,067.0","2,399,084.0","2,402,740.0","2,409,449.0","2,406,656.0","2,426,793.0","2,447,895.0","2,455,332.0","2,469,200.0","2,489,381.0","2,521,544.0","2,530,736.0","2,511,524.0","2,549,256.0","2,559,255.0","2,550,290.0","2,540,163.0","2,564,868.0","2,589,571.0","2,578,787.0","2,544,316.0"
"69","50","  Federal","A823RX1","715,326.0","712,492.0","707,649.0","681,081.0","695,265.0","705,172.0","692,741.0","690,744.0","681,445.0","693,525.0","691,261.0","690,311.0","668,783.0","687,184.0","681,472.0","688,147.0","683,601.0","683,594.0","697,936.0","713,445.0","685,216.0","712,641.0","698,827.0","695,597.0","710,403.0","725,623.0","730,493.0","739,318.0","756,915.0","774,408.0","786,673.0","799,967.0","800,196.0","838,775.0","839,598.0","845,722.0","856,570.0","861,440.0","876,385.0","865,596.0","869,204.0","870,044.0","890,394.0","875,557.0","900,511.0","892,839.0","892,002.0","894,404.0","883,557.0","898,930.0","919,680.0","922,184.0","937,601.0","955,289.0","987,466.0","1,006,920.0","994,110.0","1,029,184.0","1,043,539.0","1,043,590.0","1,048,350.0","1,071,503.0","1,094,338.0","1,093,441.0","1,071,052.0"
"70","51","    National defense","A824RX1","484,046.0","483,186.0","477,404.0","462,374.0","471,392.0","477,818.0","467,682.0","464,674.0","449,747.0","460,344.0","458,114.0","460,630.0","433,205.0","449,791.0","455,383.0","451,799.0","446,331.0","446,557.0","459,788.0","470,675.0","442,840.0","463,268.0","453,741.0","454,098.0","462,088.0","468,549.0","472,810.0","479,332.0","489,662.0","500,934.0","509,417.0","521,163.0","517,093.0","560,721.0","554,094.0","565,069.0","573,490.0","576,509.0","593,219.0","578,449.0","583,557.0","588,021.0","603,725.0","580,885.0","595,614.0","597,197.0","594,302.0","606,500.0","595,327.0","607,325.0","622,296.0","622,360.0","632,747.0","643,417.0","673,017.0","681,566.0","666,775.0","693,213.0","708,255.0","703,777.0","704,396.0","717,060.0","731,791.0","727,696.0","705,387.0"
