"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 17, 2009   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:43:20 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    National income without capital consumption adjustment","A422RC1","3,922,210.0","4,015,540.0","4,112,667.0","4,209,978.0","4,300,249.0","4,392,244.0","4,479,480.0","4,582,556.0","4,663,543.0","4,693,862.0","4,747,066.0","4,789,916.0","4,908,215.0","5,006,477.0","5,041,831.0","5,076,047.0","5,109,064.0","5,150,225.0","5,198,783.0","5,255,515.0","5,372,848.0","5,451,578.0","5,499,131.0","5,583,342.0","5,620,223.0","5,709,969.0","5,753,531.0","5,870,243.0","5,976,743.0","6,074,825.0","6,173,006.0","6,277,720.0","6,349,868.0","6,404,796.0","6,496,431.0","6,577,697.0","6,685,556.0","6,811,603.0","6,892,356.0","7,024,467.0","7,133,163.0","7,235,655.0","7,375,304.0","7,484,890.0","7,586,089.0","7,709,861.0","7,839,502.0","7,932,970.0","8,081,090.0","8,156,333.0","8,250,470.0","8,436,270.0","8,686,798.0","8,775,727.0","8,886,082.0","8,923,042.0"
"21","2","Domestic industries","A423RC1","3,908,073.0","3,997,044.0","4,094,636.0","4,190,026.0","4,274,889.0","4,368,907.0","4,458,406.0","4,558,879.0","4,639,971.0","4,670,831.0","4,721,597.0","4,758,292.0","4,878,090.0","4,975,345.0","5,015,268.0","5,026,175.0","5,071,165.0","5,123,304.0","5,175,267.0","5,224,209.0","5,342,178.0","5,421,284.0","5,471,984.0","5,554,892.0","5,583,626.0","5,679,703.0","5,717,032.0","5,848,878.0","5,948,446.0","6,050,376.0","6,151,037.0","6,256,131.0","6,318,371.0","6,370,291.0","6,475,896.0","6,545,611.0","6,647,111.0","6,781,657.0","6,865,779.0","6,992,755.0","7,110,011.0","7,204,770.0","7,352,096.0","7,468,336.0","7,560,681.0","7,687,111.0","7,829,882.0","7,921,480.0","8,058,274.0","8,128,352.0","8,225,504.0","8,400,825.0","8,655,822.0","8,741,333.0","8,855,539.0","8,867,975.0"
"22","3","  Private industries","A736RC1","3,366,472.0","3,448,797.0","3,540,375.0","3,626,796.0","3,699,031.0","3,780,674.0","3,862,731.0","3,953,650.0","4,022,813.0","4,045,278.0","4,085,786.0","4,114,484.0","4,218,134.0","4,304,257.0","4,334,957.0","4,335,705.0","4,361,282.0","4,406,015.0","4,452,483.0","4,494,423.0","4,596,834.0","4,666,892.0","4,710,765.0","4,792,271.0","4,812,191.0","4,903,469.0","4,933,056.0","5,061,369.0","5,150,281.0","5,243,591.0","5,340,969.0","5,442,926.0","5,492,968.0","5,542,543.0","5,644,790.0","5,710,642.0","5,800,432.0","5,927,887.0","6,005,727.0","6,126,292.0","6,232,615.0","6,321,174.0","6,461,218.0","6,571,486.0","6,653,124.0","6,771,870.0","6,905,533.0","6,988,567.0","7,108,198.0","7,168,130.0","7,253,207.0","7,416,718.0","7,652,536.0","7,726,268.0","7,832,872.0","7,837,800.0"
"23","4","    Agriculture, forestry, and fishing","B424RC1","64,206.0","64,751.0","66,438.0","69,297.0","73,641.0","68,151.0","70,852.0","60,269.0","79,862.0","76,779.0","76,255.0","79,732.0","84,268.0","83,461.0","83,157.0","81,239.0","77,634.0","78,828.0","75,582.0","80,133.0","85,070.0","87,929.0","88,340.0","83,923.0","76,823.0","82,222.0","72,684.0","87,057.0","94,898.0","92,076.0","89,037.0","85,680.0","78,651.0","77,354.0","81,119.0","89,119.0","97,869.0","106,385.0","96,573.0","99,270.0","102,660.0","93,705.0","98,437.0","96,644.0","92,687.0","91,182.0","90,520.0","96,824.0","96,236.0","90,995.0","88,471.0","88,542.0","89,698.0","96,043.0","95,547.0","95,480.0"
