"","Table 5#6#5A# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,348.0","15,672.0","-7,001.0","-12,736.0","27,977.0","16,510.0","1,015.0","63,094.0","17,001.0","19,680.0","18,175.0","19,073.0","48,171.0","36,042.0","9,955.0","16,605.0","13,925.0","33,713.0","21,876.0","-11,330.0","-15,528.0","-18,026.0","845.0","31,131.0","244.0","23,197.0","20,508.0","21,362.0","35,929.0","24,106.0","6,596.0","16,622.0","45,333.0","81,414.0","53,209.0","75,183.0","61,149.0","33,733.0","11,297.0","18,450.0","6,850.0","30,468.0","51,108.0","34,641.0","49,828.0","88,411.0","67,983.0","77,775.0"
"21","2","Farm \1\","B018RC1","1,753.0","1,378.0","-1,166.0","-1,893.0","1,607.0","377.0","-1,849.0","-3,488.0","2,530.0","4,155.0","2,268.0","-2,311.0","-457.0","2,042.0","991.0","-1,417.0","-4,230.0","4,986.0","2,569.0","2,781.0","-3,337.0","1,032.0","-98.0","-8,722.0","7,096.0","3,118.0","768.0","2,460.0","-503.0","-1,840.0","2,027.0","-3,034.0","-1,310.0","5,313.0","4,372.0","9,757.0","-599.0","373.0","7,194.0","-1,485.0","4,232.0","3,129.0","6,627.0","285.0","-601.0","-5,230.0","-12,495.0","-6,130.0","6,823.0","9,865.0","11,824.0","6,527.0","5,054.0","4,330.0","9,018.0","4,616.0","-7,308.0","-12,952.0","-32,384.0","-8,776.0","5,502.0","5,573.0","6,822.0","5,015.0","7,898.0","4,214.0","6,563.0","4,343.0","2,540.0","-3,460.0","-3,109.0","-1,772.0","-7,651.0","-10,722.0","-3,973.0","-3,326.0","-4,403.0","-12,184.0","-11,241.0","-19,680.0","7,221.0","2,874.0","-5,523.0","-4,627.0","1,803.0","-1,542.0","4,015.0","5,242.0","42.0","-690.0","-10,860.0","6,407.0","8,019.0","9,411.0","5,127.0","2,491.0","-5,621.0","-4,863.0","-12,512.0","-1,709.0","16,533.0","17,141.0","10,744.0","3,716.0","-5,838.0","-13,653.0","-20,367.0","-4,394.0","1,066.0","11,848.0","17,106.0","4,472.0","-521.0","783.0","8,335.0","4,724.0"
"22","3","Nonfarm","A015RC1","9,736.0","7,844.0","11,360.0","7,680.0","216.0","4,704.0","6,932.0","-496.0","9,724.0","6,720.0","7,920.0","2,016.0","3,684.0","9,956.0","12,724.0","8,908.0","14,780.0","13,220.0","7,192.0","22,212.0","15,856.0","16,384.0","5,676.0","29,168.0","-17,124.0","-17,072.0","-2,156.0","-2,112.0","15,196.0","24,288.0","18,780.0","13,552.0","16,132.0","14,156.0","26,512.0","14,364.0","26,052.0","23,884.0","17,772.0","29,972.0","19,620.0","24,272.0","5,504.0","8,268.0","10,500.0","12,980.0","-21,360.0","-2,988.0","31,932.0","1,848.0","32,136.0","18,280.0","-26,520.0","-8,496.0","-3,220.0","-44,436.0","-27,752.0","5,280.0","28,180.0","32,708.0","67,480.0","63,748.0","64,516.0","42,964.0","8,332.0","17,432.0","9,740.0","28,776.0","27,808.0","19,132.0","-3,892.0","-10,964.0","35,628.0","27,232.0","4,988.0","66,420.0","21,404.0","31,864.0","29,416.0","38,753.0","40,950.0","33,168.0","15,478.0","21,232.0","12,122.0","35,255.0","17,861.0","-16,572.0","-15,570.0","-17,336.0","11,705.0","24,724.0","-7,775.0","13,786.0","15,381.0","18,871.0","41,550.0","28,969.0","19,108.0","18,331.0","28,800.0","64,273.0","42,465.0","71,467.0","66,987.0","47,386.0","31,664.0","22,844.0","5,784.0","18,620.0","34,002.0","30,169.0","50,349.0","87,628.0","59,648.0","73,051.0"
"23","4","    Change in book value \2\","B016RC1","15,356.0","13,464.0","16,464.0","16,664.0","9,000.0","10,128.0","13,584.0","6,816.0","13,872.0","11,244.0","13,176.0","6,940.0","10,060.0","16,356.0","19,304.0","18,876.0","32,860.0","36,884.0","27,584.0","47,164.0","54,760.0","60,224.0","64,604.0","68,676.0","-2,856.0","-8,036.0","12,156.0","11,120.0","27,448.0","41,088.0","36,036.0","31,272.0","40,068.0","31,572.0","37,848.0","33,176.0","49,320.0","50,768.0","45,424.0","62,100.0","60,196.0","70,376.0","56,156.0","56,616.0","72,896.0","51,748.0","27,692.0","41,352.0","77,668.0","30,984.0","54,204.0","40,584.0","-12,940.0","-2,844.0","3,676.0","-39,096.0","-34,756.0","9,724.0","41,660.0","39,996.0","73,968.0","74,512.0","64,480.0","42,048.0","4,192.0","13,712.0","-552.0","34,984.0","1,072.0","-2,480.0","-15,932.0","-3,680.0","51,824.0","48,424.0","22,884.0","83,408.0","45,200.0","62,748.0","61,680.0","64,525.0","82,058.0","59,100.0","19,798.0","39,088.0","17,790.0","33,683.0","50,553.0","9,800.0","-30,626.0","-29,848.0","8,665.0","25,256.0","-12,891.0","25,438.0","20,313.0","19,319.0","47,418.0","37,337.0","16,028.0","21,971.0","39,528.0","75,293.0","61,637.0","89,171.0","105,475.0","82,930.0","42,800.0","30,400.0","7,888.0","20,008.0","28,406.0","29,529.0","28,530.0","65,085.0","40,521.0","61,667.0"
"24","5","    Inventory valuation adjustment \3\","B017RC1","-5,620.0","-5,620.0","-5,104.0","-8,984.0","-8,784.0","-5,424.0","-6,652.0","-7,312.0","-4,148.0","-4,524.0","-5,256.0","-4,924.0","-6,376.0","-6,400.0","-6,580.0","-9,968.0","-18,080.0","-23,664.0","-20,392.0","-24,952.0","-38,904.0","-43,840.0","-58,928.0","-39,508.0","-14,268.0","-9,036.0","-14,312.0","-13,232.0","-12,252.0","-16,800.0","-17,256.0","-17,720.0","-23,936.0","-17,416.0","-11,336.0","-18,812.0","-23,268.0","-26,884.0","-27,652.0","-32,128.0","-40,576.0","-46,104.0","-50,652.0","-48,348.0","-62,396.0","-38,768.0","-49,052.0","-44,340.0","-45,736.0","-29,136.0","-22,068.0","-22,304.0","-13,580.0","-5,652.0","-6,896.0","-5,340.0","7,004.0","-4,444.0","-13,480.0","-7,288.0","-6,488.0","-10,764.0","36.0","916.0","4,140.0","3,720.0","10,292.0","-6,208.0","26,736.0","21,612.0","12,040.0","-7,284.0","-16,196.0","-21,192.0","-17,896.0","-16,988.0","-23,796.0","-30,884.0","-32,264.0","-25,772.0","-41,108.0","-25,932.0","-4,320.0","-17,856.0","-5,668.0","1,572.0","-32,692.0","-26,372.0","15,056.0","12,512.0","3,040.0","-532.0","5,116.0","-11,652.0","-4,932.0","-448.0","-5,868.0","-8,368.0","3,080.0","-3,640.0","-10,728.0","-11,020.0","-19,172.0","-17,704.0","-38,488.0","-35,544.0","-11,136.0","-7,556.0","-2,104.0","-1,388.0","5,596.0","640.0","21,819.0","22,543.0","19,127.0","11,384.0"
"25","6","  Manufacturing","A150RC1","4,868.0","2,592.0","4,384.0","4,208.0","-1,196.0","716.0","2,176.0","-1,608.0","380.0","-1,364.0","-1,820.0","-1,980.0","756.0","2,576.0","5,756.0","1,608.0","6,780.0","7,408.0","6,384.0","11,180.0","7,292.0","11,360.0","9,284.0","15,528.0","-568.0","-8,564.0","-7,264.0","-204.0","2,736.0","9,192.0","9,716.0","10,380.0","1,896.0","5,664.0","9,864.0","3,316.0","3,316.0","11,780.0","9,872.0","12,376.0","8,956.0","10,568.0","7,488.0","10,252.0","15,960.0","4,640.0","-18,412.0","-2,096.0","12,460.0","-216.0","9,392.0","-5,556.0","-12,652.0","-14,848.0","-7,388.0","-21,576.0","-32,268.0","5,464.0","10,780.0","15,020.0","25,212.0","41,840.0","37,356.0","5,016.0","-8,696.0","-1,056.0","-8,136.0","-6,112.0","-7,392.0","516.0","-10,736.0","1,424.0","-76.0","3,972.0","9,704.0","17,956.0","12,884.0","13,708.0","10,760.0","28,180.0","19,052.0","22,708.0","13,340.0","1,432.0","16,248.0","7,632.0","12,144.0","-628.0","-5,260.0","-16,928.0","-4,720.0","-440.0","-9,792.0","-6,528.0","6,980.0","-9,328.0","2,548.0","9,504.0","5,096.0","-3,272.0","10,192.0","12,240.0","10,236.0","14,896.0","21,300.0","15,528.0","12,724.0","7,160.0","17,196.0","-3,424.0","13,996.0","12,620.0","16,533.0","23,539.0","20,205.0","26,716.0"
"26","7","    Durable goods","A624RC1","4,072.0","1,916.0","2,320.0","4,520.0","-1,572.0","-1,132.0","2,796.0","-2,156.0","-320.0","-2,520.0","-2,000.0","-3,384.0","612.0","1,084.0","4,712.0","2,908.0","5,708.0","6,732.0","9,688.0","9,124.0","4,476.0","5,120.0","7,716.0","10,328.0","512.0","-4,148.0","-8,352.0","-6,844.0","-440.0","4,580.0","5,624.0","9,352.0","1,468.0","896.0","5,144.0","3,116.0","5,208.0","10,204.0","8,520.0","10,052.0","11,204.0","11,344.0","5,796.0","11,128.0","6,616.0","2,008.0","-10,520.0","1,392.0","7,452.0","-2,760.0","8,656.0","-6,960.0","-14,168.0","-4,188.0","-8,712.0","-20,436.0","-26,360.0","3,184.0","1,520.0","13,648.0","16,928.0","29,024.0","29,844.0","12,400.0","-4,796.0","-536.0","-5,316.0","-12,544.0","-5,032.0","-2,968.0","-7,292.0","-5,444.0","-1,924.0","4,144.0","6,316.0","12,192.0","8,200.0","9,380.0","9,524.0","22,648.0","18,468.0","13,532.0","7,468.0","3,368.0","9,480.0","5,012.0","6,712.0","-1,024.0","-9,848.0","-15,252.0","-5,516.0","-7,796.0","-11,288.0","-7,676.0","-2,088.0","-11,136.0","896.0","6,104.0","6,728.0","916.0","8,060.0","10,864.0","6,404.0","11,128.0","12,740.0","9,496.0","11,700.0","10,032.0","15,680.0","2,236.0","12,756.0","7,384.0","9,020.0","16,035.0","14,418.0","17,774.0"
"27","8","    Nondurable goods","A625RC1","796.0","676.0","2,064.0","-312.0","376.0","1,848.0","-620.0","548.0","700.0","1,156.0","180.0","1,404.0","144.0","1,492.0","1,044.0","-1,300.0","1,072.0","676.0","-3,304.0","2,056.0","2,816.0","6,240.0","1,568.0","5,200.0","-1,080.0","-4,416.0","1,088.0","6,640.0","3,176.0","4,612.0","4,092.0","1,028.0","428.0","4,768.0","4,720.0","200.0","-1,892.0","1,576.0","1,352.0","2,324.0","-2,248.0","-776.0","1,692.0","-876.0","9,344.0","2,632.0","-7,892.0","-3,488.0","5,008.0","2,544.0","736.0","1,404.0","1,516.0","-10,660.0","1,324.0","-1,140.0","-5,908.0","2,280.0","9,260.0","1,372.0","8,284.0","12,816.0","7,512.0","-7,384.0","-3,900.0","-520.0","-2,820.0","6,432.0","-2,360.0","3,484.0","-3,444.0","6,868.0","1,848.0","-172.0","3,388.0","5,764.0","4,684.0","4,328.0","1,236.0","5,532.0","584.0","9,176.0","5,872.0","-1,936.0","6,768.0","2,620.0","5,432.0","396.0","4,588.0","-1,676.0","796.0","7,356.0","1,496.0","1,148.0","9,068.0","1,808.0","1,652.0","3,400.0","-1,632.0","-4,188.0","2,132.0","1,376.0","3,832.0","3,768.0","8,560.0","6,032.0","1,024.0","-2,872.0","1,516.0","-5,660.0","1,240.0","5,236.0","7,513.0","7,504.0","5,787.0","8,942.0"
