"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1947 To 1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 10:14:14 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Gross saving","A929RC1","46,582.0","43,979.0","45,086.0","50,647.0","55,398.0","59,120.0","58,660.0","58,932.0","51,099.0","44,066.0","46,020.0","41,292.0","48,740.0","56,656.0","63,056.0","74,122.0","70,816.0","77,487.0","75,561.0","76,458.0","77,057.0","70,791.0","73,150.0","75,673.0","77,035.0","77,430.0","77,217.0","68,861.0","71,888.0","72,030.0","72,604.0","76,992.0","81,703.0","88,050.0","89,103.0","93,130.0","96,656.0","97,666.0","101,266.0","101,922.0","102,053.0","101,981.0","101,841.0","92,589.0","88,831.0","84,399.0","91,019.0","98,965.0","104,607.0","111,127.0","102,917.0","105,677.0","118,214.0","110,779.0","110,996.0","105,147.0","108,189.0","110,168.0","117,052.0","121,757.0","124,415.0","123,864.0","125,641.0","125,699.0","128,456.0","133,065.0","133,549.0","137,605.0","140,017.0","140,256.0","143,560.0","149,681.0","157,154.0","158,691.0","158,756.0","159,212.0","167,525.0","167,297.0","167,349.0","172,752.0","168,105.0","164,353.0","171,853.0","177,895.0","176,161.0","181,942.0","182,365.0","187,637.0","196,039.0"
"21","2","Net saving","W201RC1","20,990.0","17,716.0","17,993.0","22,998.0","27,466.0","30,863.0","29,930.0","29,990.0","21,856.0","14,869.0","16,898.0","12,134.0","19,642.0","27,281.0","32,977.0","42,905.0","38,317.0","44,025.0","41,291.0","41,522.0","41,692.0","34,855.0","36,525.0","38,461.0","39,168.0","38,947.0","38,342.0","29,541.0","32,096.0","31,646.0","31,758.0","35,631.0","40,041.0","45,866.0","45,978.0","48,958.0","51,170.0","51,040.0","53,595.0","53,288.0","52,408.0","51,484.0","50,552.0","40,644.0","36,560.0","31,508.0","37,405.0","44,722.0","49,804.0","55,870.0","47,270.0","49,730.0","62,059.0","54,369.0","54,299.0","48,073.0","50,714.0","52,246.0","58,654.0","62,822.0","64,824.0","63,747.0","64,772.0","64,042.0","66,160.0","70,061.0","69,884.0","73,243.0","74,926.0","74,376.0","76,810.0","81,937.0","88,322.0","88,637.0","87,416.0","86,561.0","93,458.0","91,602.0","90,115.0","93,933.0","87,727.0","82,368.0","88,080.0","92,293.0","88,612.0","92,569.0","91,068.0","94,182.0","100,401.0"
"22","3","  Net private saving","W202RC1","13,371.0","10,859.0","14,833.0","13,654.0","18,642.0","24,529.0","27,266.0","28,281.0","23,711.0","19,933.0","21,734.0","16,937.0","26,988.0","23,751.0","17,657.0","26,904.0","18,371.0","31,461.0","33,518.0","32,839.0","31,931.0","29,094.0","32,139.0","31,530.0","31,995.0","32,320.0","31,397.0","29,142.0","31,886.0","30,330.0","30,154.0","32,583.0","33,500.0","35,904.0","37,356.0","37,329.0","38,440.0","39,909.0","41,391.0","41,713.0","41,531.0","42,924.0","42,183.0","38,679.0","37,165.0","37,332.0","41,327.0","44,631.0","43,651.0","47,207.0","40,284.0","43,369.0","46,141.0","41,996.0","43,421.0","41,562.0","44,175.0","47,541.0","51,750.0","53,634.0","57,579.0","56,660.0","56,215.0","56,296.0","56,748.0","58,311.0","58,073.0","62,253.0","66,577.0","70,760.0","69,125.0","72,425.0","74,590.0","75,436.0","81,372.0","80,450.0","80,786.0","80,178.0","80,629.0","87,470.0","89,776.0","85,866.0","90,183.0","93,939.0","87,496.0","91,890.0","82,315.0","84,519.0","78,565.0"
"23","4","    Domestic business","A127RC1","3,130.0","6,695.0","6,520.0","7,247.0","10,240.0","11,703.0","10,984.0","12,745.0","12,459.0","11,412.0","12,313.0","8,892.0","7,851.0","8,746.0","8,998.0","9,893.0","5,532.0","9,290.0","12,016.0","11,850.0","11,561.0","10,060.0","9,895.0","12,004.0","11,921.0","10,310.0","9,883.0","7,662.0","9,610.0","11,019.0","11,489.0","13,594.0","16,102.0","16,949.0","16,415.0","16,454.0","15,146.0","14,484.0","15,053.0","14,165.0","15,238.0","14,879.0","14,703.0","13,076.0","9,954.0","10,234.0","12,212.0","15,312.0","16,999.0","19,419.0","16,467.0","17,231.0","18,749.0","16,840.0","16,698.0","15,505.0","14,679.0","17,438.0","18,097.0","19,370.0","23,209.0","22,306.0","22,696.0","24,681.0","24,392.0","25,773.0","26,158.0","26,589.0","29,876.0","29,162.0","29,283.0","28,379.0","34,532.0","35,030.0","35,033.0","36,441.0","38,476.0","37,723.0","36,685.0","39,096.0","36,056.0","34,566.0","35,145.0","37,297.0","32,591.0","34,841.0","34,310.0","34,610.0","33,954.0"
"24","5","      Undistributed corporate profits","B057RC1","15,196.0","13,720.0","13,284.0","15,224.0","15,896.0","17,460.0","16,676.0","15,644.0","13,784.0","11,352.0","12,108.0","11,420.0","11,052.0","14,692.0","18,852.0","21,284.0","17,204.0","13,156.0","11,344.0","12,932.0","12,784.0","11,316.0","11,568.0","13,416.0","14,468.0","13,672.0","13,292.0","8,608.0","10,696.0","11,900.0","12,808.0","14,344.0","16,908.0","17,200.0","17,212.0","18,140.0","17,084.0","17,708.0","16,372.0","17,596.0","17,904.0","16,448.0","15,728.0","13,580.0","10,048.0","10,304.0","12,860.0","16,520.0","17,756.0","20,012.0","16,452.0","15,616.0","18,304.0","15,916.0","14,372.0","13,340.0","12,628.0","14,004.0","15,360.0","17,120.0","17,652.0","17,196.0","18,036.0","18,652.0","17,812.0","19,360.0","20,072.0","20,644.0","23,160.0","22,524.0","23,144.0","22,160.0","27,624.0","28,564.0","28,596.0","30,736.0","31,876.0","32,444.0","32,384.0","31,892.0","28,496.0","27,884.0","28,480.0","31,692.0","28,856.0","29,256.0","28,852.0","30,140.0","29,796.0"
"25","6","      Inventory valuation adjustment, corporate","B058RC1","-9,652.0","-4,676.0","-4,048.0","-5,220.0","-2,876.0","-2,868.0","-2,796.0","-68.0","1,404.0","2,836.0","2,984.0","200.0","-700.0","-3,316.0","-7,304.0","-8,540.0","-8,724.0","-1,012.0","3,464.0","1,476.0","1,272.0","1,156.0","700.0","796.0","-432.0","-1,596.0","-2,004.0","44.0","-12.0","-36.0","-684.0","-540.0","-1,108.0","-884.0","-2,192.0","-2,760.0","-2,912.0","-3,644.0","-1,192.0","-3,024.0","-2,424.0","-1,508.0","-1,280.0","-944.0","-220.0","312.0","-244.0","-868.0","-628.0","-996.0","-332.0","848.0","-868.0","-604.0","516.0","264.0","-76.0","1,016.0","324.0","-180.0","444.0","-124.0","-752.0","536.0","984.0","216.0","-232.0","-752.0","-236.0","-144.0","-900.0","-696.0","-400.0","-1,120.0","-1,520.0","-1,940.0","-1,196.0","-2,664.0","-3,612.0","-956.0","-372.0","-1,324.0","-1,728.0","-2,792.0","-4,676.0","-2,924.0","-2,952.0","-4,052.0","-4,932.0"
"26","7","      Capital consumption adjustment, corporate","A059RC1","-2,414.0","-2,349.0","-2,716.0","-2,757.0","-2,780.0","-2,889.0","-2,896.0","-2,831.0","-2,729.0","-2,776.0","-2,779.0","-2,728.0","-2,501.0","-2,630.0","-2,550.0","-2,851.0","-2,948.0","-2,854.0","-2,792.0","-2,558.0","-2,495.0","-2,412.0","-2,373.0","-2,208.0","-2,115.0","-1,766.0","-1,405.0","-990.0","-1,074.0","-845.0","-635.0","-210.0","302.0","633.0","1,395.0","1,074.0","974.0","420.0","-127.0","-407.0","-242.0","-61.0","255.0","440.0","126.0","-382.0","-404.0","-340.0","-129.0","403.0","347.0","767.0","1,313.0","1,528.0","1,810.0","1,901.0","2,127.0","2,418.0","2,413.0","2,430.0","5,113.0","5,234.0","5,412.0","5,493.0","5,596.0","6,197.0","6,318.0","6,697.0","6,952.0","6,782.0","7,039.0","6,915.0","7,308.0","7,586.0","7,957.0","7,645.0","7,796.0","7,943.0","7,913.0","8,160.0","7,932.0","8,006.0","8,393.0","8,397.0","8,411.0","8,509.0","8,410.0","8,522.0","9,090.0"
"27","8","    Households and institutions","W986RC1","10,241.0","4,164.0","8,313.0","6,407.0","8,402.0","12,826.0","16,282.0","15,536.0","11,252.0","8,521.0","9,421.0","8,045.0","19,137.0","15,005.0","8,659.0","17,011.0","12,839.0","22,171.0","21,502.0","20,989.0","20,370.0","19,034.0","22,244.0","19,526.0","20,074.0","22,010.0","21,514.0","21,480.0","22,276.0","19,311.0","18,665.0","18,989.0","17,398.0","18,955.0","20,941.0","20,875.0","23,294.0","25,425.0","26,338.0","27,548.0","26,293.0","28,045.0","27,480.0","25,603.0","27,211.0","27,098.0","29,115.0","29,319.0","26,652.0","27,788.0","23,817.0","26,138.0","27,392.0","25,156.0","26,723.0","26,057.0","29,496.0","30,103.0","33,653.0","34,264.0","34,370.0","34,354.0","33,519.0","31,615.0","32,356.0","32,538.0","31,915.0","35,664.0","36,701.0","41,598.0","39,842.0","44,046.0","40,058.0","40,406.0","46,339.0","44,009.0","42,310.0","42,455.0","43,944.0","48,374.0","53,720.0","51,300.0","55,038.0","56,642.0","54,905.0","57,049.0","48,005.0","49,909.0","44,611.0"
