"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"19","1","Gross domestic product","A191RX1","4,261,800.0","4,269,940.0","4,413,263.0","4,647,730.0","4,917,010.0","4,889,916.0","4,879,519.0","5,141,295.0","5,377,652.0","5,677,624.0","5,855,049.0","5,838,979.0","5,987,189.0","5,870,945.0","6,136,170.0","6,577,116.0","6,849,265.0","7,086,509.0","7,313,277.0","7,613,888.0","7,885,927.0","8,033,908.0","8,015,143.0","8,287,072.0","8,523,449.0","8,870,673.0","9,093,723.0","9,433,894.0","9,854,333.0","10,283,516.0","10,779,849.0","11,225,977.0","11,347,156.0","11,552,973.0","11,840,700.0","12,263,814.0","12,638,375.0","12,976,249.0","13,228,853.0","13,228,848.0","12,880,611.0","13,248,215.0"
"20","2","Less: Exports of goods and services","A020RX1","158,439.0","175,471.0","178,449.0","191,842.0","228,006.0","246,026.0","244,469.0","255,144.0","261,284.0","288,833.0","317,463.0","351,657.0","355,979.0","328,777.0","320,299.0","346,438.0","356,959.0","384,357.0","425,700.0","493,883.0","550,645.0","600,181.0","640,027.0","683,980.0","706,389.0","767,987.0","845,737.0","915,967.0","1,025,126.0","1,048,517.0","1,094,277.0","1,188,310.0","1,121,643.0","1,099,176.0","1,116,790.0","1,222,814.0","1,305,057.0","1,422,020.0","1,554,404.0","1,647,699.0","1,490,742.0","1,665,549.0"
"21","3","Plus: Imports of goods and services","A021RX1","226,889.0","236,567.0","249,193.0","277,236.0","290,101.0","283,528.0","252,017.0","301,295.0","334,232.0","363,191.0","369,222.0","344,705.0","353,762.0","349,315.0","393,385.0","489,144.0","520,887.0","565,399.0","598,855.0","622,388.0","649,797.0","673,049.0","672,049.0","719,168.0","781,355.0","874,566.0","944,539.0","1,026,688.0","1,164,967.0","1,301,126.0","1,450,891.0","1,639,889.0","1,593,762.0","1,647,993.0","1,720,728.0","1,910,804.0","2,027,790.0","2,151,204.0","2,209,290.0","2,151,749.0","1,853,766.0","2,088,048.0"
"22","4","Equals: Gross domestic purchases","A712RX1","4,358,639.0","4,351,976.0","4,506,864.0","4,755,765.0","4,991,186.0","4,926,208.0","4,872,035.0","5,189,162.0","5,464,380.0","5,763,201.0","5,903,284.0","5,789,622.0","5,944,665.0","5,865,360.0","6,208,271.0","6,745,366.0","7,045,325.0","7,303,310.0","7,518,431.0","7,758,750.0","7,990,934.0","8,104,610.0","8,034,575.0","8,309,624.0","8,592,907.0","8,976,049.0","9,189,037.0","9,542,040.0","9,992,756.0","10,539,933.0","11,141,135.0","11,681,390.0","11,825,692.0","12,107,655.0","12,449,186.0","12,952,496.0","13,361,108.0","13,705,691.0","13,883,891.0","13,729,406.0","13,233,574.0","13,663,597.0"
"23","5","Less: Change in private inventories","A014RX1","30,279.0","5,605.0","24,989.0","25,674.0","39,010.0","29,070.0","-12,777.0","34,260.0","43,103.0","45,578.0","27,977.0","-9,328.0","38,959.0","-19,678.0","-7,650.0","78,263.0","25,419.0","8,491.0","33,196.0","21,918.0","30,620.0","16,566.0","-1,428.0","17,898.0","22,250.0","69,285.0","32,072.0","31,183.0","77,370.0","71,625.0","68,533.0","60,233.0","-41,771.0","12,769.0","17,339.0","66,326.0","49,953.0","59,423.0","27,725.0","-37,628.0","-113,124.0","62,651.0"
"24","6","Equals: Final sales to domestic purchasers","A713RX1","4,345,679.0","4,370,852.0","4,501,406.0","4,749,159.0","4,962,211.0","4,910,288.0","4,918,881.0","5,167,901.0","5,431,522.0","5,725,164.0","5,889,144.0","5,828,171.0","5,916,709.0","5,916,862.0","6,244,582.0","6,663,996.0","7,035,262.0","7,315,866.0","7,501,625.0","7,752,752.0","7,972,490.0","8,103,198.0","8,053,836.0","8,306,516.0","8,584,490.0","8,914,493.0","9,168,320.0","9,520,449.0","9,920,875.0","10,473,466.0","11,077,043.0","11,623,068.0","11,870,837.0","12,098,424.0","12,433,433.0","12,886,825.0","13,311,156.0","13,646,542.0","13,855,034.0","13,768,170.0","13,344,971.0","13,592,132.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RX1","4,248,593.0","4,287,919.0","4,407,376.0","4,640,633.0","4,888,160.0","4,874,142.0","4,926,300.0","5,120,246.0","5,344,898.0","5,639,740.0","5,841,208.0","5,878,673.0","5,959,520.0","5,923,299.0","6,172,921.0","6,495,603.0","6,838,948.0","7,098,737.0","7,296,167.0","7,607,817.0","7,867,499.0","8,032,667.0","8,034,769.0","8,284,284.0","8,515,250.0","8,809,201.0","9,073,181.0","9,412,471.0","9,782,604.0","10,217,068.0","10,715,681.0","11,167,513.0","11,391,739.0","11,543,517.0","11,824,751.0","12,198,177.0","12,588,423.0","12,917,095.0","13,200,021.0","13,268,069.0","12,992,795.0","13,176,694.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
