"","Table 5#6#5B# Change in Private Inventories by Industry         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60"
"1","[Millions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published April 28, 2011    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/27/2011 9:42:37 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1"
"20","1","    Change in private inventories","A014RC1","49,828.0","88,411.0","67,983.0","77,775.0","105,075.0","37,308.0","52,448.0","60,047.0","83,317.0","35,053.0","40,565.0","84,328.0","16,059.0","90,402.0","57,242.0","54,473.0","-30,665.0","-11,596.0","-30,091.0","-80,784.0","-13,366.0","13,219.0","18,282.0","29,968.0","28,644.0","-3,124.0","4,185.0","35,795.0","51,388.0","76,023.0","60,768.0","71,463.0","90,712.0","15,876.0","11,040.0","82,182.0","65,962.0","72,423.0","69,104.0","32,331.0","17,021.0","47,513.0","39,379.0","12,577.0","-13,723.0","-23,283.0","-29,426.0","-98,028.0","-141,854.0","-179,543.0","-143,279.0","-44,215.0","49,985.0","80,379.0","138,587.0","17,815.0","52,510.0"
"21","2","Farm","B018RC1","-521.0","783.0","8,335.0","4,724.0","5,597.0","-4,938.0","557.0","3,850.0","4,032.0","-255.0","-9,052.0","-5,646.0","-17,838.0","5,902.0","-1,119.0","7,461.0","5,580.0","-3,031.0","1,830.0","-4,233.0","3,321.0","-10,319.0","-2,290.0","-702.0","2,851.0","-1,376.0","997.0","-2,104.0","4,448.0","18,422.0","7,697.0","4,662.0","-6,534.0","338.0","4,380.0","2,283.0","3,656.0","-8,144.0","-6,304.0","-3,620.0","5,244.0","-4,979.0","-2,266.0","-824.0","-7,318.0","5,015.0","2,305.0","6,516.0","2,393.0","6,605.0","-695.0","7,056.0","9,309.0","9,579.0","6,339.0","915.0","-2,214.0"
"22","3","Mining, utilities, and construction","N541RC1","12.0","3,442.0","3,269.0","-645.0","5,775.0","5,357.0","3,898.0","6,536.0","145.0","208.0","-2,171.0","-3,268.0","2,364.0","-2,579.0","-733.0","-7,839.0","9,882.0","10,839.0","5,060.0","6,995.0","-92.0","-3,404.0","-5,140.0","-3,724.0","7,149.0","2,800.0","5,656.0","7,927.0","-2,155.0","743.0","4,432.0","2,320.0","3,454.0","9,370.0","-1,798.0","3,967.0","9,627.0","20,455.0","19,143.0","17,376.0","5,484.0","7,563.0","-7,699.0","-6,163.0","-6,570.0","-7,126.0","-11,115.0","-19,252.0","3,819.0","2,138.0","-1,997.0","-17,286.0","-11,928.0","4,908.0","-2,908.0","-1,044.0","-2,028.0"
"23","4","Manufacturing","N150RC1","15,538.0","22,744.0","20,017.0","25,971.0","31,610.0","15,634.0","6,873.0","7,575.0","12,168.0","4,617.0","15,454.0","23,310.0","-3,591.0","14,056.0","5,926.0","11,135.0","-20,117.0","-19,162.0","-24,049.0","-30,696.0","-25,255.0","-2,951.0","5,916.0","5,558.0","1,059.0","-9,255.0","-18,263.0","-3,226.0","-1,455.0","6,509.0","2,401.0","15,471.0","41,368.0","2,213.0","11,743.0","28,860.0","19,450.0","23,773.0","20,371.0","7,051.0","7,768.0","22,759.0","13,696.0","22,717.0","29,542.0","-24,757.0","-24,487.0","-25,586.0","-35,279.0","-42,173.0","-37,058.0","-7,043.0","23,644.0","-2,120.0","33,564.0","30,592.0","42,216.0"
"24","5","  Durable goods industries","N624RC1","8,981.0","15,785.0","14,349.0","17,470.0","29,679.0","16,509.0","9,253.0","8,629.0","5,708.0","-3,619.0","10,540.0","12,644.0","-1,944.0","9,486.0","4,408.0","12,927.0","-14,588.0","-12,762.0","-22,483.0","-28,224.0","-15,397.0","-6,249.0","-2,680.0","4,551.0","1,924.0","-9,611.0","-15,420.0","3,926.0","-2,844.0","6,167.0","3,038.0","9,573.0","27,769.0","5,739.0","13,312.0","19,520.0","8,019.0","12,387.0","17,563.0","10,566.0","11,580.0","7,393.0","6,909.0","22,144.0","-5,355.0","-18,629.0","-8,528.0","8,956.0","-36,612.0","-37,024.0","-41,309.0","-21,806.0","9,904.0","24,980.0","20,848.0","17,796.0","24,420.0"
"25","6","  Nondurable goods industries","N625RC1","6,557.0","6,959.0","5,668.0","8,501.0","1,931.0","-875.0","-2,380.0","-1,054.0","6,460.0","8,236.0","4,914.0","10,666.0","-1,647.0","4,570.0","1,518.0","-1,792.0","-5,529.0","-6,400.0","-1,566.0","-2,472.0","-9,858.0","3,298.0","8,596.0","1,007.0","-865.0","356.0","-2,843.0","-7,152.0","1,389.0","342.0","-637.0","5,898.0","13,599.0","-3,526.0","-1,569.0","9,340.0","11,431.0","11,386.0","2,808.0","-3,515.0","-3,812.0","15,366.0","6,787.0","573.0","34,897.0","-6,128.0","-15,959.0","-34,542.0","1,333.0","-5,149.0","4,251.0","14,763.0","13,740.0","-27,100.0","12,716.0","12,796.0","17,796.0"
"26","7","Wholesale trade","N658RC1","20,377.0","33,799.0","16,683.0","30,457.0","30,552.0","13,383.0","27,141.0","14,653.0","21,786.0","7,730.0","21,037.0","25,090.0","16,294.0","24,325.0","13,617.0","21,182.0","-5,842.0","-6,194.0","-22,765.0","-14,543.0","-7,274.0","4,163.0","4,020.0","-1,338.0","-6,295.0","-7,038.0","-2,250.0","13,228.0","13,681.0","15,842.0","27,443.0","22,100.0","35,201.0","12,498.0","2,106.0","22,713.0","18,413.0","21,042.0","17,131.0","-1,827.0","1,673.0","6,744.0","18,811.0","-8,049.0","907.0","21,641.0","12,523.0","-28,065.0","-60,114.0","-84,905.0","-68,152.0","-10,931.0","15,652.0","36,512.0","67,628.0","13,756.0","18,800.0"
"27","8","  Durable goods industries","N661RC1","15,647.0","26,292.0","8,338.0","18,728.0","25,366.0","8,677.0","21,949.0","12,093.0","15,612.0","11,076.0","10,354.0","19,246.0","11,360.0","21,856.0","8,573.0","12,307.0","-6,458.0","-20,778.0","-21,355.0","-18,062.0","-6,650.0","3,301.0","9,413.0","-4,509.0","3,423.0","-3,169.0","-7,536.0","10,401.0","14,647.0","16,897.0","26,774.0","12,732.0","22,522.0","11,826.0","1,166.0","17,968.0","5,943.0","16,627.0","17,406.0","-2,390.0","11,903.0","-6,774.0","-3,535.0","1,668.0","13,610.0","11,186.0","26,581.0","-18,253.0","-66,927.0","-63,148.0","-53,084.0","-27,508.0","9,304.0","12,712.0","31,664.0","24,700.0","19,592.0"
"28","9","  Nondurable goods industries","N664RC1","4,730.0","7,507.0","8,345.0","11,729.0","5,186.0","4,706.0","5,192.0","2,560.0","6,174.0","-3,346.0","10,683.0","5,844.0","4,934.0","2,469.0","5,044.0","8,875.0","616.0","14,584.0","-1,410.0","3,519.0","-624.0","862.0","-5,393.0","3,171.0","-9,718.0","-3,869.0","5,286.0","2,827.0","-966.0","-1,055.0","669.0","9,368.0","12,679.0","672.0","940.0","4,745.0","12,470.0","4,415.0","-275.0","563.0","-10,230.0","13,518.0","22,346.0","-9,717.0","-12,703.0","10,455.0","-14,058.0","-9,812.0","6,813.0","-21,757.0","-15,068.0","16,577.0","6,348.0","23,800.0","35,964.0","-10,944.0","-792.0"
"29","10","Retail trade","N153RC1","6,240.0","23,084.0","16,334.0","12,152.0","28,210.0","2,369.0","8,732.0","19,236.0","37,870.0","14,075.0","8,435.0","39,359.0","7,978.0","35,237.0","21,030.0","15,585.0","-21,913.0","6,770.0","10,596.0","-36,717.0","19,050.0","24,475.0","16,952.0","31,699.0","24,425.0","8,088.0","16,923.0","18,164.0","30,829.0","28,904.0","12,156.0","20,865.0","14,669.0","-11,135.0","-5,488.0","20,424.0","11,754.0","8,245.0","14,031.0","9,227.0","-8,917.0","9,573.0","13,887.0","1,768.0","-34,900.0","-21,214.0","-13,208.0","-41,485.0","-45,645.0","-52,795.0","-27,477.0","-9,459.0","13,656.0","27,244.0","31,580.0","-27,688.0","-1,248.0"
"30","11","  Motor vehicle and parts dealers","N631RC1","736.0","6,955.0","5,427.0","7,454.0","9,873.0","-6,248.0","-4,172.0","7,876.0","24,716.0","573.0","2,534.0","21,937.0","2,028.0","23,531.0","15,812.0","6,149.0","-26,404.0","9,252.0","8,633.0","-28,796.0","19,698.0","18,465.0","2,911.0","28,106.0","16,956.0","11,830.0","7,593.0","14,837.0","14,431.0","13,293.0","1,907.0","-10.0","3,197.0","-18,975.0","-7,481.0","12,106.0","1,234.0","234.0","1,090.0","-4,030.0","-8,957.0","2,984.0","18,475.0","-1,054.0","-13,523.0","-12,242.0","-11,619.0","-11,145.0","-24,655.0","-31,004.0","-3,855.0","6,496.0","12,272.0","17,244.0","25,000.0","-30,348.0","-4,724.0"
"31","12","  Food and beverage stores","N542RC1","315.0","444.0","1,361.0","-743.0","976.0","1,780.0","-137.0","1,147.0","1,837.0","1,524.0","2,054.0","702.0","-75.0","-1,890.0","386.0","-664.0","856.0","593.0","14.0","171.0","-145.0","20.0","1,588.0","-839.0","-840.0","-2,925.0","1,366.0","-2,369.0","401.0","930.0","363.0","-101.0","326.0","197.0","-1,915.0","975.0","1,747.0","1,204.0","685.0","56.0","-629.0","1,498.0","2,285.0","1,189.0","-415.0","400.0","-363.0","-1,037.0","2,562.0","-1,246.0","-711.0","-3,369.0","1,304.0","-1,136.0","360.0","-1,472.0","-120.0"
"32","13","  General merchandise stores","N543RC1","-387.0","3,173.0","-1,189.0","-1,029.0","-185.0","-166.0","2,477.0","-690.0","3,022.0","2,144.0","1,997.0","3,613.0","379.0","2,584.0","-843.0","2,040.0","5,165.0","726.0","-145.0","-5,106.0","-1,790.0","-343.0","3,792.0","4,001.0","559.0","961.0","1,831.0","574.0","6,039.0","3,133.0","1,380.0","7,352.0","5,746.0","-52.0","2,264.0","882.0","-2,263.0","-1,335.0","6,463.0","3,791.0","990.0","542.0","-3,454.0","1,106.0","-6,818.0","-1,175.0","272.0","-5,143.0","-4,111.0","-3,261.0","-4,843.0","-1,076.0","-208.0","4,896.0","2,344.0","4,464.0","1,976.0"
"33","14","  Other retail stores","N558RC1","5,576.0","12,512.0","10,735.0","6,470.0","17,546.0","7,003.0","10,564.0","10,903.0","8,295.0","9,834.0","1,850.0","13,107.0","5,646.0","11,012.0","5,675.0","8,060.0","-1,530.0","-3,801.0","2,094.0","-2,986.0","1,287.0","6,333.0","8,661.0","431.0","7,750.0","-1,778.0","6,133.0","5,122.0","9,958.0","11,548.0","8,506.0","13,624.0","5,400.0","7,695.0","1,644.0","6,461.0","11,036.0","8,142.0","5,793.0","9,410.0","-321.0","4,549.0","-3,419.0","527.0","-14,144.0","-8,197.0","-1,498.0","-24,160.0","-19,441.0","-17,284.0","-18,068.0","-11,510.0","288.0","6,240.0","3,876.0","-332.0","1,620.0"
"34","15","Other industries","N154RC1","8,182.0","4,558.0","3,345.0","5,117.0","3,330.0","5,503.0","5,248.0","8,197.0","7,317.0","8,679.0","6,862.0","5,483.0","10,853.0","13,462.0","18,522.0","6,949.0","1,747.0","-818.0","-763.0","-1,591.0","-3,117.0","1,256.0","-1,175.0","-1,524.0","-546.0","3,657.0","1,123.0","1,808.0","6,041.0","5,603.0","6,637.0","6,046.0","2,551.0","2,593.0","99.0","3,936.0","3,064.0","7,052.0","4,732.0","4,123.0","5,771.0","5,851.0","2,951.0","3,127.0","4,615.0","3,158.0","4,557.0","9,843.0","-7,028.0","-8,410.0","-7,900.0","-6,552.0","-348.0","4,256.0","2,384.0","1,284.0","-3,016.0"
"35",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
