"","Table 5#6#5A# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Change in private inventories","A014RC1","495.0","-1,240.0","-2,917.0","1,456.0","3,626.0","5,859.0","7,152.0","5,997.0","388.0","-5,148.0","-1,307.0","-4,699.0","2,024.0","2,833.0","4,177.0","14,044.0","10,386.0","14,792.0","9,740.0","4,719.0","4,732.0","-1,523.0","5,574.0","5,274.0","3,890.0","3,577.0","2,331.0","-2,006.0","-1,966.0","-3,378.0","-2,091.0","-316.0","3,804.0","4,620.0","4,295.0","7,233.0","6,398.0","3,585.0","3,569.0","2,244.0","2,162.0","2,657.0","2,808.0","-4,518.0","-4,009.0","-4,235.0","1,547.0","5,235.0","3,876.0","7,288.0","384.0","4,120.0","11,200.0","3,224.0","4,320.0","-5,812.0","-2,548.0","1,792.0","6,656.0","5,996.0","9,408.0","5,444.0","6,188.0","3,364.0","6,868.0","4,836.0","5,716.0","5,064.0","5,124.0","4,456.0","4,692.0","5,016.0","11,544.0","8,568.0","9,292.0","7,584.0","13,872.0","12,316.0","11,852.0","16,504.0","15,423.0","6,341.0","9,263.0","8,433.0","8,438.0","14,082.0","7,681.0","6,007.0","11,489.0","9,222.0","10,194.0","5,787.0"
"21","2","Farm \1\","B018RC1","-1,144.0","-2,720.0","-2,476.0","-824.0","1,260.0","2,832.0","3,420.0","3,140.0","-204.0","-1,152.0","-884.0","-172.0","-140.0","-1,332.0","480.0","652.0","1,172.0","944.0","768.0","1,108.0","972.0","1,880.0","2,216.0","456.0","772.0","-684.0","684.0","2,124.0","848.0","-212.0","700.0","-536.0","-123.0","-1,119.0","-1,323.0","309.0","-18.0","-1,458.0","-750.0","-1,630.0","257.0","657.0","497.0","-1,043.0","2,249.0","1,597.0","2,221.0","1,813.0","-280.0","-1,924.0","-2,252.0","-1,792.0","612.0","872.0","976.0","-248.0","572.0","604.0","936.0","1,408.0","1,524.0","212.0","240.0","356.0","1,920.0","84.0","-644.0","608.0","-636.0","-1,208.0","-1,784.0","-1,084.0","348.0","1,148.0","788.0","1,004.0","640.0","-1,656.0","-556.0","-428.0","1,747.0","2,149.0","527.0","-887.0","3,034.0","4,254.0","225.0","-2,029.0","1,753.0","1,378.0","-1,166.0","-1,893.0"
"22","3","Nonfarm","A015RC1","1,639.0","1,480.0","-441.0","2,280.0","2,366.0","3,027.0","3,732.0","2,857.0","592.0","-3,996.0","-423.0","-4,527.0","2,164.0","4,165.0","3,697.0","13,392.0","9,214.0","13,848.0","8,972.0","3,611.0","3,760.0","-3,403.0","3,358.0","4,818.0","3,118.0","4,261.0","1,647.0","-4,130.0","-2,814.0","-3,166.0","-2,791.0","220.0","3,927.0","5,739.0","5,618.0","6,924.0","6,416.0","5,043.0","4,319.0","3,874.0","1,905.0","2,000.0","2,311.0","-3,475.0","-6,258.0","-5,832.0","-674.0","3,422.0","4,156.0","9,212.0","2,636.0","5,912.0","10,588.0","2,352.0","3,344.0","-5,564.0","-3,120.0","1,188.0","5,720.0","4,588.0","7,884.0","5,232.0","5,948.0","3,008.0","4,948.0","4,752.0","6,360.0","4,456.0","5,760.0","5,664.0","6,476.0","6,100.0","11,196.0","7,420.0","8,504.0","6,580.0","13,232.0","13,972.0","12,408.0","16,932.0","13,676.0","4,192.0","8,736.0","9,320.0","5,404.0","9,828.0","7,456.0","8,036.0","9,736.0","7,844.0","11,360.0","7,680.0"
"23","4","    Change in book value \2\","B016RC1","13,491.0","6,912.0","4,999.0","9,036.0","5,870.0","6,707.0","7,140.0","2,513.0","-1,364.0","-7,616.0","-3,931.0","-4,719.0","2,904.0","8,073.0","12,693.0","23,984.0","19,842.0","15,132.0","4,972.0","1,803.0","2,376.0","-4,751.0","2,470.0","3,710.0","3,658.0","5,953.0","4,183.0","-4,238.0","-2,806.0","-3,226.0","-2,035.0","984.0","4,875.0","6,975.0","8,074.0","10,020.0","9,784.0","9,363.0","5,783.0","7,502.0","4,697.0","3,876.0","3,711.0","-2,187.0","-5,962.0","-6,068.0","-494.0","4,426.0","4,988.0","10,336.0","2,792.0","5,012.0","11,580.0","2,924.0","2,656.0","-5,852.0","-3,060.0","96.0","5,416.0","4,844.0","7,444.0","5,364.0","6,848.0","2,316.0","3,884.0","4,544.0","6,724.0","5,292.0","6,020.0","5,816.0","7,480.0","6,888.0","11,696.0","8,632.0","10,192.0","8,808.0","14,616.0","16,888.0","16,416.0","17,916.0","14,028.0","5,692.0","10,736.0","12,500.0","10,504.0","13,104.0","10,792.0","12,564.0","15,356.0","13,464.0","16,464.0","16,664.0"
"24","5","    Inventory valuation adjustment \3\","B017RC1","-11,852.0","-5,432.0","-5,440.0","-6,756.0","-3,504.0","-3,680.0","-3,408.0","344.0","1,956.0","3,620.0","3,508.0","192.0","-740.0","-3,908.0","-8,996.0","-10,592.0","-10,628.0","-1,284.0","4,000.0","1,808.0","1,384.0","1,348.0","888.0","1,108.0","-540.0","-1,692.0","-2,536.0","108.0","-8.0","60.0","-756.0","-764.0","-948.0","-1,236.0","-2,456.0","-3,096.0","-3,368.0","-4,320.0","-1,464.0","-3,628.0","-2,792.0","-1,876.0","-1,400.0","-1,288.0","-296.0","236.0","-180.0","-1,004.0","-832.0","-1,124.0","-156.0","900.0","-992.0","-572.0","688.0","288.0","-60.0","1,092.0","304.0","-256.0","440.0","-132.0","-900.0","692.0","1,064.0","208.0","-364.0","-836.0","-260.0","-152.0","-1,004.0","-788.0","-500.0","-1,212.0","-1,688.0","-2,228.0","-1,384.0","-2,916.0","-4,008.0","-984.0","-352.0","-1,500.0","-2,000.0","-3,180.0","-5,100.0","-3,276.0","-3,336.0","-4,528.0","-5,620.0","-5,620.0","-5,104.0","-8,984.0"
"25","6","  Manufacturing","A150RC1","1,040.0","-96.0","888.0","-32.0","-32.0","2,248.0","2,132.0","736.0","1,208.0","-2,688.0","-2,592.0","-2,248.0","536.0","916.0","672.0","6,532.0","4,700.0","11,132.0","11,192.0","4,464.0","5,964.0","-1,364.0","844.0","2,008.0","2,472.0","2,892.0","1,496.0","-2,172.0","-3,760.0","-3,948.0","-3,264.0","644.0","871.0","2,488.0","3,267.0","3,877.0","4,996.0","4,816.0","2,840.0","2,376.0","1,576.0","532.0","556.0","-3,952.0","-4,156.0","-5,032.0","-1,004.0","1,908.0","1,532.0","4,076.0","1,084.0","3,184.0","4,028.0","976.0","2,388.0","-4,768.0","-1,016.0","488.0","3,764.0","2,644.0","5,508.0","2,972.0","4,364.0","388.0","2,636.0","2,544.0","2,796.0","164.0","2,696.0","636.0","3,056.0","5,900.0","3,744.0","3,064.0","5,940.0","3,852.0","7,368.0","7,856.0","10,072.0","8,896.0","9,988.0","4,116.0","4,680.0","4,408.0","1,860.0","4,312.0","5,696.0","2,968.0","4,868.0","2,592.0","4,384.0","4,208.0"
"26","7","    Durable goods","A624RC1","-460.0","564.0","1,156.0","-748.0","-1,195.0","-31.0","309.0","129.0","692.0","-2,096.0","-2,308.0","-1,768.0","-104.0","1,364.0","1,068.0","3,552.0","3,260.0","6,788.0","7,852.0","3,340.0","4,116.0","-188.0","612.0","1,824.0","2,272.0","2,504.0","1,668.0","-1,884.0","-3,160.0","-3,992.0","-2,540.0","304.0","310.0","1,562.0","1,950.0","2,468.0","3,976.0","3,296.0","892.0","2,148.0","918.0","686.0","794.0","-3,174.0","-4,136.0","-4,052.0","-644.0","700.0","1,244.0","3,052.0","48.0","1,824.0","3,736.0","-300.0","1,260.0","-4,040.0","-2,620.0","-784.0","3,000.0","2,056.0","4,348.0","1,464.0","2,724.0","-340.0","2,052.0","2,212.0","1,808.0","-804.0","1,836.0","1,136.0","2,672.0","4,172.0","3,488.0","3,180.0","5,084.0","2,028.0","5,460.0","5,344.0","9,396.0","6,900.0","6,840.0","3,156.0","3,688.0","3,348.0","1,344.0","2,208.0","3,352.0","1,476.0","4,072.0","1,916.0","2,320.0","4,520.0"
"27","8","    Nondurable goods","A625RC1","1,500.0","-660.0","-268.0","716.0","1,163.0","2,279.0","1,823.0","607.0","516.0","-592.0","-284.0","-480.0","640.0","-448.0","-396.0","2,980.0","1,440.0","4,344.0","3,340.0","1,124.0","1,848.0","-1,176.0","232.0","184.0","200.0","388.0","-172.0","-288.0","-600.0","44.0","-724.0","340.0","561.0","926.0","1,317.0","1,409.0","1,020.0","1,520.0","1,948.0","228.0","658.0","-154.0","-238.0","-778.0","-20.0","-980.0","-360.0","1,208.0","288.0","1,024.0","1,036.0","1,360.0","292.0","1,276.0","1,128.0","-728.0","1,604.0","1,272.0","764.0","588.0","1,160.0","1,508.0","1,640.0","728.0","584.0","332.0","988.0","968.0","860.0","-500.0","384.0","1,728.0","256.0","-116.0","856.0","1,824.0","1,908.0","2,512.0","676.0","1,996.0","3,148.0","960.0","992.0","1,060.0","516.0","2,104.0","2,344.0","1,492.0","796.0","676.0","2,064.0","-312.0"
"28","9","  Wholesale trade","A658RC1","1,384.0","620.0","-820.0","-1,268.0","-28.0","480.0","1,104.0","708.0","308.0","-648.0","292.0","64.0","1,201.0","1,508.0","76.0","2,639.0","413.0","1,656.0","-111.0","-726.0","-724.0","-560.0","1,040.0","1,536.0","532.0","340.0","192.0","-664.0","516.0","620.0","-156.0","148.0","508.0","1,616.0","1,172.0","1,164.0","340.0","-524.0","1,440.0","480.0","-204.0","248.0","-64.0","-712.0","-884.0","-8.0","260.0","584.0","912.0","2,156.0","1,140.0","2,504.0","1,572.0","732.0","-20.0","-468.0","448.0","-44.0","764.0","528.0","800.0","1,292.0","52.0","916.0","684.0","1,684.0","2,108.0","1,348.0","928.0","1,860.0","968.0","1,140.0","2,504.0","1,772.0","1,368.0","180.0","3,208.0","2,172.0","2,316.0","4,712.0","2,680.0","88.0","3,652.0","2,048.0","300.0","2,676.0","1,420.0","-172.0","2,776.0","2,836.0","2,224.0","1,028.0"
"29","10","    Durable goods","A661RC1","348.0","80.0","524.0","-400.0","397.0","497.0","557.0","429.0","118.0","-762.0","242.0","-10.0","167.0","911.0","-76.0","2,138.0","343.0","1,830.0","367.0","-324.0","-814.0","-914.0","-182.0","694.0","664.0","-256.0","396.0","-668.0","-36.0","68.0","-48.0","208.0","578.0","1,190.0","494.0","766.0","-56.0","-344.0","4.0","-112.0","-100.0","404.0","312.0","-500.0","-700.0","-204.0","216.0","516.0","856.0","1,528.0","-240.0","1,540.0","1,984.0","292.0","88.0","-440.0","-452.0","-412.0","852.0","860.0","676.0","756.0","608.0","676.0","428.0","1,176.0","756.0","320.0","316.0","1,268.0","904.0","852.0","1,788.0","952.0","1,120.0","320.0","2,784.0","1,356.0","1,536.0","2,744.0","1,200.0","456.0","1,248.0","1,576.0","240.0","1,328.0","816.0","544.0","1,764.0","2,260.0","1,404.0","732.0"
"30","11","    Nondurable goods","A664RC1","1,036.0","540.0","-1,344.0","-868.0","-425.0","-17.0","547.0","279.0","190.0","114.0","50.0","74.0","1,034.0","597.0","152.0","501.0","70.0","-174.0","-478.0","-402.0","90.0","354.0","1,222.0","842.0","-132.0","596.0","-204.0","4.0","552.0","552.0","-108.0","-60.0","-70.0","426.0","678.0","398.0","396.0","-180.0","1,436.0","592.0","-104.0","-156.0","-376.0","-212.0","-184.0","196.0","44.0","68.0","56.0","628.0","1,380.0","964.0","-412.0","440.0","-108.0","-28.0","900.0","368.0","-88.0","-332.0","124.0","536.0","-556.0","240.0","256.0","508.0","1,352.0","1,028.0","612.0","592.0","64.0","288.0","716.0","820.0","248.0","-140.0","424.0","816.0","780.0","1,968.0","1,480.0","-368.0","2,404.0","472.0","60.0","1,348.0","604.0","-716.0","1,012.0","576.0","820.0","296.0"
"31","12","      Merchant wholesalers","A151RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","720.0","1,580.0","1,224.0","2,036.0","1,128.0","264.0","-92.0","-204.0","412.0","-260.0","476.0","96.0","392.0","860.0","-332.0","532.0","360.0","1,276.0","1,820.0","1,144.0","844.0","1,788.0","860.0","924.0","2,408.0","1,568.0","1,248.0","-12.0","2,896.0","1,608.0","1,800.0","4,076.0","1,720.0","-416.0","3,328.0","1,580.0","300.0","2,112.0","1,132.0","-364.0","2,248.0","2,392.0","1,852.0","812.0"
"32","13","        Durable goods","A626RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","712.0","1,084.0","-36.0","1,228.0","1,588.0","-68.0","52.0","-248.0","-356.0","-436.0","600.0","536.0","292.0","468.0","356.0","460.0","152.0","780.0","612.0","284.0","292.0","1,232.0","856.0","708.0","1,668.0","712.0","1,012.0","200.0","2,556.0","1,044.0","1,032.0","2,324.0","588.0","108.0","1,032.0","1,312.0","180.0","1,136.0","672.0","436.0","1,356.0","1,960.0","1,152.0","528.0"
"33","14","        Nondurable goods","A627RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8.0","496.0","1,260.0","808.0","-460.0","332.0","-144.0","44.0","768.0","176.0","-124.0","-440.0","100.0","392.0","-688.0","72.0","208.0","496.0","1,208.0","860.0","552.0","556.0","4.0","216.0","740.0","856.0","236.0","-212.0","340.0","564.0","768.0","1,752.0","1,132.0","-524.0","2,296.0","268.0","120.0","976.0","460.0","-800.0","892.0","432.0","700.0","284.0"
"34","15","      Nonmerchant wholesalers","A152RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","192.0","576.0","-84.0","468.0","444.0","468.0","72.0","-264.0","36.0","216.0","288.0","432.0","408.0","432.0","384.0","384.0","324.0","408.0","288.0","204.0","84.0","72.0","108.0","216.0","96.0","204.0","120.0","192.0","312.0","564.0","516.0","636.0","960.0","504.0","324.0","468.0","0.0","564.0","288.0","192.0","528.0","444.0","372.0","216.0"
"35","16","        Durable goods","A628RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","144.0","444.0","-204.0","312.0","396.0","360.0","36.0","-192.0","-96.0","24.0","252.0","324.0","384.0","288.0","252.0","216.0","276.0","396.0","144.0","36.0","24.0","36.0","48.0","144.0","120.0","240.0","108.0","120.0","228.0","312.0","504.0","420.0","612.0","348.0","216.0","264.0","60.0","192.0","144.0","108.0","408.0","300.0","252.0","204.0"
