"","Table 5#6#5A# Change in Private Inventories by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","Nonfarm","A015RC1","1,662.0","46.0","-1,572.0","-2,461.0","-1,304.0","195.0","412.0","2,042.0","1,701.0","-1,021.0","328.0","1,902.0","3,943.0","638.0","-520.0","-604.0","-624.0","6,205.0","1,240.0","2,995.0","-2,088.0","5,855.0","8,911.0","2,133.0","1,224.0","-2,138.0","5,552.0","4,913.0","685.0","-2,336.0","5,479.0","2,680.0","2,094.0","5,518.0","5,129.0","6,000.0","8,425.0","14,136.0","8,981.0","7,681.0","9,155.0"
"22","4","    Change in book value \2\","B016RC1","1,048.0","-3,969.0","-4,597.0","-3,803.0","1,364.0","874.0","689.0","2,900.0","1,761.0","-2,205.0","1,208.0","2,147.0","7,029.0","2,209.0","409.0","-248.0","46.0","13,173.0","8,610.0","5,557.0","-4,407.0","11,914.0","10,437.0","951.0","2,389.0","-1,771.0","7,486.0","8,108.0","2,524.0","-2,025.0","5,782.0","2,827.0","1,824.0","5,493.0","5,111.0","6,551.0","9,832.0","16,459.0","10,739.0","11,741.0","15,487.0"
"23","5","    Inventory valuation adjustment \3\","B017RC1","614.0","4,015.0","3,025.0","1,342.0","-2,668.0","-679.0","-277.0","-858.0","-60.0","1,184.0","-880.0","-245.0","-3,086.0","-1,571.0","-929.0","-356.0","-670.0","-6,968.0","-7,370.0","-2,562.0","2,319.0","-6,059.0","-1,526.0","1,182.0","-1,165.0","-367.0","-1,934.0","-3,195.0","-1,839.0","-311.0","-303.0","-147.0","270.0","25.0","18.0","-551.0","-1,407.0","-2,323.0","-1,758.0","-4,060.0","-6,332.0"
"24","6","  Manufacturing","A150RC1","911.0","747.0","-594.0","-1,155.0","-578.0","136.0","213.0","1,095.0","1,344.0","-631.0","214.0","1,218.0","2,567.0","1,553.0","244.0","-814.0","-1,556.0","2,901.0","450.0","1,271.0","-1,580.0","2,164.0","7,872.0","1,863.0","1,172.0","-2,582.0","2,625.0","3,757.0","-322.0","-2,071.0","2,469.0","656.0","1,470.0","3,308.0","2,035.0","3,072.0","4,150.0","8,548.0","5,798.0","3,709.0","4,013.0"
"25","7","    Durable goods","A624RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","128.0","-197.0","-1,370.0","1,470.0","5,310.0","1,591.0","1,140.0","-2,347.0","1,572.0","2,578.0","-194.0","-2,033.0","1,542.0","164.0","413.0","2,049.0","1,317.0","2,454.0","3,445.0","6,775.0","4,258.0","2,095.0","3,207.0"
"26","8","    Nondurable goods","A625RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","322.0","1,468.0","-210.0","694.0","2,562.0","272.0","32.0","-235.0","1,053.0","1,179.0","-128.0","-38.0","927.0","492.0","1,057.0","1,259.0","718.0","618.0","705.0","1,773.0","1,540.0","1,614.0","806.0"
"27","9","  Wholesale trade","A658RC1","31.0","54.0","-413.0","-175.0","-89.0","66.0","1.0","286.0","210.0","-198.0","77.0","183.0","221.0","-554.0","-234.0","202.0","560.0","815.0","-21.0","566.0","4.0","1,356.0","308.0","323.0","100.0","282.0","1,115.0","434.0","-183.0","-12.0","1,678.0","454.0","424.0","765.0","1,456.0","1,224.0","1,456.0","3,102.0","2,117.0","1,056.0","2,216.0"
"28","10","    Durable goods","A661RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","138.0","470.0","-103.0","785.0","554.0","-304.0","34.0","48.0","757.0","-127.0","29.0","-43.0","921.0","481.0","212.0","679.0","670.0","835.0","1,045.0","2,105.0","1,120.0","732.0","1,540.0"
"29","11","    Nondurable goods","A664RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-159.0","96.0","107.0","571.0","-246.0","627.0","66.0","234.0","358.0","561.0","-212.0","31.0","757.0","-27.0","212.0","86.0","786.0","389.0","411.0","997.0","997.0","324.0","676.0"
"30","12","      Merchant wholesalers","A151RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,390.0","274.0","181.0","363.0","1,150.0","1,104.0","1,303.0","2,595.0","1,553.0","795.0","1,826.0"
"31","13","        Durable goods","A626RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","747.0","331.0","86.0","394.0","457.0","772.0","898.0","1,739.0","760.0","606.0","1,249.0"
"32","14","        Nondurable goods","A627RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","643.0","-57.0","95.0","-31.0","693.0","332.0","405.0","856.0","793.0","189.0","577.0"
"33","15","      Nonmerchant wholesalers","A152RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","288.0","180.0","243.0","402.0","306.0","120.0","153.0","507.0","564.0","261.0","390.0"
"34","16","        Durable goods","A628RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","174.0","150.0","126.0","285.0","213.0","63.0","147.0","366.0","360.0","126.0","291.0"
"35","17","        Nondurable goods","A629RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","114.0","30.0","117.0","117.0","93.0","57.0","6.0","141.0","204.0","135.0","99.0"
"36","18","  Retail trade","A153RC1","250.0","-457.0","-316.0","-695.0","-488.0","-48.0","297.0","668.0","53.0","-164.0","97.0","482.0","851.0","-411.0","-462.0","-58.0","272.0","2,048.0","603.0","1,229.0","-358.0","2,131.0","40.0","-36.0","405.0","144.0","2,092.0","183.0","779.0","-242.0","1,058.0","1,375.0","-421.0","1,472.0","1,191.0","1,274.0","2,490.0","2,260.0","3.0","2,629.0","2,370.0"
"37","19","    Durable goods","A630RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,176.0","741.0","-330.0","1,376.0","221.0","-127.0","345.0","-245.0","1,066.0","-317.0","679.0","-702.0","342.0","979.0","-922.0","633.0","653.0","479.0","1,652.0","1,210.0","-651.0","1,975.0","1,226.0"
"38","20","      Motor vehicle dealers \4\","A631RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","147.0","973.0","-614.0","474.0","546.0","65.0","1,481.0","607.0","-823.0","1,398.0","679.0"
"39","21","      Other \4\","A632RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","195.0","6.0","-308.0","159.0","107.0","414.0","171.0","603.0","172.0","577.0","547.0"
"40","22","    Nondurable goods","A633RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-573.0","488.0","-28.0","755.0","-181.0","91.0","60.0","389.0","1,026.0","500.0","100.0","460.0","716.0","396.0","501.0","839.0","538.0","795.0","838.0","1,050.0","654.0","654.0","1,144.0"
"41","23","  Other","A154RC1","470.0","-298.0","-249.0","-436.0","-149.0","41.0","-99.0","-7.0","94.0","-28.0","-60.0","19.0","304.0","50.0","-68.0","66.0","100.0","441.0","208.0","-71.0","-154.0","204.0","692.0","-17.0","-453.0","18.0","-281.0","539.0","411.0","-11.0","274.0","195.0","621.0","-27.0","447.0","430.0","329.0","226.0","1,063.0","287.0","556.0"
"42","24","    Durable goods","A636RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","61.0","39.0","243.0","60.0","-6.0","58.0","101.0","-62.0","121.0","-256.0","-8.0"
"43","25","    Nondurable goods","A637RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","213.0","156.0","378.0","-87.0","453.0","372.0","228.0","288.0","942.0","543.0","564.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Beginning with 1991, includes change in farm materials and supplies inventories.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2. Beginning with 1982, this series is derived from the Census Bureau series ""current cost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","inventories.""  For earlier periods, it is derived from the Census Bureau ""book value inventories""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","series.  The series differ in the treatment of inventories reported on a last-in, first-out (LIFO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","basis:  The series prior to 1982 is a mix of LIFO and non-LIFO inventories; the series beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","1982 is entirely on a non-LIFO basis.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","3. Beginning with 1973, the inventory valuation adjustment (IVA) shown in this table differs from the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","IVA that adjusts business incomes.  The IVA in this table reflects the mix of methods (first-in,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","first-out; last-in, first-out; etc.) underlying inventories derived primarily from Census Bureau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","statistics (see footnote 1).  This mix differs from that underlying business income derived primarily",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","from Internal Revenue Service statistics.  Prior to 1973, the two IVA's are the same because information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","required for separate estimates is not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","3. Prior to 1981, inventories of auto and home supply stores are included in motor vehicle dealers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Beginning with 1981, these inventories are included in ""other durable goods.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Note.  Estimates for nonfarm industries other than manufacturing and trade for 1986 and earlier periods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","are based on the 1972 Standard Industrial Classification (SIC).  Manufacturing estimates for 1981 and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","earlier periods and trade estimates for 1966 and earlier periods are based on the 1972 SIC; later estimates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","for these industries are based on the 1987 SIC.  The resulting discontinuities are small.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
