"","Table 5#7#5BM2# Change in Book Value by Industry                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"11","3","Manufacturing industries","X300",12720,6828,1896,25284,14700,7908,10392,14076,13020,29448,-5808,29916,25608,33048,18576,9528,6912,9588,-2496,-2076,-8448,13596,3708,-42648,-28152,-360,20148,-4104,18480,-5088,27396,4020,27648,19584,48948,39228,-3116,24736,-3548,36864,420,46812,26004,18336,72,32312,33632,-4948,44076,-41676,-38016,-3984,-29064,-42456,-39828,-31800,-34896,-32196,-45516,-47592,-32068,-60028,-33532,-10980,-20256,2148,4212,13800,22620,7960,592,43600,-3984,61524,-14940,7464,-5268,-21264,-20424,-4032,-11412,12588,-3468,8820,-5364,33744,23508,22260,39576,49464,39516,38748,11016,44052,63336,8604,77640,67248,52824,21552,7152,19932,47376,4476,20940,55044,37284,52152,60072,5484,48312,53700,44160,56904,48096,42012,40320,27660,15876,576,28488,31956,23856,48348,54144,31416,4500,15192,65820,30072,60984,66948,118824,41268,64584,19932,27996,107652,29100,41544,-51120,-70752,-82824,-188040,-47616,-87864,-72216,-75816,-44964,-62172,-39756,-27144,-33912,39720,38688,10824,17808,60252,36468,33816,2064,53832,38700,35004,70884,72552,73080,97008,84036,73164,96072,137880,77448,38328,34836,26844,-17832,74232,33720,1548,36012,18192,16224,16272,420,-1356,18876,32868,40284,-3600,660,2400,26196,2664,13140,20760,-7752,9240,11376,12672,25836,2784,3492,37548,16836,56832,11604,30672,62016,17556,4248,9672,18288,4416,9396,-29232
"12","4","  Durable goods industries","X30D0",16020,8700,-3516,20616,9996,4596,17904,1968,2928,16884,-14760,25200,31320,28836,21768,14712,9096,13596,-3732,6948,-144,14124,-4116,-19752,-29448,5268,19692,-14016,5208,-4128,23784,-5868,14868,1176,27828,23688,-14096,11920,-7892,23460,-7932,30552,10356,21396,-5496,24920,28880,2516,21396,-15960,-37152,-3672,-20568,-25908,-31776,-20736,-31404,-24864,-37392,-40620,-23024,-21896,-30788,-15504,-15792,204,-8952,300,3996,-3772,-6496,36848,-8184,32592,-13272,-4908,-2124,-29172,-19944,-10716,-10596,11148,-13968,23952,-6516,11400,12852,14844,21828,31572,26268,25548,15648,23952,36696,11436,46068,43296,29028,12924,21840,-396,32472,1692,10104,22716,31092,17004,17352,6960,31584,36228,30552,31704,44268,19464,42072,32016,10416,7848,33300,20328,10356,16728,15516,7500,1452,4524,18972,15576,26028,39840,13476,18180,39348,13536,15828,12276,26436,22032,-7008,4764,-8148,-27324,-20004,-42084,-73968,-44100,-47760,-70164,-30252,-44508,-20184,8052,14676,-2256,13320,23820,17592,29328,28704,46200,18384,19656,38664,30372,39144,32820,48852,43200,71616,47352,57264,24768,37044,30972,-1248,21780,23424,4500,29040,12084,26736,12216,22716,11460,28476,23244,4344,14244,8976,-5460,11676,11988,-2916,14256,-3036,9576,14712,-48,39684,14568,9468,43560,11556,37560,15120,9624,44952,19428,20676,20268,21132,23064,22308,23916
"13","5","  Nondurable goods industries","X30N0",-3300,-1872,5412,4668,4704,3312,-7512,12108,10092,12564,8952,4716,-5712,4212,-3192,-5184,-2184,-4008,1236,-9024,-8304,-528,7824,-22896,1296,-5628,456,9912,13272,-960,3612,9888,12780,18408,21120,15540,10980,12816,4344,13404,8352,16260,15648,-3060,5568,7392,4752,-7464,22680,-25716,-864,-312,-8496,-16548,-8052,-11064,-3492,-7332,-8124,-6972,-9044,-38132,-2744,4524,-4464,1944,13164,13500,18624,11732,7088,6752,4200,28932,-1668,12372,-3144,7908,-480,6684,-816,1440,10500,-15132,1152,22344,10656,7416,17748,17892,13248,13200,-4632,20100,26640,-2832,31572,23952,23796,8628,-14688,20328,14904,2784,10836,32328,6192,35148,42720,-1476,16728,17472,13608,25200,3828,22548,-1752,-4356,5460,-7272,-4812,11628,13500,31620,38628,23916,3048,10668,46848,14496,34956,27108,105348,23088,25236,6396,12168,95376,2664,19512,-44112,-75516,-74676,-160716,-27612,-45780,1752,-31716,2796,7992,-9504,17364,-13728,31668,24012,13080,4488,36432,18876,4488,-26640,7632,20316,15348,32220,42180,33936,64188,35184,29964,24456,90528,20184,13560,-2208,-4128,-16584,52452,10296,-2952,6972,6108,-10512,4056,-22296,-12816,-9600,9624,35940,-17844,-8316,7860,14520,-9324,16056,6504,-4716,-336,-3336,12720,-13848,-11784,-5976,-6012,5280,19272,-3516,21048,17064,-1872,-16428,-10596,-2844,-18648,-12912,-53148
"14","6","Wholesale trade industries","XWT0",35971,231,9635,10701,14182,49633,-12708,11963,27350,19093,28335,31773,5490,34252,21597,-5577,19202,-11203,1927,29193,20230,12891,23358,6802,775,25271,15788,5635,6300,3719,34763,19393,18269,41682,45940,15151,39926,26195,30766,41310,14804,31824,18252,18866,4464,35308,25143,-4138,5976,-2354,-1292,18231,6459,-36448,-46744,-15126,-20120,-29008,-53264,-27207,-21908,-43388,4645,-9553,4060,13598,35637,5537,19118,2691,2545,39447,-11937,20913,9480,10000,-23546,-8222,2586,-3779,647,38120,14715,36258,8155,47011,27816,-1567,58743,38895,62569,50086,8151,52967,59199,5390,73838,34038,37965,48308,5050,27705,25192,23332,9606,49502,40304,59643,32427,52930,19971,59491,48824,39216,42044,64711,35646,31294,63546,-22218,15275,35086,33174,26594,26796,19593,16816,8829,61875,-282,78165,76898,94875,67648,44607,94505,33311,131698,75715,67843,-39742,-70746,-46107,-104307,-86417,-133866,-113862,-85265,-79337,-93683,-88034,-59982,-68115,32896,66565,-34550,12210,19222,28850,11912,21525,23575,66550,65242,74807,126340,30129,71819,62302,63689,72659,61329,119215,52737,40417,23063,-57777,66771,15306,50289,19379,74033,17005,53270,14282,5059,53772,30341,60181,12658,36009,-14004,62648,-27923,11280,14426,-39081,4636,-4719,46712,32751,73766,38601,17774,42120,38916,63780,63120,27468,20196,5064,33804,27468,33480,50088,-5016
"15",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","7","    Durable goods industries","XWTD0",17937,1798,9887,13692,15761,38152,-18931,2098,23599,2843,7797,29545,12409,25815,20282,-1149,10534,-12181,1164,26541,13492,14588,4433,15231,-497,13673,9314,-7479,16062,12330,14826,5169,15750,23540,33594,14430,17403,18613,17894,29728,11244,29777,10735,15360,-6862,14150,11811,-8800,12331,-8834,-11791,-3213,-12333,-43832,-27257,-23481,-22576,-14928,-54230,-27035,-22849,-28951,-2748,-3172,144,304,23326,10256,6042,-5887,8459,11194,-8467,18905,5851,7202,-16142,-8112,-13071,-5350,-6087,12968,8988,44091,17033,30787,29714,7573,42528,40011,31297,53876,22124,22732,30973,12448,38185,30856,21626,21043,10135,23496,19527,6576,-14681,44641,34469,29413,16108,28805,7260,56258,23283,22297,30551,30320,40872,30094,17983,-25261,22832,19947,9156,-12749,10469,-6147,-17104,-2106,17087,-16935,16693,46373,41748,26880,24928,50992,26398,18486,40497,50540,19389,-21373,-23961,-42882,-51094,-108433,-103450,-73471,-75963,-67829,-58252,-54225,-31865,392,-7321,-23131,-10200,19534,31942,-3311,14775,7493,17215,25693,20243,23639,22710,22040,22481,38732,24103,10478,72904,50006,34616,50537,16339,27149,10691,30189,28382,27782,28853,40985,36634,12639,19869,3036,24073,38983,10033,-9471,38761,-3464,13124,19902,-22554,5076,18623,30828,20870,5134,21777,48322,27156,36360,30528,30684,33276,24948,18300,27036,38436,1032,34704,11820
"17","8","    Nondurable goods industries","XWTN0",18034,-1566,-252,-2991,-1579,11482,6223,9865,3752,16250,20538,2228,-6919,8437,1315,-4428,8668,977,763,2651,6738,-1698,18925,-8429,1272,11598,6474,13114,-9762,-8611,19938,14224,2519,18143,12347,721,22524,7582,12872,11582,3560,2047,7517,3506,11327,21158,13332,4663,-6355,6480,10498,21445,18791,7383,-19487,8355,2456,-14079,966,-172,941,-14437,7393,-6380,3916,13293,12312,-4719,13076,8578,-5914,28253,-3470,2008,3629,2798,-7403,-110,15657,1570,6734,25152,5728,-7833,-8878,16224,-1898,-9140,16215,-1116,31272,-3790,-13972,30235,28226,-7058,35654,3182,16340,27265,-5085,4209,5665,16756,24288,4862,5835,30230,16319,24125,12711,3233,25541,16919,11493,34392,-5227,1200,45564,3043,-7557,15139,24017,39343,16327,25740,33920,10935,44788,16653,61472,30525,53126,40768,19679,43513,6913,113212,35218,17303,-59131,-49373,-22146,-61424,-35323,-25433,-10412,-11794,-3374,-25853,-29783,-5757,-36251,32504,73886,-11418,22410,-312,-3092,15222,6750,16082,49335,39550,54564,102701,7420,49779,39822,24957,48556,50852,46311,2731,5801,-27474,-74116,39622,4615,20100,-9003,46251,-11848,12285,-22352,-7581,33903,27305,36108,-26325,25975,-4533,23887,-24460,-1844,-5476,-16527,-439,-23342,15884,11881,68633,16823,-30548,14964,2556,33252,32436,-5808,-4752,-13236,6768,-10968,32448,15384,-16836
"18",NA,"  By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","9","    Merchant wholesale industries","X42W0",29136,1608,16884,5700,12972,51696,-11724,11724,26388,12312,25044,28308,5508,31224,19464,-3960,18144,-11028,2580,29520,17484,8592,18156,13872,3240,24828,10380,2904,3048,-108,34188,8556,17676,35964,43800,13752,31248,18504,25776,32448,18600,21372,8484,12696,900,25260,23424,-3180,-588,3768,5160,16740,14100,-31644,-35740,-9244,-10876,-23928,-44328,-26988,-10740,-30576,1152,-12948,3960,11796,27648,9468,14652,-4968,3264,32256,-3300,12204,11808,8352,-19548,-10548,1020,-8196,10500,33612,12012,24960,492,43368,21708,-1320,40944,28260,65196,36828,-4080,57984,46200,8076,54024,18168,19464,34884,2904,17724,13608,14472,11148,30672,20520,49956,11736,39012,19680,56016,34068,29304,40632,46140,21612,17472,50988,-19980,14148,19920,29904,13176,19608,15276,8700,13476,42168,9216,60204,63420,64056,45732,7488,80496,28452,59928,72768,41808,-21816,-84492,-41076,-62784,-58248,-104424,-103848,-68148,-62904,-85368,-69456,-57960,-51456,19224,69336,-19908,-1764,12492,21948,4188,19884,19236,55632,59892,70332,117276,23364,77052,42756,46308,55860,27264,104832,49764,28164,18048,-55296,58140,6384,59868,10848,62700,19116,39768,11832,13716,46260,14340,54948,5532,32664,-21024,56448,-23736,10608,16800,-33960,-5184,4560,46740,29064,73764,38460,13920,46656,34224,63192,59568,29256,18768,11220,40296,22536,34716,50628,5460
"20","10","      Durable goods industries","X42WD0",10296,2412,17928,8628,14568,42108,-18336,3720,23220,-3348,7032,25740,9792,23160,18576,1332,9468,-13080,1116,25860,9240,11736,168,19356,2700,11556,6144,-10020,15408,9060,17340,-1572,15924,20100,33576,12588,12048,14532,13584,23748,17256,23124,3852,9180,-7056,6624,10116,-6504,8856,-4908,-4440,-4524,-6924,-41220,-20356,-20080,-15868,-9924,-48936,-27228,-14928,-25548,-4848,-6264,-1392,1932,16680,13248,4788,-7788,7308,9096,-7044,18744,9924,8256,-12600,-7644,-11304,-7572,2772,8460,5856,34668,8064,32064,26604,9252,37824,30060,37152,45384,9672,28524,27768,14052,33552,18516,7560,14160,4464,22536,12204,-3432,-7644,36792,18876,30228,10200,26940,17820,56028,20508,18456,32856,20616,31392,29304,9816,-14772,17076,8520,7860,-13068,14820,-6240,-13260,4140,13632,-3084,17568,29376,40824,21180,12300,47256,19596,13104,38316,41040,21324,-22572,-14664,-40764,-41400,-94776,-93504,-69876,-64524,-55260,-52104,-48924,-26340,-780,-8964,-24360,-7284,18816,30264,-1656,13524,8520,17136,28416,26064,27900,21540,35472,16128,24108,13752,5796,63852,43632,24732,36756,14124,22476,5424,29568,21288,22776,26532,33744,26820,15072,16572,-5736,27552,29484,10212,-5988,39360,660,16848,17184,-20532,1644,21120,32484,11760,5952,20268,42324,26784,30432,27528,30552,36564,25860,15576,27792,31596,828,35988,8640
"21","11","      Nondurable goods industries","X42WN0",18840,-804,-1044,-2928,-1596,9588,6612,8004,3168,15660,18012,2568,-4284,8064,888,-5292,8676,2052,1464,3660,8244,-3144,17988,-5484,540,13272,4236,12924,-12360,-9168,16848,10128,1752,15864,10224,1164,19200,3972,12192,8700,1344,-1752,4632,3516,7956,18636,13308,3324,-9444,8676,9600,21264,21024,9576,-15384,10836,4992,-14004,4608,240,4188,-5028,6000,-6684,5352,9864,10968,-3780,9864,2820,-4044,23160,3744,-6540,1884,96,-6948,-2904,12324,-624,7728,25152,6156,-9708,-7572,11304,-4896,-10572,3120,-1800,28044,-8556,-13752,29460,18432,-5976,20472,-348,11904,20724,-1560,-4812,1404,17904,18792,-6120,1644,19728,1536,12072,1860,-12,13560,10848,7776,25524,-9780,-11832,41172,-5208,-2928,11400,22044,26244,4788,21516,21960,9336,28536,12300,42636,34044,23232,24552,-4812,33240,8856,46824,34452,768,-43140,-61920,-26412,-22020,-16848,-9648,-10344,1728,1620,-30108,-17352,-9036,-25116,20004,78300,4452,5520,-6324,-8316,5844,6360,10716,38496,31476,44268,89376,1824,41580,26628,22200,42108,21468,40980,6132,3432,-18708,-69420,35664,960,30300,-10440,39924,-7416,6024,-14988,-1356,29688,20076,27396,-23952,22452,-15036,17088,-24396,-6240,-384,-13428,-6828,-16560,14256,17304,67812,18192,-28404,19872,3792,35664,29016,-7308,-7092,-4356,12504,-9060,33888,14640,-3180
"22","12","    Nonmerchant wholesale industries","X42N0",6835,-1377,-7249,5001,1210,-2063,-984,239,962,6781,3291,3465,-18,3028,2133,-1617,1058,-175,-653,-327,2746,4299,5202,-7070,-2465,443,5408,2731,3252,3827,575,10837,593,5718,2140,1399,8678,7691,4990,8862,-3796,10452,9768,6170,3564,10048,1719,-958,6564,-6122,-6452,1491,-7641,-4804,-11004,-5882,-9244,-5080,-8936,-219,-11168,-12812,3493,3395,100,1802,7989,-3931,4466,7659,-719,7191,-8637,8709,-2328,1648,-3998,2326,1566,4417,-9853,4508,2703,11298,7663,3643,6108,-247,17799,10635,-2627,13258,12231,-5017,12999,-2686,19814,15870,18501,13424,2146,9981,11584,8860,-1542,18830,19784,9687,20691,13918,291,3475,14756,9912,1412,18571,14034,13822,12558,-2238,1127,15166,3270,13418,7188,4317,8116,-4647,19707,-9498,17961,13478,30819,21916,37119,14009,4859,71770,2947,26035,-17926,13746,-5031,-41523,-28169,-29442,-10014,-17117,-16433,-8315,-18578,-2022,-16659,13672,-2771,-14642,13974,6730,6902,7724,1641,4339,10918,5350,4475,9064,6765,-5233,19546,17381,16799,34065,14383,2973,12253,5015,-2481,8631,8922,-9579,8531,11333,-2111,13502,2450,-8657,7512,16001,5233,7126,3345,7020,6200,-4187,672,-2374,-5121,9820,-9279,-28,3687,2,141,3854,-4536,4692,588,3552,-1788,1428,-6156,-6492,4932,-1236,-540,-10476
"23","13","      Durable goods industries","X42ND0",7641,-614,-8041,5064,1193,-3956,-595,-1622,379,6191,765,3805,2617,2655,1706,-2481,1066,899,48,681,4252,2852,4265,-4125,-3197,2117,3170,2541,654,3270,-2514,6741,-174,3440,18,1842,5355,4081,4310,5980,-6012,6653,6883,6180,194,7526,1695,-2296,3475,-3926,-7351,1311,-5409,-2612,-6901,-3401,-6708,-5004,-5294,193,-7921,-3403,2100,3092,1536,-1628,6646,-2992,1254,1901,1151,2098,-1423,161,-4073,-1054,-3542,-468,-1767,2222,-8859,4508,3132,9423,8969,-1277,3110,-1679,4704,9951,-5855,8492,12452,-5792,3205,-1604,4633,12340,14066,6883,5671,960,7323,10008,-7037,7849,15593,-815,5908,1865,-10560,230,2775,3841,-2305,9704,9480,790,8167,-10489,5756,11427,1296,319,-4351,93,-3844,-6246,3455,-13851,-875,16997,924,5700,12628,3736,6802,5382,2181,9500,-1935,1199,-9297,-2118,-9694,-13657,-9946,-3595,-11439,-12569,-6148,-5301,-5525,1172,1643,1229,-2916,718,1678,-1655,1251,-1027,79,-2723,-5821,-4261,1170,-13432,6353,14624,10351,4682,9052,6374,9884,13781,2215,4673,5267,621,7094,5006,2321,7241,9814,-2433,3297,8772,-3479,9499,-179,-3483,-599,-4124,-3724,2718,-2022,3432,-2497,-1656,9110,-818,1509,5998,372,5928,3000,132,-3288,-912,2724,-756,6840,204,-1284,3180
"24","14","      Nondurable goods industries","X42NN0",-806,-762,792,-63,17,1894,-389,1861,584,590,2526,-340,-2635,373,427,864,-8,-1075,-701,-1009,-1506,1446,937,-2945,732,-1674,2238,190,2598,557,3090,4096,767,2279,2123,-443,3324,3610,680,2882,2216,3799,2885,-10,3371,2522,24,1339,3089,-2196,898,181,-2233,-2193,-4103,-2481,-2536,-75,-3642,-412,-3247,-9409,1393,304,-1436,3429,1344,-939,3212,5758,-1870,5093,-7214,8548,1745,2702,-455,2794,3333,2194,-994,0,-428,1875,-1306,4920,2998,1432,13095,684,3228,4766,-220,775,9794,-1082,15182,3530,4436,6541,-3525,9021,4261,-1148,5496,10982,4191,10502,14783,12053,10851,3245,11981,6071,3717,8868,4553,13032,4392,8251,-4629,3739,1973,13099,11539,4224,11960,1599,16252,4353,18836,-3519,29894,16216,24491,10273,-1943,66388,766,16535,-15991,12547,4266,-39404,-18475,-15785,-68,-13522,-4994,4255,-12431,3279,-11135,12500,-4414,-15870,16890,6012,5224,9378,390,5366,10839,8074,10296,13325,5596,8199,13194,2757,6448,29384,5331,-3401,2369,-8766,-4696,3958,3655,-10200,1437,6327,-4432,6261,-7364,-6225,4215,7229,8712,-2373,3523,10503,6799,-64,4396,-5092,-3099,6389,-6782,1628,-5423,821,-1369,-2144,-4908,-1236,-2412,3420,1500,2340,-8880,-5736,-1908,-1440,744,-13656
"25","15","Retail trade industries","X440",-5555,29850,-25906,46075,16833,-4247,25831,-15413,25967,14946,15108,3410,11325,25367,41955,39352,-26292,-7740,8201,-9989,16436,6750,32928,8684,47594,20229,35409,11618,6084,19857,12859,9282,23228,42455,46400,60229,-13096,9380,21840,24514,49509,40587,26255,33541,7157,35854,22620,6533,-11386,-37818,-16461,14244,15271,-8491,2689,20149,765,-115890,-60058,48174,31824,7644,2052,6264,33132,27180,13284,-10284,46212,21024,52092,11748,19848,21924,33060,15072,-12600,10140,22644,-28800,61020,14508,38508,1896,14100,21768,46644,60912,21924,24072,12648,33084,11568,41796,37392,23376,29496,39972,4896,-8424,4104,-12804,-82128,36960,51852,31476,15144,18684,15468,-21276,61080,-31128,55224,24192,-5004,35604,13200,-39096,10572,52668,-18264,31764,-17364,35124,5868,14988,34032,45840,-13800,46308,-11952,13344,3696,-17880,-45576,-16056,-1572,3528,71952,-72660,-28368,-18192,-74040,-73296,-99156,-45504,-54012,-32280,-89904,-58440,-70056,-135588,22116,5472,-21576,4764,15195,17487,31434,35732,14851,46881,34566,41839,50451,-815,3754,28774,14314,-14598,75077,17647,2495,2282,-1507,42746,4472,2624,39887,-3153,36189,52962,34655,33414,60349,36050,65158,41825,473,26643,483,29860,76957,22927,-27595,30866,31536,15902,37840,8125,53487,41103,58856,27546,20127,10389,-5025,28893,13688,18725,72743,-15527,962,8915,-20980,25105
"26","16","  Motor vehicle and parts dealers","X4410",-1943,13362,-8398,27547,429,-8591,16027,-2333,-4225,15666,12300,-8914,-903,9431,14967,28180,-7692,-41880,-7111,-16241,11804,11442,18168,-2296,30542,17241,22713,-2674,1080,4005,8959,-4194,8744,29183,20480,25537,3932,-8332,10428,25018,19689,30195,27023,11461,11333,13162,6984,4457,-16018,-39138,-21117,14232,15223,425,14281,25,7461,-119790,-31570,58542,29136,15588,8832,2856,20628,25284,-7188,-11328,23496,32856,48324,1188,17412,9528,22224,18828,6612,8700,3156,-22500,32832,2676,26688,2472,12120,7596,17088,37896,1932,6420,4632,8916,-552,20724,156,-8820,2412,26532,-11040,-13176,-12120,-27960,-72924,12384,44712,38748,-1428,-4620,-6912,-13320,24132,-25584,29460,7716,-7176,1776,11820,-42600,-3924,36000,-23136,576,-8784,24456,-24036,7200,35244,36264,-7608,18216,6036,-20616,-12276,-13668,-6960,-34152,5616,5196,47976,-60492,-30312,-18000,-8592,-12216,-74676,-34392,-25920,-9720,-62268,-46440,-60516,-115620,48672,-4380,-7872,-3420,19227,20979,270,12308,10663,37977,22626,30559,29871,-1739,-11114,-3290,1870,-11406,22877,12211,-6325,-9742,6653,13814,1064,-880,22943,-4257,36165,31914,28763,28614,28933,30230,47158,31493,5705,3327,2307,19636,22873,9307,6809,11450,20520,17654,14512,505,35283,34275,31628,18018,-2565,-3819,-11913,20301,13448,5681,56063,-15119,-9478,-1885,-25240,22693
"27","17","  Food and beverage stores","X4450",-828,84,672,-972,1536,144,-324,3600,1212,-1740,1524,-2292,2904,-612,2736,3384,-48,2880,1572,-1008,-1440,-360,2880,-1392,4500,684,588,-2136,3156,1944,1632,2628,3984,2220,1284,1884,-1260,-156,48,84,1944,-6408,-1476,-288,1836,300,-2628,1860,2904,2952,1560,1644,552,1680,156,216,624,2316,408,-1632,-2268,-384,-1176,-1440,-1056,-768,-1308,1872,4416,-7884,1272,4740,-1632,1752,2268,-1872,-1524,-1644,2580,-240,3216,-4920,-1800,-900,1428,-840,1572,1728,3516,876,852,-900,756,540,2556,-1128,2172,-624,-708,708,372,36,-1776,816,-5004,3648,2412,1296,2280,1812,336,576,2544,1128,1224,708,912,-360,-252,-252,-648,-600,2988,-4044,4992,3444,1260,4824,636,4536,984,3144,-204,2244,168,3048,600,1512,840,1128,1764,2964,-1956,-2772,4284,336,768,-204,996,-2316,1584,-2412,1032,1308,1176,-8112,5916,876,2724,-1920,-828,888,-336,252,2448,1068,1968,2832,3420,-456,2004,4416,-84,1092,2352,2760,672,-240,1248,708,828,3240,4104,-3468,636,1344,1656,240,2064,-1860,1140,1404,4464,2136,-2616,4764,5892,-672,1716,-816,-36,2988,2892,-1212,-3000,2880,3744,4764,-1764,1008,1884,1788,1344,1944,396,3012
"28","18","  General merchandise stores","X4520",-6828,3012,-4620,7296,132,1368,-1884,-5292,3336,-3588,720,7380,3336,960,576,684,-10776,10440,4044,-276,3048,-1116,-2364,-2076,-732,1188,5460,3600,-588,-900,1692,3468,2184,-2436,12636,5280,3096,2484,-6264,-888,2568,3612,-4140,960,168,5196,-828,1764,5112,1848,11760,-3996,5412,408,-7764,9756,-5736,-1032,-8940,-6888,-4500,900,-6060,-744,6852,-4152,11184,2676,444,372,10896,996,-2112,-3936,4848,10032,-8772,-984,3552,-6396,9048,8928,-6132,3444,2736,5004,8724,1668,1848,7848,-2724,4704,888,3132,11196,8196,3432,3336,17076,288,3984,636,-4092,11088,48,-5304,1404,5508,-7152,-9048,5160,-17172,7980,2064,8712,8796,516,6084,5916,3852,4224,5892,-2472,3624,3132,-1692,-6444,420,-3492,2556,-13008,10740,10236,2136,-18972,8088,-1764,-5724,732,-7608,3924,984,-7884,-15204,-6636,-4836,2052,-6168,-3900,1272,-4632,-6276,-5184,5148,-2388,-612,-3924,-4788,16920,7620,-1080,6816,8796,3564,5292,-1128,6348,3396,-2268,-1848,21600,-3216,1632,5100,-3744,9084,1752,-96,4140,6768,-3012,4032,-7572,2244,8988,-5364,1992,3900,-11508,14088,-6840,11364,21444,-3636,-3816,4704,-1008,696,7176,-1524,8256,1872,1932,2664,8664,-60,3228,-5220,3036,660,3684,1164,1296,-5220,3048,-4392
