"","Table 3#10#5# Government Consumption Expenditures and General Go","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"27","8","            Nondurable goods","W106RC1","16,435.0","16,966.0","17,796.0","16,205.0","15,226.0","14,388.0","14,557.0","15,239.0","14,561.0","15,444.0","16,118.0","15,793.0","17,078.0","17,212.0","16,355.0","16,459.0","16,767.0","16,933.0","17,626.0","19,003.0","20,397.0","19,931.0","23,154.0","24,623.0","25,490.0","26,388.0","25,368.0","26,804.0","27,287.0","27,528.0","27,980.0","28,161.0","29,528.0","30,151.0","31,971.0","32,632.0","32,028.0","33,493.0","35,011.0","36,093.0","36,637.0","37,905.0","40,327.0","42,872.0","45,883.0","50,528.0","48,513.0","51,093.0","54,238.0","59,450.0","57,865.0","58,504.0","56,859.0","56,609.0","56,848.0","58,374.0","58,779.0","62,744.0","71,620.0","51,174.0","51,086.0","60,734.0","61,343.0","61,782.0","62,347.0","64,274.0","64,183.0","65,832.0","65,924.0","66,053.0","67,165.0","69,595.0","65,511.0","65,383.0","61,154.0","69,168.0","61,322.0","61,094.0","58,960.0","63,573.0","69,963.0","74,727.0","74,459.0","73,980.0","75,557.0","74,890.0","78,284.0","88,895.0","87,212.0","80,732.0","80,503.0","80,081.0","79,921.0","84,981.0","86,730.0","86,241.0","88,276.0","88,901.0","88,277.0","87,458.0","87,813.0","89,003.0","91,071.0","94,324.0","96,294.0","97,582.0","98,525.0","98,269.0","101,192.0","103,825.0","104,349.0","107,124.0","109,981.0","107,834.0","108,993.0","111,173.0","110,632.0","111,485.0","113,019.0","113,690.0","112,689.0","119,211.0","126,023.0","128,602.0","138,647.0","140,687.0","144,647.0","149,858.0","152,327.0","157,926.0","153,957.0","150,663.0","151,074.0","158,311.0","159,114.0","164,153.0","173,888.0","167,069.0","166,894.0","171,795.0","180,263.0","185,578.0","190,703.0","198,382.0","205,616.0","207,151.0","219,098.0","227,339.0","228,288.0","234,451.0","237,703.0","231,392.0","239,347.0","247,903.0","252,196.0","264,519.0","276,988.0","292,530.0","302,823.0","264,945.0","249,096.0","258,198.0","268,257.0","276,083.0","277,798.0","275,399.0","272,138.0","279,912.0","287,881.0","298,108.0","299,681.0","301,084.0","304,194.0","300,073.0","302,487.0","308,895.0","308,589.0","301,560.0","305,812.0","304,116.0","307,102.0","307,772.0","313,391.0"
"28","9","            Services","W107RC1","23,598.0","26,029.0","25,370.0","28,113.0","27,751.0","27,206.0","28,574.0","28,637.0","30,965.0","31,939.0","32,056.0","33,201.0","33,705.0","35,791.0","33,671.0","33,593.0","34,432.0","36,425.0","35,523.0","35,748.0","39,035.0","40,917.0","42,526.0","43,919.0","45,290.0","46,737.0","47,878.0","47,833.0","47,519.0","49,157.0","49,322.0","49,560.0","50,968.0","52,900.0","55,009.0","54,289.0","55,686.0","57,628.0","58,204.0","59,640.0","62,336.0","64,394.0","62,724.0","66,570.0","68,793.0","73,077.0","73,420.0","75,131.0","77,542.0","78,986.0","82,577.0","83,771.0","90,098.0","89,786.0","95,608.0","100,501.0","103,145.0","103,171.0","102,975.0","107,432.0","109,713.0","110,978.0","114,703.0","115,225.0","120,560.0","124,895.0","131,692.0","135,207.0","137,123.0","141,219.0","146,393.0","141,042.0","148,018.0","150,338.0","151,399.0","152,514.0","156,611.0","158,979.0","161,513.0","166,990.0","161,283.0","171,933.0","173,490.0","180,760.0","186,693.0","188,605.0","187,848.0","193,770.0","201,703.0","206,292.0","210,545.0","208,858.0","213,374.0","214,195.0","226,598.0","228,509.0","222,707.0","220,392.0","234,001.0","238,545.0","238,623.0","245,409.0","254,885.0","253,175.0","252,775.0","260,981.0","258,986.0","260,553.0","258,756.0","266,990.0","269,336.0","279,403.0","273,510.0","289,001.0","288,550.0","297,719.0","285,914.0","300,900.0","306,367.0","312,046.0","316,681.0","320,517.0","330,575.0","349,215.0","330,753.0","350,479.0","350,947.0","360,275.0","380,097.0","384,720.0","393,756.0","404,789.0","420,574.0","428,385.0","437,833.0","448,557.0","442,999.0","467,442.0","461,123.0","473,708.0","477,587.0","484,545.0","496,746.0","495,315.0","503,004.0","506,008.0","523,692.0","519,047.0","540,836.0","541,095.0","543,381.0","552,857.0","549,871.0","561,635.0","574,909.0","577,385.0","584,930.0","588,341.0","617,614.0","626,553.0","626,364.0","644,455.0","654,992.0","662,378.0","660,549.0","666,015.0","676,604.0","657,801.0","638,948.0","648,102.0","653,786.0","629,466.0","638,780.0","641,138.0","669,264.0","637,986.0","635,549.0","638,036.0","646,191.0","630,941.0","641,681.0","645,646.0","676,790.0"
"29","10","        Less: Own-account investment \4\","W108RC1","5,878.0","6,046.0","6,226.0","6,304.0","6,411.0","6,525.0","6,726.0","6,759.0","6,939.0","7,056.0","7,094.0","7,275.0","7,402.0","7,519.0","7,489.0","7,752.0","7,774.0","7,795.0","7,930.0","8,174.0","8,237.0","8,611.0","8,745.0","8,788.0","9,020.0","8,944.0","9,191.0","9,352.0","9,085.0","9,367.0","9,591.0","9,486.0","9,422.0","9,649.0","9,771.0","9,687.0","9,734.0","10,408.0","11,004.0","11,523.0","11,295.0","11,867.0","12,385.0","12,776.0","13,079.0","13,338.0","13,620.0","14,051.0","14,232.0","14,553.0","14,792.0","15,193.0","15,385.0","15,888.0","16,234.0","16,623.0","16,774.0","17,249.0","17,954.0","18,290.0","18,578.0","19,222.0","20,116.0","20,653.0","20,944.0","21,618.0","22,239.0","22,781.0","22,991.0","23,709.0","24,307.0","24,522.0","24,692.0","24,916.0","25,463.0","25,766.0","26,108.0","26,781.0","27,220.0","27,789.0","28,383.0","29,238.0","30,123.0","30,998.0","31,625.0","31,757.0","31,986.0","32,513.0","32,911.0","33,428.0","33,763.0","34,042.0","34,510.0","34,197.0","34,105.0","33,894.0","34,402.0","35,064.0","35,393.0","35,324.0","35,075.0","35,396.0","36,236.0","36,274.0","36,675.0","36,804.0","37,020.0","36,674.0","36,840.0","37,105.0","37,404.0","37,547.0","39,499.0","39,203.0","38,635.0","38,289.0","39,080.0","40,279.0","40,557.0","39,739.0","39,450.0","41,766.0","42,014.0","42,810.0","43,229.0","43,541.0","44,980.0","45,689.0","48,017.0","49,875.0","50,052.0","50,789.0","51,798.0","52,231.0","52,989.0","53,470.0","53,770.0","54,188.0","54,791.0","55,298.0","55,171.0","56,111.0","56,641.0","57,116.0","57,894.0","59,146.0","59,975.0","60,917.0","61,313.0","62,645.0","63,385.0","64,050.0","65,121.0","66,040.0","66,879.0","67,577.0","68,580.0","69,509.0","70,313.0","70,748.0","70,982.0","71,208.0","71,190.0","70,569.0","70,189.0","70,727.0","71,359.0","71,006.0","71,740.0","72,771.0","73,595.0","74,324.0","74,502.0","74,966.0","74,841.0","74,140.0","73,427.0","73,313.0","72,766.0","71,980.0","70,830.0","71,402.0","71,538.0"
"30","11","        Less: Sales to other sectors \5\","W109RC1","12,301.0","12,710.0","12,917.0","13,155.0","13,554.0","13,794.0","14,070.0","14,589.0","15,033.0","15,592.0","16,172.0","16,585.0","17,538.0","18,267.0","18,582.0","19,409.0","19,840.0","20,974.0","21,150.0","21,442.0","22,631.0","23,216.0","23,282.0","23,768.0","24,764.0","25,068.0","24,450.0","25,442.0","26,092.0","27,783.0","28,822.0","28,102.0","29,913.0","31,008.0","32,365.0","32,188.0","33,417.0","34,976.0","36,715.0","37,836.0","39,086.0","40,229.0","41,255.0","44,148.0","43,610.0","45,180.0","47,249.0","48,595.0","50,200.0","51,225.0","54,230.0","54,459.0","56,456.0","57,359.0","58,930.0","61,026.0","61,927.0","63,302.0","65,621.0","67,168.0","67,483.0","68,602.0","70,503.0","71,003.0","72,963.0","74,632.0","76,304.0","77,978.0","79,289.0","81,083.0","82,513.0","84,595.0","86,124.0","87,785.0","89,728.0","90,858.0","93,345.0","96,126.0","99,115.0","99,786.0","103,467.0","106,586.0","109,163.0","110,513.0","113,395.0","115,220.0","119,890.0","124,593.0","127,369.0","128,337.0","134,310.0","136,004.0","140,802.0","144,178.0","148,421.0","149,068.0","155,431.0","158,604.0","161,440.0","161,996.0","167,848.0","173,164.0","171,975.0","177,098.0","179,023.0","180,114.0","182,355.0","187,158.0","187,158.0","189,544.0","193,336.0","194,775.0","195,483.0","198,416.0","200,304.0","203,663.0","205,572.0","205,799.0","216,955.0","210,528.0","213,611.0","217,932.0","221,111.0","224,041.0","231,875.0","234,353.0","240,034.0","247,534.0","251,234.0","253,764.0","258,022.0","262,862.0","265,067.0","266,402.0","272,594.0","274,141.0","278,475.0","282,853.0","285,982.0","290,195.0","294,579.0","298,832.0","303,062.0","307,095.0","312,341.0","313,648.0","318,856.0","324,160.0","330,609.0","335,050.0","339,700.0","339,914.0","343,871.0","348,946.0","352,655.0","356,281.0","358,565.0","361,500.0","367,841.0","368,040.0","371,400.0","375,920.0","381,158.0","387,178.0","391,997.0","398,200.0","402,812.0","404,922.0","404,662.0","409,448.0","427,066.0","416,960.0","419,000.0","424,466.0","427,315.0","431,359.0","437,684.0","440,561.0","443,405.0","445,827.0","448,677.0","455,174.0","456,215.0"
"31","12","Federal consumption expenditures \1\","A957RC1","97,096.0","99,468.0","102,308.0","102,820.0","102,676.0","101,360.0","102,376.0","102,756.0","105,568.0","106,664.0","106,688.0","107,524.0","112,804.0","113,984.0","110,216.0","111,684.0","113,128.0","114,220.0","112,720.0","115,584.0","118,580.0","119,508.0","123,104.0","128,672.0","129,852.0","132,092.0","133,156.0","136,600.0","136,812.0","138,536.0","137,984.0","142,684.0","144,984.0","148,364.0","150,144.0","154,896.0","157,172.0","160,968.0","162,484.0","167,236.0","170,800.0","174,848.0","174,176.0","184,132.0","191,332.0","202,020.0","201,712.0","213,380.0","221,112.0","229,812.0","230,864.0","243,412.0","247,632.0","249,188.0","257,316.0","268,496.0","273,328.0","278,780.0","287,400.0","271,904.0","280,616.0","293,256.0","295,100.0","299,148.0","307,484.0","312,780.0","321,320.0","325,420.0","325,148.0","335,940.0","344,760.0","340,124.0","342,300.0","346,040.0","346,192.0","356,556.0","356,592.0","357,568.0","357,716.0","371,468.0","368,520.0","382,152.0","383,488.0","386,492.0","396,704.0","401,008.0","398,688.0","410,860.0","427,160.0","426,196.0","423,452.0","418,956.0","423,092.0","425,540.0","435,612.0","436,600.0","424,644.0","424,088.0","430,104.0","431,964.0","423,240.0","424,852.0","434,224.0","427,008.0","428,892.0","430,920.0","430,240.0","420,584.0","423,492.0","430,440.0","427,256.0","432,484.0","430,620.0","443,320.0","438,764.0","442,080.0","427,488.0","439,356.0","433,860.0","445,028.0","446,396.0","446,728.0","457,496.0","471,660.0","461,776.0","482,988.0","477,696.0","477,768.0","493,712.0","502,868.0","509,136.0","515,848.0","542,532.0","554,580.0","561,596.0","582,600.0","600,412.0","635,136.0","631,360.0","646,908.0","668,896.0","677,756.0","691,604.0","687,236.0","714,548.0","716,768.0","736,216.0","726,232.0","762,064.0","760,276.0","763,172.0","770,248.0","775,268.0","789,088.0","809,168.0","819,876.0","850,088.0","865,668.0","897,960.0","905,572.0","904,776.0","931,196.0","945,908.0","952,928.0","979,104.0","1,005,092.0","1,018,772.0","1,012,652.0","1,000,560.0","1,015,152.0","1,009,028.0","999,504.0","1,003,248.0","998,656.0","1,024,896.0","987,640.0","970,244.0","965,188.0","965,696.0","951,060.0","957,136.0","955,500.0","988,068.0"
"32","13","      Gross output of general government","W110RC1","102,024.0","104,676.0","107,552.0","108,060.0","108,084.0","106,736.0","107,700.0","108,244.0","111,100.0","112,360.0","112,620.0","113,508.0","119,472.0","120,944.0","117,064.0","118,988.0","120,392.0","122,176.0","120,484.0","123,296.0","126,972.0","128,248.0","131,520.0","137,208.0","138,916.0","140,948.0","140,856.0","144,672.0","144,748.0","147,472.0","147,280.0","150,664.0","154,168.0","158,020.0","160,488.0","164,280.0","167,060.0","171,572.0","173,948.0","178,712.0","182,372.0","186,660.0","186,284.0","198,208.0","204,040.0","215,508.0","215,908.0","227,372.0","235,188.0","243,748.0","246,228.0","257,404.0","262,364.0","263,764.0","272,208.0","284,184.0","288,396.0","293,896.0","303,736.0","288,776.0","297,224.0","310,300.0","313,308.0","316,660.0","325,448.0","331,120.0","340,416.0","344,688.0","344,168.0","355,476.0","364,340.0","360,312.0","362,828.0","366,672.0","367,544.0","377,720.0","378,320.0","380,072.0","381,276.0","393,576.0","391,556.0","406,144.0","408,040.0","410,316.0","421,376.0","425,168.0","424,544.0","438,496.0","454,332.0","451,716.0","451,752.0","445,260.0","450,812.0","452,880.0","463,652.0","461,252.0","451,800.0","451,832.0","458,060.0","457,524.0","451,832.0","456,484.0","461,916.0","456,604.0","456,832.0","457,220.0","456,740.0","448,740.0","449,932.0","457,580.0","456,360.0","460,164.0","456,772.0","469,508.0","463,704.0","467,052.0","453,232.0","463,632.0","467,064.0","468,388.0","469,236.0","473,252.0","484,556.0","497,404.0","489,440.0","509,708.0","505,604.0","508,452.0","523,132.0","531,556.0","538,416.0","546,844.0","573,724.0","584,568.0","594,692.0","614,032.0","633,052.0","669,232.0","664,820.0","680,668.0","702,124.0","711,424.0","726,948.0","723,668.0","752,688.0","753,736.0","776,212.0","767,904.0","801,640.0","800,344.0","803,740.0","810,204.0","814,700.0","829,484.0","849,620.0","860,480.0","891,544.0","907,648.0","943,004.0","948,256.0","948,312.0","975,256.0","990,660.0","998,016.0","1,024,600.0","1,051,764.0","1,066,448.0","1,058,016.0","1,045,628.0","1,062,388.0","1,070,288.0","1,048,452.0","1,051,700.0","1,048,824.0","1,073,384.0","1,035,316.0","1,017,544.0","1,011,764.0","1,011,640.0","995,968.0","1,001,300.0","1,001,812.0","1,032,896.0"
"33","14","        Value added","W111RC1","74,412.0","75,264.0","78,740.0","79,184.0","81,456.0","82,100.0","82,704.0","83,336.0","86,372.0","87,136.0","87,480.0","88,676.0","91,632.0","91,344.0","91,648.0","94,328.0","94,664.0","94,964.0","95,460.0","97,988.0","99,220.0","100,432.0","101,848.0","105,668.0","107,232.0","108,492.0","109,592.0","112,804.0","114,048.0","114,928.0","116,164.0","119,676.0","120,988.0","122,268.0","123,396.0","127,884.0","130,216.0","132,108.0","133,996.0","137,856.0","139,156.0","140,576.0","142,308.0","148,116.0","150,764.0","154,252.0","157,148.0","167,128.0","170,024.0","172,592.0","176,112.0","185,272.0","187,664.0","190,648.0","194,120.0","199,572.0","201,576.0","203,128.0","206,452.0","208,540.0","216,096.0","219,476.0","222,936.0","225,908.0","232,664.0","234,368.0","236,896.0","241,396.0","243,200.0","245,824.0","248,648.0","251,620.0","253,316.0","256,136.0","260,184.0","264,216.0","270,980.0","274,384.0","278,104.0","280,224.0","286,644.0","288,820.0","291,640.0","293,116.0","299,228.0","303,332.0","305,080.0","309,732.0","320,860.0","320,828.0","321,700.0","321,920.0","326,572.0","328,320.0","328,272.0","327,668.0","329,456.0","329,340.0","330,608.0","329,612.0","331,324.0","331,916.0","329,684.0","329,516.0","333,800.0","331,996.0","330,872.0","328,708.0","332,248.0","331,180.0","330,036.0","328,580.0","332,764.0","332,688.0","332,432.0","331,368.0","334,320.0","334,384.0","335,056.0","336,320.0","342,568.0","342,684.0","343,640.0","345,812.0","355,412.0","359,688.0","359,880.0","359,972.0","365,116.0","367,212.0","370,488.0","373,856.0","391,020.0","393,420.0","395,620.0","404,540.0","426,136.0","432,164.0","434,664.0","435,112.0","452,792.0","455,608.0","459,404.0","462,364.0","482,876.0","485,080.0","489,548.0","492,324.0","505,832.0","508,084.0","510,796.0","513,800.0","529,620.0","533,852.0","538,944.0","542,740.0","558,700.0","566,832.0","574,988.0","580,704.0","595,272.0","602,132.0","606,008.0","611,104.0","631,260.0","645,788.0","646,800.0","650,540.0","658,232.0","663,200.0","666,780.0","668,228.0","669,820.0","668,712.0","667,772.0","666,020.0","665,448.0","664,788.0","659,380.0","664,736.0","666,744.0","668,264.0","669,636.0"
"34","15","          Compensation of general government employees","B568RC1","49,540.0","49,996.0","53,088.0","53,108.0","54,892.0","55,084.0","55,236.0","55,476.0","58,108.0","58,596.0","58,752.0","59,836.0","62,284.0","61,872.0","61,940.0","64,392.0","64,280.0","64,056.0","64,036.0","65,928.0","66,516.0","66,940.0","67,344.0","70,280.0","71,188.0","71,776.0","72,316.0","74,856.0","75,368.0","75,656.0","76,068.0","78,724.0","79,344.0","79,840.0","80,368.0","83,908.0","85,224.0","86,120.0","87,052.0","90,124.0","90,472.0","90,704.0","91,064.0","95,560.0","96,764.0","98,588.0","99,740.0","107,920.0","109,084.0","109,632.0","111,432.0","118,756.0","119,256.0","120,280.0","122,244.0","126,208.0","126,708.0","126,912.0","128,404.0","128,828.0","134,132.0","135,740.0","137,476.0","138,800.0","143,772.0","143,920.0","144,636.0","147,472.0","147,672.0","148,460.0","149,608.0","150,576.0","150,672.0","151,860.0","153,980.0","155,800.0","160,116.0","161,312.0","163,080.0","163,220.0","167,728.0","168,060.0","169,100.0","168,936.0","173,280.0","175,780.0","175,872.0","179,092.0","188,184.0","186,476.0","185,828.0","185,476.0","189,852.0","190,712.0","189,880.0","187,840.0","188,948.0","188,044.0","188,676.0","186,552.0","188,120.0","187,972.0","184,816.0","183,384.0","186,172.0","184,156.0","182,520.0","180,504.0","183,712.0","182,764.0","181,700.0","180,512.0","184,368.0","183,696.0","183,276.0","182,488.0","185,876.0","185,452.0","185,808.0","186,248.0","191,964.0","191,128.0","191,496.0","192,140.0","200,476.0","203,804.0","203,028.0","202,468.0","207,484.0","209,260.0","212,432.0","215,556.0","232,228.0","234,176.0","235,496.0","243,548.0","263,716.0","268,028.0","268,612.0","267,340.0","282,996.0","283,524.0","285,092.0","285,376.0","303,204.0","302,712.0","304,540.0","304,288.0","314,972.0","314,548.0","314,696.0","314,904.0","327,396.0","328,632.0","330,604.0","331,612.0","343,752.0","348,304.0","352,844.0","356,088.0","368,968.0","374,564.0","377,552.0","380,880.0","397,528.0","408,176.0","406,376.0","406,944.0","411,084.0","413,308.0","414,796.0","415,128.0","414,232.0","411,972.0","409,968.0","408,116.0","406,724.0","404,800.0","398,140.0","401,644.0","402,060.0","401,932.0","401,852.0"
"35","16","          Consumption of general government fixed capital \2\","B995RC1","24,872.0","25,268.0","25,652.0","26,076.0","26,564.0","27,016.0","27,468.0","27,860.0","28,264.0","28,540.0","28,728.0","28,840.0","29,348.0","29,472.0","29,708.0","29,936.0","30,384.0","30,908.0","31,424.0","32,060.0","32,704.0","33,492.0","34,504.0","35,388.0","36,044.0","36,716.0","37,276.0","37,948.0","38,680.0","39,272.0","40,096.0","40,952.0","41,644.0","42,428.0","43,028.0","43,976.0","44,992.0","45,988.0","46,944.0","47,732.0","48,684.0","49,872.0","51,244.0","52,556.0","54,000.0","55,664.0","57,408.0","59,208.0","60,940.0","62,960.0","64,680.0","66,516.0","68,408.0","70,368.0","71,876.0","73,364.0","74,868.0","76,216.0","78,048.0","79,712.0","81,964.0","83,736.0","85,460.0","87,108.0","88,892.0","90,448.0","92,260.0","93,924.0","95,528.0","97,364.0","99,040.0","101,044.0","102,644.0","104,276.0","106,204.0","108,416.0","110,864.0","113,072.0","115,024.0","117,004.0","118,916.0","120,760.0","122,540.0","124,180.0","125,948.0","127,552.0","129,208.0","130,640.0","132,676.0","134,352.0","135,872.0","136,444.0","136,720.0","137,608.0","138,392.0","139,828.0","140,508.0","141,296.0","141,932.0","143,060.0","143,204.0","143,944.0","144,868.0","146,132.0","147,628.0","147,840.0","148,352.0","148,204.0","148,536.0","148,416.0","148,336.0","148,068.0","148,396.0","148,992.0","149,156.0","148,880.0","148,444.0","148,932.0","149,248.0","150,072.0","150,604.0","151,556.0","152,144.0","153,672.0","154,936.0","155,884.0","156,852.0","157,504.0","157,632.0","157,952.0","158,056.0","158,300.0","158,792.0","159,244.0","160,124.0","160,992.0","162,420.0","164,136.0","166,052.0","167,772.0","169,796.0","172,084.0","174,312.0","176,988.0","179,672.0","182,368.0","185,008.0","188,036.0","190,860.0","193,536.0","196,100.0","198,896.0","202,224.0","205,220.0","208,340.0","211,128.0","214,948.0","218,528.0","222,144.0","224,616.0","226,304.0","227,568.0","228,456.0","230,224.0","233,732.0","237,612.0","240,424.0","243,596.0","247,148.0","249,892.0","251,984.0","253,100.0","255,588.0","256,740.0","257,804.0","257,904.0","258,724.0","259,988.0","261,240.0","263,092.0","264,684.0","266,332.0","267,784.0"
"36","17","        Intermediate goods and services purchased \3\","W113RC1","27,612.0","29,412.0","28,812.0","28,876.0","26,628.0","24,636.0","24,996.0","24,908.0","24,728.0","25,224.0","25,140.0","24,832.0","27,840.0","29,600.0","25,416.0","24,660.0","25,728.0","27,212.0","25,024.0","25,308.0","27,752.0","27,816.0","29,672.0","31,540.0","31,684.0","32,456.0","31,264.0","31,868.0","30,700.0","32,544.0","31,116.0","30,988.0","33,180.0","35,752.0","37,092.0","36,396.0","36,844.0","39,464.0","39,952.0","40,856.0","43,216.0","46,084.0","43,976.0","50,092.0","53,276.0","61,256.0","58,760.0","60,244.0","65,164.0","71,156.0","70,116.0","72,132.0","74,700.0","73,116.0","78,088.0","84,612.0","86,820.0","90,768.0","97,284.0","80,236.0","81,128.0","90,824.0","90,372.0","90,752.0","92,784.0","96,752.0","103,520.0","103,292.0","100,968.0","109,652.0","115,692.0","108,692.0","109,512.0","110,536.0","107,360.0","113,504.0","107,340.0","105,688.0","103,172.0","113,352.0","104,912.0","117,324.0","116,400.0","117,200.0","122,148.0","121,836.0","119,464.0","128,764.0","133,472.0","130,888.0","130,052.0","123,340.0","124,240.0","124,560.0","135,380.0","133,584.0","122,344.0","122,492.0","127,452.0","127,912.0","120,508.0","124,568.0","132,232.0","127,088.0","123,032.0","125,224.0","125,868.0","120,032.0","117,684.0","126,400.0","126,324.0","131,584.0","124,008.0","136,820.0","131,272.0","135,684.0","118,912.0","129,248.0","132,008.0","132,068.0","126,668.0","130,568.0","140,916.0","151,592.0","134,028.0","150,020.0","145,724.0","148,480.0","158,016.0","164,344.0","167,928.0","172,988.0","182,704.0","191,148.0","199,072.0","209,492.0","206,916.0","237,068.0","230,156.0","245,556.0","249,332.0","255,816.0","267,544.0","261,304.0","269,812.0","268,656.0","286,664.0","275,580.0","295,808.0","292,260.0","292,944.0","296,404.0","285,080.0","295,632.0","310,676.0","317,740.0","332,844.0","340,816.0","368,016.0","367,552.0","353,040.0","373,124.0","384,652.0","386,912.0","393,340.0","405,976.0","419,648.0","407,476.0","387,396.0","399,188.0","403,508.0","380,224.0","381,880.0","380,112.0","405,612.0","369,296.0","352,096.0","346,976.0","352,260.0","331,232.0","334,556.0","333,548.0","363,260.0"
"37","18","          Durable goods","W114RC1","6,924.0","6,516.0","6,528.0","6,220.0","6,204.0","6,132.0","6,100.0","6,248.0","5,304.0","4,792.0","4,628.0","4,180.0","6,104.0","6,168.0","5,512.0","5,300.0","5,776.0","5,904.0","5,104.0","5,356.0","4,988.0","5,628.0","4,656.0","5,664.0","5,876.0","5,980.0","6,116.0","6,416.0","5,540.0","6,532.0","5,696.0","6,404.0","7,416.0","8,904.0","7,688.0","8,292.0","9,004.0","9,848.0","9,624.0","9,736.0","10,276.0","11,744.0","11,076.0","12,560.0","12,712.0","13,136.0","13,760.0","12,588.0","15,068.0","16,792.0","16,040.0","18,072.0","17,812.0","19,096.0","20,108.0","22,316.0","24,108.0","25,528.0","25,612.0","26,268.0","27,528.0","28,532.0","26,000.0","27,828.0","27,636.0","29,008.0","31,884.0","30,888.0","28,824.0","33,460.0","34,936.0","33,020.0","32,696.0","33,888.0","36,572.0","35,312.0","34,560.0","33,908.0","33,648.0","35,848.0","32,988.0","34,484.0","33,760.0","31,776.0","33,296.0","32,784.0","32,456.0","33,436.0","33,004.0","33,464.0","32,364.0","31,068.0","30,220.0","29,172.0","30,240.0","30,384.0","27,876.0","32,220.0","26,060.0","25,816.0","24,404.0","23,948.0","25,820.0","23,480.0","23,136.0","20,984.0","24,992.0","20,388.0","21,100.0","23,664.0","23,380.0","21,328.0","21,992.0","23,580.0","21,932.0","22,328.0","21,468.0","21,932.0","23,524.0","22,952.0","21,608.0","24,368.0","25,924.0","23,616.0","24,140.0","24,024.0","24,196.0","23,324.0","22,692.0","24,584.0","25,996.0","23,372.0","23,988.0","25,232.0","26,884.0","25,728.0","25,044.0","28,444.0","29,184.0","29,360.0","29,756.0","31,128.0","32,840.0","31,580.0","30,928.0","31,892.0","33,088.0","33,164.0","34,500.0","34,932.0","36,320.0","38,004.0","36,564.0","38,112.0","40,588.0","41,776.0","42,800.0","45,292.0","47,828.0","48,728.0","45,064.0","49,052.0","52,248.0","50,856.0","47,420.0","49,876.0","52,108.0","54,208.0","45,728.0","48,128.0","49,400.0","51,204.0","46,964.0","47,284.0","49,032.0","47,492.0","41,640.0","42,904.0","42,472.0","41,168.0","38,316.0","38,040.0","37,156.0"
