"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Gross domestic income","A261RC1","989,849.0","1,009,426.0","1,031,186.0","1,042,612.0","1,049,816.0","1,064,391.0","1,081,973.0","1,085,965.0","1,124,544.0","1,146,843.0","1,168,515.0","1,193,239.0","1,229,187.0","1,252,557.0","1,284,886.0","1,334,631.0","1,374,259.0","1,402,855.0","1,434,376.0","1,478,278.0","1,494,724.0","1,524,136.0","1,560,019.0","1,586,830.0","1,604,274.0","1,642,094.0","1,705,102.0","1,751,289.0","1,806,322.0","1,836,090.0","1,873,548.0","1,912,555.0","1,960,983.0","2,039,308.0","2,104,092.0","2,162,401.0","2,208,176.0","2,315,265.0","2,369,410.0","2,440,819.0","2,507,654.0","2,554,592.0","2,611,966.0","2,675,204.0","2,732,785.0","2,740,675.0","2,824,435.0","2,976,411.0","3,074,534.0","3,132,456.0","3,233,318.0","3,256,654.0","3,275,494.0","3,328,217.0","3,362,970.0","3,386,260.0","3,451,680.0","3,534,177.0","3,620,048.0","3,730,009.0","3,874,318.0","3,970,031.0","4,046,270.0","4,117,630.0","4,201,820.0","4,258,648.0","4,335,843.0","4,385,614.0","4,451,878.0","4,481,534.0","4,529,526.0","4,590,703.0","4,670,621.0","4,776,541.0","4,883,208.0","4,988,272.0","5,088,251.0","5,197,311.0","5,305,278.0","5,421,561.0","5,517,202.0","5,563,303.0","5,625,041.0","5,668,522.0","5,790,947.0","5,883,925.0","5,930,862.0","5,947,206.0","5,998,662.0","6,055,565.0","6,116,196.0","6,172,223.0","6,307,059.0","6,399,120.0","6,450,039.0","6,557,367.0","6,567,654.0","6,688,954.0","6,740,767.0","6,908,165.0","6,979,068.0","7,124,379.0","7,230,427.0","7,353,881.0","7,430,915.0","7,506,751.0","7,634,931.0","7,721,404.0","7,847,667.0","7,995,993.0","8,094,138.0","8,236,720.0","8,382,733.0","8,504,449.0","8,677,560.0","8,820,143.0","8,928,914.0","9,075,842.0","9,239,152.0","9,353,397.0","9,516,676.0","9,607,814.0","9,731,793.0","9,936,236.0","10,216,595.0","10,331,418.0","10,475,701.0","10,513,287.0","10,701,802.0","10,757,808.0","10,754,640.0","10,732,975.0","10,906,585.0","11,014,435.0","11,077,913.0","11,202,222.0","11,289,076.0","11,430,667.0","11,604,041.0","11,773,430.0","11,966,636.0","12,195,798.0","12,410,728.0","12,560,892.0","12,800,763.0","12,986,120.0","13,222,993.0","13,506,944.0","13,870,998.0","14,003,737.0","14,157,219.0","14,260,722.0","14,384,610.0","14,485,848.0","14,456,394.0","14,513,724.0","14,621,933.0","14,683,362.0","14,718,741.0","14,452,694.0","14,266,625.0","14,244,232.0","14,309,902.0","14,552,897.0","14,623,249.0","14,790,422.0","15,051,542.0","15,195,436.0","15,282,457.0","15,467,703.0","15,661,821.0","15,813,061.0","16,175,642.0","16,276,337.0","16,403,513.0","16,633,822.0","16,752,740.0","16,909,328.0","17,059,981.0","17,197,826.0","17,221,450.0","17,481,706.0","17,735,568.0"
"21","2","Compensation of employees, paid","A4002C1","564,204.0","578,215.0","595,011.0","606,543.0","616,637.0","621,969.0","629,967.0","631,803.0","649,845.0","661,801.0","672,171.0","684,221.0","710,555.0","724,747.0","738,111.0","761,152.0","787,772.0","805,580.0","822,769.0","844,085.0","860,875.0","881,100.0","902,860.0","916,534.0","921,217.0","934,169.0","959,062.0","986,425.0","1,017,678.0","1,038,438.0","1,061,274.0","1,087,695.0","1,116,329.0","1,153,429.0","1,185,401.0","1,221,030.0","1,255,896.0","1,303,037.0","1,339,266.0","1,383,095.0","1,427,409.0","1,458,349.0","1,498,874.0","1,539,791.0","1,579,323.0","1,600,604.0","1,631,296.0","1,694,085.0","1,745,391.0","1,777,613.0","1,815,541.0","1,843,150.0","1,866,632.0","1,885,280.0","1,905,512.0","1,920,620.0","1,950,113.0","1,988,748.0","2,031,416.0","2,086,042.0","2,147,322.0","2,197,010.0","2,242,844.0","2,283,280.0","2,327,265.0","2,365,215.0","2,406,942.0","2,457,299.0","2,495,229.0","2,520,888.0","2,558,739.0","2,607,647.0","2,652,563.0","2,695,791.0","2,742,941.0","2,811,369.0","2,861,954.0","2,926,998.0","2,978,676.0","3,035,998.0","3,085,049.0","3,118,746.0","3,158,849.0","3,212,763.0","3,280,993.0","3,336,983.0","3,376,192.0","3,385,738.0","3,397,416.0","3,432,898.0","3,471,988.0","3,516,694.0","3,600,613.0","3,657,355.0","3,693,556.0","3,744,865.0","3,751,004.0","3,806,593.0","3,841,330.0","3,897,038.0","3,921,130.0","4,001,280.0","4,039,089.0","4,095,080.0","4,145,376.0","4,181,654.0","4,227,720.0","4,272,207.0","4,325,224.0","4,397,522.0","4,459,818.0","4,522,373.0","4,603,700.0","4,670,094.0","4,749,853.0","4,852,732.0","4,954,761.0","5,040,320.0","5,125,502.0","5,208,975.0","5,305,822.0","5,359,717.0","5,436,837.0","5,567,541.0","5,766,248.0","5,807,370.0","5,920,562.0","5,958,401.0","6,066,541.0","6,057,228.0","6,040,946.0","6,050,290.0","6,082,491.0","6,145,706.0","6,168,969.0","6,201,674.0","6,234,850.0","6,326,714.0","6,412,106.0","6,517,149.0","6,574,489.0","6,699,628.0","6,832,440.0","6,888,549.0","6,963,355.0","7,038,480.0","7,153,518.0","7,236,314.0","7,418,035.0","7,464,415.0","7,519,778.0","7,652,563.0","7,842,331.0","7,877,687.0","7,912,373.0","8,002,683.0","8,090,488.0","8,088,791.0","8,106,216.0","8,074,337.0","7,771,945.0","7,799,429.0","7,782,255.0","7,828,987.0","7,809,107.0","7,955,150.0","8,027,606.0","8,086,063.0","8,217,382.0","8,256,893.0","8,340,240.0","8,293,930.0","8,531,119.0","8,552,780.0","8,585,247.0","8,790,635.0","8,742,787.0","8,835,355.0","8,880,539.0","8,955,852.0","9,104,738.0","9,168,679.0","9,247,099.0"
"22","3","  Wages and salaries","A4102C1","499,046.0","511,360.0","526,409.0","536,429.0","545,075.0","549,043.0","555,699.0","556,331.0","570,492.0","580,428.0","588,769.0","598,421.0","618,472.0","630,374.0","642,326.0","663,971.0","683,364.0","700,201.0","716,177.0","735,356.0","748,203.0","765,319.0","783,153.0","792,541.0","791,963.0","800,410.0","821,336.0","845,815.0","871,255.0","889,419.0","908,489.0","929,965.0","950,105.0","980,970.0","1,007,568.0","1,038,237.0","1,064,311.0","1,106,051.0","1,137,226.0","1,175,087.0","1,208,425.0","1,234,100.0","1,268,258.0","1,302,756.0","1,334,973.0","1,351,131.0","1,376,157.0","1,431,819.0","1,469,219.0","1,496,354.0","1,528,886.0","1,551,656.0","1,567,405.0","1,581,134.0","1,596,253.0","1,606,043.0","1,623,238.0","1,655,273.0","1,691,961.0","1,740,271.0","1,785,417.0","1,828,414.0","1,866,933.0","1,899,737.0","1,934,012.0","1,963,455.0","1,996,315.0","2,037,278.0","2,065,463.0","2,083,671.0","2,113,397.0","2,153,937.0","2,195,313.0","2,231,634.0","2,271,783.0","2,331,760.0","2,368,191.0","2,423,002.0","2,463,736.0","2,507,667.0","2,543,243.0","2,564,625.0","2,593,266.0","2,636,211.0","2,688,991.0","2,738,113.0","2,770,978.0","2,775,940.0","2,778,323.0","2,803,895.0","2,829,268.0","2,857,429.0","2,916,446.0","2,955,788.0","2,978,954.0","3,022,835.0","3,021,582.0","3,068,795.0","3,096,629.0","3,143,637.0","3,156,739.0","3,228,689.0","3,262,047.0","3,314,942.0","3,364,607.0","3,399,340.0","3,442,305.0","3,482,196.0","3,529,762.0","3,594,685.0","3,650,771.0","3,707,160.0","3,781,474.0","3,839,861.0","3,908,151.0","3,995,498.0","4,080,694.0","4,150,631.0","4,221,447.0","4,291,944.0","4,375,909.0","4,417,971.0","4,479,151.0","4,587,670.0","4,759,308.0","4,786,687.0","4,879,155.0","4,904,568.0","4,989,848.0","4,970,880.0","4,943,852.0","4,941,985.0","4,960,190.0","5,008,673.0","5,018,418.0","5,029,560.0","5,039,207.0","5,110,019.0","5,175,109.0","5,260,021.0","5,290,114.0","5,393,012.0","5,501,229.0","5,540,346.0","5,590,692.0","5,650,807.0","5,748,546.0","5,822,253.0","5,987,293.0","6,026,676.0","6,072,125.0","6,188,956.0","6,358,107.0","6,381,776.0","6,404,185.0","6,478,629.0","6,551,544.0","6,543,068.0","6,555,205.0","6,524,465.0","6,240,166.0","6,265,205.0","6,247,227.0","6,287,711.0","6,247,029.0","6,373,572.0","6,434,838.0","6,486,797.0","6,591,281.0","6,623,508.0","6,697,796.0","6,652,378.0","6,869,068.0","6,886,145.0","6,911,353.0","7,095,553.0","7,042,490.0","7,119,988.0","7,154,291.0","7,217,542.0","7,348,334.0","7,400,928.0","7,466,898.0"
"23","4","      To persons","W270RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,062,660.0","2,080,952.0","2,110,814.0","2,151,282.0","2,192,725.0","2,229,098.0","2,269,603.0","2,329,664.0","2,366,282.0","2,421,085.0","2,462,023.0","2,505,758.0","2,541,181.0","2,562,407.0","2,590,968.0","2,633,581.0","2,685,705.0","2,734,743.0","2,767,496.0","2,772,162.0","2,774,715.0","2,799,959.0","2,825,164.0","2,852,913.0","2,911,730.0","2,951,036.0","2,974,250.0","3,017,963.0","3,016,735.0","3,063,704.0","3,091,490.0","3,138,154.0","3,150,960.0","3,222,706.0","3,256,056.0","3,308,863.0","3,358,396.0","3,393,089.0","3,436,054.0","3,475,833.0","3,523,716.0","3,588,439.0","3,644,485.0","3,700,514.0","3,775,043.0","3,833,254.0","3,901,416.0","3,988,583.0","4,073,940.0","4,143,793.0","4,214,377.0","4,284,606.0","4,364,685.0","4,406,503.0","4,467,767.0","4,576,082.0","4,748,544.0","4,775,675.0","4,868,231.0","4,893,428.0","4,978,244.0","4,959,304.0","4,932,040.0","4,930,105.0","4,947,950.0","4,996,125.0","5,006,322.0","5,016,968.0","5,026,287.0","5,097,311.0","5,162,176.0","5,246,929.0","5,276,579.0","5,378,920.0","5,487,394.0","5,525,901.0","5,575,111.0","5,634,901.0","5,732,466.0","5,806,171.0","5,971,091.0","6,010,164.0","6,055,790.0","6,172,287.0","6,342,728.0","6,365,721.0","6,388,657.0","6,462,689.0","6,533,660.0","6,526,232.0","6,538,544.0","6,507,584.0","6,224,905.0","6,250,571.0","6,233,168.0","6,273,978.0","6,233,672.0","6,359,593.0","6,420,435.0","6,472,678.0","6,577,544.0","6,609,431.0","6,683,478.0","6,637,764.0","6,854,800.0","6,870,950.0","6,896,337.0","7,080,804.0","7,027,442.0","7,104,239.0","7,138,602.0","7,201,740.0","7,332,953.0","7,384,871.0","7,450,760.0"
"24","5","      To the rest of the world","B4189C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,803.0","2,719.0","2,583.0","2,655.0","2,588.0","2,536.0","2,180.0","2,096.0","1,909.0","1,917.0","1,713.0","1,909.0","2,062.0","2,218.0","2,298.0","2,630.0","3,286.0","3,370.0","3,482.0","3,778.0","3,608.0","3,936.0","4,104.0","4,516.0","4,716.0","4,752.0","4,704.0","4,872.0","4,847.0","5,091.0","5,139.0","5,483.0","5,779.0","5,983.0","5,991.0","6,079.0","6,211.0","6,251.0","6,251.0","6,363.0","6,046.0","6,246.0","6,286.0","6,646.0","6,431.0","6,607.0","6,735.0","6,915.0","6,754.0","6,838.0","7,070.0","7,338.0","11,224.0","11,468.0","11,384.0","11,588.0","10,764.0","11,012.0","10,924.0","11,140.0","11,604.0","11,576.0","11,812.0","11,880.0","12,240.0","12,548.0","12,096.0","12,592.0","12,920.0","12,708.0","12,933.0","13,092.0","13,535.0","14,092.0","13,835.0","14,445.0","15,581.0","15,906.0","16,080.0","16,082.0","16,202.0","16,512.0","16,335.0","16,669.0","15,379.0","16,055.0","15,528.0","15,940.0","17,884.0","16,836.0","16,661.0","16,881.0","15,261.0","14,634.0","14,059.0","13,733.0","13,357.0","13,979.0","14,403.0","14,119.0","13,737.0","14,077.0","14,318.0","14,614.0","14,268.0","15,195.0","15,016.0","14,749.0","15,048.0","15,749.0","15,689.0","15,802.0","15,381.0","16,057.0","16,138.0"
"25","6","  Supplements to wages and salaries","A038RC1","65,158.0","66,855.0","68,602.0","70,114.0","71,562.0","72,926.0","74,268.0","75,472.0","79,353.0","81,373.0","83,402.0","85,800.0","92,083.0","94,373.0","95,785.0","97,181.0","104,408.0","105,379.0","106,592.0","108,729.0","112,672.0","115,781.0","119,707.0","123,993.0","129,254.0","133,759.0","137,726.0","140,610.0","146,423.0","149,019.0","152,785.0","157,730.0","166,224.0","172,459.0","177,833.0","182,793.0","191,585.0","196,986.0","202,040.0","208,008.0","218,984.0","224,249.0","230,616.0","237,035.0","244,350.0","249,473.0","255,139.0","262,266.0","276,172.0","281,259.0","286,655.0","291,494.0","299,227.0","304,146.0","309,259.0","314,577.0","326,875.0","333,475.0","339,455.0","345,771.0","361,905.0","368,596.0","375,911.0","383,543.0","393,253.0","401,760.0","410,627.0","420,021.0","429,766.0","437,217.0","445,342.0","453,710.0","457,250.0","464,157.0","471,158.0","479,609.0","493,763.0","503,996.0","514,940.0","528,331.0","541,806.0","554,121.0","565,583.0","576,552.0","592,002.0","598,870.0","605,214.0","609,798.0","619,093.0","629,003.0","642,720.0","659,265.0","684,167.0","701,567.0","714,602.0","722,030.0","729,422.0","737,798.0","744,701.0","753,401.0","764,391.0","772,591.0","777,042.0","780,138.0","780,769.0","782,314.0","785,415.0","790,011.0","795,462.0","802,837.0","809,047.0","815,213.0","822,226.0","830,233.0","841,702.0","857,234.0","874,067.0","889,689.0","904,055.0","917,031.0","929,913.0","941,746.0","957,686.0","979,871.0","1,006,940.0","1,020,683.0","1,041,407.0","1,053,833.0","1,076,693.0","1,086,348.0","1,097,094.0","1,108,305.0","1,122,301.0","1,137,033.0","1,150,551.0","1,172,114.0","1,195,643.0","1,216,695.0","1,236,997.0","1,257,128.0","1,284,375.0","1,306,616.0","1,331,211.0","1,348,203.0","1,372,663.0","1,387,673.0","1,404,972.0","1,414,061.0","1,430,742.0","1,437,739.0","1,447,653.0","1,463,607.0","1,484,224.0","1,495,911.0","1,508,188.0","1,524,054.0","1,538,944.0","1,545,723.0","1,551,011.0","1,549,872.0","1,531,779.0","1,534,224.0","1,535,028.0","1,541,276.0","1,562,078.0","1,581,578.0","1,592,768.0","1,599,266.0","1,626,101.0","1,633,385.0","1,642,444.0","1,641,552.0","1,662,051.0","1,666,635.0","1,673,894.0","1,695,082.0","1,700,297.0","1,715,367.0","1,726,248.0","1,738,310.0","1,756,404.0","1,767,751.0","1,780,201.0"
"26","7","Taxes on production and imports","W056RC1","80,589.0","82,901.0","85,217.0","86,717.0","88,466.0","90,535.0","92,512.0","94,139.0","97,652.0","98,947.0","101,674.0","103,699.0","104,560.0","106,786.0","108,862.0","111,504.0","114,600.0","116,185.0","118,397.0","119,698.0","120,806.0","124,068.0","127,054.0","127,680.0","128,821.0","133,011.0","138,199.0","141,137.0","141,674.0","144,856.0","147,693.0","151,329.0","154,836.0","158,028.0","161,532.0","164,260.0","166,912.0","173,059.0","169,711.0","173,910.0","176,441.0","178,493.0","180,902.0","184,568.0","189,513.0","196,896.0","204,294.0","210,617.0","230,842.0","235,496.0","237,466.0","238,772.0","237,401.0","238,262.0","241,777.0","246,292.0","250,664.0","261,239.0","267,494.0","273,727.0","281,644.0","287,748.0","292,172.0","297,528.0","301,047.0","305,701.0","311,851.0","313,933.0","317,495.0","319,475.0","326,155.0","330,367.0","336,035.0","344,369.0","352,378.0","357,398.0","365,088.0","372,587.0","377,635.0","382,546.0","391,097.0","397,372.0","403,844.0","403,155.0","419,362.0","419,501.0","426,879.0","434,218.0","444,271.0","451,603.0","461,167.0","471,323.0","476,247.0","481,066.0","485,909.0","490,282.0","489,804.0","497,944.0","504,986.0","519,766.0","531,900.0","544,174.0","550,169.0","554,749.0","554,882.0","553,675.0","559,166.0","563,889.0","570,757.0","577,713.0","581,629.0","592,917.0","595,645.0","610,260.0","616,560.0","623,995.0","629,125.0","635,524.0","642,991.0","650,252.0","657,491.0","667,058.0","679,019.0","690,772.0","698,563.0","707,303.0","711,308.0","717,050.0","724,086.0","724,086.0","725,411.0","737,177.0","744,960.0","756,600.0","771,832.0","777,016.0","788,570.0","800,694.0","814,788.0","827,966.0","843,352.0","855,479.0","868,563.0","888,367.0","908,411.0","929,462.0","944,650.0","955,598.0","975,670.0","988,267.0","996,868.0","1,006,975.0","1,022,002.0","1,031,974.0","1,038,755.0","1,045,518.0","1,038,108.0","1,047,941.0","1,049,247.0","1,032,371.0","1,014,113.0","1,019,364.0","1,030,133.0","1,040,975.0","1,042,207.0","1,054,206.0","1,063,073.0","1,068,954.0","1,087,640.0","1,104,201.0","1,104,021.0","1,114,641.0","1,129,509.0","1,132,023.0","1,127,659.0","1,138,862.0","1,154,800.0","1,152,233.0","1,167,077.0","1,175,674.0","1,184,478.0","1,197,937.0","1,206,546.0"
