"","Table 5#2#6U# Real Gross and Net Domestic Investment by Major Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46"
"1","[Billions of chained (2005) dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2000 To 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 01, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2010 12:09:03 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","      Gross domestic investment","W170RX1",2238.3,2363.9,2334.8,2336.5,2235.7,2249.1,2190.5,2101.6,2166.7,2190,2199.5,2199.3,2197.3,2210.4,2287.5,2355.7,2363.9,2454.9,2479.4,2514.7,2556.1,2521.8,2548.4,2630.8,2664.1,2670.6,2634.3,2571.9,2551.9,2607.6,2592.6,2542,2492.1,2468.5,2407.3,2191.9,1959.8,1896.1,1943.2,2025.9,2118,2229.5,2290.7
"10","2","      Less: Consumption of fixed capital","A262RX1",1250.6,1272.9,1293.7,1312.3,1329.9,1345.2,1358.2,1370,1383.1,1394.2,1405.6,1416.2,1426.4,1435.5,1445.7,1457.5,1470.2,1481.6,1494,1507.3,1520.8,1534,1548.2,1562.5,1575,1590.6,1606.2,1622,1638.6,1654.1,1668.5,1682.3,1694.9,1708.4,1721.6,1733.1,1740.7,1743.7,1745.9,1749,1754.8,1762.9,1773.1
"11","3","      Equals: Net domestic investment","W171RX1",987.1,1089.8,1040.1,1023.3,905.5,904.1,832.2,732.2,784.1,796.3,794.4,783.6,771.5,775.5,842.4,898.6,894,973.4,985.5,1007.4,1035.2,987.7,1000.2,1068.3,1089.2,1080,1028.1,949.7,912.9,953.2,923.7,858.9,796,757.6,682.2,452.7,210.2,141.1,186.2,268.4,358,462.7,514.3
"12","4","Gross private domestic investment","A006RX1",1887.8,2018.5,1987,1987.8,1882.7,1876.7,1837.1,1731.2,1789.3,1810.8,1814.5,1813.2,1813.1,1823.7,1889.9,1959.8,1970,2055.6,2082.2,2125.2,2170.3,2131.5,2154.9,2232.2,2264.7,2261.2,2229.6,2166,2146.1,2195.1,2178.9,2126.1,2074.3,2033.8,1967.2,1753.8,1529.5,1453.2,1494.5,1585.7,1690.2,1791.5,1846.1
"13","5","Less: Consumption of fixed capital","B024RX1",1033.3,1053.9,1073.2,1090.4,1106.7,1120.5,1132.2,1142.6,1154.4,1164,1174,1183.2,1191.9,1199.5,1208.2,1218.4,1229.1,1238.6,1249.1,1260.8,1272.8,1284.4,1296.8,1309.3,1320.4,1334.1,1347.8,1361.7,1376.4,1389.9,1402.2,1413.8,1424.1,1435.3,1446.3,1455.5,1460.6,1461.2,1461.2,1462.2,1466.1,1472.1,1479.8
"14","6","Equals: Net private domestic investment","A557RX1",854.6,964.7,913.8,897.5,776,756.1,704.9,588.6,635,646.8,640.5,630,621.3,624.2,681.7,741.4,741,817,833.2,864.4,897.5,847.1,858.2,922.9,944.4,927.1,881.8,804.2,769.7,805.3,776.7,712.3,650.3,598.5,520.9,298.3,68.8,-8,33.3,123.5,224.1,319.4,366.3
"15","7","  Fixed investment","A007RX1",1873.7,1920.8,1927.5,1933.3,1921.8,1891.7,1871.9,1824.9,1808.7,1801.5,1798.4,1783.9,1784.1,1829.7,1888.7,1922.4,1918.6,1977.7,2019.7,2053.9,2079.2,2116,2143,2151,2200.2,2189.9,2162.2,2132.9,2127.7,2147.2,2140.8,2114.9,2081.6,2057.3,1993.3,1855.6,1663.4,1619.6,1622.4,1617.1,1630.5,1702.5,1706
"16","8","  Less: Consumption of fixed capital","B024RX1",1033.3,1053.9,1073.2,1090.4,1106.7,1120.5,1132.2,1142.6,1154.4,1164,1174,1183.2,1191.9,1199.5,1208.2,1218.4,1229.1,1238.6,1249.1,1260.8,1272.8,1284.4,1296.8,1309.3,1320.4,1334.1,1347.8,1361.7,1376.4,1389.9,1402.2,1413.8,1424.1,1435.3,1446.3,1455.5,1460.6,1461.2,1461.2,1462.2,1466.1,1472.1,1479.8
"17","9","  Equals: Net fixed investment","A560RX1",840.4,866.9,854.3,843,815.1,771.2,739.7,682.3,654.3,637.5,624.4,600.7,592.2,630.3,680.5,704,689.6,739.2,770.6,793.1,806.4,831.6,846.2,841.6,879.8,855.8,814.3,771.2,751.3,757.4,738.6,701.1,657.5,622,547,400.2,202.8,158.4,161.2,154.9,164.3,230.4,226.2
"18","10","    Nonresidential","A008RX1",1274.7,1321.7,1336.3,1341.5,1328.7,1293.8,1272.5,1232.2,1203.4,1183.9,1177.8,1155.6,1150.4,1181.4,1208.3,1224,1214.3,1247,1281.2,1309.6,1321.5,1340.8,1359.7,1367.3,1424.9,1450.3,1466,1474.5,1499,1539.1,1574.1,1595.9,1603.7,1597,1561.5,1464.2,1313.7,1288.3,1282.9,1278.3,1302.6,1355.3,1387.2
"19","11","    Less: Consumption of fixed capital","A753RX1",831.3,848.7,865.4,880.7,895.7,908.2,918.5,927.5,937.5,945.5,953.9,961.5,968.6,974.6,981.6,990.1,999,1006.7,1015.4,1025.4,1035.7,1045.6,1056.2,1067,1076.3,1088.4,1100.5,1112.8,1125.9,1138,1149.1,1159.5,1168.9,1179.3,1189.6,1198.1,1202.8,1203,1202.6,1203.1,1206.6,1212.2,1219.5
"20","12","    Equals: Net nonresidential","A593RX1",443.4,473,470.9,460.8,433,385.6,354,304.7,265.9,238.4,223.9,194.2,181.9,206.8,226.6,233.9,215.3,240.3,265.8,284.2,285.9,295.2,303.5,300.2,348.6,361.9,365.6,361.7,373.1,401.1,425,436.4,434.8,417.7,372,266.1,110.9,85.3,80.3,75.2,95.9,143.1,167.7
"21","13","      Structures","B009RX1",418.4,435.7,452.1,454,441.5,443,445.5,403.2,381.4,360.7,344.7,339.6,336.2,346.3,345.6,343.9,341.9,345.9,349.4,349.7,356,354.6,347.2,349.3,364.8,383.7,393.2,394.6,404.8,430.6,454.6,462.9,462.7,471.2,466.9,456.1,399.7,377.8,365.5,335.3,319.3,318.9,321.9
"22","14","      Less: Consumption of fixed capital","B188RX1",231.4,232.6,233.8,235,236.2,237.4,238.6,239.7,240.5,241.1,241.7,242.2,242.6,243.2,243.7,244.3,244.9,245.6,246.2,246.9,247.6,248.5,249.3,250.2,251.2,252.4,253.9,255.4,257.1,258.8,260.6,262.3,264,265.8,267.7,269.6,271,271.7,272.2,272.7,273.1,273.5,274
"23","15","      Equals: Net structures","A594RX1",187,203.2,218.3,218.9,205.3,205.7,207,163.6,140.8,119.6,103,97.5,93.6,103.1,101.8,99.6,97,100.3,103.1,102.8,108.3,106.1,97.8,99.1,113.6,131.2,139.3,139.2,147.7,171.7,194.1,200.5,198.8,205.4,199.2,186.5,128.7,106.1,93.3,62.5,46.2,45.3,47.9
"24","16","      Equipment and software","B010RX1",870.7,901.6,903.7,907.1,904.2,870.9,849.2,843.3,832.9,830.5,837.3,820.4,818.3,839.5,865.7,882,874.4,902.5,932.5,959.8,965.6,986,1012.5,1018.2,1060.7,1066.3,1072,1079.3,1093,1104.6,1112.6,1125.7,1134,1116.5,1084.1,993.3,903.4,903.8,913.1,944.7,989.7,1046,1076.1
"25","17","      Less: Consumption of fixed capital","B189RX1",606.9,622.1,636.7,650,663.2,674.1,682.8,690.5,699.3,706.4,713.9,720.8,727.2,732.6,738.8,746.5,754.6,761.5,769.5,778.6,788.1,797.1,806.9,816.9,825.3,836.2,847,857.9,869.6,880.1,889.6,898.4,906.3,915.1,923.5,930.1,933.3,932.6,931.6,931.6,934.8,940.1,947.1
"26","18","      Equals: Net equipment and software","A747RX1",263.8,279.5,267,257.1,241,196.8,166.3,152.8,133.6,124.1,123.3,99.6,91,106.9,126.9,135.5,119.9,141,163.1,181.2,177.6,189,205.6,201.3,235.4,230.1,225.1,221.4,223.4,224.5,223,227.3,227.8,201.5,160.6,63.2,-29.9,-28.8,-18.5,13.2,54.9,105.9,128.9
"27","19","    Residential","A011RX1",588,584,573.7,574.2,576.8,584.9,588.1,583.1,598.7,613.4,616.9,626.4,632.4,646.8,679.8,698.2,704.5,731,738.4,744.2,757.7,775.3,783.3,783.5,775.2,740.1,697.4,660.2,631.3,611.4,570.6,523.3,482.2,464.4,435.6,394.7,352.7,333.9,342.4,341.7,330.7,350.1,321.3
