"","Table 6U# Real BEA Retail and Food Service Sales","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"1","[Millions of chained (2005) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1995 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 01, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2010 12:12:50 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","S1 QN04472AMG       Retail and food services","T060010",2839287,2959208,3069676,3243998,3466519,3601097,3679529,3785430,3934001,4100361,4251259,4398997,4451578,4256987,4066557
"9","2","S1 QN44ZZZZMG Retail trade","T060020",2521491,2635494,2735197,2898548,3111818,3231119,3306334,3406061,3542274,3695607,3835692,3970571,4017412,3837980,3670999
"10","3","S1 QN441ZZZMG   Motor vehicle and parts dealers","T060030",627379,666959,691400,731308,803486,831125,843470,847900,887044,912237,916881,918292,924133,799078,703689
"11","4","S4 QN4411ZZMG     Automobile dealers","T060040",539034,573038,591395,624654,689159,711213,725997,727008,758355,774229,773155,772669,777687,663837,575331
"12","5","S4 QN4412ZZMG     Other motor vehicle dealers","T060050",29114,30815,33721,38393,43037,48196,49484,52391,59057,66049,69420,70606,71648,61890,57778
"13","6","S2 QN4413ZZMG     Automotive parts, accessories and tire stores","T060060",59686,63595,66932,68905,71702,72059,67950,68527,69639,71961,74306,75003,74811,72568,68981
"14","7","S1 QN44DZZZMG   Furniture, home furnishings, electronics and appliance stores","T060070",90888,97742,105141,116084,130847,144291,150532,164492,180141,204781,227179,251455,267045,267408,257864
"15","8","S1 QN442ZZZMG     Furniture and home furnishings stores","T060080",64366,68043,72784,77233,84408,91348,92378,96763,102225,111306,118283,123690,123173,112520,100240
"16","9","S4 QN4421ZZMG       Furniture Stores","T060090",37034,38736,41383,43670,46681,50491,51138,52813,54611,59453,63685,65412,65150,59748,53618
"17","10","S4 QN4422ZZMG       Home furnishings stores","T060100",27269,29262,31355,33522,37719,40848,41230,43944,47618,51857,54598,58284,58028,52775,46618
"18","11","S1 QN443ZZZMG     Electronics and appliance stores","T060110",31240,34165,36960,42515,49500,55708,60166,68925,78560,93663,108896,128102,145407,159080,164764
"19","12","S1 QN444ZZZMG   Building material and garden equipment and supplies dealers","T060120",185069,196302,207174,226403,244379,258198,271525,284523,301039,321513,345604,362042,348702,325490,300164
"20","13","S2 QN4441ZZMG     Building material and supplies dealers","T060130",158322,168376,176132,191956,208559,222240,235177,248639,264978,285040,308424,324061,311385,290803,262522
"21","14","S3 QN4442ZZMG     Lawn and garden equipment and supplies stores","T060140",26976,28161,31297,34748,36034,36041,36385,35875,36039,36468,37180,37992,37282,34683,36456
"22","15","S1 QN445ZZZMG   Food and beverage stores","T060150",509799,506564,506094,506767,514301,513122,517013,510238,513138,518005,528861,538425,540776,532557,526009
"23","16","S1 QN4451ZZMG     Grocery stores","T060160",465392,461395,460409,459781,467222,463963,466877,460080,461894,464549,474123,480942,481983,473506,466020
"24","17","S3 QN4452ZZMG     Specialty food stores","T060170",15716,15669,15745,15778,15535,16109,16624,16906,17680,18542,18815,19165,19351,18956,20887
"25","18","S2 QN4453ZZMG     Beer, wine, liquor stores","T060180",28806,29589,30019,31262,31604,33070,33528,33266,33577,34915,35923,38322,39456,40149,39130
"26","19","S1 QN448ZZZMG   Clothing and clothing accessories stores","T060190",120161,126721,130817,141984,154158,163826,165382,174742,186524,199490,213467,225629,246630,253374,258346
"27","20","S2 QN4481ZZMG     Clothing stores","T060200",83152,86951,90646,98515,106591,113711,116711,123766,132959,143407,155006,164597,186715,195776,203871
"28","21","S2 QN4482ZZMG     Shoe stores","T060210",19963,20989,21206,22223,23257,23745,23787,24325,25062,25678,26760,28201,28225,25846,23670
"29","22","S3 QN4483ZZMG     Jewelry, luggage, and leather goods stores","T060220",17362,19059,19240,21489,24520,26532,25010,26739,28556,30418,31701,32841,31958,32316,31813
"30","23","S1 QN452ZZZMG   General merchandise stores","T060230",317446,330433,345515,367537,397473,419691,442094,465182,495472,522939,556045,586131,599531,597754,600620
"31","24","S1 QN4521ZZMG     Department stores","T060240",203684,209435,216840,222015,230202,231949,229328,225076,224337,225731,228554,228923,228592,220690,213068
"32","25","S2 QN4529ZZMG     Other general merchandise stores","T060250",108547,115979,123733,141374,163881,185194,211185,239329,270871,297146,327491,357147,370786,376682,386770
"33","26","S1 QN44EZZZMG   Other retail stores","T060260",702645,738968,774913,831093,883397,911550,925114,966438,981878,1017481,1047655,1089106,1092879,1063125,1023216
"34","27","S1 QN446ZZZMG     Health and personal care stores","T060270",135123,142534,152037,162438,172286,181407,187343,195809,204608,207191,213492,221240,229184,232675,234001
"35","28","S1 QN447ZZZMG     Gasoline stations","T060280",332970,338297,345255,368090,375804,358081,368774,385605,370893,380764,381514,384236,378206,366084,337685
"36","29","S1 QN451ZZZMG     Sporting goods, hobby, book, and music stores","T060290",59410,62097,63830,67833,72969,76814,77983,79626,81237,84280,86578,90471,91926,89605,91293
"37","30","S4 QN4511ZZMG       Sporting goods, hobby, and musical instrument stores","T060300",37050,38907,39870,42710,46559,50189,51570,53576,55563,58320,61278,66050,69518,67885,69608
"38","31","S4 QN4512ZZMG       Book, periodical, and music Stores","T060310",22872,23674,24490,25606,26806,26846,26558,26120,25701,25970,25300,24430,22480,21798,21810
"39","32","S1 QN453ZZZMG     Miscellaneous store retailers","T060320",85024,90991,98069,106254,111439,113773,109666,110215,109889,111431,113721,119157,119718,114194,110351
"40","33","S3 QN4531ZZMG       Florists","T060330",7308,8032,8448,8657,9055,9141,8534,8115,7519,7102,7430,7560,7408,7263,6961
"41","34","S3 QN4532ZZMG       Office supplies, stationery, and gift stores","T060340",28375,29167,31197,34316,37517,40012,38378,38880,39453,41358,42638,45172,44595,42249,43352
"42","35","S4 QN4533ZZMG       Used merchandise stores","T060350",6634,7263,8078,9130,9538,10013,9761,9933,9936,10176,10364,11677,12653,12755,12815
"43","36","S4 QN4539ZZMG       Other miscellaneous store retailers","T060360",43383,47578,51511,55183,55961,54790,53205,53457,53083,52806,53289,54767,55063,51930,47513
"44","37","S1 QN454ZZZMG     Nonstore retailers","T060370",113584,125152,133729,144848,163983,185292,187140,201571,216428,234454,252350,274573,275235,262436,253873
"45","38","S2 QN4541ZZMG       Electronic shopping and mail-order houses","T060380",47866,55171,63336,72997,86262,104571,106773,115994,128745,146676,167904,191420,193208,181400,167478
"46","39","S4 QN4542ZZMG       Vending machine operators","T060390",8946,9553,9711,9628,9840,10043,8889,8837,8431,8623,8304,8281,8350,7832,7964
"47","40","S4 QN4543ZZMG       Direct selling establishments","T060400",67577,70845,69333,69071,73591,73880,74428,79668,81190,79787,76142,75219,74150,73194,77450
"48","41","S1 QN722ZZZMG Food services and drinking places","T060410",322269,326922,337571,347562,355298,370759,373563,379497,391790,404772,415567,428437,434159,418829,395790
"49","42","S4 QN7221ZZMG   Full-service restaurants","T060420",137789,141236,150466,153579,157290,163249,165539,169858,174074,178849,182193,187203,194057,193891,189485
"50","43","S4 QN7222ZZMG   Limited-service eating places","T060430",141841,142647,142789,147973,149716,155475,156779,158606,165431,173121,178779,183871,183040,170195,152312
"51","44","S4 QN7223ZZMG   Special food Services","T060440",24811,25062,26340,27734,29817,32910,32482,32035,32485,33069,34676,36341,36255,34261,34135
"52","45","S4 QN7224ZZMG   Drinking places (alcoholic beverages)","T060450",17866,18020,18014,18303,18484,19118,18748,18980,19793,19733,19919,21019,20791,20428,19797
"53",NA,"              Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","46","S1 QN04472BMG   Retail and food services except motor vehicle and parts dealers","T060460",2212881,2292272,2378332,2512702,2661407,2768511,2834881,2937523,3046678,3188065,3334378,3480617,3527282,3453936,3356109
"55","47","S1 QN44GZZZMG   Retail trade except motor vehicle and parts dealers","T060470",1894246,1968070,2043356,2166851,2306777,2398546,2461697,2558125,2654960,2783323,2918811,3052219,3093161,3035377,2961517
"56","48","S2 QN44BZZZMG   GAFO-Department store merchandise stores \1\","T060480",610574,641218,672212,724331,790483,843191,872652,921840,982078,1052712,1125907,1198675,1249320,1250097,1252894
"57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","S1=Based on Census advance data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","S2=Based on Census preliminary and final data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","S3=Based on unpublished Census data, seasonally adjusted.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","S4=Based on unpublished Census data, seasonally adjusted by BEA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","1. Includes industries QN442ZZZMG, QN443ZZZMG, QN448ZZZMG, QN451ZZZMG,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","QN452ZZZMG, and QN4532ZZMG.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
