"","Table 5#6#5BU1# Change in Private Inventories by Industry       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 01, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2010 12:07:49 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Nonfarm industries","CNF0",67669,62453,63546,55943,-38321,14524,16283,56103,49836,63558,29829,-42745,-131062
"9","2","Mining, utilities, and construction","CCMU0",1519,5392,-1272,-2197,8194,-3090,5883,1335,3748,16650,-204,-11016,-3331
"10","3","Manufacturing industries","C300",21068,15423,13887,6881,-23506,-4183,-7422,5731,21046,17661,16735,-11322,-30389
"11",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","    Durable goods industries","C30D0",14146,16018,6318,6219,-19514,-4944,-4796,3983,16585,12134,12007,-5889,-34188
"13","5","      Wood product manufacturing","C3210",363,491,633,169,-497,297,-120,745,782,-39,-712,-1614,-1381
"14","6","      Nonmetallic mineral product manufacturing","C3270",180,-40,239,137,-509,159,-146,301,109,498,372,-526,-1453
"15","7","      Primary metal manufacturing","C3310",456,1387,275,-575,-2102,-93,-1794,2584,1563,1357,142,-1407,-5483
"16","8","      Fabricated metal product manufacturing","C3320",1310,869,718,789,-1199,-297,-651,-50,2288,1680,801,-559,-4613
"17","9","      Machinery manufacturing","C3330",1453,1127,86,2556,-4379,-602,-1902,-75,2603,2609,807,37,-6907
"18","10","      Computer and electronic product manufacturing","C3340",8152,489,3963,10663,-7629,-3239,1817,2173,3135,406,1442,3667,-3455
"19","11","      Electrical equipment, appliance, and component manufacturing","C3350",488,401,-28,816,-969,-362,-443,-343,18,733,772,-268,-2536
"20","12","      Transportation equipment manufacturing","C3360",1360,10767,-549,-9584,-1700,-1157,-2054,-1489,4338,4044,8231,-5097,-5899
"21","13","        Motor vehicle and parts manufacturing","C336MV0",556,604,1518,-236,-2539,1082,547,163,762,667,-973,-3847,-3295
"22","14","        Other transportation equipment manufacturing","C336OT0",804,10163,-2067,-9348,839,-2239,-2601,-1652,3576,3377,9204,-1250,-2604
"23","15","      Furniture and related product manufacturing","C3370",140,103,324,270,-427,393,-376,282,335,30,-138,-724,-1272
"24","16","      Miscellaneous durable goods manufacturing","C3390",244,424,657,978,-103,-43,875,-145,1414,816,288,602,-1188
"25","17","    Nondurable goods industries","C30N0",6921,-595,7569,662,-3992,761,-2626,1748,4461,5527,4729,-5433,3799
"26","18","      Food manufacturing","C3110",819,-336,1328,488,-477,721,-851,-964,1382,74,-784,-136,1009
"27","19","      Beverage and tobacco product manufacturing","C3120",700,-32,-182,-39,595,50,-226,-98,384,5,-418,-173,188
"28","20","      Textile mills","C3130",17,68,178,-459,-424,-281,-145,-68,-53,-155,-161,-410,-663
"29","21","      Textile product mills","C3140",291,-228,339,422,177,-976,131,-16,190,22,-101,-137,-449
"30","22","      Apparel manufacturing","C3150",456,-5,614,-312,-1680,-314,-2,-266,-137,-22,-200,-330,-590
"31","23","      Leather and allied product manufacturing","C3160",45,9,4,-100,-159,-150,-57,-9,55,128,-40,10,-83
"32","24","      Paper manufacturing","C3220",558,-510,910,-623,-85,1014,-664,123,-24,-28,58,-781,-661
"33","25","      Printing and related support activities","C3230",220,-584,625,-331,-300,324,-313,41,-19,109,464,-759,-627
"34","26","      Petroleum and coal product manufacturing","C3240",953,-454,108,-65,676,-508,-40,742,989,1180,4339,3856,11748
"35","27","      Chemical manufacturing","C3250",2318,927,2778,1690,-1656,651,-300,1928,1439,3029,1109,-4969,-4140
"36","28","      Plastics and rubber product manufacturing","C3260",545,550,867,-9,-658,231,-160,335,255,1186,463,-1603,-1933
"37",NA,"  By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","29","    Materials and supplies","C30M0",9909,3484,7522,5188,-9217,-1742,-4494,4484,6363,6025,1987,-3276,-11887
"39","30","      Durable goods industries","C30DM0",7856,4091,4833,7252,-8117,-2260,-2955,4303,5179,5061,2577,-1314,-14129
"40","31","      Nondurable goods industries","C30NM0",2053,-607,2689,-2065,-1100,517,-1539,181,1184,964,-590,-1962,2242
"41","32","    Work-in-process","C30W0",3221,6729,270,-4617,-8857,-594,-673,-1874,7508,3864,13134,-2620,-1828
"42","33","      Durable goods industries","C30DW0",1221,7342,-1048,-4792,-7820,-888,-688,-2255,6599,2021,9341,-1770,-6475
"43","34","      Nondurable goods industries","C30NW0",2000,-613,1319,175,-1037,294,14,381,909,1843,3793,-850,4647
"44","35","    Finished goods","C30F0",7937,5210,6095,6311,-5433,-1846,-2254,3122,7175,7772,1614,-5425,-16673
"45","36","      Durable goods industries","C30DF0",5069,4584,2533,3759,-3578,-1796,-1153,1936,4807,5052,89,-2805,-13584
"46","37","      Nondurable goods industries","C30NF0",2868,626,3561,2552,-1855,-50,-1101,1186,2368,2720,1525,-2621,-3090
"47","38","Wholesale trade industries","CWT0",25330,21432,18911,18854,-12336,-107,-589,19767,18129,13690,4795,1752,-56026
"48",NA,"  By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","39","    Durable goods industries","CWTD0",17252,17021,14072,13524,-16663,389,780,17763,13370,9396,816,8281,-52667
"50","40","    Nondurable goods industries","CWTN0",8078,4411,4838,5330,4327,-496,-1368,2004,4759,4293,3979,-6529,-3359
