"","Table 5U# BEA Retail and Food Service Sales                     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published November 01, 2010 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2010 12:12:33 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","S1 EN04472AMA       Retail and food services","T050010",2106113,2249744,2434717,2560793,2720076,2845446,2979321,3221946,3430032,3521858,3605673,3762524,4004937,4251259,4470338,4598628,4544685,4237362
"9","2","S1 EN44ZZZZMA Retail trade","T050020",1890975,2021442,2196262,2313804,2463311,2572981,2691820,2920640,3107361,3186344,3255645,3393687,3612371,3835692,4028416,4134375,4075616,3776482
"10","3","S1 EN441ZZZMA   Motor vehicle and parts dealers","T050030",432529,488558,558959,598868,648151,674878,710749,788303,822979,843141,847147,869554,894507,916881,929347,936189,808065,713583
"11","4","S4 EN4411ZZMA     Automobile dealers","T050040",370038,420023,482909,517615,561163,582153,612022,682056,710101,730669,730298,744414,759253,773155,779310,782879,662220,572787
"12","5","S4 EN4412ZZMA     Other motor vehicle dealers","T050050",18800,21873,24783,27213,29153,31849,36316,41342,47028,48849,51524,57883,65073,69420,71943,72796,63806,60219
"13","6","S2 EN4413ZZMA     Automotive parts, accessories and tire stores","T050060",43691,46662,51267,54040,57835,60876,62411,64905,65850,63623,65325,67257,70181,74306,78094,80514,82039,80577
"14","7","S1 EN44DZZZMA   Furniture, home furnishings, electronics and appliance stores","T050070",100896,110441,124859,136050,144306,151183,160964,172891,183988,182600,189365,195496,213072,227179,240456,241746,229265,206978
"15","8","S1 EN442ZZZMA     Furniture and home furnishings stores","T050080",55478,58718,63955,67186,71663,76865,81857,89062,96382,96595,99605,103038,111447,118283,123669,121557,109833,97152
"16","9","S4 EN4421ZZMA       Furniture Stores","T050090",33636,35459,37808,39385,41716,44545,46938,50012,53900,53751,54424,55418,60023,63685,65721,64698,58595,52372
