"","Table 1#1#6B# Real Gross Domestic Product, Chained (1952) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24"
"1","[Billions of chained (1952) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1942 To 1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 19, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2005 10:14:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962
"8","1","    Gross domestic product","A191BX1",258.7,301.1,325.6,321.9,286.4,283.8,296.1,294.6,320.3,345.1,358.3,374.8,372.2,398.8,406.6,414.7,410.8,440,450.9,461.4,489.3
"9","2","Personal consumption expenditures","A002BX1",145.9,150.1,154.5,164,184,187.4,191.6,196.9,209.4,212.8,219.5,230,234.6,251.7,259,265.4,267.5,282.4,290.2,296.2,310.9
"10","3","  Durable goods","B003BX1",11.5,10,9.2,10.4,19.7,23.5,25.1,27.1,33.1,30.2,29.3,33,32.9,40.1,38.5,38.9,35.7,40.1,40.9,39.3,43.9
"11","4","  Nondurable goods","B004BX1",86.7,89.5,93.1,99.8,105.2,102.4,102.7,104.3,107.5,110.4,114.7,118.4,119.8,125.6,129.9,132.3,133.6,139.1,141.2,143.8,148.3
"12","5","  Services","B005BX1",48,50.6,52.3,54,59,61.5,63.8,65.4,68.7,72.3,75.4,78.6,81.8,86.1,90.4,93.9,97.5,102.6,107.2,111.7,117.2
"13","6","Gross private domestic investment","A006BX1",18.2,10.8,13.3,17.5,45,43.3,55.3,42.2,59.6,59.7,54,56.6,53.9,67,66.1,63.3,58,69.8,69.8,69.3,78.1
"14","7","  Fixed investment","A007BX1",15.5,12,14.7,20.1,37.2,44.7,49.2,45,53.7,51.5,50.5,54,54.9,62,62.3,61.6,57.2,65.2,65.7,65.5,71.4
"15","8","    Nonresidential","A008BX1",11.1,9.3,12.4,17.4,25.6,29.8,31.4,28.5,31.1,32.5,31.9,34.8,34,37.8,40,40.6,36.1,39,41.2,41,44.5
"16","9","      Structures","B009BX1",4.5,3.3,4.3,5.8,11.5,10.5,11,10.6,11.4,12.3,12.2,13.3,13.8,14.8,16.3,16.3,15.4,15.8,17,17.3,18
"17","10","      Equipment and software","B010BX1",6.6,6,8,11.4,14.2,19.4,20.4,17.9,19.7,20.3,19.7,21.5,20.3,23.1,23.7,24.3,20.7,23.2,24.2,23.7,26.5
"18","11","    Residential","A011BX1",4.6,2.7,2.3,2.8,11.6,14.9,17.9,16.5,22.6,18.9,18.6,19.3,20.8,24.2,22.3,20.9,21.1,26.5,24.6,24.7,27
