"","Table 6#11C# Employer Contributions for Employee Pension and Ins","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 19, 2004    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2005 10:54:28 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Employer contributions for employee pension and insurance funds","B040RC0",313212,329604,355206,377771,407133,442492,472392,493336,493628,492464,497484,529695,562362,609908
"9",NA,"         By industry"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2","Domestic industries","B040RC0",313212,329604,355206,377771,407133,442492,472392,493336,493628,492464,497484,529695,562362,609908
"11","3","  Private industries","B4903C0",200666,212014,230885,245530,266031,293178,316929,332491,331257,323856,325557,355349,383133,423075
"12","4","    Agriculture, forestry, and fishing","B4904C0",1336,1698,1885,2402,2472,2534,2764,2743,2773,2781,2554,2737,3008,3444
"13","5","    Mining","B4905C0",3674,3071,3241,3335,3483,3581,3641,3814,3559,3504,3779,3621,3580,3988
"14","6","    Construction","B4906C0",14409,15390,16318,17206,16872,17746,19473,21572,22280,23679,25283,25965,28538,31462
"15","7","    Manufacturing","B4907C0",71609,75131,80117,79977,87723,98016,104885,113794,105290,96768,94376,103941,108905,119522
"16","8","      Durable goods","B4908C0",46716,49991,52301,50916,56464,65046,69700,77089,69886,61966,60047,69429,73073,80968
"17","9","      Nondurable goods","B4909C0",24893,25140,27816,29061,31259,32970,35185,36705,35404,34802,34329,34512,35832,38554
"18","10","    Transportation and public utilities","B4910C0",24244,22522,23091,24341,26312,28175,30720,32797,34261,34475,33415,34841,37201,41026
"19","11","      Transportation","B4911C0",14035,12886,13424,14244,15220,16249,17663,19018,19945,20475,19467,19982,20879,22782
"20","12","      Communications","B4912C0",5144,5223,5208,5074,5560,5876,6363,7059,7406,7457,7790,8658,9847,11117
"21","13","      Electric, gas, and sanitary services","B4913C0",5065,4413,4459,5023,5532,6050,6694,6720,6909,6543,6158,6201,6475,7127
"22","14","    Wholesale trade","B4914C0",12887,14381,16224,17651,19058,20815,22459,23079,21816,22499,23570,26323,29329,32217
"23","15","    Retail trade","B4915C0",18105,18774,19746,21414,23112,24928,25612,25612,25839,25195,25542,27263,28800,31570
"24","16","    Finance, insurance, and real estate","B4916C0",14699,17336,19046,20996,23108,25977,28386,28689,30557,30835,32489,36573,39562,43321
"25","17","    Services","B4917C0",39701,43711,51217,58208,63891,71406,78989,80392,84882,84120,84549,94086,104210,116525
"26","18","  Government","B4918C0",112546,117590,124321,132241,141102,149314,155463,160845,162371,168608,171927,174346,179229,186834
"27","19","Rest of the world","ZZZZZZ0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"        By type"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Employer contributions for employee pension and insurance funds","B040RC0",313212,329604,355206,377771,407133,442492,472392,493336,493628,492464,497484,529695,562362,609908
"30","21","  Pension and profit-sharing","B4934C0",151065,147405,153523,153039,164325,173168,182678,192459,197528,196475,198733,210434,215965,222553
"31","22","    Private pension and profit-sharing","B4921C0",67249,62391,65932,63839,71292,77954,86654,93771,96939,89989,89863,102911,107878,113451
"32","23","      Defined benefit pension and profit-sharing","W350RC0",NA,23330,22322,20941,27190,32110,37067,43083,44151,33412,27295,33464,32828,34301
"33","24","      Defined contribution pension and profit-sharing","W351RC0",NA,39061,43610,42898,44102,45844,49587,50688,52788,56577,62568,69447,75050,79150
"34","25","    Publicly administered government employee retirement plans","B4935C0",83816,85014,87591,89200,93033,95214,96024,98688,100589,106486,108870,107523,108087,109102
"35","26","      Federal civilian \1\","B4945C0",24392,25383,26749,28702,31241,33146,34480,35118,35698,36520,38448,39079,39996,41260
"36","27","      Federal military \2\","B1583C0",29045,28489,28920,27520,28885,28318,25482,24653,23185,26893,26670,26298,26574,28222
"37","28","      State and local","S251100",30379,31142,31922,32978,32907,33750,36062,38917,41706,43073,43752,42146,41517,39620
"38","29","  Private insurance funds","B4936C0",162148,182199,201681,224732,242809,269324,289715,300879,296100,295988,298745,319261,346396,387356
"39","30","    Group insurance","B4922C0",132320,148725,165271,184126,199824,223690,242871,255096,252292,252856,256899,279075,305688,343779
"40","31","      Group health insurance","B4923C0",126198,142277,158619,176889,192848,215741,234302,245978,242810,242859,246126,267633,294125,331416
"41","32","      Group life insurance","B4924C0",6122,6448,6652,7237,6976,7949,8569,9118,9482,9997,10773,11442,11563,12363
"42","33","    Workers' compensation","B4925C0",27292,30572,33550,37418,39573,41878,43498,43133,41207,40586,39613,38106,38768,41734
