"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39"
"1","[Billions of dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1968 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 15,2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2005 10:41:58 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003
"8",NA,"      Current receipts"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","Budget receipts","M318011",153.7,187.8,193.7,188.4,208.6,232.2,264.9,281,300,356.9,402,465.9,520.1,602.6,617.8,600.6,663.6,733.7,768.8,853.8,908.4,990.7,1031.3,1054.3,1090.5,1153.2,1257.2,1350.6,1452.8,1579,1721.4,1827.3,2025,1990.2,1853.3,1776.1
"10","2","Less: Coverage differences","M318021",4.2,5.2,5.7,5.8,8,7.6,7.8,7.8,8.7,11.1,9.2,9.6,10.8,11.9,13.6,10.6,10.8,12.4,13.6,13.4,13.7,14.8,17.6,17.4,17.8,19.3,22.2,21.7,25.2,27.9,33.9,38.7,41.4,40.7,39.7,35.5
"11","3","        Geographic \1\","M318031",0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.6,0.8,0.8,0.7,0.7,0.8,1.1,1.5,1.2,1.4,1.5,1.6,1.5,1.5,1.8,1.9,2,2.1,2.2,2.5,2.6,2.7,2.9,3.1,3,3.5,3.5,3.5,3.6
"12","4","        Contributions received by Federal employee retirement plans \2\","M318041",1.4,1.5,1.8,2,2.1,2.2,2.3,2.6,2.8,3,3.2,3.5,3.7,4,4.2,4.4,4.6,4.8,4.7,4.7,4.6,4.5,4.5,4.6,4.8,4.8,4.7,4.6,4.5,4.4,4.3,4.5,4.8,4.7,4.6,4.6
"13","5","        Capital transfers received \3\","M318051",3,3.5,3.6,3.7,5.4,4.9,5,4.6,5.2,7.3,5.2,5.3,6.3,6.7,7.8,5.9,5.8,6.3,6.8,7.3,7.3,8.6,11.3,11,11,12.3,15.1,14.6,17.1,19.7,23.9,27.6,28.8,28.2,26.4,21.7
"14","6","        Financial transactions","M318061",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","7","        Other \4\","M318071",-0.4,0,0,-0.2,0.2,0.1,-0.1,0,-0.1,0,0.1,0.1,-0.1,0.1,0.1,-1,-1,-0.1,0.5,-0.1,0.3,-0.1,-0.1,-0.1,-0.1,0,0,0,0.9,0.9,2.6,3.6,4.3,4.3,5.3,5.5
"16","8","Less: Netting and grossing differences","M318081",-3.7,-4.6,-4.5,-4,-5.3,-5.4,-4.5,-5.1,-6.5,-8.7,-9.1,-12.2,-13.1,-18.1,-28.6,-30.2,-34.9,-40.7,-44.3,-42.8,-45.8,-49.7,-45.9,-57.8,-57.9,-64.1,-62.1,-63.3,-62.8,-69.5,-64.5,-65.7,-70.8,-70,-76.2,-91
"17","9","        Supplementary medical insurance premiums","M318091",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.9,-4.3,-4.9,-5.6,-5.7,-6.5,-8.8,-11.6,-11.6,-12.2,-13.2,-15.3,-17.8,-20.2,-20,-20.4,-20.7,-21.6,-21.9,-23.8,-26,-28.4
"18","10","        Interest receipts","W704MC1",-2.5,-2.5,-2.5,-2.7,-3,-3.1,-3,-3.3,-4.1,-4.7,-5.7,-7.1,-8.4,-11,-14.4,-15.3,-16.6,-17.6,-22.4,-17.7,-19,-17.3,-17,-23.3,-18.4,-16.1,-12.2,-11.7,-14.5,-13.1,-11.8,-12.9,-14.3,-12.6,-11.2,-11.2
"19","11","        Current surplus of government enterprises","W705MC1",0.5,0.4,1,1.6,1.3,1.4,2.2,3,3.1,2.9,2.7,2,3.5,3.3,2.1,2.8,3.4,2.9,1.7,1.5,2.4,1,4.9,2.6,1.1,0.5,1.8,-0.3,1.9,-0.2,0,-0.3,1.3,6.5,2.4,-7.7
"20","12","        Other \5\","M318111",-1.7,-2.6,-3,-3,-3.6,-3.7,-3.7,-4.9,-5.5,-6.9,-6.1,-7.1,-8.2,-10.4,-12.5,-13.5,-16.8,-20.4,-17.8,-20,-20.4,-21.8,-22.2,-24.9,-27.3,-33.2,-34,-31.2,-30.1,-35.8,-31.9,-31.1,-35.9,-40.2,-41.5,-43.7
"21","13","Plus: Timing differences","M318121",3.1,-1.2,-2.9,-0.2,0.3,2.5,1.3,-3.6,6.3,0.5,3.4,3.9,-4.9,-6.9,-8.4,7.4,7.5,-0.7,2.2,0,-0.5,3.6,2.6,2,-0.8,3.8,3.8,3.7,2.3,5.8,1.5,-4,-13.2,7.6,-29.9,29.9
"22","14","        Taxes on corporate income","M318131",2.2,-2.4,-3.1,1.8,-0.9,0.8,0.2,-3.8,4.8,-0.8,1.4,1.6,-5.1,-4.2,-10.9,5.6,4.5,-0.3,2.3,2.4,-0.4,2.3,3.9,0.6,-3.1,4,-1.1,3,0.4,3,-3.6,0.2,-12.6,7.1,-27.8,27.8
"23","15","        Federal and State unemployment insurance taxes","M318141",0,0,0,-0.1,0.5,0.4,0.1,-0.1,0.6,0.3,0.4,0.1,0.1,0.1,0.4,1.7,-0.1,0,0.6,-1.1,0.6,0.9,-0.2,0.2,0.6,0.4,0.7,0,-0.1,-0.4,-0.1,0.5,0.4,-0.2,1,-0.2
"24","16","        Withheld personal income tax and social security contributions","M318151",0.9,1.1,0.2,-1.7,0.8,1.2,1,0.2,1,0.9,1.6,2,-0.4,-3.1,2.6,0.2,4.3,0.9,1.1,0.8,0.1,0.7,0.7,0.4,0.8,1.3,2.1,1.4,3,1.8,1.8,1.7,1,1.2,-1.6,3.4
"25","17","        Excise taxes","M318161",0,0,0,-0.4,-0.1,-0.1,-0.1,-0.2,-0.2,-0.1,-0.1,-0.1,0.3,-0.1,-0.7,-0.2,-1.3,-1.2,-1.8,-2.1,-1.7,-0.8,-1.2,0.6,0,-2.6,1.8,-1,-1.1,1.3,3.5,-6.7,-2.1,-0.6,-1.5,-1.2
"26","18","        Other","M318171",0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0,0.3,0.2,0.3,0.2,0.3,0.2,0,0,0,0,0,0.9,0.5,-0.7,0.2,0.9,0.8,0.3,0.2,0.1,0.1,0,0.2,0.2,0.2,0,0.1
"27","19","Equals: Federal Government current receipts, national income and product accounts","M318181",156.3,186,189.7,186.4,206.2,232.5,262.9,274.7,304,355.1,405.3,472.4,517.5,601.9,624.5,627.6,695.2,761.3,801.6,883.2,940,1029.2,1062.2,1096.7,1129.7,1201.9,1300.9,1395.9,1492.7,1626.4,1753.5,1850.3,2041.2,2027.1,1859.9,1861.5
"28",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","20","Budget outlays","M318191",178.8,184.5,196.6,211.4,231.9,246.5,268.4,324.6,365.6,401.9,450.8,493.2,579,660.5,728.4,795.9,841.8,936.9,989.9,1002.2,1062.6,1144,1251.8,1323.8,1380.8,1405.5,1456.7,1508.1,1555.5,1596.4,1647.1,1696.2,1781,1855.6,2002.6,2148.3
"30","21","Less: Coverage differences","M318201",16.1,10.4,8.5,3.7,4.6,-0.4,-1.5,7.2,12.6,14.3,22.2,24.5,29.5,24.4,29.9,21,31.2,44.7,38,27,32.1,39.9,74.4,95.5,17.9,-17.7,-12.1,-24.5,-10.7,-33.1,-15.7,-10.6,-5.9,-9.7,8.3,13.1
"31","22","        Geographic \6\","M318211",0.5,0.5,0.6,0.7,0.9,1.2,1.3,2.1,2.8,3.1,3.5,3.9,4.4,4.6,5,4.8,5.1,5.4,5.5,5.4,5.7,6.2,7.3,7.1,6.7,7,7.5,7.8,8.3,8.6,8.7,9.7,10.5,10.8,11.6,12.1
"32","23","        Federal employee retirement plan transactions \2\","M318221",2.1,2.6,2.6,3,3.1,3.6,4.3,4.6,5.4,4.3,6,6.2,6.5,7.6,7.5,7,6.8,-24,-26.2,-26.8,-27.3,-28.6,-28.6,-30.8,-32.7,-32,-30.5,-28.7,-26.8,-31.6,-31.3,-32.1,-31.7,-31.5,-33.7,-32.5
"33","24","          Interest received","M318231",-0.7,-0.8,-1.2,-1,-1.5,-1.6,-1.8,-2.1,-2.5,-2.8,-3.2,-3.8,-4.7,-5.7,-7.5,-9.3,-11,-14.1,-17.3,-19.3,-22.2,-25.1,-28,-30.7,-33.3,-35.6,-36.9,-39.6,-41.4,-43.1,-44.8,-46.9,-46.6,-49.1,-49.9,-49
"34","25","          Contributions received (employer)","M318241",-1.5,-1.5,-1.9,-2.7,-3.2,-3.9,-4.8,-6.7,-7.9,-10.8,-11.2,-12.9,-15.8,-18.4,-19.8,-20.9,-21.1,-49.3,-51.2,-52.2,-53.2,-54,-54.5,-57.8,-58.9,-58.3,-57.8,-57.3,-56,-62,-62.1,-62.6,-64.7,-66.2,-69.9,-76.8
