"","Table 5#8#3B# Real Gross Government Fixed Investment by Type, Qu","F2","F3","F4","F5","F6","F7","F8","F9","F10"
"1","[Index numbers, 2000=100]                                                                                                                                                                                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2003",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2004   ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2005 10:50:59 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003
"8","1","      Gross government fixed investment \1\","B782RA3",86.857,89.85,96.545,100,104.87,111.203,113.527
"9","2","        Federal","B787RA3",92.233,96.6,101.917,100,102.617,112.611,119.683
"10","3","          National defense","B788RA3",92.413,93.377,97.566,100,104.094,115.863,126.207
"11","4","          Nondefense","B798RA3",92.017,101.779,108.898,100,100.279,107.484,109.408
"12","5","        State and local","B799RA3",84.932,87.416,94.619,100,105.654,110.747,111.498
"13","6","Structures \2\","B760RA3",91.423,91.199,96.817,100,104.831,110.493,111.107
"14","7","  Federal","B801RA3",129.777,128.077,122.426,100,93.522,101.438,107.013
"15","8","    National defense","B808RA3",127.983,110.854,103.727,100,88.973,83.85,97.119
"16","9","      New","B814RA3",127.969,110.852,103.728,100,88.979,83.858,97.115
"17","10","        Residential","B816RA3",124.976,119.221,110.656,100,113.332,114.884,113.065
"18","11","        Industrial","B817RA3",184.953,96.094,88.017,100,141.861,106.197,272.481
"19","12","        Military facilities \3\","B818RA3",124.468,109.02,102.491,100,75.811,70.702,77.165
"20","13","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA
"21","14","    Nondefense","B830RA3",130.868,138.383,133.615,100,96.238,111.964,112.923
"22","15","      New","B831RA3",119.33,112.612,107.924,100,93.813,98.615,101.135
"23","16","        Residential","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA
"24","17","        Office","W182RA3",132.397,128.461,115.813,100,90.67,85.061,106.483
"25","18","        Commercial","W183RA3",100.529,113.479,117.947,100,84.143,58.575,72.607
"26","19","        Health care","W184RA3",196.07,143.154,115.088,100,89.471,106.208,79.097
"27","20","        Educational","W185RA3",109.816,90.659,78.831,100,141.323,191.658,187.217
"28","21","        Public safety","W186RA3",138.644,133.894,119.827,100,69.32,75.829,44.3
"29","22","        Amusement and recreation","W187RA3",115.253,111.775,109.662,100,70.122,59.813,91.62
"30","23","        Transportation","W188RA3",109.061,104.409,106.465,100,102.781,148.368,72.926
"31","24","        Power","W189RA3",99.736,90.312,83.49,100,275.974,405.825,1530.319
"32","25","        Highways and streets","W190RA3",95.029,86.855,80.33,100,91.652,92.667,84.539
"33","26","        Conservation and development","W191RA3",91.151,91.45,102.581,100,109.229,118.237,107.226
"34","27","        Other \4\","W192RA3",99.501,94.502,98.285,100,104.163,92.912,108.599
"35","28","      Net purchases of used structures","ZZZZZZ2",NA,NA,NA,NA,NA,NA,NA
"36","29","  State and local","B842RA3",88.522,88.41,94.882,100,105.687,111.178,111.418
"37","30","    New","B843RA3",88.708,88.236,94.713,100,107.586,111.325,111.634
"38","31","      Residential","W147RA3",114.732,111.758,113.442,100,113.648,114.096,110.634
"39","32","      Office","W193RA3",80.671,85.924,91.728,100,111.511,121.955,120.929
"40","33","      Commercial","W194RA3",76.633,109.082,108.776,100,123.776,146.531,149.694
"41","34","      Health care","W195RA3",119.868,114.079,102.13,100,104.613,125.461,139.054
"42","35","      Educational","W148RA3",83.321,82.979,93.628,100,107.687,118.066,118.909
"43","36","      Public safety","W196RA3",96.914,98.525,101.237,100,96.425,94.598,90.779
"44","37","      Amusement and recreation","W197RA3",84.251,82.588,85.103,100,109.352,110.918,102.93
"45","38","      Transportation","W198RA3",76.609,72.131,79.078,100,107.248,98.904,98.197
"46","39","      Power","W199RA3",85.3,65.989,85.564,100,101.653,74.902,91.222
"47","40","      Highways and streets","W149RA3",89.99,91.821,97.424,100,107.079,107.415,107.983
"48","41","      Sewer systems","W150RA3",116.949,106.678,106.932,100,114.597,128.779,128.973
"49","42","      Water systems","W168RA3",97.489,99.282,105.137,100,109.518,113.445,109.697
"50","43","      Conservation and development","W169RA3",71.943,71.528,81.584,100,87.653,67.262,56.349
"51","44","      Other \5\","W200RA3",113.545,130.694,58.373,100,60.868,191.34,345.491
"52","45","    Net purchases of used structures","B870RA3",80.583,95.751,102.014,100,25.71,103.711,101.067
"53","46","Equipment and software \2\","A871RA3",80.174,87.789,96.114,100,104.933,112.452,117.928
"54","47","  Federal","B872RA3",85.094,90.535,97.902,100,104.491,114.923,122.318
"55","48","    National defense","B873RA3",88.667,91.493,96.886,100,105.853,119.674,129.629
"56","49","      Aircraft","B874RA3",81.555,82.053,85.436,100,116.775,133.452,132.78
"57","50","      Missiles","B875RA3",104.178,117.725,105.662,100,126.877,122.091,126.818
"58","51","      Ships","B876RA3",93.777,99.128,105.021,100,109.579,131.025,142.087
"59","52","      Vehicles","B877RA3",73.647,80.257,89.378,100,102.34,137.608,166.266
"60","53","      Electronics and software","B878RA3",80.932,86.515,95.741,100,99.023,102.235,111.127
"61","54","      Other equipment","B879RA3",95.025,93.361,99.644,100,99.922,116.547,130.311
"62","55","    Nondefense","B880RA3",78.331,88.711,99.903,100,101.821,105.624,107.95
"63","56","  State and local","B881RA3",73.722,84.115,93.703,100,105.535,109.073,111.903
"64",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA
