"","Table 6#7C# Self-Employed Persons by Industry                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Thousands]                                                                                                                                                                                                                                               ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1987 To 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published February  13, 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 5/25/2005 10:53:49 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000
"8","1","      Self-employed persons \1\","A4501C0",9665,9956,10070,10132,10373,10040,10505,10564,10514,10524,10544,10341,10121,10233
"9","2","Agriculture, forestry, and fishing","A4502C0",1477,1438,1434,1437,1479,1432,1453,1474,1620,1549,1482,1366,1327,1300
"10","3","  Farms","B4503C0",1142,1118,1085,1058,1082,1061,1066,1071,1224,1114,1063,951,902,897
"11","4","  Agricultural services, forestry, and fishing","B4504C0",335,320,349,379,397,371,387,403,396,435,419,415,425,402
"12","5","Mining","B4505C0",27,29,25,24,23,23,17,14,16,15,14,20,16,16
"13","6","Construction","B4506C0",1386,1438,1433,1473,1457,1471,1566,1523,1470,1506,1502,1529,1555,1637
"14","7","Manufacturing","A4507C0",368,398,409,432,421,398,447,432,436,408,424,431,386,358
"15","8","  Durable goods","B4508C0",213,231,246,258,253,247,264,247,255,247,254,255,219,216
"16","9","  Nondurable goods","B4509C0",155,167,163,174,168,151,183,185,181,161,170,176,167,142
"17","10","Transportation and public utilities","B4510C0",336,344,323,304,318,335,373,381,395,434,436,429,428,411
"18","11","Wholesale trade","B4511C0",315,337,349,334,350,349,354,353,354,307,277,301,290,288
"19","12","Retail trade","B4512C0",1549,1498,1548,1539,1544,1439,1569,1590,1432,1468,1499,1354,1345,1269
"20","13","Finance, insurance, and real estate","B4513C0",598,624,621,634,618,630,661,631,659,673,628,609,662,712
"21","14","Services","B4514C0",3609,3850,3928,3955,4163,3963,4065,4166,4132,4164,4282,4302,4112,4242
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1. Consists of active proprietors or partners who devote a majority of their working hours to",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","their unincorporated businesses.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
