"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21"
"1","[Billions of dollars]; Seasonally adjusted at annual rates                                                                 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 2001 To 2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 31, 2005   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 8/30/2005 8:10:55 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2
"9","1","    Corporate profits with inventory valuation and capital consumption adjustments","A051RC1",778.7,783.1,714.5,793,829.4,864.3,895.4,956.1,951.5,1005,1057.5,1113.1,1147.3,1162,1117.2,1219.5,1288.2,1367.4
"10","2","Domestic industries","A445RC1",618.6,612.1,567.9,591.8,674.4,717.1,740.8,789.6,796.9,835.2,882.8,908.1,949.1,985.1,931.3,1040.9,1094.8,1171.7
"11","3","  Financial \1\","N587RC1",234.4,232.4,226.8,268.1,303.8,303.6,299.3,297.8,322.2,327.7,338.3,335.3,346.4,338.5,264.4,341.6,377.6,369.2
"12","4","  Nonfinancial","N463RC1",384.2,379.7,341.1,323.7,370.6,413.5,441.5,491.8,474.8,507.5,544.4,572.8,602.7,646.6,666.9,699.3,717.1,802.6
"13","5","Rest of the world","B394RC1",160.1,171,146.6,201.2,155,147.1,154.6,166.5,154.5,169.8,174.7,205,198.2,176.9,185.9,178.6,193.5,195.6
"14","6","  Receipts from the rest of the world","B933RC1",191.2,186.3,176.1,176.8,191.6,202.5,217.3,206.2,230.1,241.7,257.2,293.9,293,303,309.4,332.6,313.5,327.1
"15","7","  Less: Payments to the rest of the world","B934RC1",31.1,15.3,29.5,-24.4,36.6,55.4,62.8,39.7,75.6,71.9,82.5,88.8,94.8,126.1,123.6,154,120.1,131.4
"16","8","    Corporate profits with inventory valuation adjustment","A052RC1",750.5,756,689.1,681.3,707,740.5,774.5,842.7,858,891,944,1002.6,1001.2,1016.5,981.3,1079.7,1339.2,1412.3
"17","9","Domestic industries","A390RC1",590.4,585,542.5,480.2,552,593.3,620,676.2,703.5,721.2,769.2,797.6,803,839.7,795.5,901.1,1145.7,1216.6
"18","10","  Financial","N392RC1",230.8,224,211.8,243.7,277.9,277.7,274.6,275.3,304.8,309,320.4,317.9,324.1,316.1,242.8,319.4,377.2,367.8
"19","11","    Federal Reserve banks","B397RC1",31.1,29.1,27.6,25.5,24.2,24.5,23.6,22.4,22,20.9,19.5,18.5,19.4,19.3,20.2,22.2,23.1,26.2
"20","12","    Other financial \2\","N398RC1",199.7,194.9,184.2,218.2,253.6,253.3,251,252.9,282.8,288.2,300.9,299.4,304.7,296.8,222.7,297.1,354.2,341.6
"21","13","  Nonfinancial","N399RC1",359.6,361,330.8,236.5,274.2,315.6,345.4,400.9,398.7,412.2,448.9,479.7,479,523.6,552.7,581.7,768.5,848.8
"22","14","    Utilities","N419RC1",27.2,29.3,26.1,16.2,7.1,10.1,12.6,12.8,12.3,10.4,10.7,12.3,11,11.7,11.4,14.1,23.7,NA
"23","15","    Manufacturing","N400RC1",87.8,79.8,49.1,-6.3,27.8,40,55,70,70.9,68,79.2,104.8,97.3,107.3,116.2,154.7,170.2,NA
"24","16","      Durable goods","N406RC1",17.1,-5.1,-38.3,-75.5,-30.6,-13.9,-0.2,5.3,-7.3,-10.4,-8.7,10.1,11.2,27.1,42.2,58.8,35.5,NA
"25","17","        Fabricated metal products","N408RC1",12.1,10.7,9.6,7.1,8.4,8.9,8.6,9.8,6,9.2,8.4,10.5,9.3,9.1,9.8,13.1,8.8,NA
"26","18","        Machinery","N409RC1",12.1,4.2,-6.7,1.1,2,1.3,1.9,1.5,-1.1,1.2,3,2.4,1.8,1.4,3.4,-2.6,0.9,NA
"27","19","        Computer and electronic products","N501RC1",-18.7,-37.2,-59.3,-78.6,-49.2,-39.7,-28.4,-23.9,-20.9,-18,-16.1,-9.7,-8,-5.8,1.3,-0.2,0.5,NA
"28","20","        Electrical equipment, appliances, and components","N410RC1",4.3,2.1,1.1,0,0.3,-1.3,0,0.5,3.3,2.6,0.9,0.8,-4.7,2,-3,6.8,-1.3,NA
