"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"11","3","Plus: Imports of goods and services","A021RX1",199.6,238.9,235.8,233.2,232.5,237.1,236.5,240.2,237.4,255.3,260.9,243.2,278.8,268.9,274.5,286.8,300.1,291.4,283.4,285.5,275.8,290.4,285.4,282.5,254.2,233.8,253.3,266.8,283.5,295.8,307.9,318,333.1,336.2,331.5,336.2,358.7,359.9,364.6,369.6,368.6,370.6,364.9,372.9,373.2,346.1,321.2,338.4,352.9,353.4,349.4,359.4,349.2,343.4,359.4,345.3,353.2,380.3,410,430.1,464.6,484.1,496.6,511.2,499.9,524.5,519.4,539.8,539.3,562.2,577.8,582.3,578.8,593.2,604.8,618.7,615.8,608.7,623.1,642,645,648.1,647.2,658.9,679.8,678.7,675.9,657.8,650.3,661.9,680.5,695.5,700.6,712.1,723.3,740.6,756.7,772.3,782.5,813.9,832.9,863.9,888.2,913.2,933.2,942.1,945.4,957.4,988.6,1010.7,1043.5,1064,1109.5,1146.7,1189,1214.7,1260.2,1289.1,1306.5,1348.7,1383.1,1427.2,1478.9,1514.4,1575.8,1623.9,1680.6,1679.3,1654.8,1605.5,1566.7,1548,1586.8,1640.4,1667.4,1697.4,1676.9,1700.9,1720.7,1784.4,1829.8,1903.1,1930.7,1979.7,1991,2012.9,2025.2,2082,2121.3,2144.9,2170.5,2168.1,2192.7,2217.5,2244.6,2182.4,2174.6,2190.4,2189.8,2052.2,1840.8,1789.9,1880.8,1903.6,1954.8,2101.1,2187.2
"12","4","Equals: Gross domestic purchases","A712RX1",4345.9,4353.1,4383.5,4352.1,4342.5,4344.1,4383.3,4338,4454.2,4498.1,4529.3,4545.9,4637.4,4744.8,4780.4,4860.4,4977.5,5010.2,4972.6,5004.5,4941.3,4954.8,4921.3,4887.4,4782.9,4802.5,4920.5,4982.3,5123,5174.9,5205.4,5253.4,5342.8,5441,5527.1,5546.6,5588.2,5761.7,5819.2,5883.7,5891.3,5898.5,5913.5,5909.9,5914.3,5737,5683.9,5823.4,5958.4,5908.8,5985.9,5925.5,5836.4,5855.7,5881.5,5887.8,5965.2,6136.8,6292.1,6439,6600,6726.1,6796,6859.5,6907.4,6998.5,7105.5,7170,7220.7,7273,7349.2,7370.3,7405,7479.2,7533.6,7655.9,7657.4,7726.3,7772.4,7878.9,7935.2,7967.1,8020.2,8041.2,8119,8139.2,8130.2,8030.1,7976.8,8017.5,8056.2,8087.8,8167.9,8268.4,8349.1,8453.2,8485.8,8548.1,8607.4,8730.2,8828.2,8955.2,9006.6,9114.2,9142.2,9158.7,9196.1,9259.1,9345.2,9513.2,9623.7,9686.1,9789.7,9930.4,10072.7,10178.3,10315.2,10449.1,10607.2,10788.2,10925.5,11039.9,11198.7,11400.5,11471.3,11701.8,11738.6,11813.9,11767.8,11833,11824.1,11877.9,11996.5,12079.7,12156,12198.5,12236.1,12356.1,12543.8,12660.8,12762.3,12901.4,13009.5,13136.8,13249,13296.8,13404.4,13494.2,13648.7,13695.5,13722.8,13755.7,13786.2,13891.2,13935.8,13922.4,13866.9,13850.1,13737.2,13463.3,13212.6,13143.7,13239.8,13338.2,13467.6,13637.7,13769.6
"13","5","Plus: Exports of goods and services, command basis \1\","C020RX1",198.9,240.6,234.7,245.3,243.8,256,252.3,252.3,256.8,253.5,259.9,237.5,266.3,258.8,272.6,287.1,312.6,335.9,350.1,379.1,400.4,422.5,409.8,429.4,435,414.7,399.5,417.4,415.8,420.1,428.7,433.7,423.7,434.1,428.7,409.7,420.5,466.7,471.3,496.5,502,510.8,528.3,558.4,575.2,580,582,582.6,592.7,588,567.5,562.2,534,531.1,497.3,467,473.6,473.5,478.7,490.3,495.1,506.2,508.6,510.7,500.6,494,479.2,489,499.1,501.6,507.5,527,524.5,549.1,570,596.7,631.8,656.6,670.8,683.9,703.1,727,726.4,730.4,752.9,758.1,762.5,770.7,773.4,793.6,801.4,816.5,824.9,820.5,833.3,831.5,829.3,836.6,829.8,851.6,859.4,886.2,918.5,940.2,962.5,978.3,1014.8,1020.1,1025.7,1035.9,1032.2,1079.8,1092.7,1133.2,1154,1143.4,1138,1117.6,1100.5,1134.7,1119.5,1128,1154.6,1182.6,1199.4,1235.6,1261.4,1246.4,1222.5,1172.1,1104.6,1062.8,1073.9,1102.7,1113.9,1097.8,1087.5,1085.7,1111.2,1166.2,1196.8,1219.6,1225,1255,1280.8,1307.2,1301.1,1330.4,1382.5,1411.2,1420.4,1476.7,1496.3,1525.8,1584.8,1636.7,1674.4,1752.1,1737,1550.2,1393.5,1390.5,1442.2,1532.6,1585.9,1639.9,1658.3
"14","6","Less: Imports of goods and services, command basis \1\","C021RX1",198.1,235.1,230.4,230.9,229.2,233.2,236.2,239.2,238.8,254.3,260.2,244.1,280,275.2,282.7,298.7,317.8,326.9,327,347.5,378.5,431.5,432.3,429.3,384.3,349.3,363.7,377,402.4,421.5,440.2,452,481.2,490.8,483.1,486.5,519.3,523.4,529.8,536.2,545,562.2,580.2,617.4,651.9,611.8,570.8,595.9,620.4,613.7,581.7,589.5,563.7,539,550,519.1,516.6,552.5,590.9,612.5,655.7,680.9,681.4,689,651.2,682.2,671.5,705.9,702.9,708.8,728.3,737.3,744.2,777.1,793.5,818.5,819.6,816.9,819.3,843.6,851.5,855.7,835.4,849,877.8,853,864.5,877.1,834.8,822.5,827.4,844.5,849.2,861.1,880.7,890.1,899.2,915.9,916.2,944.6,961.1,1000.8,1039,1067.1,1093.5,1114,1106.9,1106,1133.5,1149,1169.2,1185.2,1221.2,1233.7,1267.9,1280.9,1296.8,1308.4,1304.9,1342.4,1367,1419.5,1481.6,1530.4,1607.2,1649,1707.7,1706,1663.2,1575.6,1511.1,1458.9,1487.5,1561,1589.6,1618.3,1628.4,1626.9,1644.2,1706.7,1770.9,1850.9,1882.2,1957.8,1968.1,2002,2031.1,2107.6,2141.1,2168.6,2195.8,2162.5,2184.9,2214.3,2245.3,2283,2353.8,2436.3,2424.8,2086.5,1737.7,1697,1814.4,1919.3,2018.8,2126.4,2163.8
"15","7","Equals: Command-basis gross domestic product \1,2\","C191RX1",4346.1,4356.2,4384.4,4364.9,4356.7,4364.4,4396.8,4349.1,4470.4,4494.1,4526.3,4537,4617.3,4722.4,4767,4852.5,4970.1,5011.2,4989.7,5043.1,4963.1,4952.6,4898,4882.1,4828.9,4864.9,4953.3,5019.7,5131.4,5169,5190.2,5236.3,5286.7,5376.6,5456.3,5480.2,5490,5701,5752.9,5840.2,5841.5,5842.4,5862.5,5853.9,5835.9,5703.9,5694,5806.1,5921.1,5879.2,5963.9,5895,5800.7,5840.2,5823.1,5831.3,5915.2,6050.8,6172.7,6310.2,6434.4,6543.3,6614.2,6675.3,6748.5,6805.6,6904.1,6946.7,7010.7,7061.7,7120,7147.8,7183.4,7250,7308.6,7436.1,7473,7567.7,7621.4,7712.9,7787.2,7837.8,7908.9,7922.9,7994,8044.1,8027.3,7921.2,7913.2,7987.2,8030.4,8061.1,8140.3,8226.3,8301.9,8394.8,8414.9,8468.5,8520,8638.7,8725.6,8839.2,8887.6,8987.7,9009.6,9021.2,9106.3,9175,9242.5,9406.6,9476.5,9579.4,9673.2,9821.4,9956.9,10038.1,10155.5,10256.6,10401.9,10583.6,10683.3,10746.3,10871.8,11046.6,11061.4,11286.2,11291.6,11355.8,11327.5,11427.9,11415.4,11482.7,11582.7,11622,11680.3,11677.8,11694.7,11814.5,12010.9,12118.5,12188.2,12268.9,12349.9,12433.2,12560.2,12600.9,12673,12716.6,12890.2,12937.3,12946.7,13067.7,13095.8,13200.5,13275,13276.5,13182.5,13169.8,13055,12934,12870.4,12837.3,12866.4,12948.2,13033.8,13151.4,13261
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1",50.1,51.5,53.1,54,55.1,55.7,54.5,50.7,54.1,56.5,55.4,58.1,58.9,60.7,63.7,66,75.5,81.9,90.5,92.4,101.8,101.2,98.6,90.6,82.8,80.4,83.7,89.5,90.9,92.4,91.9,92.4,97.6,99.1,100.7,98.5,108.5,106.7,113.9,129.8,136.6,148.2,165.5,172,179,166.5,153.1,155.9,166.4,171.1,180,178.4,179.1,193.1,180.4,170.8,164.1,171.7,181.1,187.7,194.1,206.4,211.8,202.1,184,186.1,178,182.5,185.9,178.5,172.6,168.5,174.5,187.1,192.4,202.5,219,218.4,226.7,238.8,248.2,257.5,254.7,256.2,256.8,255.6,253,273.8,251.1,224.7,214.7,207.7,203.3,205,193.1,190.2,194.9,197,200,200.6,208.1,220.4,237.4,254.5,272.1,283.5,280.2,287,290.3,287.8,294.4,309.9,320.5,335.2,338.1,330.9,341.6,345.1,331,329.9,342.4,359,379.8,399,411.8,435.6,425.4,447.4,399.9,372.3,341.3,320.5,328.4,341.6,357.9,343.6,355.9,367.7,378.5,408.3,439.5,452.5,471.5,496.9,543.4,555,579.3,613.3,644.3,694.4,713.7,736.5,757.5,812.8,849.1,852.8,818.8,801.7,771.4,665.3,564,559.5,571.9,602.8,625.9,628,NA
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1",21.5,24,26.9,27.9,28.2,27.6,27,25.6,23.9,24.5,26.6,27.6,27.2,29.4,29.6,31.9,35.8,39.4,40.7,42,43.2,46.5,49.1,48.7,47.8,45.1,45,42.7,45.3,44.7,43.6,42.7,40.9,43.4,45.5,49.8,52.1,59.7,62.4,70.4,75.7,80.1,84.2,91.7,97.7,91.6,82.7,99.1,105.4,113.9,118.7,109,113.5,119.4,118.1,110.8,104.5,107.8,115.9,119.8,131.5,143.5,149.6,147.1,141,139.4,138.8,139,148.1,152.3,143.3,149.7,152.4,158.4,164.7,172.1,180.7,183.5,195.4,204,214,224.4,218.3,211.3,214.6,212.4,216.6,206.2,200.1,188.7,183.4,166.2,162.9,165.4,157.9,153.4,147.9,158.3,153.5,173.5,172.4,189.8,210.1,227.7,233.3,241.1,255.1,248,243.8,251.7,262.5,272,293,298.5,310.6,311.4,311.6,318.2,319.7,316.4,315.7,326.5,351,358.2,376.6,396.6,391,385.7,354.1,317.2,311.4,221,272.1,305.7,306.1,272.9,300.2,297.3,308.5,310.8,323.3,363.1,371.5,423.6,435,458.1,472.8,536.1,565.6,621.2,654.1,667.7,690.8,738,713.4,668.3,641.8,642,587.2,550.5,451.7,440.9,419.4,452.7,453.4,451.7,NA
"18","10","Equals: Command-basis gross national product \1,3\","CB22RX1",4374.7,4383.7,4410.5,4391,4383.6,4392.4,4424.4,4374.2,4500.5,4526.2,4555.1,4567.4,4649,4753.7,4801,4886.6,5009.9,5053.7,5039.4,5093.5,5021.7,5007.3,4947.5,4924,4864,4900.3,4992,5066.4,5177,5216.7,5238.6,5285.9,5343.3,5432.3,5511.5,5529,5546.4,5748,5804.3,5899.6,5902.4,5910.5,5943.9,5934.3,5917.2,5778.8,5764.3,5862.9,5982,5936.5,6025.3,5964.5,5866.2,5913.9,5885.3,5891.4,5974.8,6114.6,6237.8,6378.1,6497,6606.2,6676.3,6730.3,6791.6,6852.3,6943.3,6990.2,7048.4,7087.9,7149.3,7166.6,7205.5,7278.6,7336.2,7466.5,7511.3,7602.6,7652.6,7747.6,7821.4,7870.9,7945.3,7967.8,8036.2,8087.3,8063.7,7988.8,7964.2,8023.3,8061.7,8102.5,8180.6,8265.9,8337.1,8431.6,8461.9,8507.2,8566.4,8665.8,8761.3,8869.8,8914.9,9014.5,9048.5,9063.5,9131.4,9214,9289,9442.7,9508.4,9617.3,9700.8,9858,9984.4,10057.6,10185.5,10283.4,10413.2,10597.1,10709.9,10778.8,10900.7,11087.4,11096.7,11325.3,11326,11417.5,11373.4,11482.9,11445.3,11582.3,11639,11657.9,11732.1,11748.5,11750.3,11884.8,12080.9,12216,12304.4,12358.3,12449.9,12506.5,12668.6,12697.7,12779.6,12793.8,12968.9,13010.5,13006.3,13136.5,13162.5,13275.4,13410.7,13461,13359.5,13329.5,13239.2,13048.8,12982.7,12955.9,13018.8,13098.3,13206.3,13327.7,NA
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RX1",4062.1,4067.3,4091.2,4065.5,4051.7,4055.3,4085.9,4034.8,4155.4,4175.5,4204.4,4211.8,4291.2,4395.5,4435.9,4518,4632.6,4668,4639.1,4688,4599.1,4582.5,4520.5,4498.8,4438.8,4471.6,4559,4623.5,4735.3,4769.7,4786.5,4828.8,4875.1,4962.3,5038.5,5056.4,5059.5,5271.7,5317.6,5400.1,5392.5,5384.4,5396.7,5379.3,5352.1,5206.6,5188.6,5298.2,5410.9,5359.9,5440.4,5360.2,5253,5286.2,5261.1,5263.2,5344.8,5479.5,5599.4,5734.8,5855.7,5959.7,6022.9,6075.1,6138.7,6186.2,6277,6310.7,6367.2,6409.9,6460.1,6478.6,6505,6563.6,6614.2,6736.1,6764.8,6853,6898.7,6983.1,7049.6,7091.8,7154.9,7159.4,7222.6,7264.9,7239.3,7123.2,7108.1,7176.6,7213.6,7237.6,7311,7392.3,7463.7,7553.6,7563.8,7608.5,7651,7762.2,7841.3,7946.8,7985.5,8076.2,8086.8,8086.4,8160.2,8217,8272.1,8424.6,8481,8570.4,8649.3,8782.7,8902.6,8966.6,9066.3,9148.8,9275.3,9437.8,9516.8,9558.9,9663.9,9818.3,9811.9,10014.4,9997.8,10043.1,9996.7,10081.8,10055.8,10111.1,10198.1,10226.6,10273.7,10260.7,10268,10378.6,10565.1,10660.9,10718.2,10787.5,10856.2,10926.2,11039.8,11067.1,11125.1,11154,11314.6,11346.1,11340.1,11445.6,11457,11546.3,11606.4,11594.5,11488.7,11463.3,11336.4,11203.5,11132.8,11097.7,11125.3,11204.1,11284.1,11393.3,11492.5
