"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Index numbers, 2005=100]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/29/2010 10:06:35 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","    Personal consumption expenditures (PCE)","DPCERA3",30.359,31.071,32.255,34.239,35.935,35.637,36.445,38.475,40.094,41.862,42.857,42.705,43.353,43.958,46.471,48.935,51.484,53.572,55.225,57.451,59.075,60.281,60.371,62.43,64.647,67.115,68.931,71.336,73.97,77.849,82.106,86.27,88.603,90.962,93.52,96.754,100,102.886,105.335,105.057,103.797
"9","2","Goods","DGDSRA3",29.283,29.514,30.749,32.76,34.457,33.2,33.425,35.766,37.301,38.842,39.464,38.464,38.919,39.19,41.684,44.688,47.039,49.67,50.564,52.442,53.766,54.099,53.025,54.696,56.969,59.973,61.765,64.53,67.607,72.175,77.924,82.034,84.611,88.05,92.06,96.141,100,103.251,106.105,103.462,101.416
"10","3","  Durable goods","DDURRA3",14.957,14.561,16.024,18.015,19.899,18.623,18.667,20.993,22.848,24.047,23.926,22.02,22.24,22.203,25.374,28.998,31.899,34.959,35.641,37.683,38.51,38.344,36.277,38.361,41.236,44.524,46.282,49.736,53.797,60.352,68.185,74.167,78.193,84.13,89.203,95.073,100,104.064,108.418,102.798,99.011
"11","4","    Motor vehicles and parts","DMOTRA3",26.677,23.883,28.517,32.48,35.603,29.717,29.559,35.559,39.325,41.097,38.645,33.687,34.448,35.363,42.16,49.072,55.414,59.461,57.061,60.367,60.246,59.286,52.218,56.508,59.654,63.382,62.398,65.424,69.849,77.153,84.254,86.935,91.378,96.189,98.934,100.408,100,96.823,98.589,85,79.093
"12","5","    Furnishings and durable household equipment","DFDHRA3",20.546,20.519,21.437,23.663,26.179,26.075,24.715,26.232,28.615,30.12,31.355,30.15,29.572,28.26,30.677,33.753,35.562,38.477,40.106,41.57,43.69,43.093,42.085,43.519,45.755,48.196,50.412,52.596,55.06,59.601,66.511,72.925,76.633,82.219,87.394,94.474,100,105.326,106.659,102.827,96.222
"13","6","    Recreational goods and vehicles","DREQRA3",3.281,3.51,3.63,4.211,4.653,4.673,5.006,5.447,5.812,6.201,6.525,6.27,6.439,6.471,7.49,8.788,9.767,11.304,12.661,13.863,14.461,14.811,15.308,16.274,18.778,21.797,24.923,28.78,33.256,39.949,48.473,56.916,62.571,70.173,78.114,88.819,100,113.145,125.67,129.771,131.643
"14","7","    Other durable goods","DODGRA3",19.12,20.049,20.966,22.11,25.114,26.353,27.881,30.701,32.449,34.225,33.78,30.897,31.359,31.414,34.236,38.129,40.985,45.664,47.306,48.894,49.515,49.771,47.608,48.572,51.02,53.358,54.604,58.232,61.147,67.153,75.167,81.846,80.088,85.383,89.825,94.638,100,103.712,104.899,101.041,98.669
"15","8","  Nondurable goods","DNDGRA3",41.466,42.388,43.183,44.931,46.221,45.096,45.483,47.646,48.731,50.491,51.793,51.706,52.354,52.898,54.62,56.881,58.598,60.685,61.727,63.351,65.062,65.821,65.628,66.903,68.604,71.279,73.044,75.155,77.366,80.285,84.375,87.111,88.681,90.44,93.763,96.756,100,102.805,104.872,103.698,102.487
"16","9","    Food and beverages purchased for off-premises consumption","DFXARA3",59.925,61.6,62.333,63.577,62.47,61.21,62.314,65.369,66.336,66.047,66.966,67.655,67.426,68.734,70.471,71.888,74.01,75.521,75.038,77.02,77.981,79.597,79.497,79.188,79.834,82.059,82.482,83.31,84.036,85.043,88.326,90.314,91.368,91.581,93.593,96.122,100,103.192,104.88,103.997,103.023
"17","10","    Clothing and footwear","DCLORA3",21.274,21.029,21.914,23.474,25.163,24.682,25.305,26.47,27.889,30.827,32.623,33.634,35.776,36.371,38.861,42.078,43.954,47.248,49.001,50.441,53.112,52.745,52.782,55.585,57.953,61.2,63.714,66.804,69.001,73.207,78.014,81.789,82.563,85.091,89.82,94.21,100,105.05,108.959,108.304,103.57
"18","11","    Gasoline and other energy goods","DGOERA3",62.97,65.375,67.657,71.087,75.172,69.053,70.659,74.442,75.778,77,74.777,68.166,67.282,67.392,68.875,70.737,72.106,75.773,77.221,79.419,80.689,79.241,78.598,81.737,83.786,85.127,86.714,88.086,89.863,93.093,95.943,94.194,94.874,96.444,99.124,100.559,100,97.885,97.075,92.523,93.66
"19","12","    Other nondurable goods","DONGRA3",31.739,32.796,32.935,34.531,36.869,36.741,35.547,37.044,37.625,40.288,42.622,43.369,44.349,44.191,45.314,47.785,49.069,50.177,52.032,53.225,55.007,56.406,56.096,57.229,59.309,62.309,64.855,67.732,71.457,75.305,79.975,84.071,86.802,89.666,93.711,97.012,100,103.714,106.806,107.058,105.867
"20","13","Services","DSERRA3",30.204,31.385,32.469,34.346,35.974,36.664,38.04,39.672,41.312,43.234,44.555,45.241,46.053,46.95,49.407,51.341,53.996,55.602,57.818,60.272,62.098,63.942,64.899,67.212,69.363,71.433,73.249,75.394,77.719,81.145,84.469,88.654,90.837,92.568,94.314,97.084,100,102.692,104.929,105.87,105.006
"21","14","  Household consumption expenditures (for services)","DHCERA3",31.638,32.858,33.97,35.931,37.683,38.456,39.944,41.64,43.397,45.405,46.787,47.457,48.21,48.929,51.333,53.153,55.854,57.332,59.552,61.875,63.526,65.06,65.771,67.766,69.828,71.786,73.559,75.633,78.236,81.552,84.802,88.914,90.921,92.376,93.997,96.896,100,102.412,104.559,105.155,104.448
