"","Table 1#15# Price, Costs, and Profit Per Unit of Real Gross Valu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 29, 2010  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2010 9:35:01 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","Price per unit of real gross value added of nonfinancial corporate business \1\","A455RD3",0.302,0.315,0.326,0.337,0.356,0.39,0.428,0.447,0.471,0.502,0.541,0.594,0.648,0.687,0.702,0.723,0.735,0.745,0.758,0.777,0.801,0.826,0.849,0.86,0.879,0.894,0.902,0.906,0.911,0.911,0.914,0.925,0.937,0.943,0.954,0.973,1,1.031,1.048,1.045,1.054
"9","2","Compensation of employees (unit labor cost)","A460RD3",0.2,0.212,0.216,0.223,0.238,0.266,0.281,0.294,0.309,0.334,0.367,0.405,0.431,0.458,0.46,0.468,0.479,0.493,0.499,0.507,0.527,0.546,0.559,0.571,0.58,0.579,0.583,0.579,0.581,0.595,0.601,0.621,0.635,0.63,0.633,0.627,0.631,0.64,0.658,0.663,0.667
"10","3","Unit nonlabor cost","A467RD3",0.061,0.068,0.072,0.071,0.075,0.087,0.099,0.098,0.102,0.106,0.116,0.136,0.156,0.173,0.173,0.172,0.175,0.185,0.181,0.184,0.196,0.205,0.215,0.21,0.209,0.209,0.21,0.21,0.209,0.211,0.214,0.222,0.236,0.237,0.237,0.234,0.243,0.25,0.264,0.274,0.282
"11","4","  Consumption of fixed capital","A456RD3",0.024,0.027,0.028,0.028,0.03,0.036,0.043,0.044,0.046,0.049,0.055,0.064,0.072,0.081,0.08,0.077,0.078,0.081,0.08,0.081,0.084,0.087,0.092,0.091,0.093,0.092,0.095,0.096,0.096,0.098,0.099,0.103,0.113,0.116,0.116,0.115,0.118,0.123,0.127,0.131,0.14
"12","5","  Taxes on production and imports less subsidies plus business current transfer payments (net)","W330RD3",0.03,0.032,0.034,0.034,0.035,0.038,0.042,0.042,0.044,0.044,0.045,0.051,0.059,0.062,0.065,0.066,0.068,0.073,0.073,0.073,0.075,0.079,0.085,0.089,0.09,0.093,0.089,0.089,0.087,0.084,0.085,0.085,0.088,0.092,0.095,0.097,0.101,0.102,0.102,0.102,0.107
"13","6","  Net interest and miscellaneous payments","A471RD3",0.007,0.009,0.01,0.009,0.01,0.013,0.014,0.012,0.012,0.013,0.016,0.021,0.025,0.03,0.028,0.029,0.029,0.031,0.028,0.03,0.037,0.039,0.038,0.03,0.026,0.024,0.026,0.025,0.026,0.029,0.03,0.034,0.035,0.029,0.026,0.022,0.024,0.025,0.035,0.041,0.035
