"","Table 3#15#5# Government Consumption Expenditures and Gross Inve","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"1","[Billions of dollars]                                                                                                                                                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published September 13, 2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 10/28/2010 9:40:31 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"8","1","      Government","A822RC1",221.4,233.7,246.4,263.4,281.7,317.9,357.7,383,414.1,453.6,500.7,566.1,627.5,680.4,733.4,796.9,878.9,949.3,999.4,1038.9,1100.6,1181.7,1236.1,1273.5,1294.8,1329.8,1374,1421,1474.4,1526.1,1631.3,1731,1846.4,1983.3,2112.6,2232.8,2369.9,2518.4,2674.2,2878.3,2914.9
"9","2","General public service","W575RC1",13.2,14.9,17.1,19.4,21.9,26.5,31.4,33.5,36.9,39.1,42.7,47.4,49.9,54.2,58.1,61.6,71.9,84.7,85.9,88.7,93,101.8,107.4,114.6,116.1,119.7,125.3,125.2,133.8,142.9,155,161.9,173.8,188.4,193.7,207.1,218.5,230.3,240.8,256.5,261.1
"10","3","  Executive and legislative","W576RC1",3.1,3.8,4.6,5.2,5.8,7.3,8,8.5,9.4,9.4,11.3,13.1,13.6,15.1,13.9,14.8,16.2,16.9,18.5,18.2,19,22.9,23.8,24.2,25.7,26.5,29.6,27.7,30.5,31.7,33.4,35.2,38.2,42.8,47.4,57,60.7,64.9,71.1,76.7,82.5
