"","Table 5#6#5BU3# Inventory Valuation Adjustment by Industry      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11"
"1","[Millions of dollars; quarters seasonally adjusted at annual rates]                                                                                                                                                                                       ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 22, 2005 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 12/21/2005 11:03:24 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1998,1999,2000,2001,2002,2003,2004
"8","1","B     Nonfarm industries","INF0",19725,27103,-1959,-21115,21437,-4961,-18411,-53650
"9","2","D Mining, utilities, and construction","ICMU0",887,1804,-2170,-5246,6742,-4340,-2403,-8467
"10","3","D Manufacturing industries","I300",7613,12816,2508,-9429,7349,627,-9795,-24975
"11",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"12","4","D     Durable goods industries","I30D0",5196,8585,2700,-2638,4433,1301,-2491,-14563
"13","5","D       Wood product manufacturing","I3210",-256,229,-80,248,306,99,-225,-373
"14","6","D       Nonmetallic mineral product manufacturing","I3270",-31,14,-84,-371,-127,-127,-259,-451
"15","7","D       Primary metal manufacturing","I3310",58,2040,451,-299,957,-332,-1238,-3147
"16","8","D       Fabricated metal product manufacturing","I3320",0,807,339,-651,873,-129,-507,-3801
"17","9","D       Machinery manufacturing","I3330",54,-81,122,-466,455,313,-665,-2489
"18","10","D       Computer and electronic product manufacturing","I3340",5151,3830,2061,979,1407,1915,1809,364
"19","11","D       Electrical equipment, appliance, and component manufacturing","I3350",-15,503,-10,-185,86,242,-102,-813
"20","12","D       Transportation equipment manufacturing","I3360",296,866,15,-1544,194,-903,-845,-2349
"21","13","D         Motor vehicle and parts manufacturing","I336MV0",285,659,275,-362,193,-8,-217,-1095
"22","14","D         Other transportation equipment manufacturing","I336OT0",11,207,-260,-1182,1,-895,-628,-1254
"23","15","D       Furniture and related product manufacturing","I3370",-26,80,-49,-45,96,0,-249,-358
"24","16","D       Miscellaneous durable goods manufacturing","I3390",-35,297,-65,-304,186,223,-210,-1146
"25","17","D     Nondurable goods industries","I30N0",2417,4231,-192,-6791,2916,-674,-7304,-10412
"26","18","D       Food manufacturing","I3110",128,834,355,-753,-319,-336,-2472,-1489
"27","19","D       Beverage and tobacco product manufacturing","I3120",-185,-188,-32,-274,53,-128,-230,-192
"28","20","D       Textile mills","I3130",63,88,217,-18,223,126,85,-66
"29","21","D       Textile product mills","I3140",18,74,147,-63,208,24,60,-60
"30","22","D       Apparel manufacturing","I3150",32,91,294,1,208,212,72,-43
"31","23","D       Leather and allied product manufacturing","I3160",4,76,0,-61,-27,33,-30,-26
"32","24","D       Paper manufacturing","I3220",416,-25,647,-717,-6,1050,-380,-688
"33","25","D       Printing and related support activities","I3230",-3,-112,482,-411,105,432,-157,-329
"34","26","D       Petroleum and coal product manufacturing","I3240",1483,1878,-2277,-1772,1405,-2114,-1785,-3021
"35","27","D       Chemical manufacturing","I3250",333,852,112,-1964,411,-77,-1878,-3214
"36","28","D       Plastics and rubber product manufacturing","I3260",128,663,-137,-759,655,104,-589,-1284
"37",NA,"    By stage of fabrication:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"38","29","D     Materials and supplies","I30M0",2838,5267,1617,-2663,3217,240,-4177,-10710
"39","30","D       Durable goods industries","I30DM0",1861,3599,1339,-447,2309,160,-1212,-6786
"40","31","D       Nondurable goods industries","I30NM0",977,1668,278,-2216,908,80,-2965,-3924
"41","32","D     Work-in-process","I30W0",2595,3724,719,-2389,1843,-154,-1477,-5440
"42","33","D       Durable goods industries","I30DW0",2253,2902,934,-1291,1228,209,-613,-4131
"43","34","D       Nondurable goods industries","I30NW0",342,822,-215,-1098,615,-363,-864,-1309
"44","35","D     Finished goods","I30F0",2180,3825,172,-4377,2289,541,-4141,-8825
"45","36","D       Durable goods industries","I30DF0",1082,2084,427,-900,896,932,-666,-3646
"46","37","D       Nondurable goods industries","I30NF0",1098,1741,-255,-3477,1393,-391,-3475,-5179
"47","38","D Wholesale trade industries","IWT0",6553,8559,116,-3787,5493,-2380,-6242,-13199
"48",NA,"    By type of industry:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"49","39","D     Durable goods industries","IWTD0",5086,6313,1802,607,3988,1143,-1161,-8640
"50","40","D     Nondurable goods industries","IWTN0",1467,2246,-1686,-4394,1505,-3523,-5081,-4559
"51",NA,"    By type of wholesaler:"," ",NA,NA,NA,NA,NA,NA,NA,NA
"52","41","D     Merchant wholesale industries","I42W0",5121,7229,176,-2637,4685,-2176,-5145,-10482
"53","42","D       Durable goods industries","I42WD0",3993,5513,1508,883,3636,749,-1040,-7679
"54","43","D         Motor vehicles, parts, and supplies wholesalers","I42110",652,-127,-201,-308,348,642,154,-205
"55","44","D         Furniture and home furnishings wholesalers","I42120",42,-54,-19,-55,-13,-67,-65,-172
"56","45","D         Lumber and other construction materials wholesalers","I42130",-42,196,-289,209,16,12,-259,-684
"57","46","D         Professional and commercial equipment wholesalers","I42140",2866,3788,2307,1335,1922,994,775,671
"58","47","D           Computers and software wholesalers","I421430",2967,3808,2343,1441,2038,1188,960,905
"59","48","D           Other professional and commercial equipment wholesalers","I4214X0",-101,-20,-36,-106,-116,-194,-185,-234
"60","49","D         Metal and mineral (except petroleum) wholesalers","I42150",16,704,301,-188,589,-460,-406,-3594
"61","50","D         Electrical goods wholesalers","I42160",454,320,319,183,461,403,324,315
"62","51","D         Hardware and plumbing and heating equipment wholesalers","I42170",-55,2,-75,-68,-142,-36,-74,-380
"63","52","D         Machinery, equipment, and supplies wholesalers","I42180",87,-430,-258,-379,-435,-228,-499,-1345
"64","53","D         Miscellaneous durable goods wholesalers","I42190",-27,1114,-577,154,890,-511,-990,-2285
"65","54","D       Nondurable goods industries","I42WN0",1128,1716,-1332,-3520,1049,-2925,-4105,-2803
