"","Table 2#4#6U# Personal Consumption Expenditures in Millions of C","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62"
"1","[Millions of chained (2000) dollars; quarters and months are seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1990 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 01, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/30/2004 2:45:15 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","Q1TDG1 A Durable goods","Q1TDG10",470901,455292,450466,437413,424644,426863,433614,426466,443145,446642,456363,465790,470366,486191,492079,505123,517279,523322,529055,547944,537274,543516,559694,570020,576149,595160,600081,612262,629926,627906,656689,673222,676217,707470,727162,770311,767419,803627,820729,826419,872797,851317,863809,865381,879531,878883,885565,958732,937779,947837,979297,973443,973236,1019985,1059586,1069678,1075462,1074685,1118232
"10","2","Q1TAP1 B   Motor vehicles and parts","Q1TAP10",271772,258267,254603,239660,224227,222565,231980,227586,240178,242494,245787,251287,248002,259906,259535,269546,278042,274068,272113,280747,267679,268247,274702,278421,281428,285842,285915,288254,300765,290777,309396,317675,310289,333905,339974,371683,355094,380245,382475,371931,403270,376117,383167,383515,392648,388582,392725,449389,415086,418564,447132,433921,427972,451306,465627,463547,456667,449598,478737
"11","3","Q1NEW1 B     New autos (70)","Q1NEW10",110789,103765,102002,93295,79275,79043,80627,80113,85675,82840,82966,85227,81132,86423,86300,91939,89425,88355,86881,88395,80119,81588,81521,85455,82543,81240,78229,80220,81111,75207,82848,84969,82542,89471,84508,91542,90772,97647,99442,102084,108018,105490,103052,97769,101847,99252,95265,118564,103628,102251,106924,100483,100053,101606,102648,99759,102142,102530,97106
"12","4","Q1NDC1 D       New domestic autos","Q1NDC10",70738,64825,65195,57527,50618,48880,50101,51412,54300,51353,53673,54595,53165,56154,56999,62887,61056,59598,57547,61113,53792,54879,56561,60558,59245,57572,52890,54444,53327,49363,54232,54289,52808,58415,54283,59405,58873,61922,63068,61413,69061,66638,64314,58347,64848,60018,57252,76658,63821,63175,66916,59985,60230,63774,63412,60189,62946,62025,58423
"13","5","Q1NFC1 D       New foreign autos","Q1NFC10",40053,38942,36810,35769,28659,30164,30528,28703,31377,31489,29295,30633,27968,30270,29302,29053,28370,28758,29336,27282,26327,26710,24961,24898,23299,23669,25339,25776,27784,25843,28616,30680,29734,31056,30225,32137,31899,35724,36374,40671,38957,38851,38738,39422,36999,39234,38012,41907,39807,39076,40007,40497,39823,37832,39236,39570,39196,40505,38683
"14","6","Q1NPU1 B     Net purchases of used autos (71)","Q1NPU10",42481,42078,42617,42436,46241,41877,46784,44362,47288,48667,47623,47683,49930,49043,48246,46244,55514,51736,53166,53487,53677,50743,56059,50740,51951,56265,57813,53175,61149,55754,55603,57016,55069,54610,65517,70151,59328,66511,65654,55342,65757,54754,55938,66152,60443,58862,60820,54680,54154,59897,58599,57675,58831,55360,53774,59780,55249,51195,61414
"15","7","Q1NET1 D       Net transactions in used autos","Q1NET10",22363,22961,23055,23269,25985,23131,27433,25200,27386,28338,27170,26806,29061,27850,26872,25609,33339,30109,31447,29889,30823,27783,32900,28994,29113,32818,34577,31061,38635,33394,32236,34528,33775,32607,42809,46300,37739,42964,42170,33903,41854,32930,33109,42106,36043,33301,36525,31191,31377,38254,38943,37037,36968,34689,31608,37256,34132,26314,36372
"16","8","Q1MAR1 D       Used auto margin","Q1MAR10",22628,21376,21906,21401,22585,21191,21269,21402,22265,22656,22779,23294,22958,23498,23851,23100,24067,23690,23729,25819,24932,25293,25095,23827,24967,25438,25140,24088,24414,24255,25237,24393,23189,23879,24504,25666,23415,25373,25318,23163,25702,23557,24560,25723,26174,27430,26154,25247,24414,23506,21614,22514,23696,22482,23816,24338,22946,25894,26656
"17","9","Q1REE1 D       Employee reimbursement","Q1REE10",-1861,-1843,-1857,-1845,-2076,-2054,-1999,-2060,-2300,-2322,-2168,-2137,-2127,-2123,-2138,-2096,-2055,-2038,-2055,-2031,-1994,-2011,-1990,-1983,-1944,-1965,-1962,-1998,-1938,-1914,-1888,-1863,-1863,-1857,-1798,-1813,-1834,-1791,-1793,-1730,-1753,-1733,-1724,-1729,-1744,-1804,-1853,-1823,-1726,-1692,-1682,-1743,-1756,-1749,-1722,-1689,-1750,-1791,-1780
"18","10","Q1OAU1 C     Other motor vehicles (72)","Q1OAU10",86187,80467,78273,73429,70282,70933,75288,74315,77899,81962,85474,87513,86425,92248,91277,96899,98152,98523,95839,102041,97547,98760,99379,103672,107679,108663,110030,114319,117490,118952,129030,133526,129822,145769,146500,165545,159237,169478,169709,165881,180254,167216,174726,170795,183016,182361,189123,227702,209233,207950,233062,227199,220060,244647,258412,252635,246735,243195,268100
"19","11","Q1TRU1 D       Trucks, new and net used","Q1TRU10",79388,73796,71202,67600,63065,64131,69467,67734,70885,75408,78929,80241,79353,84461,83097,89074,89809,89688,87259,92509,89132,89620,90201,95316,99153,99983,100656,104950,107985,109575,119338,123511,119578,135192,135338,154071,147946,157756,158210,153285,167117,155222,163138,159576,172182,171065,178007,216610,197655,196434,221050,215054,207339,231254,244536,238669,231975,229003,253178
"20","12","Q1REV1 D       Recreational vehicles","Q1REV10",6904,6733,7059,5918,7118,6754,5918,6590,7009,6637,6664,7334,7145,7844,8205,7895,8392,8869,8613,9562,8461,9178,9217,8390,8558,8715,9421,9406,9544,9409,9709,10031,10277,10580,11182,11468,11292,11721,11495,12609,13142,11996,11587,11217,10839,11296,11126,11142,11600,11536,12059,12179,12724,13421,13914,13992,14740,14193,14964
"21","13","Q1TBA1 C     Tires, tubes, accessories, and other parts (73)","Q1TBA10",29668,29446,29332,28588,28064,29311,28866,28105,28777,28993,29498,30391,30525,31735,32975,33348,34762,34971,35807,36464,36099,36837,37538,38157,38977,39492,39769,40466,40946,40918,41902,42165,42824,43957,43674,44710,45766,46652,47675,48639,49245,48665,49441,48796,47338,48048,47431,48825,48259,48490,48981,48874,49199,50038,51142,51900,52653,52536,52710
"22","14","Q1TAT1 D       Tires and tubes","Q1TAT10",14193,14152,14169,13620,13439,14091,13731,13164,13394,13414,13599,13940,13906,14334,14807,14915,15529,15502,15757,15829,15634,15846,15987,16250,16580,16797,16794,16965,17045,17054,17517,17718,18043,18464,18324,18893,19370,19643,20234,20711,21096,20685,20925,20741,20097,20313,20022,20649,20387,20486,20903,20921,21014,21421,21988,22401,22792,22790,22609
