"","Table 5#4#4BU# Price Indexes for Private Fixed Investment in Str","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"1","[Index numbers, 2000=100];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 01, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/30/2004 2:50:19 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Private fixed investment in structures","B349RG3",88.432,89.033,89.894,90.712,91.42,92.219,93.074,93.902,94.717,95.578,96.323,97.111,98.591,99.517,100.436,101.456,102.885,104.319,106.052,106.723,106.59,107.151,107.572,109.085,110.664,110.999,111.693,112.92,114.382,116.803,119.057
"10","2","Nonresidential","B009RG3",88.047,88.854,89.813,90.81,92.138,93.157,93.926,94.674,95.302,95.88,96.513,97.331,98.482,99.366,100.455,101.697,103.196,104.835,106.512,107.069,107.075,107.638,108.061,108.858,109.911,109.906,110.255,110.633,111.926,113.984,116.688
"11","3","  Commercial and health care","W001RG3",86.784,87.357,88.35,89.288,90.478,91.419,92.572,93.717,94.702,95.675,96.506,97.327,98.731,99.594,100.409,101.266,102.117,102.896,104.188,105.069,105.413,105.969,106.35,107.65,108.73,108.884,109.251,110.25,111.436,113.585,115.955
"12","4","    Office\1\","W031RG3",84.798,86.074,87.638,89.052,89.823,90.669,91.835,93.115,94.388,95.544,96.49,97.362,98.794,99.604,100.325,101.068,101.865,102.538,103.704,104.452,104.664,105.144,105.495,106.798,107.956,108.147,108.541,109.544,110.725,112.858,115.211
"13","5","    Health care","W032RG3",87.775,88.065,88.841,89.613,90.508,91.249,92.253,93.303,94.334,95.315,96.197,97.096,98.517,99.505,100.476,101.502,102.781,103.836,105.222,105.986,105.761,106.056,106.258,107.474,108.708,108.884,109.273,110.279,111.468,113.615,115.984
"14","6","      Hospitals and special care","C311RG3",87.535,88.012,88.964,89.905,90.498,91.246,92.258,93.312,94.333,95.315,96.198,97.098,98.516,99.505,100.476,101.503,102.779,103.836,105.223,105.988,105.762,106.057,106.257,107.473,108.707,108.884,109.273,110.279,111.468,113.615,115.984
"15","7","        Hospitals","W033RG3",87.593,88.051,88.997,89.933,90.504,91.252,92.268,93.329,94.372,95.351,96.222,97.099,98.447,99.42,100.395,101.444,102.803,103.894,105.293,106.049,105.754,106.024,106.212,107.427,108.699,108.888,109.287,110.296,111.485,113.633,116.002
"16","8","        Special care","W034RG3",87.393,87.986,88.992,89.944,90.502,91.224,92.21,93.248,94.28,95.264,96.153,97.063,98.503,99.503,100.484,101.519,102.808,103.854,105.234,105.996,105.762,106.061,106.264,107.479,108.704,108.877,109.263,110.268,111.457,113.604,115.973
"17","9","      Medical buildings","W035RG3",88.668,88.216,88.358,88.619,90.531,91.279,92.276,93.312,94.331,95.298,96.171,97.067,98.511,99.504,100.481,101.512,102.808,103.857,105.236,105.993,105.745,106.039,106.24,107.457,108.697,108.875,109.265,110.273,111.462,113.609,115.978
"18","10","    Multimerchandise shopping","W036RG3",88.095,88.192,88.774,89.33,90.995,92.109,93.327,94.412,95.159,95.965,96.667,97.396,98.676,99.532,100.402,101.365,102.238,103.088,104.513,105.571,106.216,106.931,107.404,108.732,109.648,109.741,110.065,111.049,112.246,114.408,116.794
"19","11","    Food and beverage establishments","W037RG3",88.024,88.217,88.759,89.254,91.128,92.208,93.378,94.414,95.124,95.908,96.606,97.351,98.722,99.595,100.459,101.395,102.208,103.012,104.41,105.459,106.115,106.847,107.341,108.692,109.645,109.757,110.094,111.085,112.283,114.445,116.832
"20","12","    Warehouses","W038RG3",88.144,88.18,88.762,89.314,90.969,92.087,93.311,94.403,95.155,95.963,96.667,97.395,98.665,99.521,100.395,101.365,102.249,103.109,104.544,105.608,106.262,106.971,107.437,108.76,109.662,109.748,110.067,111.049,112.246,114.408,116.794
"21","13","    Other commercial\2\","W039RG3",87.95,88.227,88.955,89.628,91.121,92.212,93.401,94.46,95.202,96.003,96.696,97.418,98.698,99.549,100.406,101.347,102.191,103.019,104.423,105.47,106.098,106.817,107.294,108.612,109.54,109.666,110.009,111.015,112.189,114.371,116.771
"22","14","  Manufacturing","B307RG3",87.909,88.485,89.44,90.301,91.128,92.114,93.261,94.338,95.302,96.136,96.85,97.568,98.774,99.581,100.382,101.255,102.118,102.926,104.284,105.258,105.886,106.444,106.711,107.783,108.254,108.122,108.293,109.194,110.371,112.497,114.843
"23","15","  Power and communication","W003RG3",94.625,95.465,95.873,96.08,96.45,96.472,96.624,96.752,96.383,96.439,97.11,97.774,98.679,99.752,100.328,101.241,101.859,102.497,103.473,103.742,104.284,104.768,105.704,106.063,106.922,107.602,108.284,108.932,110.582,114.409,117.471
