"","Table 5#4#6BU# Real Private Fixed Investment in Structures by Ty","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34"
"1","[Millions of chained (2000) dollars; quarters seasonally adjusted at annual rates];                                                                                                     ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Quarterly data from 1997 To 2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published December 01, 2004 ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 11/30/2004 2:50:54 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Line",NA,NA,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004
"8",NA,NA,NA,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"9","1","    Private fixed investment in structures","A349RX0",653239,655633,667789,673879,682370,704590,713194,725403,723310,728963,729091,737575,746954,755565,753540,754850,750363,753314,759916,725177,720864,716272,708768,709498,710047,728293,753141,769588,771395,796513,798613
"10","2","Nonresidential","B009RX0",276150,273720,284168,286307,286739,297957,295473,297641,292006,294127,291822,294844,299855,312511,319723,320647,313782,310578,315129,284897,270716,253883,243034,238894,230735,238656,237879,242423,237663,241687,241490
"11","3","  Commercial and health care","W001RX0",119444,114612,120920,119433,120829,126676,124723,129469,128431,129473,129917,129866,130843,136700,140794,141867,140770,135353,126096,118892,115280,111276,107727,104716,101553,102892,102804,101152,98756,103642,103800
"12","4","    Office\1\","W031RX0",42232,40037,44789,46393,48013,51117,49785,54229,54997,54309,54371,52218,54199,59849,62444,64422,63904,59439,52312,46322,41607,39378,37502,35337,32803,32166,31882,31954,30740,31537,30570
"13","5","    Health care","W032RX0",22457,21663,22384,21888,21394,22267,21807,21487,21701,21288,21788,21670,20719,21788,22307,22755,22169,21013,20343,20542,22060,23627,24329,24946,24398,24673,23933,24403,24320,26518,25843
"14","6","      Hospitals and special care","C311RX0",17686,17049,17103,16319,16345,17156,16990,16632,16002,15908,15723,15866,15165,15937,16630,17169,16850,16342,15573,15435,17089,18496,19099,19568,18490,18662,17996,18250,17982,19312,18978
"15","7","        Hospitals","W033RX0",13450,12832,12615,11843,11742,11714,11584,11469,11613,11215,11023,10863,10524,11008,11913,12483,12924,12490,11807,11627,13409,14582,15388,15872,15406,15637,15053,15096,15356,16450,16445
"16","8","        Special care","W034RX0",4235,4217,4487,4475,4603,5442,5406,5163,4388,4693,4699,5003,4640,4928,4716,4686,3926,3852,3766,3807,3679,3914,3711,3696,3084,3025,2942,3153,2625,2861,2532
"17","9","      Medical buildings","W035RX0",4770,4612,5282,5574,5049,5111,4818,4856,5700,5380,6066,5805,5555,5852,5678,5586,5320,4671,4771,5108,4972,5132,5231,5378,5908,6012,5938,6155,6339,7207,6866
"18","10","    Multimerchandise shopping","W036RX0",13810,12698,13197,12409,12762,13749,13697,14056,14768,15252,15179,14873,14542,13475,13991,14614,15425,15435,14792,14240,14973,13991,13258,12934,12688,13254,13629,13855,14261,14750,15815
"19","11","    Food and beverage establishments","W037RX0",9809,8399,9332,9189,9371,9972,8974,9013,7194,8477,8190,8777,8730,8608,8233,7792,7503,7805,8897,7857,6986,6936,6913,7183,7386,7280,7075,7192,6843,6936,6918
"20","12","    Warehouses","W038RX0",13571,13858,13771,12652,12360,12446,13391,13790,13592,13330,13356,13754,13959,13880,13965,14481,14887,15227,14155,13128,12202,10846,9682,9424,10065,10679,11245,10438,9699,9671,10157
"21","13","    Other commercial\2\","W039RX0",17457,17845,17385,16865,16908,17118,17051,16899,16191,16811,17025,18565,18684,19093,19855,17819,16904,16449,15583,16751,17349,16398,15948,14793,14095,14706,14897,13181,12765,14093,14341
"22","14","  Manufacturing","C307RX0",42376,40888,43585,42172,44782,44644,43213,42077,38105,34259,32551,30489,30958,32999,31644,31599,32403,30235,28903,22578,17873,15909,14034,13709,12738,13422,13227,13090,12503,12033,12550
"23","15","  Power and communication","W003RX0",29083,29538,30587,31315,33994,34857,35073,35041,36705,39151,42573,44751,44679,45719,47802,49028,44058,47565,49116,52193,53867,47219,42772,42818,39170,36141,34603,39592,38195,34028,32074
"24","16","    Power","W028RX0",17051,17090,17679,18696,21201,22240,22807,22901,21161,21364,22120,23347,26281,27674,28743,29333,25066,27205,30283,34271,36049,29624,25958,26076,27584,24587,23059,28172,27365,23187,20916
"25","17","      Electric","C571RX0",12026,12054,12163,12315,12566,12844,13140,13487,13371,14307,15659,17322,20177,21714,22838,23423,19197,21263,24131,27776,28910,22311,18511,18523,19969,16941,15424,20604,19622,17258,15725
"26","18","      Other power","W029RX0",5013,5024,5509,6383,8662,9430,9701,9441,7801,7060,6461,6027,6106,5961,5905,5909,5875,5947,6152,6482,7121,7334,7483,7588,7647,7680,7670,7596,7767,5989,5263
"27","19","    Communication","C314RX0",12024,12424,12884,12632,12858,12711,12383,12260,15556,17767,20409,21360,18388,18044,19063,19701,18996,20358,18831,17922,17800,17588,16815,16747,11558,11537,11532,11410,10821,10838,11167
"28","20","  Mining exploration, shafts, and wells","E318RX0",24781,25587,25063,25660,23620,23980,23876,21750,20034,21680,20513,22838,24181,26882,28244,29369,31662,32569,34083,29698,25642,21989,23369,23373,24297,28896,30966,31975,32495,34012,34798
"29","21","    Petroleum and natural gas","C319RX0",23081,23949,23515,24217,22314,22767,22745,20690,19039,20683,19477,21732,22924,25559,26883,28006,30350,31306,32862,28550,24574,20939,22279,22239,23091,27564,29498,30359,30922,32117,32804
"30","22","    Mining","C320RX0",1713,1656,1567,1461,1320,1216,1126,1059,995,996,1035,1106,1256,1324,1361,1363,1301,1238,1173,1124,1061,1068,1103,1155,1231,1348,1489,1650,1602,1946,2050
"31","23","  Other structures","W004RX0",60651,63173,64120,67752,63521,67875,68595,69471,68851,69596,66243,66863,69159,70215,71256,68799,64638,64387,76129,61149,58206,57948,55145,54229,52651,56389,55075,55386,54397,56556,56814
"32","24","    Religious","C309RX0",5910,6362,6268,6844,7012,6433,6952,7578,7695,7581,7336,7338,7867,7756,7867,7746,7646,7832,7963,7815,7895,7771,7398,7409,7642,7726,7698,7122,6812,6980,7007
"33","25","    Educational and vocational","W044RX0",9929,10880,11587,11942,12475,12453,11199,11429,10693,11514,11417,11727,12292,12902,13647,13323,13080,13288,13883,14750,14395,14081,12996,13297,12880,13698,13815,13314,12566,12506,12481
"34","26","    Lodging","W045RX0",17585,18501,18164,17827,16729,19443,21782,21946,21762,20938,20012,19808,20487,21258,20175,18808,17537,17779,17879,15628,13008,13242,11492,10973,10834,12524,10833,10871,11194,12584,13215
