"","Table 5#5#5# Private Fixed Investment in Equipment by Type      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","      Private fixed investment in equipment","Y032RC1","66,173.0","67,525.0","70,337.0","80,421.0","96,801.0","106,197.0","109,534.0","123,364.0","151,062.0","183,368.0","211,229.0","219,762.0","244,467.0","238,551.0","250,690.0","296,589.0","312,961.0","323,192.0","326,724.0","352,877.0","378,309.0","377,899.0","366,597.0","387,620.0","431,212.0","482,607.0","534,455.0","571,639.0","617,128.0","666,684.0","720,879.0","773,786.0","719,359.0","667,666.0","677,256.0","728,176.0","800,318.0","866,172.0","895,650.0","834,488.0","652,624.0","740,181.0","846,813.0","912,912.0","958,866.0"
"20","2","Nonresidential equipment","Y033RC1","65,163.0","66,404.0","69,059.0","78,885.0","95,062.0","104,316.0","107,615.0","121,242.0","148,665.0","180,634.0","208,062.0","216,386.0","240,852.0","234,862.0","246,470.0","291,874.0","307,905.0","317,693.0","320,919.0","346,816.0","372,160.0","371,891.0","360,849.0","381,699.0","425,141.0","476,380.0","528,128.0","565,309.0","610,859.0","660,014.0","713,626.0","766,088.0","711,517.0","659,640.0","668,971.0","719,193.0","790,695.0","856,134.0","885,773.0","825,149.0","644,308.0","731,832.0","838,236.0","904,063.0","949,719.0"
"21","3","  Information processing equipment","Y034RC1","12,821.0","14,316.0","14,925.0","16,674.0","19,860.0","23,069.0","23,756.0","27,512.0","33,690.0","42,342.0","50,350.0","58,934.0","69,619.0","74,219.0","83,684.0","101,179.0","106,587.0","111,147.0","112,194.0","120,756.0","130,718.0","129,566.0","129,204.0","142,068.0","153,329.0","166,960.0","188,367.0","204,668.0","222,795.0","240,106.0","259,758.0","293,794.0","265,930.0","236,736.0","241,024.0","253,102.0","262,767.0","282,339.0","303,238.0","291,245.0","256,081.0","276,716.0","277,667.0","280,806.0","286,503.0"
"22","4","    Computers and peripheral equipment","B935RC1","2,440.0","2,722.0","2,774.0","3,472.0","3,539.0","3,868.0","3,586.0","4,403.0","5,666.0","7,563.0","10,163.0","12,522.0","17,128.0","18,871.0","23,891.0","31,609.0","33,734.0","33,410.0","35,762.0","37,956.0","43,093.0","38,643.0","37,704.0","44,014.0","47,935.0","52,385.0","66,110.0","72,793.0","81,375.0","87,887.0","97,231.0","103,178.0","87,556.0","79,725.0","78,269.0","81,472.0","79,999.0","86,402.0","87,725.0","83,792.0","76,777.0","81,283.0","76,367.0","78,312.0","77,596.0"
"23","5","    Communication equipment \1\","C275RC1","5,667.0","6,511.0","6,641.0","6,615.0","8,104.0","8,982.0","9,285.0","10,618.0","13,741.0","16,824.0","20,292.0","24,231.0","27,191.0","28,857.0","29,508.0","34,021.0","36,994.0","39,060.0","39,249.0","43,739.0","43,639.0","45,219.0","43,660.0","46,207.0","48,692.0","56,801.0","63,455.0","70,753.0","80,001.0","87,056.0","98,739.0","123,323.0","109,102.0","83,735.0","82,216.0","84,938.0","86,517.0","95,964.0","106,169.0","95,585.0","79,374.0","88,769.0","88,992.0","94,078.0","99,470.0"
"24","6","    Medical equipment and instruments","W176RC1","1,061.0","1,243.0","1,486.0","1,640.0","1,967.0","2,401.0","2,807.0","3,314.0","3,640.0","4,419.0","4,797.0","5,197.0","6,319.0","8,256.0","9,126.0","10,100.0","10,414.0","11,115.0","12,400.0","13,525.0","14,484.0","16,410.0","17,809.0","19,890.0","22,063.0","21,368.0","21,779.0","23,769.0","26,440.0","30,301.0","32,223.0","35,211.0","38,464.0","43,785.0","48,458.0","52,605.0","61,213.0","63,953.0","72,312.0","73,450.0","68,291.0","71,829.0","74,622.0","73,101.0","74,924.0"
"25","7","    Nonmedical instruments","W177RC1","798.0","892.0","875.0","1,130.0","1,282.0","1,722.0","1,799.0","2,065.0","3,492.0","4,070.0","4,413.0","4,925.0","5,601.0","6,126.0","6,319.0","7,776.0","8,308.0","8,645.0","8,853.0","9,208.0","11,732.0","12,916.0","13,395.0","14,254.0","14,521.0","15,426.0","17,042.0","17,909.0","16,582.0","17,021.0","17,114.0","18,387.0","19,288.0","19,747.0","18,821.0","20,560.0","21,666.0","22,956.0","26,067.0","26,525.0","22,183.0","24,978.0","27,072.0","24,864.0","23,921.0"
"26","8","    Photocopy and related equipment","C285RC1","1,460.0","1,708.0","2,018.0","2,478.0","3,033.0","3,506.0","3,976.0","4,408.0","4,323.0","5,232.0","5,500.0","6,358.0","7,245.0","7,370.0","7,272.0","9,083.0","8,791.0","9,254.0","9,659.0","10,717.0","11,672.0","11,421.0","12,000.0","12,571.0","14,488.0","15,297.0","14,187.0","13,587.0","12,634.0","12,701.0","10,729.0","9,838.0","6,738.0","4,576.0","5,229.0","5,185.0","4,875.0","4,245.0","6,546.0","7,088.0","5,658.0","6,367.0","7,404.0","7,599.0","7,703.0"
"27","9","    Office and accounting equipment","B936RC1","1,395.0","1,240.0","1,131.0","1,339.0","1,935.0","2,590.0","2,303.0","2,704.0","2,828.0","4,234.0","5,185.0","5,701.0","6,135.0","4,739.0","7,568.0","8,590.0","8,346.0","9,663.0","6,271.0","5,611.0","6,098.0","4,957.0","4,636.0","5,132.0","5,630.0","5,683.0","5,794.0","5,857.0","5,763.0","5,140.0","3,722.0","3,857.0","4,782.0","5,168.0","8,031.0","8,342.0","8,497.0","8,819.0","4,419.0","4,805.0","3,798.0","3,490.0","3,210.0","2,852.0","2,889.0"
"28","10","  Industrial equipment","A680RC1","19,051.0","20,282.0","19,459.0","21,409.0","26,023.0","30,659.0","31,329.0","34,120.0","39,443.0","47,731.0","56,162.0","60,743.0","65,485.0","62,669.0","58,879.0","68,140.0","72,469.0","75,415.0","76,712.0","84,182.0","93,325.0","92,142.0","89,313.0","92,961.0","102,233.0","113,620.0","128,961.0","136,521.0","140,418.0","147,355.0","149,126.0","162,910.0","151,879.0","141,734.0","143,371.0","144,211.0","162,414.0","181,576.0","194,110.0","192,899.0","152,068.0","152,910.0","190,480.0","201,369.0","209,797.0"
"29","11","    Fabricated metal products","C263RC1","2,118.0","2,577.0","2,768.0","2,966.0","3,678.0","4,470.0","5,328.0","6,097.0","6,226.0","7,057.0","8,777.0","9,181.0","9,883.0","9,548.0","9,145.0","8,684.0","8,626.0","7,975.0","7,132.0","7,958.0","8,961.0","9,172.0","9,373.0","9,599.0","9,349.0","10,037.0","10,838.0","12,135.0","10,548.0","10,900.0","11,493.0","11,946.0","11,880.0","10,672.0","11,805.0","12,571.0","14,421.0","17,265.0","19,778.0","21,997.0","17,473.0","16,288.0","19,301.0","19,720.0","19,262.0"
"30","12","    Engines and turbines","A668RC1","1,104.0","1,265.0","1,453.0","1,685.0","1,691.0","1,816.0","1,743.0","1,770.0","1,737.0","1,849.0","1,877.0","1,930.0","2,335.0","1,973.0","1,769.0","1,935.0","2,182.0","1,868.0","2,509.0","2,719.0","3,261.0","3,115.0","3,829.0","3,663.0","3,518.0","3,886.0","3,291.0","3,979.0","3,744.0","4,427.0","5,481.0","7,101.0","10,797.0","11,578.0","10,273.0","4,933.0","5,812.0","7,441.0","11,392.0","12,132.0","9,936.0","6,941.0","10,382.0","9,010.0","7,954.0"
"31","13","    Metalworking machinery","C271RC1","3,970.0","3,980.0","3,144.0","3,717.0","4,919.0","6,068.0","6,059.0","6,440.0","7,250.0","9,348.0","11,572.0","13,269.0","14,104.0","12,166.0","9,324.0","11,310.0","12,456.0","13,103.0","12,468.0","13,878.0","16,693.0","15,959.0","15,677.0","16,865.0","18,676.0","22,260.0","26,386.0","27,463.0","29,725.0","30,003.0","29,133.0","29,892.0","25,435.0","22,973.0","22,743.0","23,219.0","26,087.0","27,581.0","28,460.0","28,684.0","20,683.0","20,310.0","26,412.0","32,165.0","34,896.0"
"32","14","    Special industry machinery, n.e.c.","C272RC1","3,745.0","3,921.0","3,791.0","4,216.0","4,840.0","5,356.0","5,162.0","5,524.0","6,130.0","8,246.0","9,365.0","10,483.0","11,336.0","11,881.0","12,378.0","14,405.0","15,789.0","17,118.0","18,731.0","20,863.0","23,677.0","22,550.0","21,278.0","21,799.0","24,316.0","26,375.0","31,158.0","32,787.0","32,807.0","34,211.0","34,828.0","39,611.0","35,240.0","30,733.0","29,109.0","28,773.0","30,870.0","33,703.0","35,134.0","33,075.0","25,247.0","24,673.0","36,252.0","39,267.0","44,410.0"
"33","15","    General industrial, including materials handling, equipment","C273RC1","5,028.0","5,257.0","5,200.0","5,488.0","6,855.0","8,281.0","8,451.0","9,369.0","11,988.0","14,756.0","17,188.0","17,970.0","18,968.0","18,079.0","16,812.0","20,311.0","21,868.0","24,178.0","23,590.0","26,013.0","27,015.0","27,381.0","25,817.0","27,380.0","32,166.0","35,352.0","39,874.0","41,970.0","44,303.0","47,614.0","46,291.0","49,384.0","45,553.0","45,501.0","48,959.0","51,820.0","59,822.0","65,541.0","66,656.0","65,348.0","53,052.0","56,484.0","66,808.0","71,056.0","73,546.0"
"34","16","    Electrical transmission, distribution, and industrial apparatus","C276RC1","3,086.0","3,282.0","3,103.0","3,337.0","4,040.0","4,668.0","4,586.0","4,920.0","6,112.0","6,475.0","7,383.0","7,910.0","8,859.0","9,022.0","9,451.0","11,495.0","11,548.0","11,173.0","12,282.0","12,751.0","13,718.0","13,965.0","13,339.0","13,655.0","14,208.0","15,710.0","17,414.0","18,187.0","19,291.0","20,200.0","21,900.0","24,976.0","22,974.0","20,277.0","20,482.0","22,895.0","25,402.0","30,045.0","32,690.0","31,663.0","25,677.0","28,214.0","31,325.0","30,151.0","29,729.0"
"35","17","  Transportation equipment","A681RC1","18,890.0","16,242.0","18,412.0","21,849.0","26,560.0","26,279.0","25,168.0","29,989.0","39,277.0","47,322.0","53,639.0","48,385.0","50,556.0","46,821.0","53,511.0","64,407.0","68,953.0","70,470.0","68,065.0","72,861.0","67,918.0","69,960.0","71,531.0","74,715.0","89,425.0","107,732.0","116,077.0","123,151.0","135,531.0","147,146.0","174,359.0","170,785.0","154,216.0","141,567.0","134,106.0","159,160.0","179,557.0","194,261.0","188,843.0","146,155.0","70,565.0","127,494.0","173,897.0","211,445.0","228,164.0"
"36","18","    Trucks, buses, and truck trailers","C279RC1","7,158.0","6,208.0","7,248.0","9,434.0","11,214.0","11,612.0","9,188.0","12,128.0","16,209.0","19,932.0","21,826.0","17,097.0","18,134.0","17,777.0","20,831.0","28,184.0","32,003.0","28,413.0","28,763.0","29,124.0","28,518.0","23,723.0","22,025.0","26,262.0","37,179.0","51,030.0","58,758.0","65,060.0","73,687.0","80,338.0","90,851.0","83,451.0","66,679.0","62,502.0","65,949.0","86,546.0","102,016.0","112,320.0","96,793.0","64,290.0","23,826.0","58,453.0","89,662.0","103,442.0","117,364.0"
"37","19","      Light trucks (including utility vehicles) \2\","W178RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,691.0","11,979.0","10,755.0","9,713.0","9,870.0","10,168.0","15,242.0","25,901.0","29,789.0","39,419.0","49,850.0","50,247.0","56,565.0","53,737.0","45,594.0","41,130.0","44,909.0","57,495.0","66,491.0","72,888.0","66,052.0","39,027.0","4,752.0","33,581.0","55,052.0","63,543.0","77,523.0"
"38","20","      Other trucks, buses, and truck trailers \2\","W179RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,072.0","17,145.0","17,762.0","14,009.0","12,154.0","16,094.0","21,937.0","25,130.0","28,969.0","25,641.0","23,837.0","30,091.0","34,287.0","29,714.0","21,085.0","21,373.0","21,039.0","29,051.0","35,526.0","39,432.0","30,742.0","25,263.0","19,075.0","24,872.0","34,610.0","39,900.0","39,840.0"
"39","21","    Autos \2\","C280RC1","6,330.0","5,261.0","7,404.0","7,862.0","8,855.0","8,292.0","8,607.0","10,870.0","14,249.0","16,619.0","15,870.0","14,258.0","16,711.0","16,594.0","21,943.0","25,606.0","26,451.0","29,832.0","26,397.0","29,487.0","26,132.0","29,138.0","31,299.0","30,545.0","33,265.0","41,108.0","36,967.0","37,508.0","37,800.0","36,236.0","42,212.0","43,149.0","42,223.0","43,210.0","39,491.0","39,561.0","43,264.0","47,658.0","48,690.0","36,039.0","17,322.0","34,829.0","39,800.0","56,711.0","61,780.0"
"40","22","    Aircraft","C281RC1","2,753.0","2,421.0","1,326.0","1,914.0","2,990.0","2,443.0","2,303.0","2,354.0","3,416.0","4,300.0","7,003.0","8,014.0","7,731.0","7,130.0","7,308.0","6,674.0","7,217.0","9,000.0","9,719.0","10,449.0","8,475.0","12,116.0","13,417.0","13,721.0","13,386.0","9,114.0","13,274.0","12,914.0","15,511.0","20,989.0","30,813.0","33,515.0","36,608.0","27,240.0","20,009.0","23,271.0","22,508.0","21,397.0","28,297.0","29,367.0","17,703.0","22,305.0","28,964.0","33,096.0","33,294.0"
"41","23","    Ships and boats","C282RC1","856.0","889.0","861.0","1,102.0","1,683.0","1,567.0","2,273.0","2,271.0","2,501.0","2,586.0","3,215.0","3,460.0","4,451.0","3,129.0","1,934.0","1,711.0","1,294.0","1,476.0","1,825.0","1,602.0","1,485.0","1,554.0","1,598.0","1,177.0","2,158.0","1,840.0","1,797.0","2,312.0","2,715.0","2,891.0","2,975.0","3,499.0","3,233.0","3,827.0","4,239.0","4,844.0","4,766.0","4,472.0","5,960.0","6,885.0","5,166.0","5,247.0","4,898.0","5,373.0","6,260.0"
"42","24","    Railroad equipment","C283RC1","1,793.0","1,463.0","1,573.0","1,537.0","1,818.0","2,365.0","2,797.0","2,366.0","2,902.0","3,885.0","5,725.0","5,556.0","3,529.0","2,191.0","1,495.0","2,232.0","1,988.0","1,749.0","1,361.0","2,199.0","3,308.0","3,429.0","3,192.0","3,010.0","3,437.0","4,640.0","5,281.0","5,357.0","5,818.0","6,692.0","7,508.0","7,171.0","5,473.0","4,788.0","4,418.0","4,938.0","7,003.0","8,414.0","9,103.0","9,574.0","6,548.0","6,660.0","10,573.0","12,823.0","9,466.0"
"43","25","  Other equipment","A682RC1","14,931.0","16,184.0","16,706.0","19,397.0","23,691.0","26,516.0","28,643.0","31,281.0","37,784.0","45,592.0","52,074.0","52,224.0","59,326.0","53,209.0","52,034.0","60,046.0","61,696.0","62,488.0","66,450.0","71,991.0","83,014.0","83,071.0","72,926.0","73,961.0","84,145.0","92,348.0","99,858.0","105,814.0","116,890.0","129,456.0","133,740.0","142,121.0","142,057.0","142,408.0","153,829.0","169,611.0","192,822.0","207,612.0","211,765.0","212,050.0","174,183.0","188,885.0","208,537.0","221,458.0","235,830.0"
"44","26","    Furniture and fixtures","A667RC1","2,700.0","2,730.0","2,640.0","3,392.0","3,864.0","3,948.0","3,685.0","4,200.0","5,596.0","6,852.0","7,987.0","9,017.0","9,963.0","11,043.0","12,162.0","14,491.0","15,668.0","16,692.0","18,387.0","18,751.0","21,627.0","21,002.0","18,866.0","20,902.0","21,384.0","22,557.0","24,455.0","25,545.0","29,785.0","33,600.0","36,526.0","39,496.0","37,389.0","36,032.0","36,761.0","38,817.0","42,642.0","43,980.0","42,117.0","41,526.0","31,520.0","31,512.0","35,678.0","36,688.0","38,256.0"
"45","27","    Agricultural machinery","C268RC1","3,432.0","4,010.0","3,918.0","4,797.0","6,391.0","6,807.0","8,546.0","8,834.0","9,464.0","10,734.0","12,749.0","11,600.0","12,611.0","9,513.0","8,456.0","9,121.0","7,302.0","6,814.0","7,179.0","9,762.0","11,985.0","13,597.0","11,430.0","10,202.0","11,864.0","13,428.0","13,946.0","14,088.0","16,245.0","17,002.0","12,625.0","13,991.0","14,983.0","17,353.0","19,075.0","21,563.0","23,565.0","22,557.0","23,158.0","27,283.0","28,804.0","27,190.0","30,983.0","25,388.0","26,452.0"
"46","28","    Construction machinery","C269RC1","2,863.0","2,880.0","3,003.0","3,749.0","4,629.0","5,512.0","5,478.0","5,632.0","8,083.0","10,641.0","10,831.0","9,343.0","9,667.0","6,467.0","7,261.0","9,961.0","10,892.0","10,803.0","10,445.0","10,565.0","13,571.0","14,055.0","9,414.0","9,416.0","12,215.0","13,985.0","15,835.0","18,062.0","19,529.0","22,330.0","22,992.0","23,502.0","20,963.0","19,554.0","20,848.0","24,745.0","31,849.0","37,149.0","36,013.0","34,840.0","20,216.0","31,286.0","32,616.0","50,070.0","61,435.0"
"47","29","    Mining and oilfield machinery","C270RC1","668.0","932.0","1,084.0","904.0","1,140.0","1,700.0","2,656.0","3,001.0","3,558.0","3,648.0","3,884.0","4,498.0","7,640.0","5,552.0","3,200.0","2,815.0","2,466.0","1,317.0","1,231.0","1,532.0","1,853.0","1,753.0","1,448.0","1,297.0","2,505.0","2,472.0","2,535.0","2,696.0","3,587.0","3,625.0","5,329.0","5,336.0","6,239.0","4,107.0","5,128.0","6,147.0","8,743.0","13,267.0","18,080.0","18,930.0","15,603.0","17,648.0","22,612.0","24,531.0","22,540.0"
"48","30","    Service industry machinery","C570RC1","2,576.0","2,665.0","2,814.0","2,874.0","3,139.0","3,252.0","3,116.0","3,656.0","4,193.0","5,045.0","5,921.0","6,457.0","6,970.0","7,345.0","7,646.0","9,128.0","9,937.0","10,188.0","11,210.0","11,734.0","12,855.0","11,695.0","11,238.0","11,060.0","11,894.0","13,149.0","14,170.0","14,820.0","14,781.0","16,775.0","18,313.0","19,046.0","19,899.0","19,480.0","20,382.0","21,856.0","24,257.0","25,178.0","26,476.0","25,481.0","23,948.0","26,843.0","28,858.0","30,348.0","30,999.0"
"49","31","    Electrical equipment, n.e.c.","A670RC1","443.0","508.0","525.0","624.0","759.0","838.0","853.0","1,044.0","1,070.0","1,635.0","2,063.0","2,466.0","2,807.0","2,360.0","2,467.0","2,757.0","2,944.0","3,111.0","3,246.0","3,604.0","3,604.0","3,298.0","2,766.0","2,857.0","2,853.0","3,026.0","3,321.0","3,222.0","3,631.0","4,297.0","4,123.0","4,318.0","4,662.0","4,977.0","5,214.0","6,255.0","5,984.0","5,985.0","5,260.0","5,356.0","4,092.0","4,484.0","4,521.0","4,479.0","4,668.0"
"50","32","    Other","C286RC1","2,249.0","2,459.0","2,722.0","3,057.0","3,769.0","4,459.0","4,309.0","4,914.0","5,820.0","7,037.0","8,639.0","8,843.0","9,668.0","10,929.0","10,842.0","11,773.0","12,487.0","13,563.0","14,752.0","16,043.0","17,519.0","17,671.0","17,764.0","18,227.0","21,430.0","23,731.0","25,596.0","27,381.0","29,332.0","31,827.0","33,832.0","36,432.0","37,922.0","40,905.0","46,421.0","50,228.0","55,782.0","59,496.0","60,661.0","58,634.0","50,000.0","49,922.0","53,269.0","49,954.0","51,480.0"
"51","33","  Less: Sale of equipment scrap, excluding autos","C287RC1","530.0","619.0","444.0","445.0","1,072.0","2,208.0","1,279.0","1,662.0","1,527.0","2,351.0","4,161.0","3,900.0","4,134.0","2,056.0","1,639.0","1,896.0","1,799.0","1,826.0","2,499.0","2,973.0","2,815.0","2,847.0","2,124.0","2,006.0","3,991.0","4,281.0","5,136.0","4,844.0","4,774.0","4,049.0","3,358.0","3,524.0","2,564.0","2,802.0","3,360.0","6,890.0","6,867.0","9,653.0","12,184.0","17,202.0","8,590.0","14,173.0","12,344.0","11,015.0","10,574.0"
"52","34","Residential equipment","B013RC1","1,010.0","1,121.0","1,278.0","1,536.0","1,739.0","1,881.0","1,919.0","2,122.0","2,397.0","2,734.0","3,167.0","3,376.0","3,615.0","3,689.0","4,220.0","4,715.0","5,056.0","5,499.0","5,805.0","6,061.0","6,149.0","6,008.0","5,748.0","5,921.0","6,071.0","6,227.0","6,327.0","6,330.0","6,269.0","6,670.0","7,253.0","7,698.0","7,842.0","8,026.0","8,285.0","8,983.0","9,623.0","10,038.0","9,877.0","9,339.0","8,316.0","8,349.0","8,577.0","8,849.0","9,147.0"
"53",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","35","  Private fixed investment in equipment","Y032RC1","66,173.0","67,525.0","70,337.0","80,421.0","96,801.0","106,197.0","109,534.0","123,364.0","151,062.0","183,368.0","211,229.0","219,762.0","244,467.0","238,551.0","250,690.0","296,589.0","312,961.0","323,192.0","326,724.0","352,877.0","378,309.0","377,899.0","366,597.0","387,620.0","431,212.0","482,607.0","534,455.0","571,639.0","617,128.0","666,684.0","720,879.0","773,786.0","719,359.0","667,666.0","677,256.0","728,176.0","800,318.0","866,172.0","895,650.0","834,488.0","652,624.0","740,181.0","846,813.0","912,912.0","958,866.0"
"55","36","  Less: Dealers' margin on used equipment","B549RC1","549.0","554.0","608.0","707.0","779.0","829.0","859.0","976.0","1,090.0","1,492.0","1,813.0","2,090.0","2,483.0","2,679.0","2,676.0","3,052.0","3,153.0","3,290.0","3,486.0","3,986.0","4,421.0","4,676.0","4,258.0","4,323.0","5,040.0","5,630.0","6,343.0","6,955.0","8,308.0","9,810.0","11,533.0","12,484.0","13,138.0","13,445.0","12,791.0","13,414.0","13,880.0","13,989.0","13,681.0","12,594.0","10,780.0","12,193.0","15,641.0","16,458.0","16,961.0"
"56","37","  Less: Net purchases of used equipment from government","B550RC1","100.0","109.0","116.0","130.0","158.0","203.0","234.0","253.0","298.0","354.0","409.0","453.0","495.0","489.0","262.0","302.0","314.0","336.0","383.0","357.0","373.0","279.0","368.0","344.0","347.0","360.0","348.0","328.0","387.0","649.0","436.0","480.0","515.0","562.0","547.0","488.0","474.0","430.0","375.0","413.0","459.0","463.0","459.0","458.0","453.0"
