"","Table 1#17#5# Gross Domestic Product, Gross Domestic Income, and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"21","1","    Gross domestic product","A191RC1","995,419.0","1,011,361.0","1,032,016.0","1,040,741.0","1,053,528.0","1,070,110.0","1,088,461.0","1,091,462.0","1,137,812.0","1,159,355.0","1,180,313.0","1,193,585.0","1,233,807.0","1,270,122.0","1,293,837.0","1,332,023.0","1,380,680.0","1,417,595.0","1,436,813.0","1,479,069.0","1,494,654.0","1,534,220.0","1,563,396.0","1,603,004.0","1,619,553.0","1,656,448.0","1,713,812.0","1,765,867.0","1,824,509.0","1,856,944.0","1,890,500.0","1,938,413.0","1,992,534.0","2,060,165.0","2,122,387.0","2,168,716.0","2,208,688.0","2,336,563.0","2,398,866.0","2,482,159.0","2,531,555.0","2,595,909.0","2,670,388.0","2,730,705.0","2,796,523.0","2,799,938.0","2,860,044.0","2,993,525.0","3,131,799.0","3,167,251.0","3,261,203.0","3,283,536.0","3,273,809.0","3,331,281.0","3,367,072.0","3,407,810.0","3,480,321.0","3,583,844.0","3,692,257.0","3,796,121.0","3,912,774.0","4,015,000.0","4,087,378.0","4,147,606.0","4,237,010.0","4,302,297.0","4,394,563.0","4,453,105.0","4,516,344.0","4,555,245.0","4,619,627.0","4,669,396.0","4,736,231.0","4,821,459.0","4,900,509.0","5,022,670.0","5,090,615.0","5,207,707.0","5,299,486.0","5,412,713.0","5,527,352.0","5,628,429.0","5,711,556.0","5,763,444.0","5,890,835.0","5,974,665.0","6,029,504.0","6,023,332.0","6,054,867.0","6,143,612.0","6,218,425.0","6,279,296.0","6,380,798.0","6,492,299.0","6,586,548.0","6,697,553.0","6,748,182.0","6,829,594.0","6,904,222.0","7,032,844.0","7,136,259.0","7,269,847.0","7,352,255.0","7,476,661.0","7,545,296.0","7,604,923.0","7,706,531.0","7,799,493.0","7,893,146.0","8,061,535.0","8,159,043.0","8,287,078.0","8,402,060.0","8,551,940.0","8,691,756.0","8,788,320.0","8,889,732.0","8,994,738.0","9,146,521.0","9,325,650.0","9,447,103.0","9,557,005.0","9,712,280.0","9,926,101.0","10,031,031.0","10,278,340.0","10,357,445.0","10,472,285.0","10,508,121.0","10,638,384.0","10,639,486.0","10,701,317.0","10,834,445.0","10,934,752.0","11,037,057.0","11,103,834.0","11,230,078.0","11,370,653.0","11,625,137.0","11,816,827.0","11,988,403.0","12,181,398.0","12,367,744.0","12,562,163.0","12,813,729.0","12,974,083.0","13,205,445.0","13,381,629.0","13,648,904.0","13,799,794.0","13,908,498.0","14,066,370.0","14,233,226.0","14,422,313.0","14,569,675.0","14,685,330.0","14,668,445.0","14,812,974.0","14,842,983.0","14,549,949.0","14,383,885.0","14,340,417.0","14,384,145.0","14,566,511.0","14,681,063.0","14,888,600.0","15,057,660.0","15,230,208.0","15,238,371.0","15,460,926.0","15,587,125.0","15,785,312.0","15,956,499.0","16,094,664.0","16,268,935.0","16,332,500.0","16,502,403.0","16,619,165.0","16,872,334.0","17,078,294.0","17,043,989.0","17,328,241.0","17,599,753.0","17,703,673.0"
"22","2","    Gross domestic income","A261RC1","989,849.0","1,009,426.0","1,031,186.0","1,042,612.0","1,049,816.0","1,064,391.0","1,081,973.0","1,085,965.0","1,124,544.0","1,146,843.0","1,168,515.0","1,193,239.0","1,229,187.0","1,252,557.0","1,284,886.0","1,334,631.0","1,374,259.0","1,402,855.0","1,434,376.0","1,478,278.0","1,494,724.0","1,524,136.0","1,560,019.0","1,586,830.0","1,604,274.0","1,642,094.0","1,705,102.0","1,751,289.0","1,806,322.0","1,836,090.0","1,873,548.0","1,912,555.0","1,960,983.0","2,039,308.0","2,104,092.0","2,162,401.0","2,208,176.0","2,315,265.0","2,369,410.0","2,440,819.0","2,507,654.0","2,554,592.0","2,611,966.0","2,675,204.0","2,732,785.0","2,740,675.0","2,824,435.0","2,976,411.0","3,074,534.0","3,132,456.0","3,233,318.0","3,256,654.0","3,275,494.0","3,328,217.0","3,362,970.0","3,386,260.0","3,451,680.0","3,534,177.0","3,620,048.0","3,730,009.0","3,874,318.0","3,970,031.0","4,046,270.0","4,117,630.0","4,201,820.0","4,258,648.0","4,335,843.0","4,385,614.0","4,451,878.0","4,481,534.0","4,529,526.0","4,590,703.0","4,670,621.0","4,776,541.0","4,883,208.0","4,988,272.0","5,088,251.0","5,197,311.0","5,305,278.0","5,421,561.0","5,517,202.0","5,563,303.0","5,625,041.0","5,668,522.0","5,790,947.0","5,883,925.0","5,930,862.0","5,947,206.0","5,998,662.0","6,055,565.0","6,116,196.0","6,172,223.0","6,307,059.0","6,399,120.0","6,450,039.0","6,557,367.0","6,567,654.0","6,688,954.0","6,740,767.0","6,908,165.0","6,979,068.0","7,124,379.0","7,230,427.0","7,353,881.0","7,430,915.0","7,506,751.0","7,634,931.0","7,721,404.0","7,847,667.0","7,995,993.0","8,094,138.0","8,236,720.0","8,382,733.0","8,504,449.0","8,677,560.0","8,820,143.0","8,928,914.0","9,075,842.0","9,239,152.0","9,353,397.0","9,516,676.0","9,607,814.0","9,731,793.0","9,936,236.0","10,216,595.0","10,331,418.0","10,475,701.0","10,513,287.0","10,701,802.0","10,757,808.0","10,754,640.0","10,732,975.0","10,906,585.0","11,014,435.0","11,077,913.0","11,202,222.0","11,289,076.0","11,430,667.0","11,604,041.0","11,773,430.0","11,966,636.0","12,195,798.0","12,410,728.0","12,560,892.0","12,800,763.0","12,986,120.0","13,222,993.0","13,506,944.0","13,870,998.0","14,003,737.0","14,157,219.0","14,260,722.0","14,384,610.0","14,485,848.0","14,456,394.0","14,513,724.0","14,621,933.0","14,683,362.0","14,718,741.0","14,452,694.0","14,266,625.0","14,244,232.0","14,309,902.0","14,552,897.0","14,623,249.0","14,790,422.0","15,051,542.0","15,195,436.0","15,282,457.0","15,467,703.0","15,661,821.0","15,813,061.0","16,175,642.0","16,276,337.0","16,403,513.0","16,633,822.0","16,752,740.0","16,909,328.0","17,059,981.0","17,197,826.0","17,221,450.0","17,481,706.0","17,765,450.0","17,910,917.0"
"23","3","    Net domestic product \1\","A362RC1","874,962.0","887,899.0","905,728.0","911,496.0","921,346.0","934,897.0","950,168.0","950,019.0","993,243.0","1,011,827.0","1,030,000.0","1,040,533.0","1,077,680.0","1,111,100.0","1,131,449.0","1,165,974.0","1,210,438.0","1,242,518.0","1,256,383.0","1,292,500.0","1,301,028.0","1,332,614.0","1,353,049.0","1,383,914.0","1,391,873.0","1,421,485.0","1,472,717.0","1,519,458.0","1,573,738.0","1,601,139.0","1,628,781.0","1,669,869.0","1,716,358.0","1,776,064.0","1,830,201.0","1,867,845.0","1,898,763.0","2,016,877.0","2,068,883.0","2,141,500.0","2,179,361.0","2,231,433.0","2,293,050.0","2,340,186.0","2,392,307.0","2,381,470.0","2,426,859.0","2,545,361.0","2,668,480.0","2,688,991.0","2,768,807.0","2,777,329.0","2,754,258.0","2,800,214.0","2,827,079.0","2,861,158.0","2,929,013.0","3,027,238.0","3,128,877.0","3,225,232.0","3,332,759.0","3,425,750.0","3,488,405.0","3,538,508.0","3,616,934.0","3,671,409.0","3,752,428.0","3,799,591.0","3,851,391.0","3,878,647.0","3,931,809.0","3,970,113.0","4,026,415.0","4,100,230.0","4,166,812.0","4,275,604.0","4,329,032.0","4,432,080.0","4,510,124.0","4,609,737.0","4,710,946.0","4,798,697.0","4,868,766.0","4,907,931.0","5,022,591.0","5,093,914.0","5,136,232.0","5,118,284.0","5,137,631.0","5,215,846.0","5,281,826.0","5,336,396.0","5,433,369.0","5,537,718.0","5,623,533.0","5,723,679.0","5,762,399.0","5,831,853.0","5,894,925.0","6,011,272.0","6,103,090.0","6,223,081.0","6,289,823.0","6,396,738.0","6,445,775.0","6,488,845.0","6,575,272.0","6,655,216.0","6,737,133.0","6,893,190.0","6,976,706.0","7,089,694.0","7,187,820.0","7,320,282.0","7,443,290.0","7,522,866.0","7,607,785.0","7,694,596.0","7,827,178.0","7,985,998.0","8,086,906.0","8,171,922.0","8,299,506.0","8,480,710.0","8,549,860.0","8,769,422.0","8,829,305.0","8,933,555.0","8,937,311.0","9,039,659.0","9,023,533.0","9,070,890.0","9,194,277.0","9,282,240.0","9,367,781.0","9,417,515.0","9,528,114.0","9,654,164.0","9,890,132.0","10,061,404.0","10,205,148.0","10,368,228.0","10,521,663.0","10,677,873.0","10,891,704.0","11,014,753.0","11,204,517.0","11,336,087.0","11,566,691.0","11,680,724.0","11,755,746.0","11,876,329.0","12,005,787.0","12,168,647.0","12,293,205.0","12,385,504.0","12,340,701.0","12,459,972.0","12,463,284.0","12,156,900.0","11,998,248.0","11,973,467.0","12,028,979.0","12,200,739.0","12,311,235.0","12,513,654.0","12,675,197.0","12,831,080.0","12,818,987.0","13,018,015.0","13,124,575.0","13,307,585.0","13,456,777.0","13,572,927.0","13,728,011.0","13,774,143.0","13,916,956.0","14,006,420.0","14,232,086.0","14,407,775.0","14,345,275.0","14,605,983.0","14,849,328.0","14,930,274.0"
"24","4","    Net domestic income \1\","W256RC1","869,392.0","885,964.0","904,898.0","913,367.0","917,634.0","929,178.0","943,680.0","944,522.0","979,975.0","999,315.0","1,018,202.0","1,040,187.0","1,073,060.0","1,093,535.0","1,122,498.0","1,168,582.0","1,204,017.0","1,227,778.0","1,253,946.0","1,291,709.0","1,301,098.0","1,322,530.0","1,349,672.0","1,367,740.0","1,376,594.0","1,407,131.0","1,464,007.0","1,504,880.0","1,555,551.0","1,580,285.0","1,611,829.0","1,644,011.0","1,684,807.0","1,755,207.0","1,811,906.0","1,861,530.0","1,898,251.0","1,995,579.0","2,039,427.0","2,100,160.0","2,155,460.0","2,190,116.0","2,234,628.0","2,284,685.0","2,328,569.0","2,322,207.0","2,391,250.0","2,528,247.0","2,611,215.0","2,654,196.0","2,740,922.0","2,750,447.0","2,755,943.0","2,797,150.0","2,822,977.0","2,839,608.0","2,900,372.0","2,977,571.0","3,056,668.0","3,159,120.0","3,294,303.0","3,380,781.0","3,447,297.0","3,508,532.0","3,581,744.0","3,627,760.0","3,693,708.0","3,732,100.0","3,786,925.0","3,804,936.0","3,841,708.0","3,891,420.0","3,960,805.0","4,055,312.0","4,149,511.0","4,241,206.0","4,326,668.0","4,421,684.0","4,515,916.0","4,618,585.0","4,700,796.0","4,733,571.0","4,782,251.0","4,813,009.0","4,922,703.0","5,003,174.0","5,037,590.0","5,042,158.0","5,081,426.0","5,127,799.0","5,179,597.0","5,229,323.0","5,359,630.0","5,444,539.0","5,487,024.0","5,583,493.0","5,581,871.0","5,691,213.0","5,731,470.0","5,886,593.0","5,945,899.0","6,077,613.0","6,167,995.0","6,273,958.0","6,331,394.0","6,390,673.0","6,503,672.0","6,577,127.0","6,691,654.0","6,827,648.0","6,911,801.0","7,039,336.0","7,168,493.0","7,272,791.0","7,429,094.0","7,554,689.0","7,646,967.0","7,775,700.0","7,919,809.0","8,013,745.0","8,156,479.0","8,222,731.0","8,319,019.0","8,490,845.0","8,735,424.0","8,822,500.0","8,947,561.0","8,974,557.0","9,130,992.0","9,159,083.0","9,138,687.0","9,102,548.0","9,266,417.0","9,361,923.0","9,408,637.0","9,515,903.0","9,587,112.0","9,714,178.0","9,869,036.0","10,018,007.0","10,183,381.0","10,382,628.0","10,564,647.0","10,676,602.0","10,878,738.0","11,026,790.0","11,222,065.0","11,461,402.0","11,788,785.0","11,884,667.0","12,004,467.0","12,070,681.0","12,157,171.0","12,232,182.0","12,179,924.0","12,213,898.0","12,294,189.0","12,330,360.0","12,339,042.0","12,059,645.0","11,880,988.0","11,877,282.0","11,954,736.0","12,187,125.0","12,253,421.0","12,415,476.0","12,669,079.0","12,796,308.0","12,863,073.0","13,024,792.0","13,199,271.0","13,335,334.0","13,675,920.0","13,754,600.0","13,862,589.0","14,075,465.0","14,167,293.0","14,296,583.0","14,419,733.0","14,527,307.0","14,522,736.0","14,759,448.0","15,015,025.0","15,137,518.0"
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RC1","1,001,753.0","1,017,522.0","1,037,964.0","1,046,758.0","1,059,815.0","1,076,747.0","1,095,045.0","1,097,526.0","1,145,226.0","1,167,330.0","1,187,573.0","1,201,313.0","1,241,982.0","1,278,238.0","1,302,756.0","1,341,046.0","1,391,350.0","1,429,221.0","1,450,690.0","1,493,371.0","1,511,721.0","1,550,617.0","1,578,673.0","1,616,343.0","1,630,949.0","1,668,104.0","1,726,810.0","1,781,833.0","1,840,255.0","1,873,589.0","1,907,619.0","1,956,290.0","2,013,299.0","2,080,914.0","2,143,272.0","2,187,485.0","2,230,781.0","2,355,312.0","2,419,756.0","2,506,750.0","2,557,235.0","2,625,360.0","2,706,482.0","2,767,203.0","2,834,512.0","2,835,749.0","2,894,458.0","3,022,051.0","3,163,202.0","3,197,264.0","3,293,897.0","3,321,165.0","3,309,801.0","3,372,209.0","3,402,099.0","3,441,903.0","3,514,372.0","3,620,585.0","3,730,124.0","3,835,801.0","3,949,814.0","4,052,539.0","4,124,734.0","4,180,830.0","4,262,701.0","4,329,966.0","4,417,057.0","4,478,709.0","4,538,503.0","4,570,739.0","4,637,805.0","4,681,392.0","4,750,599.0","4,839,592.0","4,918,274.0","5,042,354.0","5,115,604.0","5,230,523.0","5,319,648.0","5,435,376.0","5,549,748.0","5,650,095.0","5,735,852.0","5,794,243.0","5,920,354.0","6,006,289.0","6,056,641.0","6,073,819.0","6,094,324.0","6,172,170.0","6,243,535.0","6,312,517.0","6,413,531.0","6,524,355.0","6,615,758.0","6,727,862.0","6,786,195.0","6,861,074.0","6,941,236.0","7,054,328.0","7,164,520.0","7,293,621.0","7,374,445.0","7,497,896.0","7,575,946.0","7,638,350.0","7,726,169.0","7,830,808.0","7,931,307.0","8,091,463.0","8,185,790.0","8,319,370.0","8,426,000.0","8,583,410.0","8,715,613.0","8,805,461.0","8,915,910.0","9,018,065.0","9,156,910.0","9,338,694.0","9,469,190.0","9,584,391.0","9,736,818.0","9,960,617.0","10,061,805.0","10,312,162.0","10,386,733.0","10,526,429.0","10,548,624.0","10,688,094.0","10,666,313.0","10,791,492.0","10,885,632.0","10,967,297.0","11,083,887.0","11,167,667.0","11,280,154.0","11,434,533.0","11,689,098.0","11,907,365.0","12,097,338.0","12,265,292.0","12,462,379.0","12,631,227.0","12,916,616.0","13,065,837.0","13,307,778.0","13,454,932.0","13,724,340.0","13,870,157.0","13,965,553.0","14,133,920.0","14,301,854.0","14,512,945.0","14,717,814.0","14,880,255.0","14,848,718.0","14,997,477.0","15,045,188.0","14,671,011.0","14,512,300.0","14,465,085.0","14,563,620.0","14,738,145.0","14,884,660.0","15,093,912.0","15,257,384.0","15,445,447.0","15,466,496.0","15,692,002.0","15,842,639.0","16,057,149.0","16,195,021.0","16,324,985.0","16,484,000.0","16,558,041.0","16,711,222.0","16,834,039.0","17,103,100.0","17,321,152.0","17,254,998.0","17,541,714.0","17,829,629.0","17,896,174.0"
"27","6","    Gross national income","A023RC1","996,183.0","1,015,587.0","1,037,134.0","1,048,629.0","1,056,103.0","1,071,028.0","1,088,557.0","1,092,029.0","1,131,958.0","1,154,818.0","1,175,775.0","1,200,967.0","1,237,362.0","1,260,673.0","1,293,805.0","1,343,654.0","1,384,929.0","1,414,481.0","1,448,253.0","1,492,580.0","1,511,791.0","1,540,533.0","1,575,296.0","1,600,169.0","1,615,670.0","1,653,750.0","1,718,100.0","1,767,255.0","1,822,068.0","1,852,735.0","1,890,667.0","1,930,432.0","1,981,748.0","2,060,057.0","2,124,977.0","2,181,170.0","2,230,269.0","2,334,014.0","2,390,300.0","2,465,410.0","2,533,334.0","2,584,043.0","2,648,060.0","2,711,702.0","2,770,774.0","2,776,486.0","2,858,849.0","3,004,937.0","3,105,937.0","3,162,469.0","3,266,012.0","3,294,283.0","3,311,486.0","3,369,145.0","3,397,997.0","3,420,353.0","3,485,731.0","3,570,918.0","3,657,915.0","3,769,689.0","3,911,358.0","4,007,570.0","4,083,626.0","4,150,854.0","4,227,511.0","4,286,317.0","4,358,337.0","4,411,218.0","4,474,037.0","4,497,028.0","4,547,704.0","4,602,699.0","4,684,989.0","4,794,674.0","4,900,973.0","5,007,956.0","5,113,240.0","5,220,127.0","5,325,440.0","5,444,224.0","5,539,598.0","5,584,969.0","5,649,337.0","5,699,321.0","5,820,466.0","5,915,549.0","5,957,999.0","5,997,693.0","6,038,119.0","6,084,123.0","6,141,306.0","6,205,444.0","6,339,792.0","6,431,176.0","6,479,249.0","6,587,676.0","6,605,667.0","6,720,434.0","6,777,781.0","6,929,649.0","7,007,329.0","7,148,153.0","7,252,617.0","7,375,116.0","7,461,565.0","7,540,178.0","7,654,569.0","7,752,719.0","7,885,828.0","8,025,921.0","8,120,885.0","8,269,012.0","8,406,673.0","8,535,919.0","8,701,417.0","8,837,284.0","8,955,092.0","9,099,169.0","9,249,541.0","9,366,441.0","9,538,763.0","9,635,200.0","9,756,331.0","9,970,752.0","10,247,369.0","10,365,240.0","10,504,989.0","10,567,431.0","10,742,305.0","10,807,518.0","10,781,467.0","10,823,150.0","10,957,772.0","11,046,980.0","11,124,743.0","11,266,055.0","11,339,152.0","11,494,547.0","11,668,002.0","11,863,968.0","12,075,571.0","12,279,692.0","12,505,363.0","12,629,956.0","12,903,650.0","13,077,874.0","13,325,326.0","13,580,247.0","13,946,434.0","14,074,100.0","14,214,274.0","14,328,272.0","14,453,238.0","14,576,480.0","14,604,533.0","14,708,649.0","14,802,206.0","14,867,865.0","14,920,946.0","14,573,756.0","14,395,040.0","14,368,900.0","14,489,377.0","14,724,531.0","14,826,846.0","14,995,734.0","15,251,266.0","15,410,675.0","15,510,582.0","15,698,779.0","15,917,335.0","16,084,898.0","16,414,164.0","16,506,658.0","16,618,578.0","16,859,363.0","16,961,559.0","17,124,202.0","17,290,747.0","17,440,684.0","17,432,459.0","17,695,179.0","17,995,326.0","18,103,418.0"
"28","7","    Net national product \1\","A027RC1","881,296.0","894,060.0","911,676.0","917,513.0","927,633.0","941,534.0","956,752.0","956,083.0","1,000,657.0","1,019,802.0","1,037,260.0","1,048,261.0","1,085,855.0","1,119,216.0","1,140,368.0","1,174,997.0","1,221,108.0","1,254,144.0","1,270,260.0","1,306,802.0","1,318,095.0","1,349,011.0","1,368,326.0","1,397,253.0","1,403,269.0","1,433,141.0","1,485,715.0","1,535,424.0","1,589,484.0","1,617,784.0","1,645,900.0","1,687,746.0","1,737,123.0","1,796,813.0","1,851,086.0","1,886,614.0","1,920,856.0","2,035,626.0","2,089,773.0","2,166,091.0","2,205,041.0","2,260,884.0","2,329,144.0","2,376,684.0","2,430,296.0","2,417,281.0","2,461,273.0","2,573,887.0","2,699,883.0","2,719,004.0","2,801,501.0","2,814,958.0","2,790,250.0","2,841,142.0","2,862,106.0","2,895,251.0","2,963,064.0","3,063,979.0","3,166,744.0","3,264,912.0","3,369,799.0","3,463,289.0","3,525,761.0","3,571,732.0","3,642,625.0","3,699,078.0","3,774,922.0","3,825,195.0","3,873,550.0","3,894,141.0","3,949,987.0","3,982,109.0","4,040,783.0","4,118,363.0","4,184,577.0","4,295,288.0","4,354,021.0","4,454,896.0","4,530,286.0","4,632,400.0","4,733,342.0","4,820,363.0","4,893,062.0","4,938,730.0","5,052,110.0","5,125,538.0","5,163,369.0","5,168,771.0","5,177,088.0","5,244,404.0","5,306,936.0","5,369,617.0","5,466,102.0","5,569,774.0","5,652,743.0","5,753,988.0","5,800,412.0","5,863,333.0","5,931,939.0","6,032,756.0","6,131,351.0","6,246,855.0","6,312,013.0","6,417,973.0","6,476,425.0","6,522,272.0","6,594,910.0","6,686,531.0","6,775,294.0","6,923,118.0","7,003,453.0","7,121,986.0","7,211,760.0","7,351,752.0","7,467,147.0","7,540,007.0","7,633,963.0","7,717,923.0","7,837,567.0","7,999,042.0","8,108,993.0","8,199,308.0","8,324,044.0","8,515,226.0","8,580,634.0","8,803,244.0","8,858,593.0","8,987,699.0","8,977,814.0","9,089,369.0","9,050,360.0","9,161,065.0","9,245,464.0","9,314,785.0","9,414,611.0","9,481,348.0","9,578,190.0","9,718,044.0","9,954,093.0","10,151,942.0","10,314,083.0","10,452,122.0","10,616,298.0","10,746,937.0","10,994,591.0","11,106,507.0","11,306,850.0","11,409,390.0","11,642,127.0","11,751,087.0","11,812,801.0","11,943,879.0","12,074,415.0","12,259,279.0","12,441,344.0","12,580,429.0","12,520,974.0","12,644,475.0","12,665,489.0","12,277,962.0","12,126,663.0","12,098,135.0","12,208,454.0","12,372,373.0","12,514,832.0","12,718,966.0","12,874,921.0","13,046,319.0","13,047,112.0","13,249,091.0","13,380,089.0","13,579,422.0","13,695,299.0","13,803,248.0","13,943,076.0","13,999,684.0","14,125,775.0","14,221,294.0","14,462,852.0","14,650,633.0","14,556,284.0","14,819,456.0","15,079,204.0","15,122,775.0"
"29","8","    National income \2\","A032RC1","875,726.0","892,125.0","910,846.0","919,384.0","923,921.0","935,815.0","950,264.0","950,586.0","987,389.0","1,007,290.0","1,025,462.0","1,047,915.0","1,081,235.0","1,101,651.0","1,131,417.0","1,177,605.0","1,214,687.0","1,239,404.0","1,267,823.0","1,306,011.0","1,318,165.0","1,338,927.0","1,364,949.0","1,381,079.0","1,387,990.0","1,418,787.0","1,477,005.0","1,520,846.0","1,571,297.0","1,596,930.0","1,628,948.0","1,661,888.0","1,705,572.0","1,775,956.0","1,832,791.0","1,880,299.0","1,920,344.0","2,014,328.0","2,060,317.0","2,124,751.0","2,181,140.0","2,219,567.0","2,270,722.0","2,321,183.0","2,366,558.0","2,358,018.0","2,425,664.0","2,556,773.0","2,642,618.0","2,684,209.0","2,773,616.0","2,788,076.0","2,791,935.0","2,838,078.0","2,858,004.0","2,873,701.0","2,934,423.0","3,014,312.0","3,094,535.0","3,198,800.0","3,331,343.0","3,418,320.0","3,484,653.0","3,541,756.0","3,607,435.0","3,655,429.0","3,716,202.0","3,757,704.0","3,809,084.0","3,820,430.0","3,859,886.0","3,903,416.0","3,975,173.0","4,073,445.0","4,167,276.0","4,260,890.0","4,351,657.0","4,444,500.0","4,536,078.0","4,641,248.0","4,723,192.0","4,755,237.0","4,806,547.0","4,843,808.0","4,952,222.0","5,034,798.0","5,064,727.0","5,092,645.0","5,120,883.0","5,156,357.0","5,204,707.0","5,262,544.0","5,392,363.0","5,476,595.0","5,516,234.0","5,613,802.0","5,619,884.0","5,722,693.0","5,768,484.0","5,908,077.0","5,974,160.0","6,101,387.0","6,190,185.0","6,295,193.0","6,362,044.0","6,424,100.0","6,523,310.0","6,608,442.0","6,729,815.0","6,857,576.0","6,938,548.0","7,071,628.0","7,192,433.0","7,304,261.0","7,452,951.0","7,571,830.0","7,673,145.0","7,799,027.0","7,930,198.0","8,026,789.0","8,178,566.0","8,250,117.0","8,343,557.0","8,525,361.0","8,766,198.0","8,856,322.0","8,976,849.0","9,028,701.0","9,171,495.0","9,208,793.0","9,165,514.0","9,192,723.0","9,317,604.0","9,394,468.0","9,455,467.0","9,579,736.0","9,637,188.0","9,778,058.0","9,932,997.0","10,108,545.0","10,292,316.0","10,466,522.0","10,659,282.0","10,745,666.0","10,981,625.0","11,118,544.0","11,324,398.0","11,534,705.0","11,864,221.0","11,955,030.0","12,061,522.0","12,138,231.0","12,225,799.0","12,322,814.0","12,328,063.0","12,408,823.0","12,474,462.0","12,514,863.0","12,541,247.0","12,180,707.0","12,009,403.0","12,001,950.0","12,134,211.0","12,358,759.0","12,457,018.0","12,620,788.0","12,868,803.0","13,011,547.0","13,091,198.0","13,255,868.0","13,454,785.0","13,607,171.0","13,914,442.0","13,984,921.0","14,077,654.0","14,301,006.0","14,376,112.0","14,511,457.0","14,650,499.0","14,770,165.0","14,733,745.0","14,972,921.0","15,244,901.0","15,330,019.0"
"30",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
