"","Table 1#1#6# Real Gross Domestic Product, Chained Dollars       ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"1","[Millions of chained (2009) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published March 27, 2015    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2015 4:49:52 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Gross domestic product","A191RX1","4,712,483.0","4,722,012.0","4,877,625.0","5,134,347.0","5,424,084.0","5,396,034.0","5,385,367.0","5,675,427.0","5,936,985.0","6,267,181.0","6,466,208.0","6,450,392.0","6,617,745.0","6,491,287.0","6,791,993.0","7,285,030.0","7,593,823.0","7,860,489.0","8,132,599.0","8,474,492.0","8,786,397.0","8,955,041.0","8,948,406.0","9,266,558.0","9,521,004.0","9,905,428.0","10,174,755.0","10,560,976.0","11,034,850.0","11,525,891.0","12,065,902.0","12,559,660.0","12,682,240.0","12,908,761.0","13,271,081.0","13,773,490.0","14,234,243.0","14,613,817.0","14,873,734.0","14,830,359.0","14,418,738.0","14,783,809.0","15,020,565.0","15,369,205.0","15,710,295.0","16,085,587.0"
"20","2","Personal consumption expenditures","DPCERX1","2,836,243.0","2,903,032.0","3,013,823.0","3,198,665.0","3,357,236.0","3,329,542.0","3,405,113.0","3,595,025.0","3,746,495.0","3,911,245.0","4,004,127.0","3,991,492.0","4,050,776.0","4,108,367.0","4,342,578.0","4,571,579.0","4,811,934.0","5,014,021.0","5,183,626.0","5,400,455.0","5,558,068.0","5,672,646.0","5,685,604.0","5,896,535.0","6,101,371.0","6,338,017.0","6,527,582.0","6,755,608.0","7,009,883.0","7,384,729.0","7,775,909.0","8,170,682.0","8,382,636.0","8,598,775.0","8,867,559.0","9,208,180.0","9,531,811.0","9,821,691.0","10,041,554.0","10,007,182.0","9,846,969.0","10,036,322.0","10,263,452.0","10,449,674.0","10,699,696.0","10,969,013.0"
"21","3","  Goods","DGDSRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,460,874.0","2,588,250.0","2,666,644.0","2,770,177.0","2,904,451.0","3,051,921.0","3,177,160.0","3,292,529.0","3,381,763.0","3,297,792.0","3,198,444.0","3,308,651.0","3,411,777.0","3,506,529.0","3,625,973.0","3,750,860.0"
"22","4","    Durable goods","DDURRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","698,312.0","758,332.0","798,016.0","856,587.0","917,639.0","992,924.0","1,046,946.0","1,091,545.0","1,141,662.0","1,083,235.0","1,023,318.0","1,085,658.0","1,151,531.0","1,235,721.0","1,319,021.0","1,410,047.0"
"23","5","    Nondurable goods","DNDGRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,805,974.0","1,863,598.0","1,896,024.0","1,931,107.0","1,998,542.0","2,063,650.0","2,132,331.0","2,202,167.0","2,239,326.0","2,214,659.0","2,175,126.0","2,223,535.0","2,263,186.0","2,280,135.0","2,322,600.0","2,364,833.0"
"24","6","  Services","DSERRX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","5,331,616.0","5,599,291.0","5,730,960.0","5,838,171.0","5,966,894.0","6,156,565.0","6,353,416.0","6,526,598.0","6,656,427.0","6,708,594.0","6,648,525.0","6,727,642.0","6,851,401.0","6,942,399.0","7,073,065.0","7,218,586.0"
"25","7","Gross private domestic investment","A006RX1","623,085.0","585,202.0","645,508.0","718,221.0","796,808.0","744,038.0","623,509.0","742,501.0","848,436.0","946,582.0","979,759.0","881,172.0","958,731.0","833,687.0","911,494.0","1,160,252.0","1,159,513.0","1,161,347.0","1,194,352.0","1,223,839.0","1,273,397.0","1,240,585.0","1,158,787.0","1,243,658.0","1,343,103.0","1,502,262.0","1,550,819.0","1,686,685.0","1,878,974.0","2,058,332.0","2,231,373.0","2,375,521.0","2,231,448.0","2,218,239.0","2,308,697.0","2,511,347.0","2,672,592.0","2,730,043.0","2,644,139.0","2,395,978.0","1,878,115.0","2,120,413.0","2,230,414.0","2,435,913.0","2,556,153.0","2,704,714.0"
"26","8","  Fixed investment","A007RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,165,903.0","2,316,219.0","2,280,015.0","2,201,149.0","2,289,484.0","2,443,860.0","2,610,951.0","2,662,480.0","2,609,597.0","2,432,589.0","2,025,684.0","2,056,155.0","2,186,659.0","2,368,004.0","2,479,169.0","2,611,659.0"
"27","9","    Nonresidential","A008RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,510,100.0","1,647,665.0","1,608,394.0","1,497,996.0","1,526,089.0","1,605,364.0","1,717,445.0","1,839,554.0","1,948,398.0","1,934,445.0","1,633,442.0","1,673,797.0","1,802,259.0","1,931,753.0","1,990,593.0","2,116,409.0"
