"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5"
"1","[Millions of dollars; quarterly totals not seasonally adjusted]                 ",NA,NA,NA,NA
"2","Annual data from 1968 To 1969",NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA
"4","Data published October 27, 2014  ",NA,NA,NA,NA
"5","File created 10/28/2014 2:37:52 PM",NA,NA,NA,NA
"6",NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA
"16",NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA
"18","Line",NA,NA,"1968","1969"
"19",NA,"      Current receipts"," ",NA,NA
"20","1","Budget receipts","M318011","153,671.0","187,792.0"
"21","2","Less: Coverage differences","M318021","4,119.0","5,055.0"
"22","3","  Contributions received by federal employee pension and insurance funds \1\","M318041","1,363.0","1,450.0"
"23","4","  Capital transfers received \2\","M318051","3,047.0","3,484.0"
"24","5","  Financial transactions","M318061","50.0","16.0"
"25","6","  Other \3\","M318071","-341.0","105.0"
"26","7","Less: Netting and grossing differences","M318081","-3,017.0","-3,897.0"
"27","8","  Supplementary medical insurance premiums","M318091",".....","....."
"28","9","  Interest receipts","W704MC1","-2,466.0","-2,458.0"
"29","10","  Current surplus of government enterprises","W705MC1","1,167.0","1,149.0"
"30","11","  Other \4\","M318111","-1,718.0","-2,588.0"
"31","12","Plus: Timing differences","M318121","3,109.0","-1,243.0"
"32","13","  Taxes on corporate income","M318131","2,224.0","-2,426.0"
"33","14","  Federal and state unemployment insurance taxes","M318141","-27.0","16.0"
"34","15","  Withheld personal income tax and social security contributions","M318151","895.0","1,082.0"
"35","16","  Excise taxes","M318161","-27.0","22.0"
"36","17","  Other","M318171","44.0","63.0"
"37","18","Equals: Federal government current receipts, NIPAs","M318181","155,678.0","185,391.0"
"38",NA,"      Current expenditures"," ",NA,NA
"39","19","Budget outlays","M318191","178,833.0","184,548.0"
"40","20","Less: Coverage differences","M318201","5,266.0","-1,889.0"
"41","21","  Federal employee pension and insurance fund transactions \1\","M318221","-14,285.0","-15,084.0"
"42","22","    Interest accrued","M318231","-10,302.0","-11,324.0"
"43","23","    Contributions accrued (employer)","M318241","-8,290.0","-8,685.0"
"44","24","    Benefits paid","M318251","4,303.0","4,921.0"
"45","25","    Administrative expenses","M318261","4.0","4.0"
"46","26","  Financing disbursements from credit programs \5\","M318271",".....","....."
"47","27","  Other differences in funds covered \6\","M318281","-1,778.0","-2,209.0"
"48","28","  Net investment \7\","M318291","8,617.0","6,200.0"
"49","29","  Capital transfers paid \8\","M318301","5,152.0","6,125.0"
