"","Table 2#9# Personal Income and Its Disposition by Households and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"1","[Millions of dollars]                                                           ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1992 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published October 27, 2014  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/27/2015 9:50:03 AM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Personal income","A065RC1","5,410,782.0","5,646,765.0","5,934,716.0","6,276,468.0","6,661,901.0","7,075,002.0","7,587,688.0","7,983,820.0","8,632,760.0","8,987,097.0","9,149,524.0","9,486,646.0","10,048,250.0","10,609,312.0","11,388,999.0","11,994,863.0","12,429,623.0","12,087,462.0","12,429,341.0","13,201,979.0","13,887,720.0","14,166,910.0"
"20","2","  Compensation of employees","W209RC1","3,671,132.0","3,820,671.0","4,010,129.0","4,202,649.0","4,422,110.0","4,714,693.0","5,077,823.0","5,410,309.0","5,856,581.0","6,046,546.0","6,141,911.0","6,364,463.0","6,739,534.0","7,086,801.0","7,502,337.0","7,898,261.0","8,078,256.0","7,786,973.0","7,961,448.0","8,269,030.0","8,606,492.0","8,844,757.0"
"21","3","  Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","402,362.0","430,510.0","459,500.0","484,456.0","547,371.0","587,854.0","644,194.0","700,438.0","757,771.0","836,785.0","871,037.0","900,067.0","962,053.0","978,957.0","1,053,685.0","979,170.0","1,026,474.0","972,996.0","1,032,693.0","1,143,667.0","1,260,187.0","1,336,625.0"
"22","4","  Rental income of persons with capital consumption adjustment","A048RC1","64,326.0","93,639.0","117,470.0","129,187.0","146,951.0","152,047.0","169,864.0","183,105.0","187,722.0","207,542.0","217,302.0","238,023.0","255,418.0","238,441.0","207,521.0","189,410.0","262,106.0","333,700.0","402,755.0","485,295.0","532,971.0","595,826.0"
"23","5","  Personal income receipts on assets","W210RC1","982,147.0","988,603.0","1,029,402.0","1,114,029.0","1,176,471.0","1,258,453.0","1,342,541.0","1,329,669.0","1,453,513.0","1,441,314.0","1,390,424.0","1,420,488.0","1,503,739.0","1,666,452.0","1,938,402.0","2,166,648.0","2,167,053.0","1,817,994.0","1,739,645.0","1,913,866.0","2,088,551.0","2,079,706.0"
"24","6","    Personal interest income","A064RC1","793,096.0","783,869.0","794,185.0","856,042.0","874,296.0","920,526.0","987,099.0","983,270.0","1,070,184.0","1,072,159.0","991,795.0","988,235.0","941,667.0","1,088,141.0","1,214,730.0","1,350,133.0","1,361,614.0","1,264,253.0","1,195,028.0","1,231,621.0","1,255,886.0","1,255,177.0"
"25","7","    Personal dividend income","B703RC1","189,051.0","204,734.0","235,217.0","257,987.0","302,175.0","337,927.0","355,442.0","346,399.0","383,329.0","369,155.0","398,629.0","432,253.0","562,072.0","578,311.0","723,672.0","816,515.0","805,439.0","553,741.0","544,617.0","682,245.0","832,665.0","824,529.0"
"26","8","  Personal current transfer receipts","A577RC1","745,766.0","790,767.0","826,395.0","878,947.0","924,076.0","949,196.0","977,917.0","1,021,584.0","1,083,013.0","1,188,106.0","1,280,347.0","1,342,861.0","1,416,684.0","1,512,006.0","1,609,645.0","1,722,772.0","1,883,971.0","2,140,206.0","2,276,908.0","2,307,919.0","2,350,719.0","2,414,532.0"
"27","9","    Government social benefits to persons","A063RC1","729,479.0","776,713.0","813,140.0","860,219.0","901,198.0","929,750.0","951,922.0","987,612.0","1,040,579.0","1,141,338.0","1,246,152.0","1,316,601.0","1,399,913.0","1,486,294.0","1,588,169.0","1,692,166.0","1,847,348.0","2,101,512.0","2,233,958.0","2,257,678.0","2,307,612.0","2,372,187.0"
