"","Table 1#2#5# Gross Domestic Product by Major Type of Product    ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187"
"21","2","       Final sales of domestic product","A190RC1","983,930.0","1,002,139.0","1,021,822.0","1,034,954.0","1,051,705.0","1,065,029.0","1,083,378.0","1,095,446.0","1,125,558.0","1,148,480.0","1,170,125.0","1,193,880.0","1,230,580.0","1,258,124.0","1,280,122.0","1,324,532.0","1,370,130.0","1,399,389.0","1,427,052.0","1,454,076.0","1,482,135.0","1,516,804.0","1,557,818.0","1,582,558.0","1,629,581.0","1,670,402.0","1,715,200.0","1,765,519.0","1,809,816.0","1,834,496.0","1,869,693.0","1,927,895.0","1,977,712.0","2,040,696.0","2,091,503.0","2,144,595.0","2,183,235.0","2,312,306.0","2,373,900.0","2,453,672.0","2,507,703.0","2,568,508.0","2,658,257.0","2,722,152.0","2,786,624.0","2,792,188.0","2,893,899.0","3,002,643.0","3,093,044.0","3,155,538.0","3,217,243.0","3,258,729.0","3,295,275.0","3,335,447.0","3,361,274.0","3,447,630.0","3,515,381.0","3,591,516.0","3,696,461.0","3,772,189.0","3,839,792.0","3,945,679.0","4,016,040.0","4,099,627.0","4,220,780.0","4,280,651.0","4,378,260.0","4,419,986.0","4,485,947.0","4,539,582.0","4,626,646.0","4,682,155.0","4,708,258.0","4,804,935.0","4,899,492.0","4,959,588.0","5,073,659.0","5,188,059.0","5,281,305.0","5,393,569.0","5,479,215.0","5,592,172.0","5,701,730.0","5,746,891.0","5,876,881.0","5,940,965.0","6,007,638.0","6,034,667.0","6,070,387.0","6,161,645.0","6,217,582.0","6,248,163.0","6,380,552.0","6,469,090.0","6,566,036.0","6,676,209.0","6,712,242.0","6,805,490.0","6,897,624.0","7,016,232.0","7,090,897.0","7,188,436.0","7,299,032.0","7,401,519.0","7,484,117.0","7,571,164.0","7,695,205.0","7,781,062.0","7,886,265.0","8,031,014.0","8,107,973.0","8,252,353.0","8,352,302.0","8,463,552.0","8,623,808.0","8,710,656.0","8,784,632.0","8,957,398.0","9,094,102.0","9,265,633.0","9,363,709.0","9,521,893.0","9,671,763.0","9,841,860.0","10,014,874.0","10,187,897.0","10,300,212.0","10,417,942.0","10,538,752.0","10,649,944.0","10,669,601.0","10,782,146.0","10,834,659.0","10,915,632.0","11,011,764.0","11,074,031.0","11,199,074.0","11,371,041.0","11,617,010.0","11,778,426.0","11,939,533.0","12,105,163.0","12,305,460.0","12,494,114.0","12,714,225.0","12,943,457.0","13,187,505.0","13,291,380.0","13,574,480.0","13,722,509.0","13,831,407.0","14,027,281.0","14,213,065.0","14,375,249.0","14,521,029.0","14,663,395.0","14,688,581.0","14,836,893.0","14,861,762.0","14,615,097.0","14,529,506.0","14,528,338.0","14,590,077.0","14,617,316.0","14,669,003.0","14,838,485.0","14,936,116.0","15,167,810.0","15,212,098.0","15,397,888.0","15,602,037.0","15,692,663.0","15,875,408.0","16,002,493.0","16,193,191.0","16,322,053.0","16,458,217.0","16,568,379.0","16,761,588.0","16,987,770.0","17,003,879.0","17,227,978.0","17,505,303.0","17,610,330.0"
"22","3","       Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,397.0","15,663.0","-7,019.0","-12,759.0","27,973.0","16,524.0","1,017.0","63,082.0","16,956.0","19,648.0","18,181.0","19,144.0","48,137.0","36,257.0","9,826.0","16,553.0","13,954.0","33,700.0","21,866.0","-11,335.0","-15,520.0","-18,033.0","843.0","31,133.0","246.0","23,209.0","20,512.0","21,344.0","35,940.0","24,104.0","6,598.0","16,612.0","45,362.0","81,411.0","53,223.0","75,142.0","61,179.0","33,759.0","11,326.0","18,431.0","6,881.0","30,521.0","51,070.0","34,725.0","49,758.0","88,388.0","67,948.0","77,664.0","105,100.0","37,340.0","52,419.0","60,017.0","83,394.0","35,112.0","40,517.0","84,241.0","16,157.0","90,443.0","57,233.0","54,343.0","-30,631.0","-11,560.0","-30,115.0","-80,829.0","-214.0","19,120.0","25,293.0","29,803.0","31,004.0","-388.0","8,127.0","38,401.0","48,870.0","76,235.0","62,284.0","68,049.0","99,504.0","30,626.0","17,940.0","90,249.0","74,424.0","77,285.0","77,091.0","39,089.0","20,161.0","47,064.0","48,646.0","21,935.0","-20,136.0","-23,919.0","-18,779.0","-65,148.0","-145,621.0","-187,921.0","-205,932.0","-50,805.0","12,060.0","50,115.0","121,544.0","62,398.0","26,273.0","63,038.0","-14,912.0","92,649.0","81,091.0","92,171.0","75,744.0","10,447.0","44,186.0","50,786.0","110,746.0","90,524.0","40,110.0","100,263.0","94,450.0","93,343.0"
"23","4","Goods","A353RC1","425,023.0","425,894.0","433,605.0","434,238.0","436,553.0","444,469.0","447,767.0","435,532.0","462,734.0","465,107.0","470,847.0","466,524.0","480,724.0","505,135.0","515,948.0","532,830.0","562,089.0","584,369.0","587,429.0","614,949.0","614,047.0","627,638.0","634,559.0","651,994.0","642,983.0","655,656.0","692,577.0","711,911.0","739,811.0","754,654.0","768,956.0","778,934.0","797,264.0","821,850.0","850,947.0","866,882.0","869,757.0","935,413.0","955,708.0","997,750.0","1,021,030.0","1,039,630.0","1,069,194.0","1,078,066.0","1,108,161.0","1,099,960.0","1,110,030.0","1,162,169.0","1,248,224.0","1,237,723.0","1,304,990.0","1,276,243.0","1,242,835.0","1,275,465.0","1,271,031.0","1,248,980.0","1,264,837.0","1,325,407.0","1,359,404.0","1,437,870.0","1,498,099.0","1,530,490.0","1,551,220.0","1,565,749.0","1,573,903.0","1,587,902.0","1,615,225.0","1,625,667.0","1,636,460.0","1,634,926.0","1,658,524.0","1,667,982.0","1,686,771.0","1,721,591.0","1,747,905.0","1,804,548.0","1,821,926.0","1,868,708.0","1,895,764.0","1,936,284.0","1,993,287.0","2,038,503.0","2,065,569.0","2,056,027.0","2,106,708.0","2,130,964.0","2,141,957.0","2,104,826.0","2,111,949.0","2,137,254.0","2,167,080.0","2,180,894.0","2,185,254.0","2,230,620.0","2,260,134.0","2,290,560.0","2,306,357.0","2,330,977.0","2,323,601.0","2,387,295.0","2,441,596.0","2,495,210.0","2,514,676.0","2,587,291.0","2,597,267.0","2,586,302.0","2,616,966.0","2,663,174.0","2,685,058.0","2,759,013.0","2,804,351.0","2,832,865.0","2,884,326.0","2,956,794.0","3,012,980.0","3,029,907.0","3,070,871.0","3,038,654.0","3,097,595.0","3,192,228.0","3,226,155.0","3,249,655.0","3,293,919.0","3,373,039.0","3,349,172.0","3,474,469.0","3,461,969.0","3,462,527.0","3,387,373.0","3,420,475.0","3,375,751.0","3,392,087.0","3,421,647.0","3,422,140.0","3,453,200.0","3,409,275.0","3,425,066.0","3,442,242.0","3,578,037.0","3,638,439.0","3,650,913.0","3,689,418.0","3,722,859.0","3,776,895.0","3,853,253.0","3,863,461.0","3,908,747.0","3,932,060.0","4,048,939.0","4,083,531.0","4,121,767.0","4,174,919.0","4,198,275.0","4,288,966.0","4,328,714.0","4,351,735.0","4,264,794.0","4,294,065.0","4,261,215.0","4,041,221.0","4,013,910.0","4,011,738.0","4,030,543.0","4,173,219.0","4,269,962.0","4,326,289.0","4,451,945.0","4,541,047.0","4,524,534.0","4,610,056.0","4,626,126.0","4,783,695.0","4,820,625.0","4,877,765.0","4,951,894.0","4,938,451.0","5,024,380.0","5,022,743.0","5,162,465.0","5,249,458.0","5,127,520.0","5,290,561.0","5,409,004.0","5,388,908.0"
"24","5","    Final sales","A325RC1","413,534.0","416,672.0","423,411.0","428,451.0","434,730.0","439,388.0","442,684.0","439,516.0","450,480.0","454,232.0","460,659.0","466,819.0","477,497.0","493,137.0","502,233.0","525,339.0","551,539.0","566,163.0","577,668.0","589,956.0","601,528.0","610,222.0","628,981.0","631,548.0","653,011.0","669,610.0","693,965.0","711,563.0","725,118.0","732,206.0","748,149.0","768,416.0","782,442.0","802,381.0","820,063.0","842,761.0","844,304.0","911,156.0","930,742.0","969,263.0","997,178.0","1,012,229.0","1,057,063.0","1,069,513.0","1,098,262.0","1,092,210.0","1,143,885.0","1,171,287.0","1,209,469.0","1,226,010.0","1,261,030.0","1,251,436.0","1,264,301.0","1,279,631.0","1,265,233.0","1,288,800.0","1,299,897.0","1,333,079.0","1,363,608.0","1,413,938.0","1,425,117.0","1,461,169.0","1,479,882.0","1,517,770.0","1,557,673.0","1,566,256.0","1,598,922.0","1,592,548.0","1,606,063.0","1,619,263.0","1,665,543.0","1,680,741.0","1,658,798.0","1,705,067.0","1,746,888.0","1,741,466.0","1,804,970.0","1,849,060.0","1,877,583.0","1,917,140.0","1,945,150.0","2,002,246.0","2,055,743.0","2,039,474.0","2,092,754.0","2,097,264.0","2,120,091.0","2,116,161.0","2,127,469.0","2,155,287.0","2,166,237.0","2,149,761.0","2,185,008.0","2,207,411.0","2,239,622.0","2,269,216.0","2,270,417.0","2,306,873.0","2,317,003.0","2,370,683.0","2,396,234.0","2,413,799.0","2,461,453.0","2,512,149.0","2,536,088.0","2,552,543.0","2,605,640.0","2,644,743.0","2,678,177.0","2,728,492.0","2,753,281.0","2,798,140.0","2,834,568.0","2,868,406.0","2,945,032.0","2,952,243.0","2,965,771.0","3,001,314.0","3,045,176.0","3,132,211.0","3,142,761.0","3,214,543.0","3,253,402.0","3,288,798.0","3,333,015.0","3,384,026.0","3,404,736.0","3,408,184.0","3,418,004.0","3,432,035.0","3,405,866.0","3,472,916.0","3,421,861.0","3,403,020.0","3,427,907.0","3,379,472.0","3,394,062.0","3,442,630.0","3,569,910.0","3,600,038.0","3,602,043.0","3,613,183.0","3,660,575.0","3,708,846.0","3,753,749.0","3,832,835.0","3,890,807.0","3,841,811.0","3,974,515.0","4,006,246.0","4,044,676.0","4,135,830.0","4,178,114.0","4,241,902.0","4,280,068.0","4,329,800.0","4,284,930.0","4,317,984.0","4,279,994.0","4,106,369.0","4,159,531.0","4,199,659.0","4,236,475.0","4,224,024.0","4,257,902.0","4,276,174.0","4,330,401.0","4,478,649.0","4,498,261.0","4,547,018.0","4,641,038.0","4,691,046.0","4,739,534.0","4,785,594.0","4,876,150.0","4,928,004.0","4,980,194.0","4,971,957.0","5,051,719.0","5,158,934.0","5,087,410.0","5,190,298.0","5,314,554.0","5,295,565.0"
"25","6","    Change in private inventories","A014RC1","11,489.0","9,222.0","10,194.0","5,787.0","1,823.0","5,081.0","5,083.0","-3,984.0","12,254.0","10,875.0","10,188.0","-295.0","3,227.0","11,998.0","13,715.0","7,491.0","10,550.0","18,206.0","9,761.0","24,993.0","12,519.0","17,416.0","5,578.0","20,446.0","-10,028.0","-13,954.0","-1,388.0","348.0","14,693.0","22,448.0","20,807.0","10,518.0","14,822.0","19,469.0","30,884.0","24,121.0","25,453.0","24,257.0","24,966.0","28,487.0","23,852.0","27,401.0","12,131.0","8,553.0","9,899.0","7,750.0","-33,855.0","-9,118.0","38,755.0","11,713.0","43,960.0","24,807.0","-21,466.0","-4,166.0","5,798.0","-39,820.0","-35,060.0","-7,672.0","-4,204.0","23,932.0","72,982.0","69,321.0","71,338.0","47,979.0","16,230.0","21,646.0","16,303.0","33,119.0","30,397.0","15,663.0","-7,019.0","-12,759.0","27,973.0","16,524.0","1,017.0","63,082.0","16,956.0","19,648.0","18,181.0","19,144.0","48,137.0","36,257.0","9,826.0","16,553.0","13,954.0","33,700.0","21,866.0","-11,335.0","-15,520.0","-18,033.0","843.0","31,133.0","246.0","23,209.0","20,512.0","21,344.0","35,940.0","24,104.0","6,598.0","16,612.0","45,362.0","81,411.0","53,223.0","75,142.0","61,179.0","33,759.0","11,326.0","18,431.0","6,881.0","30,521.0","51,070.0","34,725.0","49,758.0","88,388.0","67,948.0","77,664.0","105,100.0","37,340.0","52,419.0","60,017.0","83,394.0","35,112.0","40,517.0","84,241.0","16,157.0","90,443.0","57,233.0","54,343.0","-30,631.0","-11,560.0","-30,115.0","-80,829.0","-214.0","19,120.0","25,293.0","29,803.0","31,004.0","-388.0","8,127.0","38,401.0","48,870.0","76,235.0","62,284.0","68,049.0","99,504.0","30,626.0","17,940.0","90,249.0","74,424.0","77,285.0","77,091.0","39,089.0","20,161.0","47,064.0","48,646.0","21,935.0","-20,136.0","-23,919.0","-18,779.0","-65,148.0","-145,621.0","-187,921.0","-205,932.0","-50,805.0","12,060.0","50,115.0","121,544.0","62,398.0","26,273.0","63,038.0","-14,912.0","92,649.0","81,091.0","92,171.0","75,744.0","10,447.0","44,186.0","50,786.0","110,746.0","90,524.0","40,110.0","100,263.0","94,450.0","93,343.0"
"26","7","  Durable goods","A354RC1","212,861.0","209,237.0","216,031.0","215,971.0","209,798.0","213,259.0","218,827.0","199,928.0","221,186.0","220,098.0","227,436.0","222,921.0","236,107.0","246,675.0","252,920.0","268,435.0","287,143.0","296,587.0","298,473.0","300,969.0","301,489.0","307,556.0","322,438.0","332,502.0","310,711.0","323,655.0","340,597.0","351,054.0","374,656.0","388,055.0","399,761.0","412,846.0","425,004.0","434,858.0","450,094.0","459,714.0","468,333.0","505,997.0","509,480.0","547,606.0","563,455.0","564,012.0","573,582.0","578,608.0","596,904.0","570,641.0","578,472.0","624,071.0","651,248.0","659,084.0","677,065.0","647,041.0","631,208.0","658,422.0","654,976.0","629,434.0","631,778.0","699,060.0","732,159.0","782,610.0","809,913.0","829,445.0","841,986.0","873,339.0","854,863.0","877,608.0","886,564.0","890,996.0","894,174.0","901,593.0","923,159.0","928,900.0","938,882.0","965,581.0","976,735.0","1,013,594.0","1,019,741.0","1,048,405.0","1,070,149.0","1,101,231.0","1,123,100.0","1,131,344.0","1,161,926.0","1,157,507.0","1,187,086.0","1,182,711.0","1,185,659.0","1,146,995.0","1,120,724.0","1,147,985.0","1,186,830.0","1,170,286.0","1,170,408.0","1,213,426.0","1,226,952.0","1,246,344.0","1,271,851.0","1,292,891.0","1,293,368.0","1,338,082.0","1,362,432.0","1,385,912.0","1,406,562.0","1,446,681.0","1,474,416.0","1,465,911.0","1,493,094.0","1,532,041.0","1,535,263.0","1,575,983.0","1,619,972.0","1,624,224.0","1,673,582.0","1,720,696.0","1,764,106.0","1,779,522.0","1,817,375.0","1,796,972.0","1,838,754.0","1,902,365.0","1,916,128.0","1,929,104.0","1,983,748.0","2,024,700.0","2,047,200.0","2,100,931.0","2,088,911.0","2,092,822.0","2,031,937.0","2,022,235.0","1,973,641.0","1,990,220.0","2,014,872.0","2,013,392.0","2,038,316.0","2,004,363.0","1,998,239.0","2,027,230.0","2,088,145.0","2,136,659.0","2,135,046.0","2,155,718.0","2,182,669.0","2,208,374.0","2,276,448.0","2,297,410.0","2,338,576.0","2,349,731.0","2,393,456.0","2,421,220.0","2,448,997.0","2,453,037.0","2,484,423.0","2,519,828.0","2,544,992.0","2,611,387.0","2,528,595.0","2,497,127.0","2,497,116.0","2,340,674.0","2,192,185.0","2,182,688.0","2,210,373.0","2,278,116.0","2,385,662.0","2,425,453.0","2,475,775.0","2,502,812.0","2,538,849.0","2,575,844.0","2,616,064.0","2,669,597.0","2,714,978.0","2,732,619.0","2,752,672.0","2,742,654.0","2,788,800.0","2,793,621.0","2,838,793.0","2,884,151.0","2,846,952.0","2,909,408.0","2,980,517.0","2,956,195.0"
"27","8","    Final sales","A326RC1","206,813.0","205,205.0","208,951.0","209,271.0","210,986.0","213,175.0","213,259.0","205,308.0","214,518.0","217,390.0","221,916.0","226,165.0","233,459.0","241,443.0","245,356.0","258,443.0","275,707.0","282,943.0","284,689.0","287,773.0","293,717.0","302,440.0","313,054.0","311,314.0","318,539.0","330,487.0","346,953.0","359,922.0","370,084.0","375,367.0","386,469.0","400,190.0","417,276.0","427,762.0","437,466.0","449,246.0","447,777.0","488,785.0","498,204.0","523,790.0","541,503.0","543,344.0","569,866.0","573,692.0","594,668.0","572,693.0","595,184.0","616,927.0","640,384.0","648,984.0","667,005.0","648,769.0","652,840.0","658,038.0","656,968.0","670,330.0","663,666.0","696,508.0","719,271.0","756,342.0","766,001.0","788,281.0","800,402.0","834,267.0","852,671.0","869,636.0","890,032.0","880,128.0","877,866.0","895,425.0","937,983.0","944,004.0","910,490.0","943,285.0","981,231.0","967,998.0","1,011,201.0","1,033,457.0","1,038,605.0","1,065,290.0","1,084,134.0","1,113,128.0","1,160,120.0","1,136,371.0","1,185,688.0","1,160,260.0","1,168,542.0","1,157,167.0","1,152,174.0","1,174,025.0","1,183,153.0","1,170,902.0","1,187,423.0","1,204,420.0","1,227,895.0","1,249,213.0","1,247,429.0","1,279,418.0","1,281,596.0","1,319,303.0","1,337,284.0","1,344,159.0","1,375,477.0","1,401,846.0","1,426,381.0","1,433,365.0","1,469,822.0","1,501,673.0","1,525,087.0","1,557,163.0","1,581,298.0","1,615,587.0","1,645,075.0","1,667,702.0","1,731,836.0","1,733,320.0","1,747,440.0","1,774,263.0","1,806,974.0","1,869,570.0","1,864,621.0","1,917,568.0","1,957,452.0","1,964,437.0","2,030,013.0","2,042,982.0","2,056,564.0","2,057,995.0","2,076,456.0","2,047,130.0","2,007,466.0","2,064,776.0","2,006,335.0","1,996,096.0","2,023,042.0","1,972,857.0","1,969,928.0","2,023,981.0","2,095,072.0","2,102,619.0","2,100,705.0","2,106,767.0","2,144,649.0","2,176,205.0","2,210,070.0","2,276,853.0","2,318,889.0","2,288,729.0","2,367,454.0","2,376,547.0","2,396,482.0","2,437,762.0","2,467,869.0","2,515,938.0","2,530,899.0","2,583,500.0","2,547,163.0","2,544,187.0","2,506,198.0","2,365,469.0","2,332,234.0","2,326,998.0","2,345,139.0","2,326,991.0","2,362,722.0","2,389,540.0","2,409,120.0","2,472,171.0","2,490,722.0","2,527,795.0","2,580,161.0","2,626,797.0","2,646,184.0","2,649,479.0","2,681,861.0","2,717,178.0","2,752,546.0","2,757,804.0","2,771,323.0","2,818,378.0","2,806,371.0","2,844,405.0","2,925,400.0","2,909,404.0"
"28","9","    Change in private inventories \1\","A355RC1","6,048.0","4,032.0","7,080.0","6,700.0","-1,188.0","84.0","5,568.0","-5,380.0","6,668.0","2,708.0","5,520.0","-3,244.0","2,648.0","5,232.0","7,564.0","9,992.0","11,436.0","13,644.0","13,784.0","13,196.0","7,772.0","5,116.0","9,384.0","21,188.0","-7,828.0","-6,832.0","-6,356.0","-8,868.0","4,572.0","12,688.0","13,292.0","12,656.0","7,728.0","7,096.0","12,628.0","10,468.0","20,556.0","17,212.0","11,276.0","23,816.0","21,952.0","20,668.0","3,716.0","4,916.0","2,236.0","-2,052.0","-16,712.0","7,144.0","10,864.0","10,100.0","10,060.0","-1,728.0","-21,632.0","384.0","-1,992.0","-40,896.0","-31,888.0","2,552.0","12,888.0","26,268.0","43,912.0","41,164.0","41,584.0","39,072.0","2,192.0","7,972.0","-3,468.0","10,868.0","16,308.0","6,168.0","-14,824.0","-15,104.0","28,392.0","22,296.0","-4,496.0","45,596.0","8,540.0","14,948.0","31,544.0","35,941.0","38,966.0","18,216.0","1,806.0","21,136.0","1,398.0","22,451.0","17,117.0","-10,172.0","-31,450.0","-26,040.0","3,677.0","-616.0","-17,015.0","9,006.0","-943.0","-2,869.0","24,422.0","13,473.0","11,772.0","18,779.0","25,148.0","41,753.0","31,085.0","44,835.0","48,035.0","32,546.0","23,272.0","30,368.0","10,176.0","18,820.0","38,674.0","8,637.0","28,507.0","52,994.0","32,270.0","46,202.0","69,935.0","22,709.0","31,780.0","32,795.0","51,507.0","11,536.0","26,296.0","60,263.0","17,187.0","57,949.0","32,347.0","34,827.0","-44,519.0","-24,895.0","-33,825.0","-74,556.0","8,537.0","17,296.0","15,274.0","31,506.0","28,311.0","3,249.0","-6,927.0","34,040.0","34,341.0","48,951.0","38,020.0","32,169.0","66,378.0","20,557.0","19,687.0","61,002.0","26,002.0","44,673.0","52,515.0","15,275.0","16,554.0","3,890.0","14,093.0","27,887.0","-18,568.0","-47,060.0","-9,082.0","-24,795.0","-140,049.0","-144,310.0","-134,766.0","-48,875.0","22,940.0","35,913.0","66,655.0","30,641.0","48,127.0","48,049.0","35,903.0","42,800.0","68,794.0","83,140.0","70,811.0","25,476.0","36,254.0","35,817.0","67,470.0","65,773.0","40,581.0","65,003.0","55,117.0","46,791.0"
"29","10","  Nondurable goods","A356RC1","212,162.0","216,657.0","217,574.0","218,267.0","226,755.0","231,210.0","228,940.0","235,604.0","241,548.0","245,009.0","243,411.0","243,603.0","244,617.0","258,460.0","263,028.0","264,395.0","274,946.0","287,782.0","288,956.0","313,980.0","312,558.0","320,082.0","312,121.0","319,492.0","332,272.0","332,001.0","351,980.0","360,857.0","365,155.0","366,599.0","369,195.0","366,088.0","372,260.0","386,992.0","400,853.0","407,168.0","401,424.0","429,416.0","446,228.0","450,144.0","457,575.0","475,618.0","495,612.0","499,458.0","511,257.0","529,319.0","531,558.0","538,098.0","596,976.0","578,639.0","627,925.0","629,202.0","611,627.0","617,043.0","616,055.0","619,546.0","633,059.0","626,347.0","627,245.0","655,260.0","688,186.0","701,045.0","709,234.0","692,410.0","719,040.0","710,294.0","728,661.0","734,671.0","742,286.0","733,333.0","735,365.0","739,082.0","747,889.0","756,010.0","771,170.0","790,954.0","802,185.0","820,303.0","825,615.0","835,053.0","870,187.0","907,159.0","903,643.0","898,520.0","919,622.0","948,253.0","956,298.0","957,831.0","991,225.0","989,269.0","980,250.0","1,010,608.0","1,014,846.0","1,017,194.0","1,033,182.0","1,044,216.0","1,034,506.0","1,038,086.0","1,030,233.0","1,049,213.0","1,079,164.0","1,109,298.0","1,108,114.0","1,140,610.0","1,122,851.0","1,120,391.0","1,123,872.0","1,131,133.0","1,149,795.0","1,183,030.0","1,184,379.0","1,208,641.0","1,210,744.0","1,236,098.0","1,248,874.0","1,250,385.0","1,253,496.0","1,241,683.0","1,258,841.0","1,289,863.0","1,310,027.0","1,320,551.0","1,310,170.0","1,348,339.0","1,301,972.0","1,373,538.0","1,373,057.0","1,369,705.0","1,355,437.0","1,398,240.0","1,402,109.0","1,401,866.0","1,406,775.0","1,408,748.0","1,414,884.0","1,404,912.0","1,426,827.0","1,415,012.0","1,489,892.0","1,501,780.0","1,515,866.0","1,533,701.0","1,540,190.0","1,568,521.0","1,576,805.0","1,566,050.0","1,570,170.0","1,582,329.0","1,655,483.0","1,662,311.0","1,672,770.0","1,721,883.0","1,713,851.0","1,769,138.0","1,783,722.0","1,740,348.0","1,736,200.0","1,796,938.0","1,764,100.0","1,700,547.0","1,821,725.0","1,829,050.0","1,820,170.0","1,895,104.0","1,884,300.0","1,900,836.0","1,976,170.0","2,038,235.0","1,985,685.0","2,034,213.0","2,010,061.0","2,114,099.0","2,105,647.0","2,145,146.0","2,199,221.0","2,195,797.0","2,235,580.0","2,229,123.0","2,323,672.0","2,365,308.0","2,280,568.0","2,381,153.0","2,428,487.0","2,432,713.0"
"30","11","    Final sales","A334RC1","206,721.0","211,467.0","214,460.0","219,180.0","223,744.0","226,213.0","229,425.0","234,208.0","235,962.0","236,842.0","238,743.0","240,654.0","244,038.0","251,694.0","256,877.0","266,896.0","275,832.0","283,220.0","292,979.0","302,183.0","307,811.0","307,782.0","315,927.0","320,234.0","334,472.0","339,123.0","347,012.0","351,641.0","355,034.0","356,839.0","361,680.0","368,226.0","365,166.0","374,619.0","382,597.0","393,515.0","396,527.0","422,371.0","432,538.0","445,473.0","455,675.0","468,885.0","487,197.0","495,821.0","503,594.0","519,517.0","548,701.0","554,360.0","569,085.0","577,026.0","594,025.0","602,667.0","611,461.0","621,593.0","608,265.0","618,470.0","636,231.0","636,571.0","644,337.0","657,596.0","659,116.0","672,888.0","679,480.0","683,503.0","705,002.0","696,620.0","708,890.0","712,420.0","728,197.0","723,838.0","727,560.0","736,737.0","748,308.0","761,782.0","765,657.0","773,468.0","793,769.0","815,603.0","838,978.0","851,850.0","861,016.0","889,118.0","895,623.0","903,103.0","907,066.0","937,004.0","951,549.0","958,994.0","975,295.0","981,262.0","983,084.0","978,859.0","997,585.0","1,002,991.0","1,011,727.0","1,020,003.0","1,022,988.0","1,027,455.0","1,035,407.0","1,051,380.0","1,058,950.0","1,069,640.0","1,085,976.0","1,110,303.0","1,109,707.0","1,119,178.0","1,135,818.0","1,143,070.0","1,153,090.0","1,171,329.0","1,171,983.0","1,182,553.0","1,189,493.0","1,200,704.0","1,213,196.0","1,218,923.0","1,218,331.0","1,227,051.0","1,238,202.0","1,262,641.0","1,278,140.0","1,296,975.0","1,295,950.0","1,324,361.0","1,303,002.0","1,341,044.0","1,348,172.0","1,350,189.0","1,341,548.0","1,384,905.0","1,398,400.0","1,408,140.0","1,415,526.0","1,406,924.0","1,404,865.0","1,406,615.0","1,424,134.0","1,418,649.0","1,474,838.0","1,497,419.0","1,501,338.0","1,506,416.0","1,515,926.0","1,532,641.0","1,543,679.0","1,555,982.0","1,571,918.0","1,553,082.0","1,607,061.0","1,629,699.0","1,648,194.0","1,698,068.0","1,710,245.0","1,725,964.0","1,749,169.0","1,746,300.0","1,737,767.0","1,773,797.0","1,773,796.0","1,740,900.0","1,827,297.0","1,872,661.0","1,891,336.0","1,897,033.0","1,895,180.0","1,886,634.0","1,921,281.0","2,006,478.0","2,007,539.0","2,019,223.0","2,060,877.0","2,064,249.0","2,093,350.0","2,136,115.0","2,194,289.0","2,210,826.0","2,227,648.0","2,214,153.0","2,280,396.0","2,340,556.0","2,281,039.0","2,345,893.0","2,389,154.0","2,386,161.0"
