"","Table 5#9#5B# Gross Government Fixed Investment by Type         ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1997 To 2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 3/26/2015 5:08:11 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","      Gross government fixed investment \1\","A782RC1","329,532.0","341,401.0","368,466.0","390,254.0","413,634.0","443,572.0","465,256.0","488,461.0","513,641.0","552,347.0","592,206.0","634,626.0","647,029.0","651,817.0","637,882.0","619,424.0","596,318.0"
"20","2","        Federal","A787RC1","143,705.0","147,663.0","154,857.0","157,376.0","163,845.0","180,277.0","196,354.0","211,006.0","222,879.0","238,049.0","251,422.0","275,784.0","283,983.0","299,959.0","297,390.0","287,779.0","268,479.0"
"21","3","          National defense","A788RC1","78,966.0","79,242.0","81,490.0","83,405.0","87,667.0","98,746.0","110,961.0","123,439.0","132,336.0","142,071.0","152,654.0","171,340.0","174,988.0","179,553.0","174,662.0","167,548.0","153,515.0"
"22","4","          Nondefense","A798RC1","64,739.0","68,421.0","73,367.0","73,971.0","76,178.0","81,531.0","85,393.0","87,567.0","90,543.0","95,978.0","98,768.0","104,444.0","108,995.0","120,406.0","122,728.0","120,231.0","114,964.0"
"23","5","        State and local","A799RC1","185,827.0","193,738.0","213,609.0","232,878.0","249,789.0","263,295.0","268,902.0","277,455.0","290,762.0","314,298.0","340,784.0","358,842.0","363,046.0","351,858.0","340,492.0","331,645.0","327,839.0"
"24","6","Structures \2\","A760RC1","155,556.0","160,157.0","175,790.0","189,735.0","205,777.0","221,937.0","228,554.0","235,697.0","246,775.0","268,479.0","292,522.0","310,343.0","318,921.0","313,162.0","301,145.0","283,997.0","273,325.0"
"25","7","  Federal","A801RC1","16,026.0","16,595.0","16,112.0","13,760.0","13,467.0","16,093.0","17,417.0","16,556.0","15,242.0","17,233.0","21,368.0","25,054.0","29,146.0","32,625.0","30,092.0","22,441.0","17,832.0"
"26","8","    National defense","A808RC1","6,117.0","5,834.0","5,386.0","5,396.0","5,333.0","6,134.0","7,090.0","6,939.0","7,159.0","7,791.0","10,010.0","13,667.0","17,128.0","16,654.0","13,348.0","8,103.0","6,520.0"
"27","9","      New","A814RC1","6,121.0","5,838.0","5,390.0","5,400.0","5,337.0","6,138.0","7,094.0","6,943.0","7,163.0","7,795.0","10,014.0","13,671.0","17,132.0","16,658.0","13,352.0","8,107.0","6,524.0"
"28","10","        Residential","B816RC1","1,439.0","1,323.0","1,202.0","1,079.0","1,190.0","1,229.0","1,442.0","1,332.0","1,590.0","1,466.0","1,702.0","1,799.0","1,235.0","1,578.0","1,409.0","1,026.0","771.0"
"29","11","        Industrial","B817RC1","457.0","247.0","235.0","279.0","408.0","601.0","598.0","419.0","334.0","330.0","350.0","593.0","771.0","686.0","740.0","602.0","567.0"
"30","12","        Military facilities \3\","B818RC1","4,225.0","4,268.0","3,953.0","4,042.0","3,739.0","4,308.0","5,054.0","5,192.0","5,239.0","5,999.0","7,962.0","11,279.0","15,126.0","14,394.0","11,203.0","6,479.0","5,186.0"
"31","13","      Net purchases of used structures","B819RC1","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0","-4.0"
"32","14","    Nondefense","A830RC1","9,909.0","10,761.0","10,726.0","8,364.0","8,134.0","9,959.0","10,327.0","9,617.0","8,083.0","9,442.0","11,358.0","11,387.0","12,018.0","15,971.0","16,744.0","14,338.0","11,312.0"
"33","15","      New","A831RC1","10,200.0","9,910.0","9,841.0","9,506.0","9,220.0","9,880.0","10,508.0","11,090.0","10,679.0","10,681.0","11,343.0","10,317.0","11,699.0","14,466.0","17,228.0","14,707.0","11,817.0"
"34","16","        Residential","ZZZZZZ1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"35","17","        Office","W182RC1","1,852.0","1,853.0","1,754.0","1,578.0","1,473.0","1,408.0","1,817.0","2,498.0","2,318.0","1,811.0","2,045.0","1,389.0","1,240.0","1,592.0","2,669.0","2,526.0","1,599.0"
"36","18","        Commercial","W183RC1","671.0","785.0","850.0","753.0","659.0","468.0","834.0","1,360.0","1,245.0","1,185.0","1,158.0","892.0","751.0","650.0","1,195.0","979.0","632.0"
"37","19","        Health care","W184RC1","1,346.0","1,018.0","852.0","774.0","723.0","873.0","711.0","659.0","681.0","746.0","1,014.0","944.0","1,763.0","2,127.0","2,589.0","2,620.0","2,462.0"
