"","Table 2#2A# Wages and Salaries by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    Wages and salaries","A576RC1","499,068.0","511,382.0","526,431.0","536,451.0","545,098.0","549,066.0","555,722.0","556,354.0","570,513.0","580,449.0","588,790.0","598,442.0","618,471.0","630,373.0","642,325.0","663,970.0","683,351.0","700,188.0","716,164.0","735,343.0","748,181.0","765,297.0","783,131.0","792,519.0","791,920.0","800,367.0","821,293.0","845,772.0","871,218.0","889,382.0","908,452.0","929,928.0","950,043.0","980,908.0","1,007,506.0","1,038,175.0","1,064,212.0","1,105,952.0","1,137,127.0","1,174,988.0","1,208,354.0","1,234,029.0","1,268,187.0","1,302,685.0","1,334,875.0","1,351,033.0","1,376,059.0","1,431,721.0","1,469,063.0","1,496,198.0","1,528,730.0","1,551,500.0","1,567,199.0","1,580,939.0","1,596,064.0","1,605,865.0","1,623,051.0","1,655,097.0","1,691,791.0","1,740,112.0","1,785,193.0","1,828,200.0","1,866,726.0","1,899,538.0","1,933,790.0","1,963,236.0","1,996,105.0","2,037,069.0","2,063,536.0","2,081,844.0","2,111,734.0","2,152,226.0","2,193,709.0","2,230,090.0","2,270,603.0","2,330,664.0","2,367,278.0","2,422,073.0","2,463,019.0","2,506,758.0","2,542,177.0","2,563,403.0","2,591,992.0","2,634,633.0","2,686,833.0","2,735,911.0","2,768,664.0","2,773,386.0","2,775,987.0","2,801,235.0","2,826,464.0","2,854,225.0","2,913,450.0","2,952,788.0","2,976,074.0","3,019,851.0","3,018,475.0","3,065,488.0","3,093,338.0","3,140,062.0","3,152,820.0","3,224,606.0","3,258,028.0","3,310,903.0","3,360,568.0","3,395,265.0","3,438,242.0","3,478,013.0","3,525,892.0","3,590,615.0","3,646,673.0","3,702,698.0","3,777,311.0","3,835,518.0","3,903,692.0","3,990,855.0","4,076,300.0","4,146,193.0","4,216,841.0","4,287,130.0","4,368,925.0","4,410,747.0","4,472,015.0","4,580,334.0","4,752,940.0","4,780,067.0","4,872,623.0","4,897,828.0"
"21","2","Private industries","A132RC1","397,784.0","408,270.0","418,267.0","426,611.0","430,738.0","432,550.0","437,390.0","436,634.0","446,637.0","454,841.0","460,766.0","468,830.0","484,319.0","494,705.0","503,897.0","520,670.0","538,307.0","553,004.0","566,588.0","581,951.0","592,541.0","607,121.0","621,831.0","625,587.0","621,412.0","625,907.0","643,489.0","663,584.0","686,438.0","702,106.0","718,968.0","735,844.0","753,295.0","781,244.0","803,842.0","827,899.0","850,252.0","888,756.0","915,615.0","947,584.0","977,234.0","1,000,885.0","1,029,995.0","1,056,597.0","1,083,603.0","1,093,301.0","1,113,059.0","1,157,881.0","1,190,342.0","1,214,059.0","1,241,925.0","1,255,770.0","1,266,778.0","1,276,345.0","1,286,900.0","1,289,897.0","1,303,749.0","1,332,089.0","1,364,660.0","1,410,373.0","1,446,194.0","1,483,372.0","1,515,172.0","1,542,367.0","1,568,233.0","1,593,195.0","1,619,291.0","1,654,029.0","1,675,596.0","1,688,254.0","1,712,022.0","1,744,588.0","1,779,104.0","1,809,954.0","1,845,697.0","1,897,843.0","1,924,448.0","1,973,029.0","2,008,336.0","2,045,168.0","2,071,344.0","2,086,580.0","2,107,132.0","2,142,724.0","2,180,934.0","2,220,096.0","2,245,458.0","2,242,111.0","2,232,087.0","2,254,103.0","2,276,457.0","2,300,203.0","2,348,661.0","2,382,160.0","2,401,365.0","2,441,973.0","2,433,108.0","2,479,832.0","2,501,850.0","2,546,533.0","2,551,623.0","2,616,161.0","2,646,212.0","2,694,377.0","2,735,696.0","2,767,708.0","2,808,010.0","2,844,570.0","2,884,416.0","2,944,309.0","2,996,539.0","3,048,238.0","3,114,062.0","3,167,670.0","3,228,867.0","3,309,229.0","3,385,090.0","3,448,087.0","3,511,816.0","3,576,219.0","3,647,592.0","3,682,652.0","3,734,457.0","3,832,256.0","3,987,058.0","4,001,422.0","4,088,443.0","4,107,387.0"
"22","3","  Goods-producing industries","A206RC1","194,106.0","198,896.0","203,264.0","205,379.0","205,460.0","204,276.0","204,425.0","200,742.0","205,319.0","208,595.0","209,982.0","212,991.0","220,898.0","225,500.0","228,878.0","237,060.0","246,035.0","252,549.0","258,628.0","266,217.0","270,225.0","275,421.0","280,921.0","279,237.0","271,140.0","270,684.0","278,291.0","288,334.0","300,099.0","306,163.0","312,778.0","319,773.0","328,107.0","342,751.0","352,480.0","360,875.0","367,561.0","388,016.0","399,262.0","413,620.0","425,948.0","436,671.0","447,039.0","455,877.0","464,943.0","462,725.0","467,359.0","489,249.0","499,821.0","509,414.0","520,645.0","521,918.0","520,476.0","517,318.0","511,740.0","504,126.0","507,914.0","516,545.0","531,754.0","549,539.0","566,304.0","580,527.0","591,146.0","598,461.0","609,167.0","612,596.0","618,178.0","627,647.0","630,744.0","629,567.0","632,555.0","639,705.0","646,333.0","650,070.0","659,515.0","670,989.0","686,312.0","698,907.0","708,037.0","719,748.0","725,440.0","723,892.0","727,653.0","736,223.0","744,773.0","753,743.0","754,813.0","748,359.0","739,241.0","739,695.0","746,641.0","748,003.0","750,195.0","759,527.0","762,309.0","781,274.0","747,082.0","777,223.0","783,885.0","806,072.0","795,193.0","818,480.0","830,489.0","844,255.0","850,087.0","856,434.0","866,053.0","872,778.0","879,858.0","899,697.0","913,924.0","925,887.0","946,860.0","960,590.0","975,769.0","1,000,255.0","1,017,716.0","1,028,786.0","1,037,439.0","1,050,279.0","1,066,203.0","1,072,559.0","1,085,338.0","1,109,578.0","1,159,454.0","1,147,530.0","1,168,150.0","1,161,933.0"
"23","4","    Manufacturing","A552RC1","153,266.0","156,388.0","160,050.0","161,168.0","160,762.0","159,555.0","158,748.0","154,503.0","158,772.0","160,319.0","160,619.0","162,951.0","169,193.0","173,573.0","176,245.0","182,941.0","189,560.0","194,528.0","198,324.0","203,881.0","205,939.0","210,658.0","215,917.0","214,862.0","205,790.0","206,598.0","213,195.0","220,846.0","230,079.0","235,445.0","240,781.0","245,880.0","253,094.0","263,695.0","271,558.0","278,482.0","285,410.0","295,658.0","303,637.0","315,275.0","325,260.0","331,608.0","338,615.0","344,601.0","351,433.0","349,312.0","352,968.0","370,231.0","377,563.0","387,648.0","392,724.0","391,574.0","389,918.0","387,816.0","384,752.0","379,526.0","383,923.0","393,238.0","404,983.0","419,134.0","431,758.0","441,470.0","449,874.0","456,526.0","463,452.0","464,171.0","468,512.0","476,072.0","478,729.0","477,926.0","480,492.0","485,110.0","490,301.0","491,848.0","499,504.0","507,081.0","518,733.0","526,114.0","532,698.0","543,376.0","548,686.0","545,785.0","547,116.0","551,408.0","555,424.0","564,647.0","565,808.0","562,135.0","556,355.0","559,364.0","567,305.0","570,705.0","572,726.0","580,889.0","584,234.0","600,964.0","567,603.0","593,780.0","598,139.0","616,049.0","602,153.0","620,050.0","628,675.0","638,992.0","642,749.0","646,881.0","653,053.0","656,448.0","658,923.0","673,296.0","681,979.0","689,243.0","703,086.0","712,432.0","723,239.0","742,024.0","751,808.0","757,051.0","759,247.0","765,108.0","774,537.0","776,914.0","786,477.0","800,162.0","838,663.0","823,644.0","840,022.0","828,758.0"
"24","5","  Distributive industries","A212RC1","116,734.0","120,488.0","123,190.0","126,414.0","128,602.0","129,610.0","132,755.0","133,900.0","136,895.0","139,612.0","142,057.0","143,863.0","149,389.0","150,947.0","153,580.0","158,720.0","163,915.0","168,503.0","172,147.0","176,416.0","180,192.0","184,646.0","189,827.0","192,356.0","192,317.0","194,144.0","200,179.0","205,852.0","212,071.0","217,050.0","222,200.0","226,748.0","231,616.0","239,713.0","246,498.0","253,120.0","260,914.0","270,632.0","276,271.0","287,425.0","296,420.0","300,277.0","310,610.0","320,400.0","327,221.0","329,388.0","335,234.0","346,826.0","357,356.0","363,897.0","369,970.0","372,968.0","378,226.0","382,165.0","386,150.0","388,027.0","388,565.0","397,591.0","408,604.0","418,589.0","427,891.0","438,286.0","447,247.0","454,968.0","461,579.0","469,756.0","475,940.0","484,946.0","491,131.0","493,483.0","501,696.0","510,585.0","518,195.0","527,876.0","537,499.0","545,794.0","554,452.0","568,305.0","578,790.0","588,983.0","598,263.0","600,940.0","604,639.0","613,735.0","619,521.0","632,276.0","637,587.0","639,161.0","636,315.0","644,436.0","649,350.0","652,097.0","667,002.0","674,230.0","682,510.0","678,245.0","679,830.0","695,829.0","701,319.0","714,440.0","715,300.0","737,591.0","746,751.0","760,098.0","771,516.0","779,454.0","788,284.0","794,614.0","805,110.0","818,125.0","830,376.0","841,682.0","857,863.0","869,220.0","888,573.0","910,016.0","925,351.0","940,984.0","960,512.0","976,917.0","1,001,702.0","1,011,976.0","1,027,037.0","1,053,772.0","1,079,992.0","1,093,172.0","1,108,192.0","1,113,425.0"
"25","6","  Service industries","A218RC1","86,944.0","88,885.0","91,813.0","94,819.0","96,674.0","98,664.0","100,210.0","101,992.0","104,422.0","106,636.0","108,727.0","111,976.0","114,032.0","118,259.0","121,438.0","124,890.0","128,357.0","131,953.0","135,814.0","139,318.0","142,125.0","147,054.0","151,083.0","153,994.0","157,956.0","161,078.0","165,019.0","169,398.0","174,268.0","178,893.0","183,990.0","189,323.0","193,572.0","198,780.0","204,864.0","213,904.0","221,777.0","230,109.0","240,082.0","246,540.0","254,866.0","263,936.0","272,346.0","280,320.0","291,438.0","301,188.0","310,466.0","321,806.0","333,165.0","340,748.0","351,310.0","360,884.0","368,075.0","376,860.0","389,008.0","397,743.0","407,270.0","417,953.0","424,303.0","442,246.0","451,999.0","464,559.0","476,780.0","488,938.0","497,486.0","510,843.0","525,174.0","541,437.0","553,722.0","565,204.0","577,771.0","594,299.0","614,577.0","632,007.0","648,685.0","681,060.0","683,685.0","705,815.0","721,508.0","736,437.0","747,640.0","761,748.0","774,840.0","792,768.0","816,639.0","834,077.0","853,059.0","854,591.0","856,532.0","869,972.0","880,465.0","900,103.0","931,462.0","948,403.0","956,547.0","982,454.0","1,006,195.0","1,006,780.0","1,016,645.0","1,026,020.0","1,041,131.0","1,060,091.0","1,068,973.0","1,090,026.0","1,114,092.0","1,131,821.0","1,153,673.0","1,177,177.0","1,199,449.0","1,226,487.0","1,252,239.0","1,280,668.0","1,309,338.0","1,337,859.0","1,364,524.0","1,398,957.0","1,442,023.0","1,478,318.0","1,513,865.0","1,549,023.0","1,579,687.0","1,598,117.0","1,622,082.0","1,668,907.0","1,747,613.0","1,760,720.0","1,812,102.0","1,832,029.0"
