"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"21","2","Less: Exports of goods and services","A020RX1","145,249.0","177,816.0","173,552.0","179,527.0","180,929.0","188,882.0","188,317.0","190,055.0","190,769.0","190,434.0","198,323.0","181,711.0","201,408.0","195,548.0","207,357.0","216,149.0","231,989.0","243,177.0","243,989.0","255,965.0","259,237.0","271,846.0","257,187.0","263,908.0","265,769.0","258,034.0","253,687.0","268,031.0","266,175.0","268,856.0","276,668.0","279,479.0","274,989.0","282,402.0","284,589.0","275,456.0","281,945.0","311,328.0","314,742.0","327,238.0","327,507.0","328,370.0","340,193.0","361,599.0","371,687.0","378,697.0","377,896.0","375,620.0","382,708.0","384,795.0","376,614.0","378,359.0","361,953.0","364,127.0","347,991.0","332,056.0","337,422.0","338,441.0","343,538.0","350,460.0","357,784.0","366,678.0","374,772.0","382,381.0","383,370.0","382,542.0","376,977.0","388,259.0","400,476.0","404,815.0","414,077.0","429,511.0","429,824.0","447,480.0","466,872.0","484,281.0","511,191.0","525,527.0","535,887.0","552,240.0","568,722.0","593,614.0","599,672.0","608,748.0","635,186.0","643,087.0","647,955.0","653,660.0","657,653.0","681,631.0","697,767.0","713,479.0","726,377.0","726,729.0","742,144.0","745,886.0","747,581.0","756,541.0","754,526.0","778,859.0","786,511.0","813,069.0","843,501.0","862,969.0","879,584.0","891,915.0","930,517.0","943,813.0","955,193.0","970,735.0","978,594.0","1,039,609.0","1,059,367.0","1,101,722.0","1,127,242.0","1,125,670.0","1,130,936.0","1,118,454.0","1,113,262.0","1,154,471.0","1,126,437.0","1,137,911.0","1,171,342.0","1,200,895.0","1,219,158.0","1,254,745.0","1,285,516.0","1,274,312.0","1,254,496.0","1,213,044.0","1,154,073.0","1,117,993.0","1,140,855.0","1,172,095.0","1,180,452.0","1,164,472.0","1,157,558.0","1,156,225.0","1,187,033.0","1,239,236.0","1,276,616.0","1,293,076.0","1,300,553.0","1,332,074.0","1,352,648.0","1,377,637.0","1,379,208.0","1,418,128.0","1,470,959.0","1,498,504.0","1,495,517.0","1,562,099.0","1,587,671.0","1,615,651.0","1,665,560.0","1,716,692.0","1,737,937.0","1,790,015.0","1,766,117.0","1,669,231.0","1,535,344.0","1,539,374.0","1,593,341.0","1,682,902.0","1,708,162.0","1,748,067.0","1,797,508.0","1,852,641.0","1,862,301.0","1,890,682.0","1,910,595.0","1,929,669.0","1,942,596.0","1,964,350.0","1,974,050.0","1,971,737.0","1,976,628.0","2,000,515.0","2,021,066.0","2,074,212.0","2,038,650.0","2,086,848.0","2,095,994.0","2,123,913.0","2,091,364.0","2,117,541.0"
"22","3","Plus: Imports of goods and services","A021RX1","213,907.0","256,109.0","252,791.0","250,014.0","249,195.0","254,120.0","253,537.0","257,469.0","254,434.0","273,627.0","279,676.0","260,719.0","298,823.0","288,206.0","294,205.0","307,457.0","321,664.0","312,393.0","303,763.0","306,031.0","295,652.0","311,316.0","305,874.0","302,838.0","272,449.0","250,647.0","271,484.0","285,975.0","303,893.0","317,055.0","329,991.0","340,913.0","357,052.0","360,344.0","355,321.0","360,362.0","384,539.0","385,756.0","390,794.0","396,154.0","395,069.0","397,203.0","391,145.0","399,691.0","399,987.0","370,960.0","344,280.0","362,754.0","378,305.0","378,876.0","374,553.0","385,294.0","374,310.0","368,193.0","385,277.0","370,154.0","378,630.0","407,739.0","439,499.0","461,058.0","498,126.0","518,994.0","532,427.0","548,027.0","535,931.0","562,267.0","556,844.0","578,666.0","578,132.0","602,749.0","619,447.0","624,217.0","620,490.0","635,965.0","648,334.0","663,238.0","660,132.0","652,541.0","667,944.0","688,292.0","691,488.0","694,762.0","693,816.0","706,369.0","728,771.0","727,550.0","724,613.0","705,180.0","697,143.0","709,534.0","729,501.0","745,616.0","751,033.0","763,380.0","775,414.0","793,976.0","811,166.0","827,925.0","838,828.0","872,527.0","892,855.0","926,123.0","952,166.0","978,956.0","1,000,435.0","1,009,936.0","1,013,407.0","1,026,361.0","1,059,727.0","1,083,443.0","1,118,570.0","1,140,628.0","1,189,343.0","1,229,267.0","1,274,579.0","1,302,109.0","1,350,982.0","1,381,933.0","1,400,525.0","1,445,749.0","1,466,883.0","1,509,024.0","1,565,243.0","1,603,779.0","1,668,146.0","1,719,607.0","1,779,038.0","1,778,071.0","1,748,467.0","1,696,812.0","1,662,797.0","1,639,787.0","1,686,901.0","1,739,799.0","1,765,579.0","1,802,902.0","1,777,883.0","1,805,929.0","1,829,111.0","1,894,600.0","1,952,748.0","2,033,040.0","2,053,575.0","2,101,999.0","2,126,795.0","2,151,177.0","2,156,887.0","2,222,003.0","2,269,940.0","2,297,607.0","2,315,226.0","2,321,390.0","2,358,684.0","2,369,376.0","2,368,712.0","2,339,274.0","2,361,633.0","2,340,397.0","2,293,036.0","2,199,514.0","1,986,668.0","1,905,707.0","1,976,984.0","2,063,350.0","2,116,938.0","2,217,774.0","2,295,953.0","2,310,735.0","2,328,482.0","2,345,931.0","2,364,918.0","2,391,348.0","2,405,292.0","2,417,038.0","2,420,852.0","2,397,781.0","2,402,553.0","2,434,676.0","2,449,372.0","2,455,738.0","2,472,673.0","2,530,125.0","2,525,116.0","2,587,521.0","2,632,515.0","2,652,108.0"
"23","4","Equals: Gross domestic purchases","A712RX1","4,806,109.0","4,815,767.0","4,848,899.0","4,816,335.0","4,804,958.0","4,806,863.0","4,849,883.0","4,801,281.0","4,926,204.0","4,974,068.0","5,007,820.0","5,026,763.0","5,127,272.0","5,243,211.0","5,281,009.0","5,370,039.0","5,494,536.0","5,530,271.0","5,488,680.0","5,523,185.0","5,456,764.0","5,471,950.0","5,435,540.0","5,398,263.0","5,284,812.0","5,307,383.0","5,434,808.0","5,505,414.0","5,659,200.0","5,716,313.0","5,750,859.0","5,805,002.0","5,903,148.0","6,010,402.0","6,104,731.0","6,127,484.0","6,173,201.0","6,363,443.0","6,426,786.0","6,499,527.0","6,510,033.0","6,519,641.0","6,537,017.0","6,532,562.0","6,537,927.0","6,344,872.0","6,289,530.0","6,443,146.0","6,591,701.0","6,541,242.0","6,622,067.0","6,560,073.0","6,459,081.0","6,481,086.0","6,509,845.0","6,517,888.0","6,607,719.0","6,798,919.0","6,968,996.0","7,130,786.0","7,311,329.0","7,452,799.0","7,531,018.0","7,599,923.0","7,656,178.0","7,760,547.0","7,878,822.0","7,949,401.0","8,003,579.0","8,065,305.0","8,152,974.0","8,179,464.0","8,229,718.0","8,316,227.0","8,380,068.0","8,511,118.0","8,517,554.0","8,597,947.0","8,653,331.0","8,770,816.0","8,839,797.0","8,879,253.0","8,935,334.0","8,958,401.0","9,049,917.0","9,072,764.0","9,065,166.0","8,956,334.0","8,899,528.0","8,953,961.0","9,001,669.0","9,041,280.0","9,138,432.0","9,253,577.0","9,339,022.0","9,450,265.0","9,486,467.0","9,551,796.0","9,613,390.0","9,751,369.0","9,860,830.0","10,001,587.0","10,054,542.0","10,175,892.0","10,215,859.0","10,247,685.0","10,292,592.0","10,364,686.0","10,457,796.0","10,647,889.0","10,776,442.0","10,844,440.0","10,958,674.0","11,118,713.0","11,279,568.0","11,397,321.0","11,554,320.0","11,710,241.0","11,885,310.0","12,078,420.0","12,224,142.0","12,353,129.0","12,526,043.0","12,745,194.0","12,828,133.0","13,077,612.0","13,121,485.0","13,204,173.0","13,158,310.0","13,216,792.0","13,204,128.0","13,254,747.0","13,395,037.0","13,485,823.0","13,565,828.0","13,626,874.0","13,676,871.0","13,827,503.0","14,040,581.0","14,208,911.0","14,306,303.0","14,469,266.0","14,607,335.0","14,743,748.0","14,896,879.0","14,969,578.0","15,093,001.0","15,201,574.0","15,369,062.0","15,412,462.0","15,446,705.0","15,498,341.0","15,519,117.0","15,614,245.0","15,662,120.0","15,631,704.0","15,532,960.0","15,527,234.0","15,426,955.0","15,112,443.0","14,827,779.0","14,722,712.0","14,784,989.0","14,921,220.0","15,013,626.0","15,218,385.0","15,347,892.0","15,399,832.0","15,351,602.0","15,448,346.0","15,479,463.0","15,656,093.0","15,757,569.0","15,818,134.0","15,830,223.0","15,811,315.0","15,883,857.0","15,935,947.0","16,043,872.0","16,141,900.0","16,160,310.0","16,346,634.0","16,498,921.0","16,617,242.0","16,720,789.0","16,870,692.0"
"24","5","Plus: Exports of goods and services, command basis \1\","C020RX1","212,146.0","256,678.0","250,453.0","261,797.0","260,168.0","273,153.0","269,132.0","269,031.0","273,803.0","270,277.0","277,034.0","253,180.0","283,804.0","275,713.0","290,608.0","306,174.0","333,369.0","358,369.0","373,665.0","404,537.0","427,541.0","451,193.0","437,896.0","459,092.0","465,204.0","443,551.0","427,642.0","447,229.0","445,709.0","450,468.0","459,998.0","465,532.0","455,175.0","466,523.0","460,694.0","440,321.0","451,803.0","501,520.0","506,402.0","533,566.0","539,400.0","549,220.0","568,216.0","600,742.0","619,112.0","624,535.0","626,596.0","627,270.0","638,494.0","633,432.0","611,214.0","605,172.0","575,124.0","571,984.0","535,455.0","502,684.0","509,818.0","509,991.0","515,429.0","527,930.0","534,133.0","546,181.0","548,727.0","550,757.0","540,717.0","534,076.0","518,561.0","528,977.0","539,935.0","542,354.0","548,501.0","569,650.0","567,610.0","594,807.0","617,479.0","645,959.0","684,256.0","711,151.0","726,964.0","740,899.0","762,142.0","787,827.0","786,408.0","789,889.0","814,684.0","819,642.0","824,416.0","833,749.0","835,846.0","857,705.0","866,567.0","882,777.0","892,589.0","887,975.0","901,349.0","898,613.0","896,990.0","904,714.0","897,914.0","921,704.0","930,622.0","960,545.0","994,867.0","1,018,741.0","1,043,424.0","1,060,890.0","1,099,988.0","1,106,007.0","1,111,672.0","1,122,359.0","1,118,512.0","1,169,937.0","1,183,788.0","1,227,669.0","1,249,928.0","1,238,965.0","1,232,805.0","1,211,074.0","1,192,353.0","1,228,450.0","1,218,045.0","1,225,569.0","1,256,886.0","1,285,007.0","1,301,764.0","1,343,174.0","1,373,906.0","1,354,378.0","1,323,851.0","1,267,383.0","1,197,968.0","1,147,056.0","1,163,289.0","1,196,746.0","1,208,207.0","1,185,043.0","1,179,142.0","1,178,989.0","1,207,263.0","1,261,514.0","1,302,432.0","1,326,506.0","1,331,748.0","1,364,848.0","1,400,206.0","1,424,311.0","1,419,614.0","1,455,218.0","1,510,055.0","1,546,799.0","1,553,786.0","1,618,790.0","1,639,289.0","1,673,946.0","1,729,424.0","1,793,822.0","1,827,444.0","1,915,848.0","1,901,168.0","1,704,722.0","1,524,851.0","1,527,016.0","1,595,778.0","1,702,249.0","1,735,261.0","1,791,040.0","1,840,254.0","1,930,122.0","1,975,325.0","2,029,064.0","2,052,634.0","2,046,011.0","2,060,891.0","2,083,561.0","2,085,671.0","2,080,069.0","2,084,655.0","2,090,832.0","2,106,776.0","2,152,941.0","2,123,316.0","2,163,392.0","2,159,287.0","2,149,472.0","2,073,540.0","2,086,586.0"
"25","6","Less: Imports of goods and services, command basis \1\","C021RX1","211,323.0","250,757.0","245,874.0","246,342.0","244,645.0","248,876.0","251,974.0","255,063.0","254,604.0","271,102.0","277,410.0","260,142.0","298,417.0","293,194.0","301,336.0","318,485.0","338,930.0","348,800.0","349,013.0","370,889.0","404,117.0","460,859.0","462,005.0","458,982.0","410,970.0","373,590.0","389,236.0","403,925.0","431,275.0","451,991.0","472,342.0","485,228.0","516,936.0","527,424.0","519,100.0","522,861.0","557,976.0","562,452.0","569,298.0","576,166.0","585,674.0","604,387.0","624,070.0","664,216.0","701,664.0","658,783.0","614,553.0","641,599.0","668,298.0","661,171.0","626,499.0","634,468.0","607,050.0","580,496.0","592,225.0","558,750.0","556,050.0","595,018.0","636,235.0","659,430.0","707,338.0","734,689.0","735,103.0","743,067.0","702,039.0","735,052.0","722,472.0","760,069.0","757,033.0","764,156.0","786,339.0","796,879.0","805,880.0","840,820.0","859,027.0","885,499.0","886,866.0","883,694.0","886,053.0","911,896.0","920,739.0","924,757.0","902,319.0","916,735.0","948,695.0","922,987.0","935,723.0","949,814.0","904,589.0","891,371.0","896,973.0","915,856.0","921,904.0","934,473.0","955,608.0","964,657.0","974,623.0","992,246.0","992,208.0","1,022,505.0","1,040,722.0","1,083,600.0","1,125,649.0","1,155,595.0","1,184,042.0","1,206,297.0","1,198,482.0","1,197,948.0","1,228,084.0","1,244,792.0","1,267,087.0","1,284,914.0","1,324,082.0","1,337,260.0","1,374,184.0","1,388,683.0","1,405,899.0","1,418,607.0","1,414,991.0","1,455,575.0","1,482,178.0","1,534,785.0","1,603,082.0","1,654,461.0","1,737,445.0","1,785,179.0","1,848,261.0","1,842,933.0","1,796,674.0","1,699,218.0","1,637,877.0","1,574,989.0","1,611,790.0","1,690,863.0","1,718,681.0","1,753,055.0","1,763,872.0","1,762,891.0","1,786,177.0","1,851,200.0","1,926,258.0","2,014,502.0","2,048,138.0","2,126,078.0","2,147,432.0","2,179,216.0","2,211,672.0","2,300,085.0","2,338,206.0","2,372,899.0","2,399,464.0","2,372,785.0","2,394,881.0","2,428,966.0","2,459,217.0","2,505,687.0","2,589,553.0","2,673,452.0","2,665,780.0","2,305,614.0","1,920,103.0","1,869,697.0","2,001,168.0","2,140,268.0","2,218,959.0","2,307,640.0","2,366,802.0","2,423,049.0","2,521,757.0","2,593,946.0","2,600,936.0","2,617,629.0","2,644,814.0","2,633,773.0","2,590,892.0","2,579,738.0","2,580,128.0","2,583,966.0","2,583,513.0","2,582,929.0","2,611,717.0","2,650,835.0","2,629,951.0","2,648,239.0","2,580,222.0","2,561,838.0"
"26","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","4,802,230.0","4,814,869.0","4,845,709.0","4,825,837.0","4,816,056.0","4,824,329.0","4,860,191.0","4,809,109.0","4,939,211.0","4,965,622.0","5,000,361.0","5,012,993.0","5,101,505.0","5,214,894.0","5,262,202.0","5,357,126.0","5,482,141.0","5,526,608.0","5,502,219.0","5,559,713.0","5,475,393.0","5,464,907.0","5,406,025.0","5,388,053.0","5,329,483.0","5,369,710.0","5,465,371.0","5,540,879.0","5,663,411.0","5,705,154.0","5,729,711.0","5,781,747.0","5,837,976.0","5,936,242.0","6,023,552.0","6,051,181.0","6,062,499.0","6,292,891.0","6,350,115.0","6,447,427.0","6,451,181.0","6,453,956.0","6,476,753.0","6,466,997.0","6,448,077.0","6,304,014.0","6,295,249.0","6,419,267.0","6,546,154.0","6,504,158.0","6,592,911.0","6,521,636.0","6,421,684.0","6,465,057.0","6,447,397.0","6,457,653.0","6,554,533.0","6,706,919.0","6,841,221.0","6,992,950.0","7,133,521.0","7,256,489.0","7,335,718.0","7,402,142.0","7,486,754.0","7,555,255.0","7,665,844.0","7,712,280.0","7,780,805.0","7,840,069.0","7,906,707.0","7,940,073.0","7,990,271.0","8,070,229.0","8,137,485.0","8,274,386.0","8,318,733.0","8,427,101.0","8,493,521.0","8,594,310.0","8,682,449.0","8,742,072.0","8,818,274.0","8,833,120.0","8,916,551.0","8,970,258.0","8,954,021.0","8,838,562.0","8,829,627.0","8,920,102.0","8,972,231.0","9,010,185.0","9,108,509.0","9,206,875.0","9,285,420.0","9,383,449.0","9,404,900.0","9,460,854.0","9,524,391.0","9,651,875.0","9,748,755.0","9,877,127.0","9,926,298.0","10,039,965.0","10,073,245.0","10,099,494.0","10,196,180.0","10,276,472.0","10,348,129.0","10,532,590.0","10,616,827.0","10,727,356.0","10,830,265.0","10,999,978.0","11,153,414.0","11,244,513.0","11,380,131.0","11,499,364.0","11,660,764.0","11,855,184.0","11,966,866.0","12,040,861.0","12,177,754.0","12,369,492.0","12,388,977.0","12,634,135.0","12,646,766.0","12,715,988.0","12,684,778.0","12,784,936.0","12,764,779.0","12,825,843.0","12,948,982.0","12,988,793.0","13,053,060.0","13,059,076.0","13,091,432.0","13,242,572.0","13,462,142.0","13,616,617.0","13,681,129.0","13,783,658.0","13,887,775.0","13,979,802.0","14,147,486.0","14,213,266.0","14,300,751.0","14,356,783.0","14,543,304.0","14,586,093.0","14,600,573.0","14,742,754.0","14,762,938.0","14,856,076.0","14,931,438.0","14,921,484.0","14,772,173.0","14,777,422.0","14,669,993.0","14,512,571.0","14,434,601.0","14,380,648.0","14,378,157.0","14,481,146.0","14,530,629.0","14,699,939.0","14,819,378.0","14,904,967.0","14,803,698.0","14,879,688.0","14,930,845.0","15,085,131.0","15,173,695.0","15,269,937.0","15,319,475.0","15,311,477.0","15,392,884.0","15,442,731.0","15,563,519.0","15,706,028.0","15,669,589.0","15,857,049.0","16,027,520.0","16,116,415.0","16,212,189.0","16,393,878.0"
"27","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","53,473.0","54,911.0","56,627.0","57,674.0","58,843.0","59,396.0","58,154.0","54,023.0","57,670.0","60,280.0","59,107.0","61,878.0","62,815.0","64,650.0","67,856.0","70,341.0","80,528.0","87,414.0","96,629.0","98,589.0","108,690.0","108,028.0","105,333.0","96,870.0","88,602.0","85,999.0","89,573.0","95,871.0","97,418.0","99,095.0","98,665.0","99,205.0","104,833.0","106,478.0","108,217.0","105,852.0","116,579.0","114,688.0","122,401.0","139,517.0","146,829.0","159,380.0","178,056.0","185,072.0","192,700.0","179,270.0","164,795.0","167,910.0","179,216.0","184,299.0","193,889.0","192,065.0","192,866.0","208,011.0","194,260.0","183,841.0","176,662.0","184,882.0","194,996.0","202,063.0","209,360.0","222,680.0","228,452.0","217,954.0","199,025.0","200,779.0","191,917.0","196,847.0","200,671.0","192,984.0","186,916.0","182,765.0","189,596.0","203,165.0","209,057.0","219,904.0","237,718.0","237,026.0","245,940.0","258,917.0","269,298.0","279,209.0","275,837.0","277,302.0","278,149.0","277,028.0","274,319.0","296,980.0","272,364.0","243,917.0","233,068.0","225,498.0","220,963.0","222,778.0","209,914.0","206,541.0","211,775.0","213,876.0","217,145.0","217,726.0","225,964.0","239,291.0","257,810.0","276,197.0","295,374.0","307,694.0","304,130.0","311,636.0","315,341.0","312,549.0","319,796.0","336,691.0","348,255.0","364,028.0","367,143.0","359,517.0","371,055.0","374,933.0","359,693.0","358,304.0","373,981.0","391,812.0","414,469.0","434,788.0","448,750.0","474,630.0","463,542.0","487,711.0","436,207.0","406,197.0","372,217.0","349,532.0","358,215.0","372,906.0","390,578.0","375,537.0","389,468.0","402,345.0","413,975.0","446,410.0","480,562.0","494,830.0","515,533.0","543,356.0","594,625.0","607,135.0","633,622.0","670,855.0","705,325.0","760,545.0","781,715.0","807,866.0","832,935.0","895,291.0","934,349.0","933,483.0","912,515.0","897,449.0","866,104.0","743,766.0","638,156.0","624,340.0","654,604.0","678,205.0","689,473.0","702,970.0","709,111.0","734,923.0","743,284.0","761,453.0","777,191.0","767,299.0","769,181.0","744,912.0","759,799.0","756,288.0","753,855.0","771,618.0","775,243.0","778,432.0","774,992.0","780,792.0","795,560.0","784,037.0","750,502.0","773,572.0"
"28","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","22,916.0","25,580.0","28,698.0","29,774.0","30,102.0","29,475.0","28,756.0","27,305.0","25,486.0","26,123.0","28,350.0","29,421.0","29,014.0","31,327.0","31,581.0","34,053.0","38,162.0","42,089.0","43,487.0","44,829.0","46,169.0","49,622.0","52,508.0","52,035.0","51,101.0","48,214.0","48,122.0","45,774.0","48,542.0","47,956.0","46,780.0","45,883.0","43,993.0","46,691.0","48,943.0","53,483.0","55,937.0","64,193.0","67,102.0","75,642.0","81,388.0","86,159.0","90,514.0","98,635.0","105,107.0","98,642.0","89,046.0","106,739.0","113,576.0","122,665.0","127,795.0","117,328.0","122,266.0","128,582.0","127,189.0","119,237.0","112,534.0","116,124.0","124,834.0","128,968.0","141,831.0","154,834.0","161,409.0","158,660.0","153,630.0","152,188.0","152,678.0","152,504.0","162,495.0","166,316.0","155,804.0","162,367.0","165,357.0","172,814.0","179,557.0","187,476.0","196,884.0","200,105.0","213,627.0","222,932.0","234,119.0","245,558.0","238,325.0","230,099.0","233,468.0","229,549.0","234,019.0","222,896.0","214,824.0","202,453.0","196,838.0","177,829.0","174,236.0","177,319.0","168,735.0","164,077.0","158,798.0","170,267.0","166,083.0","188,240.0","187,358.0","206,990.0","227,851.0","247,683.0","254,455.0","263,302.0","278,147.0","270,376.0","265,312.0","273,448.0","284,992.0","294,890.0","317,397.0","323,550.0","336,529.0","337,587.0","337,544.0","345,111.0","346,449.0","341,722.0","346,003.0","357,308.0","383,702.0","391,775.0","410,742.0","433,055.0","427,781.0","421,966.0","387,315.0","346,457.0","340,033.0","241,455.0","297,039.0","334,247.0","335,195.0","300,463.0","331,093.0","327,949.0","339,907.0","342,082.0","356,245.0","399,902.0","409,268.0","466,497.0","481,029.0","506,618.0","522,802.0","592,209.0","624,946.0","686,173.0","721,821.0","737,069.0","761,753.0","801,934.0","782,533.0","735,423.0","730,967.0","713,389.0","666,256.0","623,015.0","509,289.0","499,323.0","475,205.0","507,576.0","487,963.0","500,258.0","512,547.0","524,280.0","521,666.0","539,064.0","532,435.0","507,519.0","530,553.0","525,713.0","536,039.0","539,615.0","546,894.0","540,663.0","529,688.0","529,004.0","536,225.0","544,772.0","546,840.0","541,894.0","541,535.0","562,522.0"
"29","10","Equals: Command-basis gross national product \1,3\","CB22RX1","4,832,788.0","4,844,200.0","4,873,638.0","4,853,738.0","4,844,796.0","4,854,250.0","4,889,590.0","4,835,828.0","4,971,395.0","4,999,780.0","5,031,118.0","5,045,450.0","5,135,307.0","5,248,217.0","5,298,477.0","5,393,415.0","5,524,508.0","5,571,933.0","5,555,361.0","5,613,473.0","5,537,914.0","5,523,314.0","5,458,851.0","5,432,888.0","5,366,984.0","5,407,495.0","5,506,821.0","5,590,976.0","5,712,288.0","5,756,293.0","5,781,595.0","5,835,069.0","5,898,816.0","5,996,029.0","6,082,826.0","6,103,550.0","6,123,141.0","6,343,386.0","6,405,414.0","6,511,302.0","6,516,622.0","6,527,177.0","6,564,296.0","6,553,434.0","6,535,670.0","6,384,642.0","6,370,998.0","6,480,438.0","6,611,793.0","6,565,791.0","6,659,006.0","6,596,373.0","6,492,284.0","6,544,486.0","6,514,468.0","6,522,258.0","6,618,661.0","6,775,677.0","6,911,383.0","7,066,046.0","7,201,050.0","7,324,335.0","7,402,762.0","7,461,437.0","7,532,150.0","7,603,846.0","7,705,083.0","7,756,623.0","7,818,981.0","7,866,736.0","7,937,820.0","7,960,472.0","8,014,510.0","8,100,580.0","8,166,984.0","8,306,814.0","8,359,567.0","8,464,022.0","8,525,834.0","8,630,295.0","8,717,628.0","8,775,723.0","8,855,786.0","8,880,323.0","8,961,232.0","9,017,737.0","8,994,321.0","8,912,646.0","8,887,166.0","8,961,565.0","9,008,461.0","9,057,854.0","9,155,236.0","9,252,335.0","9,326,599.0","9,425,913.0","9,457,877.0","9,504,463.0","9,575,453.0","9,681,360.0","9,787,361.0","9,909,428.0","9,956,258.0","10,068,480.0","10,114,164.0","10,143,886.0","10,222,163.0","10,317,732.0","10,398,158.0","10,571,691.0","10,651,631.0","10,769,158.0","10,861,124.0","11,040,457.0","11,184,028.0","11,266,443.0","11,413,643.0","11,529,186.0","11,674,008.0","11,871,766.0","11,994,843.0","12,075,365.0","12,208,521.0","12,412,505.0","12,426,984.0","12,675,710.0","12,682,526.0","12,781,733.0","12,733,670.0","12,844,676.0","12,796,964.0","12,933,920.0","13,010,158.0","13,027,452.0","13,108,443.0","13,134,149.0","13,149,808.0","13,316,969.0","13,536,210.0","13,720,946.0","13,805,445.0","13,878,586.0","13,994,041.0","14,056,661.0","14,261,082.0","14,313,783.0","14,411,571.0","14,435,428.0","14,623,683.0","14,660,465.0","14,660,467.0","14,813,552.0","14,834,120.0","14,949,433.0","15,083,255.0","15,119,544.0","14,953,720.0","14,961,483.0","14,869,841.0","14,633,323.0","14,563,469.0","14,505,666.0","14,557,557.0","14,651,774.0","14,732,139.0","14,902,650.0","15,015,942.0","15,115,610.0","15,025,316.0","15,102,077.0","15,175,601.0","15,344,911.0","15,412,324.0","15,489,136.0","15,543,235.0","15,528,150.0","15,599,846.0","15,673,687.0","15,809,073.0","15,955,456.0","15,908,357.0","16,093,068.0","16,276,240.0","16,358,558.0","16,421,156.0","16,604,928.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
