"","Table 1#1#5# Gross Domestic Product","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"21","2","Personal consumption expenditures","DPCERC1","587,812.0","599,170.0","609,487.0","621,488.0","632,576.0","642,533.0","654,479.0","661,178.0","680,203.0","694,251.0","706,654.0","722,854.0","740,119.0","758,615.0","777,120.0","801,878.0","826,451.0","842,043.0","860,476.0","875,580.0","893,757.0","922,287.0","951,062.0","960,868.0","987,077.0","1,015,822.0","1,049,589.0","1,078,524.0","1,112,300.0","1,131,964.0","1,161,344.0","1,195,080.0","1,230,568.0","1,258,543.0","1,289,707.0","1,327,873.0","1,357,760.0","1,415,292.0","1,446,246.0","1,485,397.0","1,520,983.0","1,561,548.0","1,615,985.0","1,659,463.0","1,706,520.0","1,708,916.0","1,767,679.0","1,835,354.0","1,890,711.0","1,921,924.0","1,961,244.0","1,976,139.0","2,014,394.0","2,041,093.0","2,089,226.0","2,150,927.0","2,190,562.0","2,254,512.0","2,324,306.0","2,376,696.0","2,422,755.0","2,481,222.0","2,519,712.0","2,568,936.0","2,643,896.0","2,691,201.0","2,764,744.0","2,790,877.0","2,834,731.0","2,863,039.0","2,929,733.0","2,966,130.0","2,998,253.0","3,068,803.0","3,133,528.0","3,167,620.0","3,248,998.0","3,308,970.0","3,378,332.0","3,451,266.0","3,506,077.0","3,569,519.0","3,625,560.0","3,670,109.0","3,754,497.0","3,800,161.0","3,863,399.0","3,884,449.0","3,890,218.0","3,943,691.0","3,989,638.0","4,017,069.0","4,117,664.0","4,173,359.0","4,245,410.0","4,326,188.0","4,368,484.0","4,437,456.0","4,506,030.0","4,572,021.0","4,640,857.0","4,702,884.0","4,773,113.0","4,847,226.0","4,883,349.0","4,954,959.0","5,020,462.0","5,077,937.0","5,153,790.0","5,244,132.0","5,298,287.0","5,376,067.0","5,456,730.0","5,495,080.0","5,603,459.0","5,687,614.0","5,745,924.0","5,857,832.0","5,952,816.0","6,055,545.0","6,129,002.0","6,252,980.0","6,357,222.0","6,488,890.0","6,642,744.0","6,737,272.0","6,845,136.0","6,944,405.0","7,020,383.0","7,072,101.0","7,103,358.0","7,216,591.0","7,251,359.0","7,344,494.0","7,433,115.0","7,507,237.0","7,593,530.0","7,684,580.0","7,845,545.0","7,938,463.0","8,076,797.0","8,186,343.0","8,312,675.0","8,464,252.0","8,573,119.0","8,723,929.0","8,888,051.0","8,991,340.0","9,134,285.0","9,253,742.0","9,374,319.0","9,453,632.0","9,591,854.0","9,700,919.0","9,799,229.0","9,910,027.0","9,974,369.0","10,095,765.0","10,124,858.0","9,859,595.0","9,770,222.0","9,769,750.0","9,890,813.0","9,957,093.0","10,044,522.0","10,137,651.0","10,233,421.0","10,393,185.0","10,523,541.0","10,651,357.0","10,754,462.0","10,827,855.0","10,956,230.0","11,008,347.0","11,073,602.0","11,164,329.0","11,271,781.0","11,322,819.0","11,417,672.0","11,556,882.0","11,640,294.0","11,813,000.0","11,949,064.0","12,061,405.0","12,055,458.0","12,228,363.0"
"22","3","  Goods","DGDSRC1","298,845.0","302,664.0","306,617.0","310,588.0","314,093.0","317,558.0","321,724.0","321,802.0","333,881.0","339,822.0","343,865.0","350,898.0","357,742.0","368,369.0","377,676.0","391,474.0","407,267.0","412,682.0","420,716.0","425,878.0","435,503.0","448,598.0","463,992.0","458,056.0","467,992.0","481,542.0","502,751.0","513,052.0","530,733.0","538,969.0","550,451.0","565,061.0","580,396.0","592,927.0","603,898.0","624,307.0","629,245.0","661,000.0","672,364.0","691,665.0","707,868.0","722,167.0","753,280.0","768,437.0","792,001.0","777,829.0","801,864.0","827,481.0","860,091.0","863,785.0","881,052.0","872,542.0","886,290.0","887,949.0","901,827.0","921,095.0","925,912.0","962,633.0","990,799.0","1,015,791.0","1,037,897.0","1,063,642.0","1,066,643.0","1,086,621.0","1,110,395.0","1,126,011.0","1,156,935.0","1,157,099.0","1,170,880.0","1,174,747.0","1,216,749.0","1,220,140.0","1,215,880.0","1,251,383.0","1,281,198.0","1,276,730.0","1,308,828.0","1,326,763.0","1,341,167.0","1,372,484.0","1,388,977.0","1,421,091.0","1,441,929.0","1,443,225.0","1,489,564.0","1,479,261.0","1,496,676.0","1,499,702.0","1,485,838.0","1,497,013.0","1,508,728.0","1,498,153.0","1,533,847.0","1,548,207.0","1,573,142.0","1,597,875.0","1,606,982.0","1,634,170.0","1,649,165.0","1,679,070.0","1,705,669.0","1,726,816.0","1,758,889.0","1,794,840.0","1,788,104.0","1,803,898.0","1,826,231.0","1,843,894.0","1,870,998.0","1,915,873.0","1,925,887.0","1,957,926.0","1,986,695.0","1,974,527.0","2,020,469.0","2,045,370.0","2,044,769.0","2,089,508.0","2,120,129.0","2,180,462.0","2,204,797.0","2,272,709.0","2,310,925.0","2,358,640.0","2,412,722.0","2,436,779.0","2,468,822.0","2,493,089.0","2,498,883.0","2,509,685.0","2,514,890.0","2,577,490.0","2,559,548.0","2,587,830.0","2,620,153.0","2,626,789.0","2,656,515.0","2,676,312.0","2,765,141.0","2,788,257.0","2,841,494.0","2,873,246.0","2,910,191.0","2,976,084.0","3,006,393.0","3,057,385.0","3,125,445.0","3,131,896.0","3,191,923.0","3,222,316.0","3,267,512.0","3,261,437.0","3,302,105.0","3,351,082.0","3,374,494.0","3,418,618.0","3,406,263.0","3,458,756.0","3,450,259.0","3,187,522.0","3,136,958.0","3,148,385.0","3,244,924.0","3,263,510.0","3,304,859.0","3,325,626.0","3,362,406.0","3,458,365.0","3,533,972.0","3,587,954.0","3,613,024.0","3,650,897.0","3,714,386.0","3,717,199.0","3,744,736.0","3,779,993.0","3,827,725.0","3,810,506.0","3,843,988.0","3,864,791.0","3,874,737.0","3,951,491.0","3,987,358.0","3,980,133.0","3,901,518.0","3,978,147.0"
"23","4","    Durable goods","DDURRC1","90,010.0","90,448.0","90,629.0","90,844.0","89,611.0","91,009.0","92,010.0","87,326.0","98,053.0","100,989.0","103,442.0","107,303.0","110,704.0","114,065.0","117,591.0","123,418.0","131,813.0","131,296.0","130,799.0","128,203.0","126,650.0","130,582.0","136,325.0","127,148.0","131,786.0","136,693.0","146,787.0","153,393.0","163,297.0","165,898.0","169,845.0","175,455.0","183,930.0","189,223.0","193,990.0","200,704.0","198,170.0","216,187.0","216,742.0","222,300.0","223,277.0","222,101.0","230,932.0","229,049.0","232,055.0","211,916.0","225,364.0","236,230.0","246,046.0","240,936.0","251,926.0","236,842.0","246,437.0","249,227.0","252,108.0","264,356.0","268,909.0","289,584.0","302,363.0","319,270.0","331,440.0","341,270.0","342,075.0","353,839.0","368,010.0","373,251.0","396,451.0","383,753.0","391,628.0","407,293.0","445,708.0","441,133.0","418,497.0","439,101.0","460,541.0","449,949.0","470,441.0","473,223.0","470,389.0","486,162.0","486,449.0","493,343.0","505,640.0","491,885.0","515,394.0","498,408.0","493,569.0","480,946.0","471,690.0","475,248.0","484,335.0","477,454.0","496,179.0","500,989.0","512,092.0","523,065.0","527,853.0","547,844.0","556,638.0","573,796.0","588,823.0","598,720.0","609,310.0","631,828.0","621,251.0","626,914.0","642,542.0","652,243.0","659,826.0","676,331.0","679,383.0","689,641.0","705,590.0","696,587.0","722,779.0","737,162.0","737,701.0","769,239.0","785,044.0","825,189.0","819,948.0","854,806.0","871,191.0","876,329.0","920,876.0","901,930.0","911,657.0","915,824.0","926,811.0","919,478.0","923,888.0","995,881.0","974,943.0","979,662.0","1,003,535.0","983,333.0","974,014.0","1,007,844.0","1,042,259.0","1,045,995.0","1,062,284.0","1,071,657.0","1,084,242.0","1,101,102.0","1,110,514.0","1,140,593.0","1,145,409.0","1,112,412.0","1,153,328.0","1,147,013.0","1,157,970.0","1,166,147.0","1,173,351.0","1,184,942.0","1,190,188.0","1,190,051.0","1,152,314.0","1,139,845.0","1,101,850.0","1,015,118.0","1,012,020.0","1,004,758.0","1,045,826.0","1,030,669.0","1,040,196.0","1,064,689.0","1,075,093.0","1,102,797.0","1,115,282.0","1,112,345.0","1,123,844.0","1,149,842.0","1,178,771.0","1,181,585.0","1,194,180.0","1,212,906.0","1,235,408.0","1,235,595.0","1,237,476.0","1,242,761.0","1,243,102.0","1,279,097.0","1,295,126.0","1,303,537.0","1,301,834.0","1,326,358.0"
"24","5","    Nondurable goods","DNDGRC1","208,835.0","212,216.0","215,988.0","219,744.0","224,482.0","226,549.0","229,714.0","234,476.0","235,828.0","238,833.0","240,423.0","243,595.0","247,038.0","254,304.0","260,085.0","268,056.0","275,454.0","281,386.0","289,917.0","297,675.0","308,853.0","318,016.0","327,667.0","330,908.0","336,206.0","344,849.0","355,964.0","359,659.0","367,436.0","373,071.0","380,606.0","389,606.0","396,466.0","403,704.0","409,908.0","423,603.0","431,075.0","444,813.0","455,622.0","469,365.0","484,591.0","500,066.0","522,348.0","539,388.0","559,946.0","565,913.0","576,500.0","591,251.0","614,045.0","622,849.0","629,126.0","635,700.0","639,853.0","638,722.0","649,719.0","656,739.0","657,003.0","673,049.0","688,436.0","696,521.0","706,457.0","722,372.0","724,568.0","732,782.0","742,385.0","752,760.0","760,484.0","773,346.0","779,252.0","767,454.0","771,041.0","779,007.0","797,383.0","812,282.0","820,657.0","826,781.0","838,387.0","853,540.0","870,778.0","886,322.0","902,528.0","927,748.0","936,289.0","951,340.0","974,170.0","980,853.0","1,003,107.0","1,018,756.0","1,014,148.0","1,021,765.0","1,024,393.0","1,020,699.0","1,037,668.0","1,047,218.0","1,061,050.0","1,074,810.0","1,079,129.0","1,086,326.0","1,092,527.0","1,105,274.0","1,116,846.0","1,128,096.0","1,149,579.0","1,163,012.0","1,166,853.0","1,176,984.0","1,183,689.0","1,191,651.0","1,211,172.0","1,239,542.0","1,246,504.0","1,268,285.0","1,281,105.0","1,277,940.0","1,297,690.0","1,308,208.0","1,307,068.0","1,320,269.0","1,335,085.0","1,355,273.0","1,384,849.0","1,417,903.0","1,439,734.0","1,482,311.0","1,491,846.0","1,534,849.0","1,557,165.0","1,577,265.0","1,572,072.0","1,590,207.0","1,591,002.0","1,581,609.0","1,584,605.0","1,608,168.0","1,616,618.0","1,643,456.0","1,682,501.0","1,668,468.0","1,722,882.0","1,742,262.0","1,779,210.0","1,801,589.0","1,825,949.0","1,874,982.0","1,895,879.0","1,916,792.0","1,980,036.0","2,019,484.0","2,038,595.0","2,075,303.0","2,109,542.0","2,095,290.0","2,128,754.0","2,166,140.0","2,184,306.0","2,228,567.0","2,253,949.0","2,318,911.0","2,348,409.0","2,172,404.0","2,124,938.0","2,143,627.0","2,199,098.0","2,232,841.0","2,264,663.0","2,260,937.0","2,287,313.0","2,355,568.0","2,418,690.0","2,475,609.0","2,489,180.0","2,501,055.0","2,535,615.0","2,535,614.0","2,550,556.0","2,567,087.0","2,592,316.0","2,574,911.0","2,606,512.0","2,622,030.0","2,631,636.0","2,672,393.0","2,692,233.0","2,676,597.0","2,599,684.0","2,651,789.0"
"25","6","  Services","DSERRC1","288,967.0","296,506.0","302,870.0","310,900.0","318,483.0","324,975.0","332,755.0","339,376.0","346,322.0","354,429.0","362,789.0","371,956.0","382,377.0","390,246.0","399,444.0","410,404.0","419,184.0","429,361.0","439,760.0","449,702.0","458,254.0","473,689.0","487,070.0","502,812.0","519,085.0","534,280.0","546,838.0","565,472.0","581,567.0","592,995.0","610,893.0","630,019.0","650,172.0","665,616.0","685,809.0","703,566.0","728,515.0","754,292.0","773,882.0","793,732.0","813,115.0","839,381.0","862,705.0","891,026.0","914,519.0","931,087.0","965,815.0","1,007,873.0","1,030,620.0","1,058,139.0","1,080,192.0","1,103,597.0","1,128,104.0","1,153,144.0","1,187,399.0","1,229,832.0","1,264,650.0","1,291,879.0","1,333,507.0","1,360,905.0","1,384,858.0","1,417,580.0","1,453,069.0","1,482,315.0","1,533,501.0","1,565,190.0","1,607,809.0","1,633,778.0","1,663,851.0","1,688,292.0","1,712,984.0","1,745,990.0","1,782,373.0","1,817,420.0","1,852,330.0","1,890,890.0","1,940,170.0","1,982,207.0","2,037,165.0","2,078,782.0","2,117,100.0","2,148,428.0","2,183,631.0","2,226,884.0","2,264,933.0","2,320,900.0","2,366,723.0","2,384,747.0","2,404,380.0","2,446,678.0","2,480,910.0","2,518,916.0","2,583,817.0","2,625,152.0","2,672,268.0","2,728,313.0","2,761,502.0","2,803,286.0","2,856,865.0","2,892,951.0","2,935,188.0","2,976,068.0","3,014,224.0","3,052,386.0","3,095,245.0","3,151,061.0","3,194,231.0","3,234,043.0","3,282,792.0","3,328,259.0","3,372,400.0","3,418,141.0","3,470,035.0","3,520,553.0","3,582,990.0","3,642,244.0","3,701,155.0","3,768,324.0","3,832,687.0","3,875,083.0","3,924,205.0","3,980,271.0","4,046,297.0","4,130,250.0","4,230,022.0","4,300,493.0","4,376,314.0","4,451,316.0","4,521,500.0","4,562,416.0","4,588,468.0","4,639,101.0","4,691,811.0","4,756,664.0","4,812,962.0","4,880,448.0","4,937,015.0","5,008,268.0","5,080,404.0","5,150,206.0","5,235,303.0","5,313,097.0","5,402,484.0","5,488,168.0","5,566,726.0","5,666,544.0","5,762,606.0","5,859,444.0","5,942,362.0","6,031,426.0","6,106,807.0","6,192,195.0","6,289,749.0","6,349,837.0","6,424,735.0","6,491,409.0","6,568,106.0","6,637,009.0","6,674,599.0","6,672,073.0","6,633,264.0","6,621,365.0","6,645,889.0","6,693,583.0","6,739,663.0","6,812,025.0","6,871,015.0","6,934,820.0","6,989,569.0","7,063,403.0","7,141,438.0","7,176,958.0","7,241,844.0","7,291,148.0","7,328,866.0","7,384,335.0","7,444,056.0","7,512,314.0","7,573,685.0","7,692,090.0","7,765,557.0","7,861,510.0","7,961,706.0","8,081,271.0","8,153,940.0","8,250,216.0"
"26","7","Gross private domestic investment","A006RC1","172,388.0","172,720.0","177,566.0","171,577.0","168,113.0","171,453.0","173,902.0","166,752.0","189,496.0","197,330.0","202,055.0","198,414.0","212,966.0","226,799.0","233,090.0","239,713.0","254,314.0","268,198.0","264,337.0","280,857.0","268,363.0","277,393.0","271,012.0","281,337.0","244,307.0","243,281.0","265,191.0","276,235.0","304,640.0","322,304.0","328,309.0","337,649.0","360,312.0","389,703.0","414,134.0","422,301.0","434,794.0","470,583.0","492,365.0","515,758.0","525,811.0","539,294.0","545,625.0","547,879.0","554,562.0","519,290.0","495,073.0","551,474.0","619,383.0","609,839.0","652,296.0","643,395.0","588,317.0","593,622.0","592,959.0","549,246.0","565,519.0","613,777.0","652,267.0","718,497.0","790,872.0","818,897.0","838,850.0","831,742.0","809,868.0","827,040.0","822,153.0","859,549.0","863,454.0","855,234.0","835,830.0","842,063.0","871,198.0","874,587.0","876,468.0","946,454.0","908,571.0","934,526.0","942,003.0","962,751.0","1,005,364.0","1,000,990.0","996,504.0","995,948.0","1,010,840.0","1,014,752.0","1,000,658.0","947,550.0","924,608.0","926,552.0","947,472.0","978,757.0","956,774.0","1,013,062.0","1,024,205.0","1,058,008.0","1,083,901.0","1,094,466.0","1,095,941.0","1,152,995.0","1,202,059.0","1,265,089.0","1,251,594.0","1,307,188.0","1,327,265.0","1,303,825.0","1,303,220.0","1,335,619.0","1,355,230.0","1,418,560.0","1,474,446.0","1,479,995.0","1,521,951.0","1,589,852.0","1,625,338.0","1,645,296.0","1,712,314.0","1,694,789.0","1,739,786.0","1,794,417.0","1,850,634.0","1,845,773.0","1,890,917.0","1,949,443.0","1,945,917.0","2,071,760.0","2,055,769.0","2,061,573.0","1,967,535.0","1,966,993.0","1,937,338.0","1,842,681.0","1,910,026.0","1,925,596.0","1,927,858.0","1,936,499.0","1,960,189.0","1,970,549.0","2,048,269.0","2,132,792.0","2,155,154.0","2,259,525.0","2,311,281.0","2,380,750.0","2,475,169.0","2,469,547.0","2,527,238.0","2,636,478.0","2,699,654.0","2,696,951.0","2,684,405.0","2,641,582.0","2,634,210.0","2,671,911.0","2,658,237.0","2,610,614.0","2,527,014.0","2,493,261.0","2,435,872.0","2,243,111.0","1,972,146.0","1,825,890.0","1,786,398.0","1,928,031.0","1,989,539.0","2,092,716.0","2,164,566.0","2,156,457.0","2,123,458.0","2,212,675.0","2,228,221.0","2,395,169.0","2,460,780.0","2,534,772.0","2,529,927.0","2,521,337.0","2,578,287.0","2,620,408.0","2,711,519.0","2,749,877.0","2,751,132.0","2,841,592.0","2,910,154.0","2,937,199.0","2,995,874.0","3,025,459.0"
"27","8","  Fixed investment","A007RC1","160,899.0","163,498.0","167,372.0","165,790.0","166,290.0","166,372.0","168,819.0","170,736.0","177,242.0","186,455.0","191,867.0","198,709.0","209,739.0","214,801.0","219,375.0","232,222.0","243,764.0","249,992.0","254,576.0","255,864.0","255,844.0","259,977.0","265,434.0","260,891.0","254,335.0","257,235.0","266,579.0","275,887.0","289,947.0","299,856.0","307,502.0","327,131.0","345,490.0","370,234.0","383,250.0","398,180.0","409,341.0","446,326.0","467,399.0","487,271.0","501,959.0","511,893.0","533,494.0","539,326.0","544,663.0","511,540.0","528,928.0","560,592.0","580,628.0","598,126.0","608,336.0","618,588.0","609,783.0","597,788.0","587,161.0","589,066.0","600,579.0","621,449.0","656,471.0","694,565.0","717,890.0","749,576.0","767,512.0","783,763.0","793,638.0","805,394.0","805,850.0","826,430.0","833,057.0","839,571.0","842,849.0","854,822.0","843,225.0","858,063.0","875,451.0","883,372.0","891,615.0","914,878.0","923,822.0","943,607.0","957,227.0","964,733.0","986,678.0","979,395.0","996,886.0","981,052.0","978,792.0","958,885.0","940,128.0","944,585.0","946,629.0","947,624.0","956,528.0","989,853.0","1,003,693.0","1,036,664.0","1,047,961.0","1,070,362.0","1,089,343.0","1,136,383.0","1,156,697.0","1,183,678.0","1,198,371.0","1,232,046.0","1,266,086.0","1,270,066.0","1,291,894.0","1,317,188.0","1,348,349.0","1,388,039.0","1,423,376.0","1,445,270.0","1,472,193.0","1,501,464.0","1,557,390.0","1,567,632.0","1,607,214.0","1,657,449.0","1,687,367.0","1,734,400.0","1,767,240.0","1,810,661.0","1,850,400.0","1,865,202.0","1,929,760.0","1,981,317.0","1,998,536.0","2,007,230.0","1,998,166.0","1,978,553.0","1,967,453.0","1,923,510.0","1,910,240.0","1,906,476.0","1,902,565.0","1,906,696.0","1,929,185.0","1,970,937.0","2,040,142.0","2,094,391.0","2,106,284.0","2,183,290.0","2,248,997.0","2,312,701.0","2,375,665.0","2,438,921.0","2,509,298.0","2,546,229.0","2,625,230.0","2,619,666.0","2,607,314.0","2,602,493.0","2,614,049.0","2,624,847.0","2,609,591.0","2,588,679.0","2,547,150.0","2,517,180.0","2,454,651.0","2,308,259.0","2,117,767.0","2,013,811.0","1,992,330.0","1,978,836.0","1,977,479.0","2,042,601.0","2,043,022.0","2,094,059.0","2,097,185.0","2,149,637.0","2,243,133.0","2,302,520.0","2,395,341.0","2,445,519.0","2,455,858.0","2,502,925.0","2,541,778.0","2,571,708.0","2,605,959.0","2,653,477.0","2,708,389.0","2,752,665.0","2,821,819.0","2,848,694.0","2,868,621.0","2,897,930.0"
"28","9","    Nonresidential","A008RC1","115,993.0","118,368.0","122,410.0","123,287.0","123,797.0","125,007.0","126,253.0","123,518.0","126,282.0","129,481.0","131,187.0","134,714.0","140,584.0","143,977.0","147,015.0","154,966.0","162,839.0","171,284.0","176,645.0","180,142.0","183,406.0","188,820.0","194,486.0","197,567.0","193,138.0","193,276.0","197,807.0","202,882.0","209,506.0","215,010.0","222,628.0","230,243.0","243,276.0","253,749.0","263,267.0","275,944.0","282,420.0","309,349.0","325,098.0","341,431.0","356,698.0","364,269.0","383,006.0","391,335.0","404,492.0","394,676.0","405,718.0","422,757.0","443,027.0","462,861.0","482,108.0","503,754.0","500,082.0","490,070.0","478,728.0","471,526.0","462,105.0","466,449.0","485,370.0","514,688.0","531,465.0","558,277.0","576,640.0","590,903.0","599,419.0","609,088.0","604,428.0","618,071.0","613,523.0","605,013.0","601,962.0","610,554.0","596,554.0","608,370.0","625,481.0","630,547.0","641,500.0","659,367.0","666,326.0","681,926.0","696,343.0","708,941.0","731,180.0","727,512.0","740,882.0","734,157.0","744,285.0","737,616.0","729,839.0","726,797.0","720,146.0","717,569.0","714,166.0","736,695.0","748,579.0","768,333.0","776,560.0","792,357.0","798,404.0","829,495.0","841,100.0","855,749.0","871,944.0","906,611.0","944,300.0","956,615.0","965,501.0","982,542.0","1,003,624.0","1,026,640.0","1,059,061.0","1,083,463.0","1,106,833.0","1,129,187.0","1,178,438.0","1,181,879.0","1,212,368.0","1,246,118.0","1,259,816.0","1,292,898.0","1,319,877.0","1,351,390.0","1,383,775.0","1,391,397.0","1,445,517.0","1,494,704.0","1,515,456.0","1,519,438.0","1,501,459.0","1,467,559.0","1,445,023.0","1,401,460.0","1,371,907.0","1,351,630.0","1,343,682.0","1,328,379.0","1,327,812.0","1,359,064.0","1,388,532.0","1,411,470.0","1,400,250.0","1,440,225.0","1,485,569.0","1,526,546.0","1,560,532.0","1,595,213.0","1,633,757.0","1,656,371.0","1,729,374.0","1,760,965.0","1,793,572.0","1,821,237.0","1,864,717.0","1,907,538.0","1,937,870.0","1,972,326.0","1,981,616.0","1,978,748.0","1,947,287.0","1,856,181.0","1,712,304.0","1,637,505.0","1,600,316.0","1,583,648.0","1,594,389.0","1,641,797.0","1,677,404.0","1,719,318.0","1,722,363.0","1,768,510.0","1,854,510.0","1,902,933.0","1,971,527.0","2,016,163.0","2,011,721.0","2,031,238.0","2,052,142.0","2,064,622.0","2,085,948.0","2,134,523.0","2,181,940.0","2,211,726.0","2,266,985.0","2,274,116.0","2,280,657.0","2,297,927.0"
"29","10","      Structures","B009RC1","35,794.0","36,671.0","38,931.0","39,399.0","39,490.0","40,313.0","40,578.0","40,767.0","41,504.0","42,335.0","43,118.0","43,758.0","45,781.0","46,607.0","47,314.0","48,990.0","51,327.0","54,060.0","56,831.0","57,714.0","58,984.0","61,333.0","61,417.0","63,214.0","61,682.0","60,409.0","61,275.0","62,034.0","64,099.0","65,057.0","66,683.0","67,821.0","69,732.0","73,631.0","76,409.0","78,540.0","80,018.0","90,259.0","98,559.0","105,498.0","107,879.0","112,844.0","121,814.0","128,268.0","132,557.0","132,299.0","135,769.0","144,056.0","150,017.0","161,010.0","169,743.0","188,485.0","186,622.0","182,450.0","172,926.0","168,257.0","158,581.0","149,502.0","152,648.0","156,644.0","165,735.0","175,807.0","182,528.0","185,519.0","194,875.0","195,236.0","192,210.0","195,751.0","191,672.0","174,504.0","169,021.0","170,911.0","166,921.0","169,576.0","177,585.0","182,728.0","178,614.0","184,151.0","183,452.0","184,943.0","189,505.0","189,565.0","197,739.0","198,056.0","204,137.0","204,572.0","205,516.0","197,443.0","194,901.0","189,888.0","177,485.0","172,151.0","169,931.0","170,640.0","173,047.0","176,671.0","175,587.0","174,132.0","175,971.0","182,914.0","178,514.0","187,092.0","188,085.0","193,380.0","201,169.0","207,376.0","210,305.0","210,232.0","214,308.0","219,793.0","225,302.0","238,928.0","242,659.0","242,624.0","255,655.0","260,124.0","261,352.0","278,171.0","279,757.0","281,236.0","282,509.0","281,410.0","283,230.0","288,629.0","298,182.0","313,473.0","327,900.0","333,004.0","328,287.0","335,115.0","343,228.0","312,360.0","298,574.0","285,287.0","274,216.0","273,537.0","274,815.0","282,217.0","283,059.0","287,228.0","286,993.0","295,164.0","307,920.0","317,144.0","330,764.0","337,887.0","348,319.0","365,609.0","388,992.0","410,820.0","425,856.0","436,675.0","458,076.0","485,284.0","512,612.0","531,744.0","540,221.0","553,827.0","559,336.0","556,167.0","508,028.0","455,158.0","412,726.0","376,934.0","352,420.0","364,495.0","361,101.0","370,149.0","343,159.0","371,317.0","397,126.0","414,975.0","439,679.0","455,736.0","452,771.0","443,764.0","438,218.0","453,908.0","474,406.0","481,783.0","504,883.0","505,651.0","505,432.0","512,004.0","499,270.0","503,769.0"
"30","11","      Equipment","Y033RC1","63,690.0","64,691.0","66,123.0","66,150.0","66,401.0","66,748.0","67,661.0","64,834.0","66,643.0","68,689.0","69,259.0","71,641.0","74,881.0","76,945.0","78,938.0","84,780.0","89,808.0","94,897.0","96,850.0","98,693.0","100,033.0","102,376.0","107,086.0","107,770.0","104,513.0","105,582.0","108,526.0","111,839.0","115,026.0","118,315.0","123,099.0","128,525.0","139,000.0","144,640.0","150,611.0","160,407.0","164,610.0","179,682.0","185,477.0","192,767.0","203,431.0","204,186.0","212,115.0","212,492.0","219,621.0","209,102.0","215,242.0","221,582.0","231,960.0","238,318.0","246,606.0","246,525.0","242,825.0","235,435.0","232,297.0","228,891.0","227,091.0","237,585.0","249,810.0","271,388.0","275,598.0","288,951.0","297,338.0","305,614.0","302,612.0","309,543.0","306,093.0","313,379.0","310,777.0","317,524.0","318,616.0","323,862.0","312,608.0","320,184.0","327,084.0","323,803.0","335,612.0","344,833.0","349,142.0","357,678.0","363,359.0","371,633.0","381,049.0","372,601.0","376,407.0","365,729.0","373,622.0","371,807.0","361,307.0","358,160.0","362,570.0","361,361.0","360,058.0","379,543.0","387,626.0","399,564.0","406,612.0","421,532.0","424,980.0","447,438.0","461,783.0","465,422.0","476,463.0","501,851.0","525,294.0","525,398.0","524,840.0","536,979.0","546,017.0","556,858.0","577,000.0","581,359.0","587,506.0","602,318.0","630,464.0","623,149.0","645,754.0","655,875.0","658,429.0","680,000.0","695,097.0","712,119.0","728,141.0","719,148.0","749,400.0","773,952.0","774,005.0","766,993.0","751,676.0","716,017.0","692,401.0","685,974.0","671,438.0","660,715.0","658,879.0","647,528.0","642,158.0","660,727.0","679,616.0","693,383.0","680,629.0","709,615.0","731,974.0","754,555.0","764,954.0","782,637.0","805,182.0","810,005.0","851,318.0","852,398.0","857,259.0","863,558.0","876,895.0","888,174.0","887,615.0","890,408.0","878,902.0","856,874.0","822,430.0","742,390.0","658,978.0","634,376.0","639,105.0","644,775.0","682,731.0","719,042.0","751,185.0","774,370.0","798,278.0","809,663.0","861,675.0","883,326.0","920,438.0","940,730.0","935,387.0","955,199.0","969,148.0","967,998.0","959,342.0","992,779.0","1,003,500.0","1,023,226.0","1,065,300.0","1,054,961.0","1,063,541.0","1,064,566.0"
