"","Table 5#4#6# Real Private Fixed Investment in Structures by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"1","[Millions of chained (2009) dollars]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1999 To 2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 06, 2015   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 9/24/2015 2:00:45 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","    Private fixed investment in structures","A349RX1","1,112,135.0","1,149,338.0","1,148,469.0","1,110,147.0","1,162,488.0","1,240,972.0","1,304,904.0","1,262,145.0","1,158,306.0","1,028,680.0","822,138.0","740,052.0","750,199.0","850,299.0","897,327.0","939,917.0"
"20","2","Nonresidential","B009RX1","494,868.0","533,480.0","525,392.0","432,548.0","415,840.0","414,120.0","421,230.0","451,488.0","509,046.0","540,186.0","438,211.0","366,277.0","374,709.0","423,093.0","429,676.0","464,621.0"
"21","3","  Commercial and health care","W001RX1","198,951.0","212,280.0","201,994.0","171,074.0","160,270.0","164,235.0","162,792.0","172,637.0","189,879.0","182,833.0","126,687.0","95,195.0","94,697.0","102,798.0","106,448.0","120,296.0"
"22","4","    Office \1\","W031RX1","85,651.0","95,577.0","88,064.0","61,027.0","51,381.0","52,026.0","53,451.0","59,626.0","66,140.0","65,507.0","42,849.0","28,778.0","27,420.0","30,864.0","33,372.0","41,377.0"
"23","5","    Health care","W032RX1","30,305.0","30,696.0","29,464.0","33,202.0","34,855.0","35,655.0","35,705.0","36,949.0","39,220.0","41,485.0","39,741.0","34,822.0","33,794.0","36,313.0","33,544.0","31,285.0"
"24","6","      Hospitals and special care","C311RX1","22,217.0","22,707.0","22,462.0","25,903.0","26,126.0","25,325.0","25,638.0","28,677.0","30,421.0","31,508.0","31,265.0","28,601.0","27,445.0","28,900.0","25,620.0","23,682.0"
"25","7","        Hospitals","W033RX1","15,648.0","16,073.0","17,095.0","20,659.0","21,934.0","21,917.0","22,865.0","25,287.0","27,034.0","27,596.0","27,827.0","25,368.0","23,949.0","24,524.0","21,691.0","19,392.0"
"26","8","        Special care","W034RX1","6,565.0","6,630.0","5,365.0","5,242.0","4,191.0","3,408.0","2,773.0","3,390.0","3,388.0","3,913.0","3,439.0","3,234.0","3,495.0","4,374.0","3,927.0","4,287.0"
"27","9","      Medical buildings","W035RX1","8,090.0","7,991.0","7,004.0","7,301.0","8,731.0","10,331.0","10,068.0","8,272.0","8,799.0","9,977.0","8,476.0","6,220.0","6,349.0","7,413.0","7,924.0","7,604.0"
"28","10","    Multimerchandise shopping","W036RX1","24,013.0","22,870.0","24,440.0","22,738.0","21,889.0","25,125.0","27,664.0","33,057.0","37,138.0","32,655.0","18,391.0","12,861.0","13,422.0","14,442.0","15,733.0","18,544.0"
"29","11","    Food and beverage establishments","W037RX1","13,038.0","13,467.0","13,075.0","11,542.0","11,887.0","11,007.0","9,500.0","8,439.0","8,619.0","8,217.0","4,868.0","4,734.0","5,281.0","5,652.0","6,212.0","6,822.0"
"30","12","    Warehouses","W038RX1","21,287.0","22,406.0","23,085.0","17,128.0","17,295.0","15,892.0","15,598.0","16,394.0","18,067.0","17,060.0","9,730.0","5,833.0","6,576.0","6,826.0","8,269.0","12,692.0"
"31","13","    Other commercial \2\","W039RX1","27,277.0","30,310.0","26,667.0","26,528.0","23,394.0","24,981.0","21,348.0","18,812.0","21,534.0","18,432.0","11,108.0","8,210.0","8,226.0","8,714.0","9,118.0","9,044.0"
"32","14","  Manufacturing","C307RX1","53,916.0","55,607.0","54,063.0","31,565.0","29,245.0","30,102.0","34,203.0","36,475.0","43,115.0","53,801.0","56,296.0","40,812.0","39,112.0","44,887.0","46,755.0","51,991.0"
"33","15","  Power and communication","W003RX1","62,834.0","72,455.0","74,739.0","72,928.0","67,153.0","56,098.0","58,120.0","61,693.0","85,908.0","94,456.0","95,777.0","80,355.0","74,065.0","89,656.0","85,599.0","90,902.0"
"34","16","    Power","W028RX1","35,236.0","45,050.0","47,030.0","47,409.0","47,787.0","36,286.0","35,271.0","38,245.0","58,337.0","68,578.0","76,064.0","63,853.0","58,948.0","76,181.0","70,706.0","76,646.0"
"35","17","      Electric","C571RX1","24,449.0","35,245.0","37,157.0","35,918.0","36,403.0","27,520.0","28,042.0","30,424.0","44,556.0","52,632.0","60,394.0","47,359.0","46,803.0","62,277.0","48,090.0","54,010.0"
"36","18","      Other power","W029RX1","10,933.0","9,635.0","9,662.0","11,439.0","11,311.0","8,715.0","7,252.0","7,848.0","13,756.0","15,919.0","15,670.0","16,485.0","12,239.0","14,168.0","22,019.0","22,115.0"
