"","Table 5#3#5# Private Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189"
"21","2","Nonresidential","A008RC1","115,993.0","118,368.0","122,410.0","123,287.0","123,797.0","125,007.0","126,253.0","123,518.0","126,282.0","129,481.0","131,187.0","134,714.0","140,584.0","143,977.0","147,015.0","154,966.0","162,839.0","171,284.0","176,645.0","180,142.0","183,406.0","188,820.0","194,486.0","197,567.0","193,138.0","193,276.0","197,807.0","202,882.0","209,506.0","215,010.0","222,628.0","230,243.0","243,276.0","253,749.0","263,267.0","275,944.0","282,420.0","309,349.0","325,098.0","341,431.0","356,698.0","364,269.0","383,006.0","391,335.0","404,492.0","394,676.0","405,718.0","422,757.0","443,027.0","462,861.0","482,108.0","503,754.0","500,082.0","490,070.0","478,728.0","471,526.0","462,105.0","466,449.0","485,370.0","514,688.0","531,465.0","558,277.0","576,640.0","590,903.0","599,419.0","609,088.0","604,428.0","618,071.0","613,523.0","605,013.0","601,962.0","610,554.0","596,554.0","608,370.0","625,481.0","630,547.0","641,500.0","659,367.0","666,326.0","681,926.0","696,343.0","708,941.0","731,180.0","727,512.0","740,882.0","734,157.0","744,285.0","737,616.0","729,839.0","726,797.0","720,146.0","717,569.0","714,166.0","736,695.0","748,579.0","768,333.0","776,560.0","792,357.0","798,404.0","829,495.0","841,100.0","855,749.0","871,944.0","906,611.0","944,300.0","956,615.0","965,501.0","982,542.0","1,003,624.0","1,026,640.0","1,059,061.0","1,083,463.0","1,106,833.0","1,129,187.0","1,178,438.0","1,181,879.0","1,212,368.0","1,246,118.0","1,259,816.0","1,292,898.0","1,319,877.0","1,351,390.0","1,383,775.0","1,391,397.0","1,445,517.0","1,494,704.0","1,515,456.0","1,519,438.0","1,501,459.0","1,467,559.0","1,445,023.0","1,401,460.0","1,371,907.0","1,351,630.0","1,343,682.0","1,328,379.0","1,327,812.0","1,359,064.0","1,388,532.0","1,411,470.0","1,400,250.0","1,440,225.0","1,485,569.0","1,526,546.0","1,560,532.0","1,595,213.0","1,633,757.0","1,656,371.0","1,729,374.0","1,760,965.0","1,793,572.0","1,821,237.0","1,864,717.0","1,907,538.0","1,937,870.0","1,972,326.0","1,981,616.0","1,978,748.0","1,947,287.0","1,856,181.0","1,712,304.0","1,637,505.0","1,600,316.0","1,583,648.0","1,594,389.0","1,641,797.0","1,677,404.0","1,719,318.0","1,722,363.0","1,768,510.0","1,854,510.0","1,902,933.0","1,971,527.0","2,016,163.0","2,011,721.0","2,031,238.0","2,052,142.0","2,064,622.0","2,085,948.0","2,134,523.0","2,181,940.0","2,211,726.0","2,266,985.0","2,274,116.0","2,280,657.0","2,297,927.0"
"22","3","  Structures","B009RC1","35,794.0","36,671.0","38,931.0","39,399.0","39,490.0","40,313.0","40,578.0","40,767.0","41,504.0","42,335.0","43,118.0","43,758.0","45,781.0","46,607.0","47,314.0","48,990.0","51,327.0","54,060.0","56,831.0","57,714.0","58,984.0","61,333.0","61,417.0","63,214.0","61,682.0","60,409.0","61,275.0","62,034.0","64,099.0","65,057.0","66,683.0","67,821.0","69,732.0","73,631.0","76,409.0","78,540.0","80,018.0","90,259.0","98,559.0","105,498.0","107,879.0","112,844.0","121,814.0","128,268.0","132,557.0","132,299.0","135,769.0","144,056.0","150,017.0","161,010.0","169,743.0","188,485.0","186,622.0","182,450.0","172,926.0","168,257.0","158,581.0","149,502.0","152,648.0","156,644.0","165,735.0","175,807.0","182,528.0","185,519.0","194,875.0","195,236.0","192,210.0","195,751.0","191,672.0","174,504.0","169,021.0","170,911.0","166,921.0","169,576.0","177,585.0","182,728.0","178,614.0","184,151.0","183,452.0","184,943.0","189,505.0","189,565.0","197,739.0","198,056.0","204,137.0","204,572.0","205,516.0","197,443.0","194,901.0","189,888.0","177,485.0","172,151.0","169,931.0","170,640.0","173,047.0","176,671.0","175,587.0","174,132.0","175,971.0","182,914.0","178,514.0","187,092.0","188,085.0","193,380.0","201,169.0","207,376.0","210,305.0","210,232.0","214,308.0","219,793.0","225,302.0","238,928.0","242,659.0","242,624.0","255,655.0","260,124.0","261,352.0","278,171.0","279,757.0","281,236.0","282,509.0","281,410.0","283,230.0","288,629.0","298,182.0","313,473.0","327,900.0","333,004.0","328,287.0","335,115.0","343,228.0","312,360.0","298,574.0","285,287.0","274,216.0","273,537.0","274,815.0","282,217.0","283,059.0","287,228.0","286,993.0","295,164.0","307,920.0","317,144.0","330,764.0","337,887.0","348,319.0","365,609.0","388,992.0","410,820.0","425,856.0","436,675.0","458,076.0","485,284.0","512,612.0","531,744.0","540,221.0","553,827.0","559,336.0","556,167.0","508,028.0","455,158.0","412,726.0","376,934.0","352,420.0","364,495.0","361,101.0","370,149.0","343,159.0","371,317.0","397,126.0","414,975.0","439,679.0","455,736.0","452,771.0","443,764.0","438,218.0","453,908.0","474,406.0","481,783.0","504,883.0","505,651.0","505,432.0","512,004.0","499,270.0","503,769.0"
"23","4","    Commercial and health care","W001RC1","10,590.0","11,143.0","12,324.0","12,606.0","12,853.0","12,554.0","12,351.0","12,398.0","13,139.0","14,386.0","15,794.0","16,236.0","16,892.0","17,380.0","17,608.0","18,336.0","18,973.0","19,814.0","20,329.0","20,156.0","20,501.0","21,150.0","20,521.0","20,400.0","19,266.0","17,098.0","17,169.0","17,115.0","17,919.0","17,886.0","18,080.0","18,315.0","19,008.0","19,877.0","21,093.0","21,226.0","22,129.0","24,852.0","26,276.0","28,069.0","27,828.0","32,147.0","35,712.0","38,332.0","40,996.0","40,426.0","40,255.0","42,195.0","45,555.0","47,336.0","49,025.0","51,168.0","53,381.0","55,874.0","56,829.0","57,056.0","54,781.0","52,786.0","56,997.0","58,778.0","63,533.0","70,117.0","72,438.0","76,290.0","81,613.0","84,235.0","84,095.0","86,596.0","85,174.0","80,449.0","78,724.0","79,077.0","77,420.0","78,897.0","82,000.0","84,992.0","84,110.0","87,411.0","87,283.0","86,485.0","88,495.0","85,334.0","90,122.0","89,126.0","90,435.0","88,533.0","88,419.0","82,474.0","74,920.0","72,183.0","66,687.0","61,899.0","62,616.0","63,368.0","64,837.0","67,132.0","68,026.0","68,900.0","68,590.0","71,937.0","69,209.0","76,939.0","77,221.0","78,167.0","81,796.0","83,429.0","83,659.0","83,340.0","83,995.0","89,774.0","93,616.0","98,595.0","103,641.0","100,114.0","106,828.0","106,633.0","109,283.0","116,207.0","116,180.0","122,206.0","122,577.0","124,898.0","126,496.0","127,704.0","130,452.0","137,646.0","143,256.0","145,928.0","146,004.0","141,686.0","133,922.0","127,599.0","125,582.0","120,576.0","116,749.0","114,768.0","112,210.0","113,239.0","116,264.0","118,447.0","118,895.0","126,121.0","128,855.0","127,329.0","132,142.0","134,463.0","136,197.0","140,713.0","146,674.0","153,887.0","160,955.0","163,851.0","173,832.0","180,014.0","184,873.0","188,351.0","187,252.0","185,864.0","182,414.0","171,693.0","150,310.0","134,534.0","117,448.0","104,456.0","96,558.0","92,112.0","89,806.0","89,504.0","86,952.0","91,921.0","95,975.0","97,885.0","100,791.0","103,823.0","105,662.0","104,614.0","107,091.0","105,752.0","109,557.0","116,685.0","117,896.0","122,812.0","129,932.0","139,278.0","138,287.0","148,007.0"
"24","5","    Manufacturing","C307RC1","6,741.0","6,636.0","6,931.0","6,920.0","6,696.0","7,188.0","7,158.0","6,902.0","6,850.0","6,437.0","5,809.0","5,944.0","5,800.0","5,923.0","5,947.0","5,986.0","6,975.0","7,425.0","8,440.0","8,836.0","9,380.0","9,815.0","9,711.0","11,194.0","10,530.0","10,636.0","10,591.0","10,447.0","10,883.0","10,216.0","9,691.0","9,570.0","10,131.0","10,846.0","11,239.0","12,040.0","12,707.0","14,452.0","17,988.0","19,473.0","21,114.0","21,685.0","22,258.0","23,079.0","21,847.0","21,118.0","19,394.0","19,729.0","22,854.0","24,468.0","27,427.0","26,903.0","27,219.0","27,193.0","25,367.0","24,549.0","21,298.0","19,745.0","19,829.0","16,944.0","19,529.0","20,514.0","21,736.0","21,825.0","23,859.0","24,093.0","24,202.0","24,401.0","22,440.0","20,510.0","19,894.0","21,092.0","19,177.0","20,288.0","22,780.0","22,595.0","21,784.0","23,162.0","23,199.0","24,668.0","25,890.0","28,423.0","30,441.0","30,390.0","33,650.0","34,328.0","34,292.0","32,274.0","33,365.0","32,255.0","29,674.0","30,403.0","30,335.0","28,963.0","28,260.0","28,558.0","23,649.0","22,430.0","23,900.0","24,269.0","25,060.0","28,617.0","29,825.0","32,286.0","33,464.0","36,425.0","36,365.0","35,738.0","37,803.0","37,196.0","36,831.0","40,833.0","37,252.0","36,180.0","38,982.0","38,082.0","40,603.0","40,763.0","40,243.0","40,331.0","37,982.0","35,003.0","34,441.0","33,079.0","34,868.0","38,370.0","38,174.0","38,919.0","41,838.0","39,772.0","38,646.0","31,003.0","26,104.0","23,527.0","20,806.0","20,538.0","20,040.0","21,726.0","21,839.0","22,135.0","21,772.0","21,396.0","22,626.0","27,075.0","28,081.0","27,491.0","28,534.0","29,530.0","29,880.0","32,353.0","34,204.0","32,610.0","34,055.0","36,307.0","43,219.0","47,279.0","47,761.0","51,558.0","54,066.0","57,630.0","63,500.0","60,648.0","53,691.0","47,346.0","44,955.0","42,956.0","37,882.0","33,319.0","32,340.0","37,175.0","42,093.0","44,221.0","43,456.0","45,711.0","46,519.0","47,595.0","47,494.0","46,139.0","50,806.0","50,945.0","51,525.0","51,969.0","56,934.0","63,858.0","75,878.0","86,212.0"
"25","6","    Power and communication","W003RC1","8,483.0","8,512.0","8,640.0","9,045.0","9,373.0","10,026.0","10,724.0","10,737.0","10,886.0","11,144.0","11,013.0","10,917.0","11,868.0","11,875.0","12,116.0","12,433.0","12,850.0","13,573.0","14,279.0","14,566.0","14,900.0","15,000.0","15,359.0","15,053.0","15,250.0","15,342.0","15,732.0","16,336.0","16,209.0","17,993.0","19,109.0","19,309.0","18,618.0","19,536.0","19,466.0","19,476.0","19,910.0","21,147.0","21,944.0","22,768.0","23,421.0","24,212.0","25,138.0","25,717.0","26,825.0","27,196.0","27,375.0","27,784.0","29,096.0","29,652.0","30,185.0","30,883.0","30,795.0","30,228.0","29,572.0","27,813.0","26,665.0","25,653.0","24,573.0","26,232.0","25,555.0","26,520.0","26,982.0","26,927.0","26,624.0","26,422.0","26,371.0","26,688.0","28,757.0","29,241.0","28,286.0","26,868.0","26,020.0","25,449.0","25,091.0","25,083.0","24,581.0","24,281.0","25,468.0","25,789.0","27,525.0","27,686.0","27,097.0","27,608.0","25,473.0","25,772.0","26,482.0","27,605.0","29,824.0","31,293.0","32,205.0","32,917.0","33,003.0","33,627.0","34,031.0","34,855.0","36,428.0","32,366.0","30,817.0","33,081.0","33,444.0","30,334.0","30,098.0","30,780.0","32,957.0","34,391.0","33,523.0","31,525.0","30,560.0","29,087.0","27,928.0","29,316.0","26,978.0","27,668.0","30,016.0","30,451.0","30,855.0","35,609.0","36,737.0","33,451.0","39,058.0","37,044.0","41,637.0","44,040.0","44,647.0","44,831.0","50,636.0","52,457.0","43,614.0","52,110.0","52,662.0","55,994.0","57,728.0","51,622.0","46,635.0","47,983.0","50,823.0","49,188.0","46,260.0","46,026.0","44,121.0","40,016.0","43,308.0","44,840.0","46,093.0","47,750.0","48,078.0","50,312.0","53,150.0","53,457.0","56,530.0","60,229.0","67,814.0","77,424.0","86,337.0","94,837.0","98,267.0","95,285.0","92,728.0","96,059.0","96,301.0","96,760.0","99,015.0","91,031.0","73,426.0","83,159.0","82,537.0","96,117.0","73,413.0","80,507.0","86,372.0","86,901.0","101,335.0","104,818.0","103,451.0","99,815.0","85,879.0","93,910.0","103,647.0","111,911.0","127,286.0","113,426.0","99,442.0","84,992.0","88,243.0","95,812.0"
"26","7","    Mining exploration, shafts, and wells \1\","E318RC1","2,591.0","2,761.0","2,926.0","2,902.0","2,796.0","2,827.0","2,686.0","2,835.0","2,712.0","2,507.0","2,666.0","2,759.0","2,936.0","3,037.0","3,054.0","3,249.0","3,221.0","3,322.0","3,592.0","3,797.0","4,075.0","5,109.0","5,546.0","5,922.0","6,620.0","7,059.0","7,649.0","8,120.0","8,402.0","8,152.0","8,684.0","9,222.0","10,206.0","11,173.0","11,954.0","12,515.0","11,811.0","14,714.0","16,353.0","18,798.0","18,923.0","16,748.0","19,300.0","21,165.0","22,376.0","23,425.0","29,319.0","34,388.0","31,467.0","38,529.0","41,242.0","58,594.0","54,091.0","48,088.0","40,107.0","36,718.0","34,186.0","28,207.0","28,354.0","29,245.0","30,500.0","30,626.0","32,309.0","31,701.0","32,339.0","28,084.0","25,892.0","25,377.0","23,430.0","14,554.0","12,170.0","12,574.0","11,843.0","11,139.0","13,758.0","15,484.0","15,301.0","16,449.0","15,785.0","15,348.0","13,561.0","14,912.0","15,645.0","15,518.0","17,028.0","17,818.0","17,969.0","18,865.0","21,272.0","20,758.0","16,417.0","15,729.0","13,827.0","13,320.0","14,126.0","15,515.0","15,996.0","15,748.0","16,403.0","18,211.0","16,059.0","15,694.0","16,370.0","17,450.0","15,541.0","14,214.0","14,875.0","15,563.0","15,414.0","16,432.0","17,357.0","17,905.0","21,069.0","22,437.0","22,408.0","23,633.0","22,817.0","23,594.0","22,743.0","20,034.0","17,929.0","18,683.0","17,268.0","19,306.0","20,279.0","22,653.0","24,875.0","27,159.0","31,711.0","35,379.0","38,485.0","32,785.0","27,590.0","28,337.0","32,275.0","32,795.0","34,835.0","37,813.0","39,459.0","41,741.0","43,074.0","44,946.0","48,569.0","52,586.0","60,771.0","65,943.0","71,885.0","78,968.0","90,144.0","96,169.0","97,593.0","100,234.0","101,392.0","102,446.0","103,057.0","102,012.0","105,116.0","114,186.0","122,419.0","126,382.0","103,408.0","72,460.0","61,389.0","62,617.0","74,086.0","85,214.0","91,731.0","93,768.0","98,401.0","106,521.0","116,290.0","127,819.0","135,051.0","139,427.0","133,706.0","128,296.0","133,728.0","141,110.0","142,042.0","133,796.0","139,312.0","146,434.0","146,019.0","145,689.0","121,453.0","88,611.0"
"27","8","    Other structures \2\","W004RC1","7,389.0","7,619.0","8,110.0","7,926.0","7,772.0","7,718.0","7,659.0","7,895.0","7,917.0","7,861.0","7,836.0","7,902.0","8,285.0","8,392.0","8,589.0","8,986.0","9,308.0","9,926.0","10,191.0","10,359.0","10,128.0","10,259.0","10,280.0","10,645.0","10,016.0","10,274.0","10,134.0","10,016.0","10,686.0","10,810.0","11,119.0","11,405.0","11,769.0","12,199.0","12,657.0","13,283.0","13,461.0","15,095.0","15,998.0","16,390.0","16,593.0","18,051.0","19,407.0","19,975.0","20,512.0","20,134.0","19,426.0","19,961.0","21,045.0","21,024.0","21,864.0","20,937.0","21,136.0","21,067.0","21,051.0","22,121.0","21,651.0","23,111.0","22,895.0","25,445.0","26,618.0","28,030.0","29,063.0","28,777.0","30,439.0","32,401.0","31,651.0","32,688.0","31,872.0","29,749.0","29,946.0","31,301.0","32,461.0","33,804.0","33,955.0","34,573.0","32,838.0","32,847.0","31,717.0","32,652.0","34,034.0","33,211.0","34,434.0","35,415.0","37,551.0","38,122.0","38,354.0","36,224.0","35,521.0","33,399.0","32,501.0","31,202.0","30,150.0","31,363.0","31,793.0","30,611.0","31,488.0","34,689.0","36,260.0","35,415.0","34,742.0","35,508.0","34,571.0","34,698.0","37,410.0","38,918.0","41,882.0","44,066.0","46,536.0","47,304.0","49,568.0","52,278.0","53,719.0","56,226.0","57,421.0","61,325.0","57,794.0","61,999.0","63,854.0","65,213.0","64,962.0","65,782.0","63,389.0","64,501.0","67,936.0","69,972.0","70,958.0","68,541.0","65,119.0","66,167.0","79,513.0","64,980.0","61,569.0","61,226.0","57,751.0","57,453.0","56,908.0","60,251.0","59,237.0","58,878.0","59,131.0","62,685.0","64,561.0","65,314.0","63,676.0","62,240.0","63,625.0","66,086.0","69,145.0","74,953.0","76,574.0","79,751.0","80,983.0","89,093.0","95,125.0","99,265.0","101,825.0","106,934.0","107,707.0","104,403.0","94,508.0","90,756.0","81,182.0","71,484.0","63,396.0","61,054.0","59,146.0","57,440.0","52,053.0","55,193.0","56,396.0","58,149.0","59,047.0","61,957.0","63,433.0","63,444.0","64,026.0","66,997.0","68,354.0","68,447.0","68,864.0","71,011.0","73,105.0","78,187.0","75,409.0","85,128.0"
"28","9","  Equipment","Y033RC1","63,690.0","64,691.0","66,123.0","66,150.0","66,401.0","66,748.0","67,661.0","64,834.0","66,643.0","68,689.0","69,259.0","71,641.0","74,881.0","76,945.0","78,938.0","84,780.0","89,808.0","94,897.0","96,850.0","98,693.0","100,033.0","102,376.0","107,086.0","107,770.0","104,513.0","105,582.0","108,526.0","111,839.0","115,026.0","118,315.0","123,099.0","128,525.0","139,000.0","144,640.0","150,611.0","160,407.0","164,610.0","179,682.0","185,477.0","192,767.0","203,431.0","204,186.0","212,115.0","212,492.0","219,621.0","209,102.0","215,242.0","221,582.0","231,960.0","238,318.0","246,606.0","246,525.0","242,825.0","235,435.0","232,297.0","228,891.0","227,091.0","237,585.0","249,810.0","271,388.0","275,598.0","288,951.0","297,338.0","305,614.0","302,612.0","309,543.0","306,093.0","313,379.0","310,777.0","317,524.0","318,616.0","323,862.0","312,608.0","320,184.0","327,084.0","323,803.0","335,612.0","344,833.0","349,142.0","357,678.0","363,359.0","371,633.0","381,049.0","372,601.0","376,407.0","365,729.0","373,622.0","371,807.0","361,307.0","358,160.0","362,570.0","361,361.0","360,058.0","379,543.0","387,626.0","399,564.0","406,612.0","421,532.0","424,980.0","447,438.0","461,783.0","465,422.0","476,463.0","501,851.0","525,294.0","525,398.0","524,840.0","536,979.0","546,017.0","556,858.0","577,000.0","581,359.0","587,506.0","602,318.0","630,464.0","623,149.0","645,754.0","655,875.0","658,429.0","680,000.0","695,097.0","712,119.0","728,141.0","719,148.0","749,400.0","773,952.0","774,005.0","766,993.0","751,676.0","716,017.0","692,401.0","685,974.0","671,438.0","660,715.0","658,879.0","647,528.0","642,158.0","660,727.0","679,616.0","693,383.0","680,629.0","709,615.0","731,974.0","754,555.0","764,954.0","782,637.0","805,182.0","810,005.0","851,318.0","852,398.0","857,259.0","863,558.0","876,895.0","888,174.0","887,615.0","890,408.0","878,902.0","856,874.0","822,430.0","742,390.0","658,978.0","634,376.0","639,105.0","644,775.0","682,731.0","719,042.0","751,185.0","774,370.0","798,278.0","809,663.0","861,675.0","883,326.0","920,438.0","940,730.0","935,387.0","955,199.0","969,148.0","967,998.0","959,342.0","992,779.0","1,003,500.0","1,023,226.0","1,065,300.0","1,054,961.0","1,063,541.0","1,064,566.0"
"29","10","    Information processing equipment","Y034RC1","11,515.0","12,492.0","13,342.0","13,939.0","14,437.0","14,622.0","13,993.0","14,214.0","13,928.0","14,957.0","15,143.0","15,673.0","16,428.0","16,308.0","16,658.0","17,308.0","18,588.0","19,601.0","20,064.0","21,184.0","21,566.0","21,934.0","23,884.0","24,895.0","24,283.0","23,626.0","23,474.0","23,637.0","24,605.0","26,525.0","28,327.0","30,590.0","31,373.0","33,094.0","34,183.0","36,107.0","37,968.0","41,674.0","43,845.0","45,878.0","48,091.0","48,808.0","51,005.0","53,497.0","56,260.0","57,197.0","60,617.0","61,664.0","65,432.0","67,977.0","70,884.0","74,181.0","76,487.0","73,393.0","74,168.0","72,826.0","77,282.0","81,602.0","84,286.0","91,564.0","93,322.0","99,554.0","103,279.0","108,553.0","105,850.0","107,651.0","104,832.0","108,014.0","108,243.0","110,979.0","110,464.0","114,904.0","110,316.0","110,546.0","114,029.0","113,876.0","116,924.0","120,917.0","121,948.0","123,233.0","126,429.0","131,030.0","133,141.0","132,268.0","132,111.0","129,184.0","127,621.0","129,348.0","125,627.0","127,774.0","130,474.0","132,940.0","134,508.0","140,377.0","147,276.0","146,106.0","148,843.0","149,673.0","157,049.0","157,747.0","161,978.0","164,715.0","167,594.0","173,554.0","181,281.0","189,139.0","187,941.0","195,109.0","200,461.0","202,191.0","207,719.0","208,299.0","211,934.0","218,677.0","230,482.0","230,087.0","238,571.0","240,280.0","237,573.0","243,999.0","250,787.0","262,145.0","266,149.0","259,956.0","279,455.0","293,505.0","298,379.0","303,844.0","291,336.0","269,716.0","253,728.0","248,937.0","241,778.0","237,721.0","237,823.0","229,621.0","233,149.0","234,335.0","243,857.0","252,754.0","249,164.0","253,858.0","254,001.0","255,384.0","258,594.0","259,582.0","265,900.0","266,991.0","281,181.0","279,114.0","285,225.0","283,834.0","300,355.0","300,716.0","300,708.0","311,177.0","307,754.0","305,303.0","290,829.0","261,092.0","248,759.0","246,278.0","260,956.0","268,336.0","271,851.0","273,263.0","277,085.0","284,669.0","275,038.0","279,237.0","279,260.0","277,134.0","292,115.0","287,919.0","282,445.0","291,977.0","297,892.0","295,167.0","298,791.0","294,623.0","298,052.0","310,713.0","304,700.0","318,422.0","316,448.0","312,116.0"
"30","11","      Computers and peripheral equipment","B935RC1","2,096.0","2,408.0","2,564.0","2,696.0","3,113.0","2,950.0","2,429.0","2,396.0","2,272.0","2,793.0","2,912.0","3,119.0","3,717.0","3,446.0","3,498.0","3,231.0","3,430.0","3,666.0","3,398.0","3,662.0","3,455.0","3,188.0","4,426.0","4,403.0","4,084.0","3,535.0","3,273.0","3,452.0","3,677.0","4,391.0","4,512.0","5,028.0","5,210.0","5,629.0","5,753.0","6,068.0","6,271.0","7,343.0","7,955.0","8,683.0","9,301.0","9,828.0","10,409.0","11,118.0","10,947.0","11,872.0","13,477.0","13,796.0","15,397.0","15,858.0","17,247.0","20,010.0","20,802.0","18,118.0","18,343.0","18,221.0","21,312.0","23,297.0","25,166.0","25,789.0","27,681.0","30,127.0","32,938.0","35,690.0","33,313.0","35,044.0","32,405.0","34,174.0","33,662.0","34,348.0","32,340.0","33,290.0","34,971.0","35,082.0","36,333.0","36,662.0","36,618.0","37,729.0","38,578.0","38,897.0","40,999.0","43,749.0","44,275.0","43,347.0","40,949.0","38,612.0","36,552.0","38,458.0","36,366.0","36,522.0","37,561.0","40,367.0","40,147.0","44,507.0","45,933.0","45,465.0","47,722.0","46,737.0","49,235.0","48,046.0","50,057.0","51,417.0","52,338.0","55,728.0","59,089.0","65,840.0","67,047.0","72,464.0","72,466.0","71,489.0","73,526.0","73,691.0","76,542.0","80,365.0","84,922.0","83,673.0","87,722.0","88,608.0","86,447.0","88,773.0","94,516.0","99,863.0","99,497.0","95,051.0","97,560.0","104,882.0","105,786.0","104,486.0","99,654.0","89,963.0","79,827.0","80,779.0","82,500.0","79,259.0","80,483.0","76,657.0","76,682.0","75,561.0","78,545.0","82,289.0","79,577.0","80,599.0","81,800.0","83,912.0","79,122.0","78,834.0","79,571.0","82,469.0","85,097.0","85,529.0","88,419.0","86,564.0","89,468.0","85,451.0","86,126.0","89,854.0","90,432.0","89,732.0","82,177.0","72,828.0","72,204.0","73,723.0","76,726.0","84,457.0","84,767.0","83,212.0","79,505.0","77,649.0","72,052.0","77,369.0","79,276.0","76,771.0","82,398.0","80,154.0","74,874.0","81,362.0","83,442.0","79,866.0","81,744.0","83,405.0","77,454.0","79,665.0","80,371.0","79,575.0","75,033.0","79,081.0"
"31","12","      Other \3\","A937RC1","9,419.0","10,084.0","10,778.0","11,243.0","11,324.0","11,672.0","11,564.0","11,818.0","11,656.0","12,164.0","12,231.0","12,554.0","12,711.0","12,862.0","13,160.0","14,077.0","15,158.0","15,935.0","16,666.0","17,522.0","18,111.0","18,746.0","19,458.0","20,492.0","20,199.0","20,091.0","20,201.0","20,185.0","20,928.0","22,134.0","23,815.0","25,562.0","26,163.0","27,465.0","28,430.0","30,039.0","31,697.0","34,331.0","35,890.0","37,195.0","38,790.0","38,980.0","40,596.0","42,379.0","45,313.0","45,325.0","47,140.0","47,868.0","50,035.0","52,119.0","53,637.0","54,171.0","55,685.0","55,275.0","55,825.0","54,605.0","55,970.0","58,305.0","59,120.0","65,775.0","65,641.0","69,427.0","70,341.0","72,863.0","72,537.0","72,607.0","72,427.0","73,840.0","74,581.0","76,631.0","78,124.0","81,614.0","75,345.0","75,464.0","77,696.0","77,214.0","80,306.0","83,188.0","83,370.0","84,336.0","85,430.0","87,281.0","88,866.0","88,921.0","91,162.0","90,572.0","91,069.0","90,890.0","89,261.0","91,252.0","92,913.0","92,573.0","94,361.0","95,870.0","101,343.0","100,641.0","101,121.0","102,936.0","107,814.0","109,701.0","111,921.0","113,298.0","115,256.0","117,826.0","122,192.0","123,299.0","120,894.0","122,645.0","127,995.0","130,702.0","134,193.0","134,608.0","135,392.0","138,312.0","145,560.0","146,414.0","150,849.0","151,672.0","151,126.0","155,226.0","156,271.0","162,282.0","166,652.0","164,905.0","181,895.0","188,623.0","192,593.0","199,358.0","191,682.0","179,753.0","173,901.0","168,158.0","159,278.0","158,462.0","157,340.0","152,964.0","156,467.0","158,774.0","165,312.0","170,465.0","169,587.0","173,259.0","172,201.0","171,472.0","179,472.0","180,748.0","186,329.0","184,522.0","196,084.0","193,585.0","196,806.0","197,270.0","210,887.0","215,265.0","214,582.0","221,323.0","217,322.0","215,571.0","208,652.0","188,264.0","176,555.0","172,555.0","184,230.0","183,879.0","187,084.0","190,051.0","197,580.0","207,020.0","202,986.0","201,868.0","199,984.0","200,363.0","209,717.0","207,765.0","207,571.0","210,615.0","214,451.0","215,300.0","217,048.0","211,218.0","220,598.0","231,048.0","224,329.0","238,847.0","241,414.0","233,035.0"
