"","Table 1#8#6# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","Gross domestic product","A191RX1","1,934,471.0","1,932,281.0","1,930,315.0","1,960,705.0","1,989,535.0","2,021,851.0","2,033,155.0","2,035,329.0","2,007,522.0","2,000,788.0","2,022,798.0","2,004,653.0","2,084,559.0","2,147,592.0","2,230,362.0","2,273,435.0","2,304,542.0","2,344,517.0","2,392,808.0","2,398,105.0","2,423,457.0","2,428,516.0","2,446,081.0","2,526,359.0","2,573,372.0","2,593,456.0","2,578,922.0","2,539,786.0","2,528,043.0","2,530,689.0","2,559,397.0","2,609,272.0","2,683,766.0","2,727,452.0","2,764,128.0","2,780,762.0","2,770,032.0","2,792,872.0","2,790,588.0","2,836,238.0","2,854,517.0","2,848,186.0","2,875,927.0","2,846,446.0","2,772,654.0","2,790,948.0","2,855,472.0","2,922,264.0","2,976,629.0","3,049,011.0","3,043,139.0","3,055,104.0","3,123,162.0","3,111,310.0","3,119,057.0","3,081,300.0","3,102,251.0","3,159,918.0","3,212,606.0","3,277,717.0","3,336,753.0","3,372,706.0","3,404,833.0","3,418,046.0","3,456,080.0","3,501,134.0","3,569,479.0","3,594,954.0","3,672,708.0","3,716,382.0","3,766,862.0","3,780,219.0","3,873,452.0","3,926,406.0","4,006,152.0","4,100,631.0","4,201,891.0","4,219,097.0","4,249,152.0","4,285,582.0","4,324,926.0","4,328,720.0","4,366,088.0","4,401,233.0","4,490,609.0","4,566,442.0","4,599,332.0","4,619,803.0","4,691,637.0","4,706,684.0","4,736,143.0","4,715,469.0"
"21","2","Less: Exports of goods and services","A020RX1","90,995.0","89,848.0","85,287.0","75,624.0","72,174.0","65,427.0","66,965.0","64,605.0","72,337.0","71,718.0","65,727.0","56,898.0","55,960.0","56,636.0","58,105.0","62,814.0","65,954.0","72,444.0","74,224.0","73,528.0","77,441.0","68,928.0","63,484.0","63,919.0","62,838.0","63,230.0","65,764.0","63,597.0","60,745.0","69,472.0","67,240.0","70,336.0","72,950.0","71,249.0","75,925.0","76,267.0","79,886.0","85,269.0","88,108.0","92,058.0","98,061.0","95,154.0","92,489.0","89,724.0","80,818.0","81,200.0","81,457.0","81,199.0","86,577.0","89,454.0","92,289.0","89,818.0","101,064.0","107,484.0","104,769.0","106,940.0","106,207.0","104,732.0","104,163.0","107,384.0","107,121.0","117,400.0","110,834.0","108,444.0","110,981.0","123,968.0","117,348.0","123,237.0","130,790.0","132,953.0","131,936.0","135,866.0","121,201.0","143,954.0","135,710.0","145,548.0","142,979.0","149,242.0","143,616.0","148,349.0","151,162.0","149,820.0","146,197.0","150,365.0","154,745.0","157,814.0","167,125.0","165,017.0","145,249.0","177,816.0","173,552.0","179,527.0"
"22","3","Plus: Imports of goods and services","A021RX1","54,689.0","55,742.0","49,435.0","52,101.0","58,752.0","61,081.0","64,270.0","63,228.0","61,331.0","60,436.0","57,973.0","58,846.0","60,491.0","63,830.0","78,766.0","78,914.0","78,919.0","76,304.0","69,842.0","68,015.0","75,906.0","75,514.0","80,134.0","87,319.0","85,167.0","89,584.0","89,242.0","84,853.0","79,952.0","87,144.0","81,887.0","82,664.0","87,548.0","92,512.0","94,070.0","97,478.0","101,570.0","101,042.0","101,920.0","97,242.0","104,977.0","105,796.0","103,757.0","104,114.0","105,665.0","110,180.0","108,506.0","114,181.0","117,133.0","122,797.0","123,950.0","120,801.0","125,380.0","126,322.0","122,605.0","116,822.0","116,254.0","117,671.0","125,463.0","128,446.0","132,357.0","135,245.0","136,961.0","138,635.0","135,426.0","138,614.0","142,133.0","141,667.0","141,534.0","144,720.0","148,604.0","152,623.0","147,129.0","164,492.0","165,167.0","173,226.0","177,690.0","182,109.0","192,323.0","194,489.0","197,525.0","195,956.0","198,529.0","208,999.0","221,313.0","224,688.0","238,192.0","236,185.0","213,907.0","256,109.0","252,791.0","250,014.0"
"23","4","Equals: Gross domestic purchases","A712RX1","1,889,176.0","1,889,952.0","1,888,152.0","1,939,668.0","1,983,210.0","2,030,925.0","2,043,537.0","2,048,506.0","2,005,034.0","1,998,183.0","2,027,499.0","2,024,066.0","2,108,853.0","2,175,988.0","2,276,162.0","2,313,023.0","2,340,014.0","2,366,889.0","2,404,153.0","2,408,239.0","2,438,362.0","2,456,994.0","2,489,802.0","2,580,000.0","2,626,855.0","2,652,121.0","2,632,736.0","2,590,906.0","2,577,422.0","2,575,207.0","2,601,455.0","2,648,345.0","2,726,147.0","2,779,377.0","2,811,325.0","2,831,842.0","2,820,143.0","2,834,365.0","2,828,637.0","2,863,393.0","2,881,799.0","2,880,893.0","2,910,999.0","2,885,637.0","2,825,824.0","2,848,923.0","2,912,625.0","2,987,437.0","3,038,048.0","3,113,834.0","3,104,859.0","3,117,378.0","3,174,929.0","3,154,173.0","3,162,144.0","3,114,052.0","3,135,942.0","3,198,642.0","3,261,763.0","3,326,664.0","3,391,614.0","3,415,967.0","3,460,427.0","3,479,250.0","3,510,989.0","3,541,147.0","3,624,487.0","3,641,345.0","3,709,534.0","3,754,357.0","3,811,520.0","3,823,669.0","3,934,967.0","3,973,490.0","4,068,008.0","4,158,567.0","4,270,565.0","4,283,550.0","4,333,427.0","4,365,876.0","4,405,053.0","4,409,326.0","4,455,691.0","4,496,148.0","4,593,662.0","4,670,191.0","4,703,680.0","4,725,746.0","4,806,109.0","4,815,767.0","4,848,899.0","4,816,335.0"
"24","5","Plus: Exports of goods and services, command basis \1\","C020RX1","149,277.0","156,535.0","153,833.0","136,749.0","129,567.0","115,272.0","114,428.0","108,648.0","119,855.0","117,283.0","106,561.0","91,191.0","88,441.0","89,265.0","90,464.0","97,908.0","105,216.0","118,996.0","125,090.0","124,414.0","127,724.0","112,992.0","103,187.0","103,448.0","102,033.0","102,292.0","105,667.0","101,426.0","95,961.0","109,117.0","105,459.0","110,127.0","114,186.0","111,391.0","118,498.0","119,062.0","124,445.0","132,952.0","137,453.0","144,414.0","154,323.0","149,895.0","145,068.0","139,805.0","123,728.0","123,310.0","123,313.0","122,964.0","129,676.0","133,779.0","138,621.0","135,810.0","152,765.0","161,614.0","157,568.0","159,590.0","159,072.0","158,716.0","157,225.0","162,957.0","162,100.0","175,398.0","165,114.0","161,374.0","164,520.0","183,319.0","172,877.0","180,507.0","191,248.0","193,711.0","192,879.0","200,016.0","181,830.0","214,269.0","201,219.0","213,461.0","211,995.0","221,072.0","213,486.0","222,612.0","230,085.0","226,360.0","218,649.0","223,734.0","229,419.0","236,309.0","244,600.0","239,806.0","212,146.0","256,678.0","250,453.0","261,797.0"
"25","6","Less: Imports of goods and services, command basis \1\","C021RX1","61,021.0","65,859.0","60,661.0","64,722.0","73,710.0","75,905.0","77,667.0","75,210.0","71,576.0","70,188.0","67,462.0","68,572.0","71,794.0","76,912.0","95,909.0","99,023.0","103,978.0","105,492.0","99,160.0","95,740.0","102,280.0","99,697.0","103,214.0","110,284.0","106,532.0","110,713.0","109,369.0","103,666.0","98,330.0","107,431.0","101,647.0","102,534.0","106,888.0","112,410.0","113,770.0","117,505.0","121,617.0","120,798.0","121,271.0","116,074.0","124,479.0","124,682.0","120,663.0","119,231.0","117,226.0","120,483.0","118,188.0","124,519.0","127,267.0","133,708.0","135,089.0","132,433.0","136,799.0","137,272.0","133,304.0","126,099.0","125,488.0","126,705.0","134,656.0","137,515.0","139,448.0","142,247.0","143,219.0","145,361.0","142,540.0","146,379.0","150,771.0","150,092.0","150,682.0","154,348.0","157,540.0","161,660.0","156,527.0","173,444.0","174,517.0","183,641.0","188,233.0","193,181.0","201,826.0","203,742.0","206,223.0","202,859.0","203,728.0","212,318.0","223,875.0","226,617.0","238,235.0","234,605.0","211,323.0","250,757.0","245,874.0","246,342.0"
"26","7","Equals: Command-basis gross domestic product \1,2\","C191RX1","1,972,721.0","1,977,193.0","1,979,943.0","2,018,431.0","2,038,615.0","2,064,010.0","2,076,120.0","2,084,991.0","2,052,270.0","2,036,493.0","2,063,003.0","2,043,829.0","2,124,978.0","2,186,047.0","2,270,295.0","2,317,809.0","2,352,683.0","2,394,072.0","2,437,632.0","2,440,256.0","2,462,962.0","2,462,918.0","2,491,286.0","2,572,794.0","2,620,147.0","2,640,477.0","2,627,074.0","2,583,939.0","2,567,542.0","2,567,094.0","2,600,952.0","2,655,193.0","2,735,199.0","2,776,092.0","2,814,218.0","2,840,701.0","2,830,715.0","2,844,518.0","2,846,988.0","2,887,775.0","2,914,290.0","2,908,439.0","2,932,729.0","2,888,646.0","2,822,056.0","2,837,509.0","2,913,839.0","2,992,202.0","3,039,880.0","3,109,253.0","3,102,482.0","3,114,989.0","3,191,834.0","3,176,202.0","3,181,307.0","3,138,070.0","3,163,192.0","3,225,185.0","3,280,312.0","3,350,815.0","3,413,463.0","3,444,532.0","3,476,690.0","3,488,335.0","3,524,231.0","3,572,379.0","3,641,537.0","3,672,419.0","3,748,536.0","3,789,760.0","3,839,255.0","3,855,442.0","3,956,177.0","4,009,742.0","4,087,368.0","4,182,130.0","4,289,389.0","4,302,627.0","4,339,953.0","4,380,664.0","4,424,625.0","4,424,567.0","4,464,852.0","4,502,004.0","4,594,281.0","4,671,934.0","4,703,174.0","4,724,846.0","4,802,230.0","4,814,869.0","4,845,709.0","4,825,837.0"
"27","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RX1","11,719.0","12,525.0","12,602.0","13,895.0","14,736.0","15,308.0","15,836.0","15,185.0","15,293.0","14,811.0","14,646.0","13,636.0","14,629.0","15,399.0","17,426.0","17,308.0","16,786.0","19,183.0","19,818.0","20,558.0","19,242.0","19,708.0","19,391.0","19,280.0","19,054.0","19,972.0","18,484.0","18,879.0","19,659.0","19,556.0","19,740.0","21,767.0","22,463.0","22,769.0","23,125.0","23,528.0","25,506.0","25,053.0","25,781.0","23,383.0","26,506.0","28,055.0","27,238.0","22,894.0","23,415.0","23,202.0","22,986.0","23,232.0","23,567.0","24,062.0","25,868.0","27,529.0","28,015.0","28,046.0","28,748.0","29,330.0","30,708.0","29,745.0","30,689.0","31,513.0","30,993.0","33,332.0","33,702.0","37,647.0","36,330.0","35,886.0","36,931.0","38,208.0","40,706.0","39,904.0","40,747.0","39,447.0","43,585.0","44,846.0","42,978.0","40,685.0","41,956.0","42,304.0","42,670.0","44,496.0","44,207.0","43,250.0","46,013.0","46,009.0","47,983.0","49,833.0","51,306.0","51,216.0","53,473.0","54,911.0","56,627.0","57,674.0"
"28","9","Less: Income payments to the rest of the world, command basis \1\","C655RX1","3,782.0","3,733.0","3,649.0","4,311.0","4,082.0","4,122.0","4,821.0","4,257.0","4,964.0","4,850.0","5,036.0","5,091.0","5,350.0","5,504.0","5,600.0","5,666.0","6,036.0","6,095.0","5,987.0","5,831.0","5,559.0","5,949.0","5,976.0","6,195.0","6,185.0","6,159.0","6,351.0","6,658.0","6,354.0","6,293.0","6,203.0","6,228.0","6,445.0","7,002.0","7,145.0","7,131.0","7,185.0","6,984.0","7,300.0","7,356.0","7,401.0","7,344.0","7,498.0","7,506.0","7,568.0","7,034.0","7,389.0","7,774.0","8,203.0","8,641.0","9,150.0","9,698.0","10,821.0","10,464.0","10,313.0","9,865.0","9,989.0","10,073.0","10,472.0","10,791.0","10,341.0","10,512.0","10,597.0","10,736.0","10,821.0","11,364.0","11,874.0","12,270.0","12,455.0","12,765.0","12,773.0","13,513.0","13,691.0","13,961.0","14,357.0","14,790.0","15,068.0","15,373.0","16,407.0","16,880.0","16,903.0","16,839.0","16,703.0","17,545.0","18,652.0","19,894.0","20,431.0","20,674.0","22,916.0","25,580.0","28,698.0","29,774.0"
"29","10","Equals: Command-basis gross national product \1,3\","CB22RX1","1,980,658.0","1,985,985.0","1,988,896.0","2,028,015.0","2,049,268.0","2,075,196.0","2,087,135.0","2,095,919.0","2,062,599.0","2,046,455.0","2,072,613.0","2,052,374.0","2,134,258.0","2,195,942.0","2,282,121.0","2,329,452.0","2,363,433.0","2,407,160.0","2,451,463.0","2,454,983.0","2,476,644.0","2,476,677.0","2,504,701.0","2,585,879.0","2,633,016.0","2,654,290.0","2,639,206.0","2,596,160.0","2,580,848.0","2,580,357.0","2,614,488.0","2,670,733.0","2,751,217.0","2,791,859.0","2,830,198.0","2,857,098.0","2,849,036.0","2,862,587.0","2,865,469.0","2,903,802.0","2,933,395.0","2,929,150.0","2,952,469.0","2,904,034.0","2,837,903.0","2,853,677.0","2,929,437.0","3,007,660.0","3,055,244.0","3,124,673.0","3,119,199.0","3,132,820.0","3,209,029.0","3,193,783.0","3,199,742.0","3,157,534.0","3,183,911.0","3,244,856.0","3,300,528.0","3,371,537.0","3,434,115.0","3,467,352.0","3,499,794.0","3,515,246.0","3,549,740.0","3,596,900.0","3,666,594.0","3,698,356.0","3,776,787.0","3,816,900.0","3,867,228.0","3,881,376.0","3,986,072.0","4,040,627.0","4,115,989.0","4,208,025.0","4,316,277.0","4,329,558.0","4,366,216.0","4,408,280.0","4,451,930.0","4,450,977.0","4,494,163.0","4,530,467.0","4,623,613.0","4,701,873.0","4,734,049.0","4,755,387.0","4,832,788.0","4,844,200.0","4,873,638.0","4,853,738.0"
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Command-basis net domestic product \4\","C362RX1","1,802,448.0","1,805,375.0","1,807,192.0","1,847,200.0","1,868,615.0","1,895,100.0","1,907,456.0","1,916,185.0","1,881,249.0","1,864,047.0","1,890,476.0","1,869,864.0","1,952,999.0","2,014,957.0","2,100,770.0","2,147,822.0","2,181,589.0","2,221,845.0","2,264,238.0","2,263,594.0","2,283,823.0","2,280,052.0","2,305,672.0","2,386,399.0","2,431,307.0","2,448,190.0","2,430,099.0","2,381,138.0","2,359,837.0","2,355,644.0","2,387,197.0","2,440,206.0","2,519,873.0","2,558,714.0","2,594,825.0","2,618,892.0","2,604,502.0","2,615,024.0","2,613,731.0","2,652,691.0","2,676,480.0","2,666,364.0","2,687,396.0","2,636,583.0","2,562,074.0","2,573,836.0","2,649,601.0","2,728,090.0","2,775,029.0","2,844,586.0","2,834,643.0","2,844,593.0","2,921,790.0","2,902,240.0","2,904,018.0","2,855,096.0","2,877,175.0","2,937,657.0","2,990,976.0","3,060,131.0","3,120,679.0","3,148,542.0","3,177,074.0","3,184,013.0","3,216,051.0","3,260,911.0","3,327,468.0","3,354,029.0","3,427,868.0","3,465,161.0","3,510,652.0","3,521,459.0","3,619,657.0","3,668,453.0","3,742,012.0","3,833,126.0","3,936,692.0","3,942,763.0","3,973,729.0","4,008,150.0","4,046,031.0","4,038,155.0","4,072,296.0","4,103,265.0","4,191,606.0","4,264,459.0","4,289,126.0","4,303,983.0","4,376,109.0","4,381,796.0","4,406,432.0","4,378,824.0"
