"","Table 1#4#5# Relation of Gross Domestic Product, Gross Domestic ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"19","1","Gross domestic product","A191RC1","1,019,878.0","1,075,884.0","1,167,770.0","1,282,449.0","1,428,549.0","1,548,825.0","1,688,923.0","1,877,587.0","2,085,951.0","2,356,571.0","2,632,143.0","2,862,505.0","3,210,956.0","3,344,991.0","3,638,137.0","4,040,693.0","4,346,734.0","4,590,155.0","4,870,217.0","5,252,629.0","5,657,693.0","5,979,589.0","6,174,043.0","6,539,299.0","6,878,718.0","7,308,755.0","7,664,060.0","8,100,201.0","8,608,515.0","9,089,168.0","9,660,624.0","10,284,779.0","10,621,824.0","10,977,514.0","11,510,670.0","12,274,928.0","13,093,726.0","13,855,888.0","14,477,635.0","14,718,582.0","14,418,739.0","14,964,372.0","15,517,926.0","16,163,158.0","16,768,053.0","17,418,928.0"
"20","2","Less: Exports of goods and services","B020RC1","51,922.0","59,710.0","62,964.0","70,844.0","95,270.0","126,651.0","138,707.0","149,515.0","159,350.0","186,885.0","230,129.0","280,773.0","305,239.0","283,209.0","276,996.0","302,383.0","303,209.0","321,000.0","363,944.0","444,601.0","504,291.0","551,874.0","594,932.0","633,053.0","654,800.0","720,939.0","812,813.0","867,590.0","953,806.0","952,981.0","991,980.0","1,096,835.0","1,026,713.0","1,002,509.0","1,040,279.0","1,181,507.0","1,308,901.0","1,476,316.0","1,664,625.0","1,841,942.0","1,587,742.0","1,852,335.0","2,106,371.0","2,194,153.0","2,262,216.0","2,336,957.0"
"21","3","Plus: Imports of goods and services","B021RC1","50,491.0","55,760.0","62,342.0","74,216.0","91,159.0","127,465.0","122,729.0","151,146.0","182,443.0","212,251.0","252,675.0","293,829.0","317,759.0","303,183.0","328,638.0","405,107.0","417,228.0","452,867.0","508,714.0","553,993.0","591,032.0","629,729.0","623,547.0","667,793.0","719,974.0","813,425.0","902,571.0","963,966.0","1,055,776.0","1,115,690.0","1,248,611.0","1,472,630.0","1,395,396.0","1,428,973.0","1,543,934.0","1,800,677.0","2,030,086.0","2,247,263.0","2,383,167.0","2,565,009.0","1,983,178.0","2,364,992.0","2,686,366.0","2,762,459.0","2,770,405.0","2,875,191.0"
"22","4","Equals: Gross domestic purchases","A712RC1","1,018,447.0","1,071,934.0","1,167,148.0","1,285,821.0","1,424,438.0","1,549,639.0","1,672,945.0","1,879,218.0","2,109,044.0","2,381,937.0","2,654,689.0","2,875,561.0","3,223,476.0","3,364,965.0","3,689,779.0","4,143,417.0","4,460,753.0","4,722,022.0","5,014,987.0","5,362,021.0","5,744,434.0","6,057,444.0","6,202,658.0","6,574,039.0","6,943,892.0","7,401,241.0","7,753,818.0","8,196,577.0","8,710,485.0","9,251,877.0","9,917,255.0","10,660,574.0","10,990,507.0","11,403,978.0","12,014,325.0","12,894,098.0","13,814,911.0","14,626,835.0","15,196,177.0","15,441,649.0","14,814,175.0","15,477,029.0","16,097,921.0","16,731,464.0","17,276,242.0","17,957,162.0"
"23","5","Less: Change in private inventories","A014RC1","9,173.0","2,001.0","8,256.0","9,107.0","15,878.0","13,990.0","-6,256.0","17,116.0","22,324.0","25,791.0","17,984.0","-6,331.0","29,809.0","-14,914.0","-5,751.0","65,405.0","21,824.0","6,571.0","27,149.0","18,482.0","27,693.0","14,547.0","-394.0","16,328.0","20,814.0","63,784.0","31,173.0","30,800.0","70,940.0","63,719.0","60,816.0","54,545.0","-38,283.0","18,501.0","19,286.0","63,860.0","59,579.0","66,972.0","34,452.0","-31,996.0","-147,570.0","61,528.0","41,763.0","64,863.0","74,061.0","82,042.0"
"24","6","Equals: Final sales to domestic purchasers","A713RC1","1,009,274.0","1,069,933.0","1,158,892.0","1,276,714.0","1,408,560.0","1,535,649.0","1,679,201.0","1,862,102.0","2,086,720.0","2,356,146.0","2,636,705.0","2,881,892.0","3,193,667.0","3,379,879.0","3,695,530.0","4,078,012.0","4,438,929.0","4,715,451.0","4,987,838.0","5,343,539.0","5,716,741.0","6,042,897.0","6,203,052.0","6,557,711.0","6,923,078.0","7,337,457.0","7,722,645.0","8,165,777.0","8,639,545.0","9,188,158.0","9,856,439.0","10,606,029.0","11,028,790.0","11,385,477.0","11,995,039.0","12,830,238.0","13,755,332.0","14,559,863.0","15,161,725.0","15,473,645.0","14,961,745.0","15,415,501.0","16,056,158.0","16,666,601.0","17,202,181.0","17,875,120.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RC1","1,010,705.0","1,073,883.0","1,159,514.0","1,273,342.0","1,412,671.0","1,534,835.0","1,695,179.0","1,860,471.0","2,063,627.0","2,330,780.0","2,614,159.0","2,868,836.0","3,181,147.0","3,359,905.0","3,643,888.0","3,975,288.0","4,324,910.0","4,583,584.0","4,843,068.0","5,234,147.0","5,630,000.0","5,965,042.0","6,174,437.0","6,522,971.0","6,857,904.0","7,244,971.0","7,632,887.0","8,069,401.0","8,537,575.0","9,025,449.0","9,599,808.0","10,230,234.0","10,660,107.0","10,959,013.0","11,491,384.0","12,211,068.0","13,034,147.0","13,788,916.0","14,443,183.0","14,750,578.0","14,566,309.0","14,902,844.0","15,476,163.0","16,098,295.0","16,693,992.0","17,336,886.0"
