"","Table 1#17#6# Real Gross Domestic Product, Real Gross Domestic I","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188"
"21","1","    Gross domestic product","A191RX1","4,691,637.0","4,706,684.0","4,736,143.0","4,715,469.0","4,707,112.0","4,715,441.0","4,757,213.0","4,708,281.0","4,834,349.0","4,861,938.0","4,899,950.0","4,914,261.0","5,002,436.0","5,118,278.0","5,165,448.0","5,251,226.0","5,380,502.0","5,441,504.0","5,411,935.0","5,462,397.0","5,417,024.0","5,431,265.0","5,378,679.0","5,357,166.0","5,292,444.0","5,333,220.0","5,421,357.0","5,494,446.0","5,618,520.0","5,660,972.0","5,689,756.0","5,732,462.0","5,799,160.0","5,912,977.0","6,017,586.0","6,018,218.0","6,039,158.0","6,273,963.0","6,335,317.0","6,420,288.0","6,433,044.0","6,440,832.0","6,487,080.0","6,503,874.0","6,524,912.0","6,392,578.0","6,382,892.0","6,501,184.0","6,635,726.0","6,587,269.0","6,662,858.0","6,585,127.0","6,474,973.0","6,510,247.0","6,486,800.0","6,493,128.0","6,578,175.0","6,728,287.0","6,860,022.0","7,001,489.0","7,140,597.0","7,266,010.0","7,337,493.0","7,396,019.0","7,469,545.0","7,537,928.0","7,655,196.0","7,712,624.0","7,784,109.0","7,819,843.0","7,898,555.0","7,939,450.0","7,994,965.0","8,084,710.0","8,158,035.0","8,292,687.0","8,339,324.0","8,449,510.0","8,498,282.0","8,610,850.0","8,697,711.0","8,766,105.0","8,831,544.0","8,850,230.0","8,947,129.0","8,981,727.0","8,983,945.0","8,907,363.0","8,865,564.0","8,934,366.0","8,977,252.0","9,016,444.0","9,122,950.0","9,223,545.0","9,313,208.0","9,406,528.0","9,424,065.0","9,480,106.0","9,526,337.0","9,653,509.0","9,748,156.0","9,881,384.0","9,939,655.0","10,052,518.0","10,086,878.0","10,122,122.0","10,208,772.0","10,281,246.0","10,348,691.0","10,529,379.0","10,626,778.0","10,739,057.0","10,820,908.0","10,984,150.0","11,124,013.0","11,210,329.0","11,321,246.0","11,431,046.0","11,580,587.0","11,770,686.0","11,864,675.0","11,962,524.0","12,113,075.0","12,323,336.0","12,359,095.0","12,592,530.0","12,607,676.0","12,679,338.0","12,643,283.0","12,710,303.0","12,670,106.0","12,705,269.0","12,822,258.0","12,893,002.0","12,955,769.0","12,964,016.0","13,031,169.0","13,152,089.0","13,372,357.0","13,528,710.0","13,606,509.0","13,706,247.0","13,830,828.0","13,950,376.0","14,099,081.0","14,172,695.0","14,291,757.0","14,373,438.0","14,546,119.0","14,589,585.0","14,602,633.0","14,716,930.0","14,726,022.0","14,838,664.0","14,938,467.0","14,991,784.0","14,889,450.0","14,963,357.0","14,891,643.0","14,576,985.0","14,375,018.0","14,355,558.0","14,402,477.0","14,541,901.0","14,604,845.0","14,745,933.0","14,845,458.0","14,939,001.0","14,881,301.0","14,989,555.0","15,021,149.0","15,190,255.0","15,275,047.0","15,336,735.0","15,431,335.0","15,433,702.0","15,538,441.0","15,606,591.0","15,779,938.0","15,916,208.0","15,831,652.0","16,010,405.0","16,205,591.0","16,294,699.0","16,304,774.0"
"22","2","    Gross domestic income","A261RX1","4,665,358.0","4,697,627.0","4,732,382.0","4,723,900.0","4,690,448.0","4,690,187.0","4,728,903.0","4,684,518.0","4,777,974.0","4,809,373.0","4,851,025.0","4,912,875.0","4,983,729.0","5,047,580.0","5,129,695.0","5,261,496.0","5,355,438.0","5,384,827.0","5,402,750.0","5,459,534.0","5,417,237.0","5,395,554.0","5,366,976.0","5,303,044.0","5,242,554.0","5,287,015.0","5,393,844.0","5,449,109.0","5,562,535.0","5,597,323.0","5,638,801.0","5,655,937.0","5,707,334.0","5,853,184.0","5,965,671.0","6,000,669.0","6,037,722.0","6,216,812.0","6,257,520.0","6,313,388.0","6,372,367.0","6,338,309.0","6,345,114.0","6,371,657.0","6,376,222.0","6,257,249.0","6,303,417.0","6,463,995.0","6,514,395.0","6,514,956.0","6,605,888.0","6,531,203.0","6,478,301.0","6,504,235.0","6,478,837.0","6,452,108.0","6,524,052.0","6,635,083.0","6,725,838.0","6,879,524.0","7,070,439.0","7,184,666.0","7,263,747.0","7,342,552.0","7,407,482.0","7,461,495.0","7,552,944.0","7,595,715.0","7,673,006.0","7,693,356.0","7,744,500.0","7,805,592.0","7,884,235.0","8,009,358.0","8,129,196.0","8,235,957.0","8,335,519.0","8,432,676.0","8,507,638.0","8,624,956.0","8,681,671.0","8,664,636.0","8,697,800.0","8,704,465.0","8,795,351.0","8,845,347.0","8,836,997.0","8,794,780.0","8,783,328.0","8,806,301.0","8,829,629.0","8,862,661.0","9,017,556.0","9,091,209.0","9,120,143.0","9,209,656.0","9,171,933.0","9,284,927.0","9,300,817.0","9,482,334.0","9,533,464.0","9,683,678.0","9,774,942.0","9,887,438.0","9,933,980.0","9,991,416.0","10,113,965.0","10,178,358.0","10,289,054.0","10,443,814.0","10,542,262.0","10,673,751.0","10,795,952.0","10,923,166.0","11,105,855.0","11,250,900.0","11,371,081.0","11,534,106.0","11,697,943.0","11,805,671.0","11,952,019.0","12,026,153.0","12,137,432.0","12,335,948.0","12,587,749.0","12,657,484.0","12,751,608.0","12,729,029.0","12,876,362.0","12,852,971.0","12,807,259.0","12,742,915.0","12,907,659.0","12,986,883.0","13,003,772.0","13,078,916.0","13,099,567.0","13,221,522.0","13,348,104.0","13,479,072.0","13,581,781.0","13,722,417.0","13,878,831.0","13,948,952.0","14,084,882.0","14,185,814.0","14,310,753.0","14,507,996.0","14,782,801.0","14,805,139.0","14,863,690.0","14,920,195.0","14,882,581.0","14,904,056.0","14,822,358.0","14,816,575.0","14,842,191.0","14,832,428.0","14,767,029.0","14,479,481.0","14,257,785.0","14,259,204.0","14,328,099.0","14,528,344.0","14,547,312.0","14,648,623.0","14,839,486.0","14,904,939.0","14,924,420.0","14,996,076.0","15,093,113.0","15,217,011.0","15,484,862.0","15,509,841.0","15,558,972.0","15,718,383.0","15,774,114.0","15,879,092.0","15,955,389.0","16,027,647.0","15,996,442.0","16,152,217.0","16,358,158.0","16,485,423.0","....."
"23","3","    Net domestic product \1\","A362RX1","4,265,243.0","4,273,576.0","4,296,896.0","4,268,687.0","4,253,624.0","4,256,064.0","4,293,277.0","4,237,302.0","4,362,461.0","4,385,838.0","4,419,820.0","4,429,471.0","4,514,849.0","4,627,997.0","4,669,121.0","4,749,326.0","4,873,759.0","4,927,952.0","4,889,080.0","4,933,185.0","4,878,601.0","4,886,207.0","4,824,901.0","4,796,219.0","4,723,261.0","4,759,774.0","4,845,690.0","4,916,013.0","5,039,334.0","5,077,141.0","5,100,305.0","5,137,174.0","5,198,422.0","5,308,378.0","5,408,318.0","5,399,552.0","5,411,815.0","5,646,324.0","5,699,554.0","5,776,902.0","5,778,361.0","5,774,786.0","5,811,684.0","5,818,145.0","5,829,262.0","5,680,598.0","5,660,502.0","5,774,427.0","5,905,770.0","5,845,456.0","5,914,376.0","5,822,549.0","5,696,386.0","5,723,058.0","5,689,095.0","5,686,960.0","5,767,601.0","5,915,010.0","6,042,365.0","6,178,781.0","6,311,783.0","6,429,270.0","6,489,433.0","6,534,821.0","6,594,474.0","6,649,297.0","6,755,202.0","6,799,824.0","6,859,610.0","6,882,220.0","6,949,066.0","6,976,568.0","7,019,045.0","7,097,230.0","7,158,858.0","7,284,128.0","7,318,945.0","7,419,235.0","7,456,106.0","7,558,615.0","7,634,501.0","7,691,472.0","7,745,512.0","7,751,568.0","7,838,129.0","7,861,460.0","7,852,340.0","7,763,216.0","7,710,614.0","7,771,693.0","7,806,453.0","7,837,726.0","7,938,076.0","8,031,825.0","8,113,757.0","8,198,859.0","8,206,106.0","8,252,297.0","8,288,199.0","8,406,380.0","8,491,034.0","8,614,223.0","8,660,253.0","8,761,126.0","8,781,281.0","8,802,061.0","8,874,904.0","8,933,017.0","8,985,737.0","9,152,703.0","9,234,039.0","9,329,586.0","9,393,344.0","9,538,701.0","9,658,760.0","9,723,011.0","9,810,710.0","9,897,881.0","10,025,967.0","10,195,803.0","10,269,158.0","10,339,961.0","10,457,184.0","10,627,669.0","10,667,374.0","10,860,116.0","10,840,007.0","10,886,242.0","10,829,885.0","10,881,431.0","10,825,861.0","10,845,842.0","10,945,386.0","11,000,004.0","11,046,696.0","11,039,746.0","11,092,939.0","11,200,618.0","11,406,382.0","11,546,084.0","11,604,934.0","11,688,032.0","11,794,319.0","11,894,314.0","12,022,652.0","12,076,790.0","12,175,390.0","12,236,234.0","12,388,146.0","12,409,380.0","12,400,943.0","12,494,514.0","12,482,066.0","12,575,248.0","12,656,934.0","12,692,968.0","12,575,198.0","12,633,261.0","12,545,598.0","12,217,444.0","12,008,328.0","11,986,333.0","12,033,249.0","12,173,523.0","12,232,105.0","12,366,929.0","12,459,465.0","12,545,838.0","12,480,504.0","12,581,304.0","12,604,248.0","12,762,682.0","12,835,757.0","12,885,279.0","12,968,589.0","12,959,605.0","13,051,252.0","13,106,344.0","13,266,302.0","13,388,968.0","13,291,429.0","13,456,229.0","13,635,569.0","13,708,808.0","13,704,139.0"
"24","4","    Net domestic income \1\","W256RX1","4,238,042.0","4,264,363.0","4,292,889.0","4,277,465.0","4,236,537.0","4,230,074.0","4,263,871.0","4,212,855.0","4,304,177.0","4,331,664.0","4,369,216.0","4,428,023.0","4,495,434.0","4,554,878.0","4,632,105.0","4,760,008.0","4,847,870.0","4,869,430.0","4,879,547.0","4,930,187.0","4,878,874.0","4,849,228.0","4,812,866.0","4,740,209.0","4,671,488.0","4,711,639.0","4,817,080.0","4,868,901.0","4,981,111.0","5,011,051.0","5,047,218.0","5,057,562.0","5,102,847.0","5,246,001.0","5,354,332.0","5,381,233.0","5,410,280.0","5,586,727.0","5,618,411.0","5,665,390.0","5,714,975.0","5,667,855.0","5,663,595.0","5,680,187.0","5,673,901.0","5,539,220.0","5,577,390.0","5,735,588.0","5,779,070.0","5,769,866.0","5,854,794.0","5,766,136.0","5,699,868.0","5,716,753.0","5,680,834.0","5,644,110.0","5,711,193.0","5,817,955.0","5,902,955.0","6,052,070.0","6,238,974.0","6,344,833.0","6,412,979.0","6,479,403.0","6,530,309.0","6,570,244.0","6,649,459.0","6,679,015.0","6,744,781.0","6,751,488.0","6,789,869.0","6,838,330.0","6,904,688.0","7,019,511.0","7,129,132.0","7,225,469.0","7,314,986.0","7,401,795.0","7,465,681.0","7,573,065.0","7,618,053.0","7,587,067.0","7,607,902.0","7,601,688.0","7,682,241.0","7,721,424.0","7,701,559.0","7,647,745.0","7,626,219.0","7,640,545.0","7,655,331.0","7,680,467.0","7,830,336.0","7,896,702.0","7,916,755.0","7,998,013.0","7,949,005.0","8,053,337.0","8,058,419.0","8,232,076.0","8,272,325.0","8,412,853.0","8,492,469.0","8,592,933.0","8,625,407.0","8,668,846.0","8,778,307.0","8,828,240.0","8,925,061.0","9,065,696.0","9,148,160.0","9,263,259.0","9,368,130.0","9,476,814.0","9,640,287.0","9,764,112.0","9,861,201.0","10,002,187.0","10,144,627.0","10,231,271.0","10,357,565.0","10,404,306.0","10,481,710.0","10,640,423.0","10,898,845.0","10,925,832.0","10,985,207.0","10,936,180.0","11,064,516.0","11,025,210.0","10,963,968.0","10,883,659.0","11,031,317.0","11,094,429.0","11,094,829.0","11,155,022.0","11,161,562.0","11,270,263.0","11,382,052.0","11,496,319.0","11,580,183.0","11,704,275.0","11,842,447.0","11,892,888.0","12,008,365.0","12,089,983.0","12,194,450.0","12,371,446.0","12,626,016.0","12,626,070.0","12,663,341.0","12,699,029.0","12,639,494.0","12,640,861.0","12,540,333.0","12,517,061.0","12,527,833.0","12,501,886.0","12,420,521.0","12,119,759.0","11,890,976.0","11,890,004.0","11,958,922.0","12,159,887.0","12,174,651.0","12,269,954.0","12,453,509.0","12,511,790.0","12,523,437.0","12,587,867.0","12,676,005.0","12,789,234.0","13,044,812.0","13,057,710.0","13,095,705.0","13,243,134.0","13,286,031.0","13,377,921.0","13,441,213.0","13,500,085.0","13,455,824.0","13,597,664.0","13,787,775.0","13,899,108.0","....."
"25",NA,"Production by labor and capital supplied by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","5","    Gross national product","A001RX1","4,730,429.0","4,744,323.0","4,772,446.0","4,751,727.0","4,744,137.0","4,753,504.0","4,794,891.0","4,743,271.0","4,874,753.0","4,904,225.0","4,938,896.0","4,954,963.0","5,044,728.0","5,160,192.0","5,210,331.0","5,296,011.0","5,431,254.0","5,495,228.0","5,473,295.0","5,524,216.0","5,488,280.0","5,499,092.0","5,440,943.0","5,411,720.0","5,339,213.0","5,380,347.0","5,471,891.0","5,553,488.0","5,676,189.0","5,720,701.0","5,750,050.0","5,794,104.0","5,868,683.0","5,981,379.0","6,085,501.0","6,079,307.0","6,108,770.0","6,333,413.0","6,399,639.0","6,493,188.0","6,507,568.0","6,523,477.0","6,584,442.0","6,600,597.0","6,623,296.0","6,483,891.0","6,469,338.0","6,572,962.0","6,711,937.0","6,659,451.0","6,739,159.0","6,669,842.0","6,555,427.0","6,599,695.0","6,563,728.0","6,567,461.0","6,651,848.0","6,806,438.0","6,939,692.0","7,084,032.0","7,217,669.0","7,343,597.0","7,414,455.0","7,465,413.0","7,525,407.0","7,596,338.0","7,704,576.0","7,766,990.0","7,832,762.0","7,856,543.0","7,939,000.0","7,968,891.0","8,027,406.0","8,123,037.0","8,195,356.0","8,332,949.0","8,388,111.0","8,494,406.0","8,538,457.0","8,654,622.0","8,740,466.0","8,807,120.0","8,876,235.0","8,904,357.0","8,998,489.0","9,035,457.0","9,029,943.0","8,986,622.0","8,927,476.0","8,979,818.0","9,017,308.0","9,067,921.0","9,173,710.0","9,273,275.0","9,358,890.0","9,453,640.0","9,481,572.0","9,528,347.0","9,582,205.0","9,687,922.0","9,791,948.0","9,918,968.0","9,974,794.0","10,086,032.0","10,132,487.0","10,170,942.0","10,238,970.0","10,326,632.0","10,402,803.0","10,572,617.0","10,665,734.0","10,785,039.0","10,855,962.0","11,028,887.0","11,158,914.0","11,236,495.0","11,358,846.0","11,464,841.0","11,597,763.0","11,791,013.0","11,896,115.0","12,000,359.0","12,147,227.0","12,369,846.0","12,400,794.0","12,637,957.0","12,647,405.0","12,748,958.0","12,695,928.0","12,773,596.0","12,705,911.0","12,816,317.0","12,886,832.0","12,935,232.0","13,014,601.0","13,042,332.0","13,092,819.0","13,229,732.0","13,449,743.0","13,636,236.0","13,733,956.0","13,804,462.0","13,940,353.0","14,030,599.0","14,215,858.0","14,276,463.0","14,405,805.0","14,455,308.0","14,629,889.0","14,667,393.0","14,665,986.0","14,791,136.0","14,800,512.0","14,935,278.0","15,093,672.0","15,193,451.0","15,074,472.0","15,150,625.0","15,094,458.0","14,699,662.0","14,504,239.0","14,480,604.0","14,581,715.0","14,712,587.0","14,790,042.0","14,932,906.0","15,026,350.0","15,133,776.0","15,086,527.0","15,195,087.0","15,249,120.0","15,433,233.0","15,484,571.0","15,538,079.0","15,617,490.0","15,629,059.0","15,717,192.0","15,790,582.0","15,977,640.0","16,124,269.0","16,009,760.0","16,189,803.0","16,399,345.0","16,454,717.0","....."
"27","6","    Gross national income","A023RX1","4,704,080.0","4,735,334.0","4,768,651.0","4,760,221.0","4,727,620.0","4,728,183.0","4,766,429.0","4,719,430.0","4,818,278.0","4,851,565.0","4,889,894.0","4,953,463.0","5,026,045.0","5,089,310.0","5,174,599.0","5,306,271.0","5,406,289.0","5,438,638.0","5,464,075.0","5,521,326.0","5,488,441.0","5,463,270.0","5,429,247.0","5,357,649.0","5,289,128.0","5,333,989.0","5,444,261.0","5,508,041.0","5,620,024.0","5,657,033.0","5,698,900.0","5,717,596.0","5,776,680.0","5,921,406.0","6,033,610.0","6,061,836.0","6,107,314.0","6,276,087.0","6,321,705.0","6,386,080.0","6,446,799.0","6,420,780.0","6,442,341.0","6,468,138.0","6,474,376.0","6,348,430.0","6,389,774.0","6,535,740.0","6,590,428.0","6,586,968.0","6,682,104.0","6,615,823.0","6,558,827.0","6,593,755.0","6,555,790.0","6,526,395.0","6,597,640.0","6,713,009.0","6,805,297.0","6,961,954.0","7,147,427.0","7,262,064.0","7,340,558.0","7,411,842.0","7,463,299.0","7,519,722.0","7,602,193.0","7,649,997.0","7,721,445.0","7,729,907.0","7,784,765.0","7,834,915.0","7,916,507.0","8,047,591.0","8,166,519.0","8,276,108.0","8,384,285.0","8,477,535.0","8,547,783.0","8,668,732.0","8,724,463.0","8,705,566.0","8,742,397.0","8,758,484.0","8,846,634.0","8,898,908.0","8,882,857.0","8,874,033.0","8,845,117.0","8,851,693.0","8,869,721.0","8,914,075.0","9,068,246.0","9,140,776.0","9,165,722.0","9,256,644.0","9,229,401.0","9,333,029.0","9,356,536.0","9,516,657.0","9,577,171.0","9,721,146.0","9,809,981.0","9,920,924.0","9,979,490.0","10,040,184.0","10,144,145.0","10,223,680.0","10,343,155.0","10,487,013.0","10,581,233.0","10,719,765.0","10,831,108.0","10,967,812.0","11,140,808.0","11,277,080.0","11,408,778.0","11,568,015.0","11,715,101.0","11,826,016.0","11,983,521.0","12,063,905.0","12,171,527.0","12,382,489.0","12,629,556.0","12,702,967.0","12,791,463.0","12,798,613.0","12,928,984.0","12,916,374.0","12,843,030.0","12,853,945.0","12,972,230.0","13,029,250.0","13,062,576.0","13,157,283.0","13,161,339.0","13,299,102.0","13,425,539.0","13,586,615.0","13,709,309.0","13,820,700.0","13,988,415.0","14,029,232.0","14,201,528.0","14,289,635.0","14,424,783.0","14,589,866.0","14,866,682.0","14,882,991.0","14,927,197.0","14,994,477.0","14,957,144.0","15,000,700.0","14,977,472.0","15,018,174.0","15,027,315.0","15,019,714.0","14,969,747.0","14,602,230.0","14,386,983.0","14,384,291.0","14,507,366.0","14,698,955.0","14,732,558.0","14,835,804.0","15,020,254.0","15,099,771.0","15,129,471.0","15,201,684.0","15,321,040.0","15,459,856.0","15,694,118.0","15,711,050.0","15,745,043.0","15,913,467.0","15,952,710.0","16,062,774.0","16,152,934.0","16,235,521.0","16,174,413.0","16,331,499.0","16,551,688.0","16,645,291.0","....."
"28","7","    Net national product \1\","A027RX1","4,304,802.0","4,311,929.0","4,333,856.0","4,305,586.0","4,291,303.0","4,294,803.0","4,331,613.0","4,272,841.0","4,403,604.0","4,428,920.0","4,459,443.0","4,470,902.0","4,557,924.0","4,670,684.0","4,714,865.0","4,794,960.0","4,925,553.0","4,982,811.0","4,951,819.0","4,996,399.0","4,951,563.0","4,955,611.0","4,888,523.0","4,851,830.0","4,770,767.0","4,807,636.0","4,897,089.0","4,976,253.0","5,098,140.0","5,138,081.0","5,161,823.0","5,200,086.0","5,269,527.0","5,378,303.0","5,477,720.0","5,461,827.0","5,482,959.0","5,706,851.0","5,765,144.0","5,851,420.0","5,854,551.0","5,859,432.0","5,911,666.0","5,917,447.0","5,930,287.0","5,774,234.0","5,749,040.0","5,847,624.0","5,983,572.0","5,919,036.0","5,992,241.0","5,909,202.0","5,778,573.0","5,814,631.0","5,767,569.0","5,762,720.0","5,842,667.0","5,994,729.0","6,123,649.0","6,263,034.0","6,390,336.0","6,508,337.0","6,567,830.0","6,605,354.0","6,650,984.0","6,708,425.0","6,804,983.0","6,854,740.0","6,908,601.0","6,918,838.0","6,989,539.0","7,005,655.0","7,051,219.0","7,135,468.0","7,196,043.0","7,324,332.0","7,367,932.0","7,464,189.0","7,496,180.0","7,602,383.0","7,677,210.0","7,732,379.0","7,790,194.0","7,805,947.0","7,889,653.0","7,915,410.0","7,898,348.0","7,843,335.0","7,772,937.0","7,817,138.0","7,846,368.0","7,889,323.0","7,988,931.0","8,081,619.0","8,159,414.0","8,245,968.0","8,263,810.0","8,300,545.0","8,344,211.0","8,440,522.0","8,534,722.0","8,651,581.0","8,695,115.0","8,794,326.0","8,826,795.0","8,850,836.0","8,904,694.0","8,978,271.0","9,039,859.0","9,195,751.0","9,272,727.0","9,375,400.0","9,428,056.0","9,583,225.0","9,693,295.0","9,748,682.0","9,847,950.0","9,931,255.0","10,042,515.0","10,215,528.0","10,300,111.0","10,377,372.0","10,490,868.0","10,673,826.0","10,708,673.0","10,905,170.0","10,879,297.0","10,955,631.0","10,882,192.0","10,944,465.0","10,861,199.0","10,956,965.0","11,009,710.0","11,041,848.0","11,105,212.0","11,117,827.0","11,154,295.0","11,278,019.0","11,483,527.0","11,653,441.0","11,732,247.0","11,786,050.0","11,903,667.0","11,974,275.0","12,139,277.0","12,180,356.0","12,289,267.0","12,317,781.0","12,471,592.0","12,486,831.0","12,463,870.0","12,568,351.0","12,556,196.0","12,671,603.0","12,812,120.0","12,894,782.0","12,760,275.0","12,820,583.0","12,748,543.0","12,340,038.0","12,137,528.0","12,111,387.0","12,212,491.0","12,344,218.0","12,417,271.0","12,553,835.0","12,640,291.0","12,740,498.0","12,685,610.0","12,786,713.0","12,832,028.0","13,005,401.0","13,045,141.0","13,086,518.0","13,154,700.0","13,154,888.0","13,229,998.0","13,290,314.0","13,463,921.0","13,596,906.0","13,469,531.0","13,635,604.0","13,829,244.0","13,868,845.0","....."
"29",NA,"Final expenditures by U.S. residents:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","8","    Gross domestic purchases","A712RX1","4,806,109.0","4,815,767.0","4,848,899.0","4,816,335.0","4,804,958.0","4,806,863.0","4,849,883.0","4,801,281.0","4,926,204.0","4,974,068.0","5,007,820.0","5,026,763.0","5,127,272.0","5,243,211.0","5,281,009.0","5,370,039.0","5,494,536.0","5,530,271.0","5,488,680.0","5,523,185.0","5,456,764.0","5,471,950.0","5,435,540.0","5,398,263.0","5,284,812.0","5,307,383.0","5,434,808.0","5,505,414.0","5,659,200.0","5,716,313.0","5,750,859.0","5,805,002.0","5,903,148.0","6,010,402.0","6,104,731.0","6,127,484.0","6,173,201.0","6,363,443.0","6,426,786.0","6,499,527.0","6,510,033.0","6,519,641.0","6,537,017.0","6,532,562.0","6,537,927.0","6,344,872.0","6,289,530.0","6,443,146.0","6,591,701.0","6,541,242.0","6,622,067.0","6,560,073.0","6,459,081.0","6,481,086.0","6,509,845.0","6,517,888.0","6,607,719.0","6,798,919.0","6,968,996.0","7,130,786.0","7,311,329.0","7,452,799.0","7,531,018.0","7,599,923.0","7,656,178.0","7,760,547.0","7,878,822.0","7,949,401.0","8,003,579.0","8,065,305.0","8,152,974.0","8,179,464.0","8,229,718.0","8,316,227.0","8,380,068.0","8,511,118.0","8,517,554.0","8,597,947.0","8,653,331.0","8,770,816.0","8,839,797.0","8,879,253.0","8,935,334.0","8,958,401.0","9,049,917.0","9,072,764.0","9,065,166.0","8,956,334.0","8,899,528.0","8,953,961.0","9,001,669.0","9,041,280.0","9,138,432.0","9,253,577.0","9,339,022.0","9,450,265.0","9,486,467.0","9,551,796.0","9,613,390.0","9,751,369.0","9,860,830.0","10,001,587.0","10,054,542.0","10,175,892.0","10,215,859.0","10,247,685.0","10,292,592.0","10,364,686.0","10,457,796.0","10,647,889.0","10,776,442.0","10,844,440.0","10,958,674.0","11,118,713.0","11,279,568.0","11,397,321.0","11,554,320.0","11,710,241.0","11,885,310.0","12,078,420.0","12,224,142.0","12,353,129.0","12,526,043.0","12,745,194.0","12,828,133.0","13,077,612.0","13,121,485.0","13,204,173.0","13,158,310.0","13,216,792.0","13,204,128.0","13,254,747.0","13,395,037.0","13,485,823.0","13,565,828.0","13,626,874.0","13,676,871.0","13,827,503.0","14,040,581.0","14,208,911.0","14,306,303.0","14,469,266.0","14,607,335.0","14,743,748.0","14,896,879.0","14,969,578.0","15,093,001.0","15,201,574.0","15,369,062.0","15,412,462.0","15,446,705.0","15,498,341.0","15,519,117.0","15,614,245.0","15,662,120.0","15,631,704.0","15,532,960.0","15,527,234.0","15,426,955.0","15,112,443.0","14,827,779.0","14,722,712.0","14,784,989.0","14,921,220.0","15,013,626.0","15,218,385.0","15,347,892.0","15,399,832.0","15,351,602.0","15,448,346.0","15,479,463.0","15,656,093.0","15,744,748.0","15,807,622.0","15,887,167.0","15,859,008.0","15,966,038.0","16,054,527.0","16,205,036.0","16,298,595.0","16,280,411.0","16,473,164.0","16,637,661.0","16,768,250.0","16,829,342.0"
