"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79"
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4"
"20","1","    National income without capital consumption adjustment","J422RC1","870,008.0","886,477.0","905,380.0","914,215.0","919,163.0","931,496.0","946,408.0","947,223.0","985,043.0","1,004,694.0","1,022,411.0","1,044,182.0","1,076,567.0","1,096,414.0","1,125,957.0","1,172,253.0","1,209,762.0","1,235,135.0","1,264,434.0","1,303,721.0","1,317,184.0","1,339,730.0","1,368,005.0","1,386,868.0","1,396,940.0","1,430,243.0","1,490,246.0","1,535,141.0","1,585,978.0","1,611,789.0","1,643,842.0","1,676,665.0","1,720,030.0","1,790,334.0","1,847,281.0","1,895,086.0","1,935,681.0","2,030,183.0","2,076,738.0","2,141,796.0","2,198,612.0","2,238,420.0","2,291,638.0","2,344,833.0","2,394,173.0","2,386,708.0","2,453,133.0","2,580,759.0","2,659,994.0","2,697,260.0","2,783,764.0","2,796,750.0","2,801,390.0","2,845,503.0","2,861,382.0","2,870,958.0","2,923,041.0","2,995,026.0","3,067,740.0","3,164,948.0","3,291,003.0","3,370,322.0","3,427,899.0","3,475,173.0","3,530,030.0","3,571,309.0","3,629,601.0","3,672,926.0","3,729,822.0","3,745,799.0","3,788,323.0","3,833,292.0","3,905,936.0","4,004,386.0","4,098,790.0","4,193,295.0"
"21","2","Domestic industries","J423RC1","863,674.0","880,310.0","899,431.0","908,210.0","912,883.0","924,871.0","939,824.0","941,150.0","977,617.0","996,713.0","1,015,141.0","1,036,449.0","1,068,394.0","1,088,295.0","1,117,026.0","1,163,215.0","1,199,094.0","1,223,509.0","1,250,554.0","1,289,419.0","1,300,122.0","1,323,340.0","1,352,732.0","1,373,528.0","1,385,541.0","1,418,587.0","1,477,251.0","1,519,173.0","1,570,205.0","1,595,134.0","1,626,724.0","1,658,799.0","1,699,263.0","1,769,591.0","1,826,397.0","1,876,315.0","1,913,588.0","2,011,428.0","2,055,842.0","2,117,221.0","2,172,924.0","2,208,980.0","2,255,567.0","2,308,358.0","2,356,216.0","2,350,901.0","2,418,706.0","2,552,194.0","2,628,618.0","2,667,267.0","2,751,072.0","2,759,121.0","2,765,407.0","2,804,581.0","2,826,337.0","2,836,859.0","2,888,990.0","2,958,289.0","3,029,875.0","3,125,267.0","3,253,963.0","3,332,781.0","3,390,534.0","3,441,939.0","3,504,357.0","3,543,642.0","3,607,106.0","3,647,324.0","3,707,662.0","3,730,302.0","3,770,141.0","3,821,294.0","3,891,580.0","3,986,256.0","4,081,027.0","4,173,616.0"
"22","3","  Private industries","J736RC1","741,305.0","755,441.0","768,958.0","775,495.0","775,826.0","785,572.0","797,834.0","797,003.0","828,092.0","843,705.0","858,974.0","877,850.0","904,238.0","921,705.0","947,086.0","987,563.0","1,022,301.0","1,044,607.0","1,069,210.0","1,103,940.0","1,111,376.0","1,130,518.0","1,156,310.0","1,170,756.0","1,178,417.0","1,206,446.0","1,261,299.0","1,298,960.0","1,345,289.0","1,367,339.0","1,396,107.0","1,422,827.0","1,459,888.0","1,526,308.0","1,578,287.0","1,620,364.0","1,652,927.0","1,746,118.0","1,783,667.0","1,838,708.0","1,889,003.0","1,922,520.0","1,963,100.0","2,007,636.0","2,049,652.0","2,037,172.0","2,098,229.0","2,219,761.0","2,289,044.0","2,320,489.0","2,398,727.0","2,395,645.0","2,395,906.0","2,429,524.0","2,445,550.0","2,447,122.0","2,492,803.0","2,556,212.0","2,621,983.0","2,712,731.0","2,830,404.0","2,901,181.0","2,949,674.0","2,992,544.0","3,042,423.0","3,073,519.0","3,127,662.0","3,160,135.0","3,214,639.0","3,230,384.0","3,262,580.0","3,303,607.0","3,367,745.0","3,455,127.0","3,543,688.0","3,626,311.0"
"23","4","    Agriculture, forestry, and fishing","J424RC1","19,758.0","21,137.0","21,913.0","23,100.0","22,542.0","21,513.0","22,463.0","21,956.0","23,127.0","23,526.0","23,772.0","25,474.0","23,494.0","26,243.0","28,540.0","34,364.0","35,303.0","41,671.0","44,725.0","53,759.0","46,462.0","39,285.0","41,131.0","43,687.0","40,343.0","41,370.0","45,593.0","46,805.0","43,154.0","41,568.0","40,997.0","41,493.0","41,364.0","39,861.0","37,768.0","45,525.0","44,605.0","48,979.0","49,968.0","48,152.0","56,309.0","55,334.0","57,779.0","57,590.0","51,475.0","41,989.0","51,108.0","58,886.0","59,537.0","60,677.0","66,553.0","60,456.0","58,994.0","58,521.0","60,116.0","57,920.0","57,119.0","48,824.0","40,121.0","44,396.0","60,897.0","62,910.0","62,795.0","65,660.0","65,792.0","63,238.0","60,991.0","62,128.0","58,954.0","59,070.0","65,291.0","64,589.0","64,492.0","65,113.0","66,902.0","69,889.0"
"24","5","    Mining","J734RC1","9,001.0","9,100.0","9,312.0","9,451.0","9,806.0","10,207.0","10,615.0","11,086.0","11,066.0","10,802.0","10,882.0","10,355.0","11,807.0","11,500.0","11,797.0","12,282.0","12,848.0","13,308.0","14,508.0","15,806.0","17,939.0","20,437.0","22,427.0","22,374.0","25,001.0","24,596.0","24,751.0","25,511.0","26,184.0","25,367.0","26,098.0","27,473.0","29,363.0","32,539.0","32,962.0","32,380.0","29,633.0","36,169.0","35,872.0","38,560.0","37,094.0","40,551.0","44,882.0","47,671.0","53,464.0","60,654.0","67,434.0","76,871.0","84,108.0","85,712.0","93,397.0","93,686.0","88,972.0","85,265.0","77,548.0","71,530.0","66,434.0","63,694.0","62,948.0","63,633.0","65,984.0","69,200.0","68,070.0","66,431.0","63,095.0","59,098.0","56,671.0","53,445.0","48,708.0","43,854.0","41,080.0","36,041.0","38,065.0","42,269.0","43,755.0","47,898.0"
"25","6","    Construction","J735RC1","44,052.0","45,708.0","46,541.0","46,058.0","46,960.0","47,028.0","48,218.0","49,536.0","49,989.0","52,279.0","53,286.0","54,802.0","56,672.0","57,439.0","58,481.0","60,301.0","64,080.0","65,266.0","66,885.0","67,646.0","70,386.0","70,400.0","70,114.0","70,668.0","69,648.0","68,551.0","70,499.0","73,035.0","77,236.0","79,897.0","81,750.0","83,638.0","85,130.0","88,750.0","90,478.0","92,951.0","95,939.0","104,666.0","109,247.0","111,762.0","113,568.0","117,431.0","120,806.0","122,740.0","125,178.0","121,194.0","123,256.0","129,713.0","128,940.0","125,203.0","124,443.0","123,610.0","123,067.0","124,493.0","123,518.0","124,861.0","127,320.0","127,957.0","131,902.0","136,410.0","144,665.0","152,119.0","154,569.0","158,131.0","163,406.0","164,556.0","168,244.0","172,045.0","179,895.0","184,119.0","187,997.0","192,292.0","195,659.0","200,340.0","202,774.0","206,859.0"
"26","7","    Manufacturing","J426RC1","239,336.0","240,013.0","242,934.0","241,557.0","234,927.0","238,403.0","236,636.0","227,191.0","242,542.0","245,619.0","245,132.0","251,157.0","262,051.0","267,475.0","273,219.0","284,694.0","299,703.0","304,347.0","306,791.0","313,736.0","315,406.0","320,177.0","329,861.0","325,353.0","314,250.0","328,592.0","351,460.0","361,211.0","382,322.0","385,875.0","391,702.0","396,449.0","413,613.0","436,385.0","451,746.0","463,602.0","464,084.0","496,188.0","506,544.0","523,667.0","538,567.0","542,371.0","548,521.0","554,428.0","567,908.0","545,780.0","555,168.0","590,974.0","614,546.0","626,486.0","643,360.0","623,038.0","612,452.0","616,722.0","619,288.0","596,850.0","606,625.0","626,317.0","652,415.0","680,785.0","707,347.0","715,447.0","716,755.0","724,303.0","727,629.0","734,167.0","754,633.0","760,900.0","746,917.0","741,445.0","734,271.0","757,134.0","757,009.0","776,186.0","806,979.0","823,184.0"
"27","8","      Durable goods","J428RC1","144,601.0","143,549.0","144,916.0","143,710.0","136,491.0","138,960.0","136,715.0","127,685.0","140,502.0","142,130.0","140,449.0","145,157.0","153,473.0","158,008.0","160,762.0","169,567.0","180,507.0","183,317.0","185,048.0","187,051.0","186,367.0","186,692.0","191,290.0","191,051.0","181,534.0","186,199.0","199,478.0","203,275.0","218,222.0","222,776.0","226,354.0","229,908.0","242,554.0","255,216.0","264,635.0","274,957.0","275,795.0","296,774.0","302,692.0","314,318.0","323,111.0","323,104.0","321,034.0","321,239.0","326,794.0","309,839.0","318,043.0","344,011.0","354,064.0","361,614.0","358,521.0","348,995.0","341,442.0","346,799.0","341,980.0","321,769.0","336,718.0","347,864.0","365,688.0","386,882.0","412,323.0","414,727.0","423,633.0","428,575.0","427,418.0","431,327.0","436,375.0","442,186.0","442,939.0","441,821.0","440,768.0","451,127.0","458,925.0","459,642.0","469,409.0","470,536.0"
"28","9","      Nondurable goods","J427RC1","94,735.0","96,463.0","98,019.0","97,847.0","98,437.0","99,443.0","99,921.0","99,507.0","102,042.0","103,489.0","104,683.0","106,000.0","108,578.0","109,469.0","112,457.0","115,128.0","119,195.0","121,031.0","121,741.0","126,687.0","129,040.0","133,485.0","138,571.0","134,300.0","132,717.0","142,393.0","151,983.0","157,933.0","164,099.0","163,099.0","165,348.0","166,543.0","171,059.0","181,170.0","187,110.0","188,646.0","188,290.0","199,415.0","203,852.0","209,348.0","215,456.0","219,264.0","227,486.0","233,187.0","241,112.0","235,940.0","237,126.0","246,961.0","260,481.0","264,870.0","284,837.0","274,044.0","271,010.0","269,923.0","277,310.0","275,084.0","269,908.0","278,453.0","286,729.0","293,904.0","295,025.0","300,719.0","293,121.0","295,729.0","300,211.0","302,841.0","318,258.0","318,714.0","303,977.0","299,622.0","293,503.0","306,007.0","298,082.0","316,544.0","337,568.0","352,646.0"
"29","10","    Transportation and public utilities","J737RC1","68,011.0","70,368.0","70,834.0","71,988.0","73,629.0","73,339.0","75,781.0","76,054.0","79,939.0","81,946.0","83,081.0","83,210.0","88,408.0","89,226.0","90,812.0","94,667.0","96,469.0","98,058.0","100,289.0","101,750.0","103,464.0","105,807.0","108,911.0","109,452.0","110,059.0","112,657.0","120,171.0","124,871.0","128,405.0","133,406.0","137,254.0","138,698.0","142,764.0","147,669.0","153,130.0","154,689.0","158,158.0","167,915.0","170,089.0","176,859.0","178,047.0","177,552.0","180,343.0","186,121.0","189,724.0","190,980.0","199,283.0","208,956.0","209,827.0","214,925.0","225,059.0","229,085.0","234,512.0","237,675.0","236,529.0","236,152.0","241,445.0","255,229.0","260,322.0","265,300.0","275,992.0","281,444.0","282,939.0","284,821.0","282,491.0","284,353.0","288,133.0","290,104.0","299,523.0","302,991.0","305,614.0","305,962.0","311,301.0","322,040.0","321,554.0","328,886.0"
"30","11","      Transportation","J429RC1","29,999.0","31,585.0","31,527.0","32,286.0","32,614.0","31,791.0","33,764.0","33,366.0","35,144.0","36,266.0","37,128.0","36,592.0","39,952.0","39,029.0","39,996.0","42,420.0","43,939.0","44,351.0","44,951.0","46,367.0","48,605.0","49,533.0","50,658.0","48,987.0","46,641.0","46,242.0","50,655.0","53,206.0","55,450.0","57,482.0","59,784.0","58,787.0","61,352.0","64,019.0","66,466.0","66,451.0","66,081.0","74,274.0","74,390.0","78,203.0","79,175.0","78,534.0","80,477.0","84,748.0","84,570.0","81,640.0","83,595.0","87,680.0","88,216.0","87,779.0","89,148.0","88,368.0","87,828.0","88,432.0","85,361.0","85,120.0","85,540.0","91,878.0","100,292.0","99,375.0","104,685.0","106,658.0","107,584.0","106,765.0","107,868.0","109,558.0","110,127.0","111,067.0","115,313.0","117,995.0","120,872.0","122,811.0","124,320.0","127,172.0","126,915.0","132,229.0"
"31","12","      Communication","J430RC1","20,288.0","20,848.0","20,997.0","21,440.0","22,158.0","22,747.0","23,107.0","23,377.0","24,095.0","24,368.0","24,065.0","24,663.0","26,276.0","26,802.0","27,374.0","27,900.0","28,375.0","29,209.0","30,193.0","30,275.0","31,073.0","31,791.0","32,235.0","33,187.0","32,890.0","34,140.0","35,470.0","36,297.0","37,634.0","38,841.0","40,134.0","41,218.0","41,647.0","43,340.0","43,765.0","45,736.0","47,822.0","49,483.0","50,560.0","51,286.0","52,325.0","53,807.0","54,452.0","54,615.0","56,732.0","57,827.0","61,180.0","64,768.0","66,417.0","67,392.0","70,515.0","72,301.0","73,609.0","75,334.0","76,545.0","76,996.0","80,409.0","82,675.0","78,029.0","82,144.0","84,381.0","86,066.0","84,504.0","84,789.0","86,597.0","89,463.0","92,523.0","94,345.0","97,684.0","96,936.0","96,543.0","95,304.0","94,812.0","97,361.0","99,902.0","100,106.0"
"32","13","      Electric, gas, and sanitary services","J431RC1","17,722.0","17,935.0","18,309.0","18,262.0","18,856.0","18,799.0","18,911.0","19,310.0","20,700.0","21,311.0","21,888.0","21,955.0","22,181.0","23,395.0","23,445.0","24,345.0","24,157.0","24,499.0","25,146.0","25,107.0","23,787.0","24,480.0","26,017.0","27,277.0","30,529.0","32,275.0","34,044.0","35,368.0","35,323.0","37,084.0","37,336.0","38,695.0","39,764.0","40,309.0","42,899.0","42,503.0","44,255.0","44,159.0","45,140.0","47,372.0","46,547.0","45,213.0","45,417.0","46,757.0","48,423.0","51,513.0","54,508.0","56,510.0","55,195.0","59,754.0","65,397.0","68,417.0","73,076.0","73,908.0","74,623.0","74,037.0","75,497.0","80,677.0","82,000.0","83,778.0","86,924.0","88,720.0","90,851.0","93,266.0","88,026.0","85,329.0","85,484.0","84,692.0","86,528.0","88,060.0","88,200.0","87,848.0","92,167.0","97,506.0","94,735.0","96,550.0"
"33","14","    Wholesale trade","J433RC1","62,207.0","63,587.0","64,825.0","66,373.0","66,903.0","67,625.0","68,796.0","69,709.0","71,555.0","72,180.0","74,800.0","76,544.0","78,500.0","80,579.0","83,451.0","85,795.0","89,288.0","88,804.0","92,114.0","97,538.0","99,098.0","104,851.0","103,230.0","108,853.0","110,682.0","110,832.0","114,198.0","117,368.0","119,629.0","119,308.0","121,023.0","122,717.0","124,931.0","132,931.0","139,195.0","135,124.0","141,567.0","147,983.0","152,783.0","158,129.0","162,863.0","168,310.0","172,074.0","174,940.0","176,590.0","176,912.0","178,610.0","186,147.0","194,843.0","196,668.0","198,240.0","207,470.0","202,218.0","203,328.0","203,090.0","204,001.0","204,710.0","212,995.0","219,166.0","226,069.0","240,703.0","244,790.0","253,812.0","258,427.0","258,128.0","258,641.0","262,453.0","261,686.0","267,273.0","270,697.0","281,707.0","278,760.0","281,308.0","282,298.0","288,362.0","290,813.0"
"34","15","    Retail trade","J434RC1","86,780.0","89,348.0","91,184.0","91,583.0","93,291.0","95,158.0","96,379.0","96,982.0","100,366.0","101,728.0","105,560.0","108,035.0","108,952.0","110,668.0","112,598.0","119,034.0","120,485.0","122,565.0","126,130.0","128,761.0","127,707.0","130,183.0","131,517.0","131,761.0","137,501.0","143,026.0","148,477.0","153,417.0","160,162.0","162,244.0","166,560.0","169,697.0","172,295.0","178,685.0","185,967.0","190,827.0","195,393.0","202,789.0","204,084.0","211,865.0","216,899.0","219,152.0","221,308.0","224,203.0","221,871.0","223,290.0","230,476.0","233,881.0","247,362.0","248,638.0","252,442.0","250,885.0","255,135.0","261,802.0","265,622.0","274,554.0","281,275.0","288,101.0","297,065.0","303,591.0","317,225.0","327,727.0","330,204.0","331,125.0","344,845.0","352,081.0","361,081.0","362,514.0","376,434.0","377,940.0","387,735.0","387,653.0","393,150.0","397,999.0","407,229.0","411,085.0"
"35","16","    Finance, insurance, and real estate","J435RC1","110,534.0","112,260.0","114,316.0","115,712.0","116,989.0","118,791.0","123,391.0","126,974.0","129,209.0","133,347.0","137,740.0","139,777.0","142,960.0","142,780.0","148,510.0","152,503.0","155,560.0","157,797.0","160,603.0","164,346.0","166,955.0","171,122.0","177,042.0","182,832.0","189,538.0","191,009.0","194,921.0","199,926.0","204,342.0","209,498.0","213,844.0","217,453.0","219,280.0","230,318.0","239,436.0","247,881.0","255,869.0","265,439.0","270,935.0","278,203.0","283,964.0","290,174.0","296,502.0","310,123.0","325,086.0","322,641.0","328,447.0","359,888.0","360,928.0","368,510.0","389,512.0","393,956.0","398,089.0","409,758.0","415,602.0","428,686.0","443,886.0","455,757.0","471,643.0","485,687.0","491,698.0","508,992.0","528,849.0","538,751.0","556,942.0","564,384.0","567,083.0","575,990.0","593,648.0","595,797.0","591,913.0","599,988.0","619,791.0","646,451.0","663,108.0","671,178.0"
"36","17","    Services","J437RC1","101,626.0","103,920.0","107,099.0","109,673.0","110,779.0","113,508.0","115,555.0","117,515.0","120,299.0","122,278.0","124,721.0","128,496.0","131,394.0","135,795.0","139,678.0","143,923.0","148,565.0","152,791.0","157,165.0","160,598.0","163,959.0","168,256.0","172,077.0","175,776.0","181,395.0","185,813.0","191,229.0","196,816.0","203,855.0","210,176.0","216,879.0","225,209.0","231,148.0","239,170.0","247,605.0","257,385.0","267,679.0","275,990.0","284,145.0","291,511.0","301,692.0","311,645.0","320,885.0","329,820.0","338,356.0","353,732.0","364,447.0","374,445.0","388,953.0","393,670.0","405,721.0","413,459.0","422,467.0","431,960.0","444,237.0","452,568.0","463,989.0","477,338.0","486,401.0","506,860.0","525,893.0","538,552.0","551,681.0","564,895.0","580,095.0","593,001.0","608,373.0","621,323.0","643,287.0","654,471.0","666,972.0","681,188.0","706,970.0","722,431.0","743,025.0","776,519.0"
