"","Table 1#1#6C# Real Gross Domestic Product, Chained (1972) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"1","[Millions of chained (1972) dollars]                                            ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Annual data from 1969 To 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Bureau of Economic Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Data published August 05, 2014   ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","File created 4/28/2015 3:39:10 PM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Cautionary note on the use of data in millions of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","dollars -- The tables provided include estimates in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","millions of dollars for NIPA series that appear regularly in the national income ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","and product account (NIPA) tables published in the Survey of Current Business. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982"
"19","1","    Gross domestic product","A191CX1","1,177,073.0","1,179,453.0","1,218,321.0","1,282,445.0","1,354,815.0","1,347,808.0","1,345,144.0","1,417,595.0","1,482,926.0","1,565,402.0","1,615,114.0","1,611,163.0","1,652,965.0","1,621,378.0"
"20","2","Personal consumption expenditures","DPCECX1","682,252.0","698,318.0","724,969.0","769,432.0","807,576.0","800,914.0","819,092.0","864,775.0","901,211.0","940,842.0","963,184.0","960,145.0","974,405.0","988,259.0"
"21","3","  Goods","DGDSCX1","334,146.0","336,781.0","350,876.0","373,815.0","393,185.0","378,840.0","381,414.0","408,117.0","425,633.0","443,225.0","450,315.0","438,912.0","444,099.0","447,197.0"
"22","4","    Durable goods","DDURCX1","96,680.0","94,121.0","103,575.0","116,444.0","128,622.0","120,374.0","120,661.0","135,698.0","147,685.0","155,437.0","154,652.0","142,335.0","143,754.0","143,515.0"
"23","5","    Nondurable goods","DNDGCX1","237,526.0","242,808.0","247,358.0","257,371.0","264,761.0","258,317.0","260,536.0","272,922.0","279,142.0","289,222.0","296,678.0","296,179.0","299,894.0","303,006.0"
"24","6","  Services","DSERCX1","347,899.0","361,583.0","374,106.0","395,617.0","414,387.0","422,400.0","438,288.0","457,149.0","476,085.0","498,128.0","513,337.0","521,623.0","530,678.0","541,275.0"
"25","7","Gross private domestic investment","A006CX1","197,921.0","185,887.0","205,043.0","228,140.0","253,103.0","236,341.0","198,055.0","235,853.0","269,503.0","300,678.0","311,217.0","279,901.0","304,538.0","264,818.0"
"26","8","  Fixed investment","A007CX1","187,834.0","183,981.0","196,615.0","219,034.0","237,812.0","224,586.0","202,559.0","222,471.0","252,638.0","281,907.0","298,145.0","280,422.0","287,953.0","268,704.0"
"27","9","    Nonresidential","A008CX1","136,155.0","134,945.0","134,879.0","146,635.0","166,029.0","167,387.0","152,321.0","160,927.0","178,255.0","202,887.0","223,157.0","223,202.0","236,895.0","228,401.0"
"28","10","      Structures","B009CX1","46,382.0","46,510.0","45,750.0","47,173.0","51,031.0","49,933.0","44,689.0","45,771.0","47,653.0","54,531.0","61,445.0","65,041.0","70,255.0","69,106.0"
"29","11","      Equipment","Y033CX1","70,657.0","69,403.0","69,965.0","78,885.0","93,481.0","95,425.0","85,430.0","90,682.0","104,756.0","120,584.0","130,456.0","124,697.0","129,333.0","119,496.0"
"30","12","      Intellectual property products","Y001CX1","19,183.0","19,159.0","19,235.0","20,577.0","21,612.0","22,238.0","22,436.0","24,869.0","26,509.0","28,391.0","31,708.0","33,284.0","36,909.0","39,186.0"
"31","13","    Residential","A011CX1","51,402.0","48,719.0","61,693.0","72,399.0","71,934.0","57,828.0","50,849.0","62,090.0","74,823.0","79,814.0","76,823.0","60,749.0","55,751.0","45,651.0"
"32","14","  Change in private inventories","A014CX1","10,750.0","1,984.0","8,865.0","9,107.0","13,840.0","10,323.0","-4,537.0","12,155.0","15,300.0","16,167.0","9,936.0","-3,328.0","13,825.0","-7,005.0"
"33","15","Net exports of goods and services","A019CX1","-2,356.0","1,273.0","-979.0","-3,372.0","6,538.0","14,950.0","22,812.0","13,562.0","7,012.0","9,432.0","18,388.0","37,577.0","36,744.0","27,890.0"
"34","16","  Exports","A020CX1","58,382.0","64,602.0","65,729.0","70,843.0","84,197.0","90,851.0","90,276.0","94,218.0","96,485.0","106,658.0","117,228.0","129,855.0","131,459.0","121,412.0"
"35","17","    Goods","A253CX1","42,690.0","47,477.0","47,429.0","52,586.0","65,475.0","71,046.0","69,577.0","73,157.0","74,559.0","82,301.0","91,014.0","102,206.0","101,545.0","92,944.0"
"36","18","    Services","A646CX1","15,675.0","17,085.0","18,334.0","18,257.0","18,576.0","19,587.0","20,743.0","20,966.0","21,911.0","24,366.0","26,098.0","27,190.0","29,851.0","28,546.0"
"37","19","  Imports","A021CX1","60,738.0","63,329.0","66,709.0","74,216.0","77,659.0","75,901.0","67,464.0","80,656.0","89,474.0","97,226.0","98,841.0","92,277.0","94,715.0","93,523.0"
"38","20","    Goods","A255CX1","44,496.0","46,240.0","50,117.0","56,934.0","60,952.0","59,259.0","51,791.0","63,502.0","71,240.0","77,629.0","78,961.0","73,099.0","74,605.0","72,731.0"
"39","21","    Services","B656CX1","16,219.0","17,064.0","16,579.0","17,282.0","16,699.0","16,680.0","15,956.0","17,058.0","17,908.0","19,185.0","19,449.0","19,015.0","20,129.0","21,199.0"
"40","22","Government consumption expenditures and gross investment","A822CX1","301,170.0","295,032.0","289,622.0","288,245.0","287,314.0","293,845.0","300,315.0","301,884.0","305,456.0","314,466.0","320,312.0","326,354.0","329,508.0","335,578.0"
"41","23","  Federal","A823CX1","166,265.0","156,075.0","146,122.0","141,521.0","136,455.0","137,410.0","138,136.0","138,405.0","141,411.0","144,976.0","148,370.0","154,846.0","161,798.0","167,822.0"
"42","24","    National defense","A824CX1","131,021.0","120,328.0","108,098.0","100,638.0","95,498.0","94,590.0","93,668.0","93,227.0","94,128.0","94,891.0","97,446.0","101,214.0","107,528.0","115,279.0"
"43","25","    Nondefense","A825CX1","35,792.0","36,133.0","38,141.0","40,883.0","40,964.0","42,840.0","44,493.0","45,203.0","47,317.0","50,150.0","50,981.0","53,712.0","54,257.0","52,281.0"
"44","26","  State and local","A829CX1","135,294.0","139,173.0","143,545.0","146,724.0","150,866.0","156,414.0","162,087.0","163,375.0","163,973.0","169,400.0","171,873.0","171,611.0","168,106.0","168,317.0"
"45","27","Residual","A960CX1","-3,300.0","-1,700.0","-1,100.0","-100.0","1,400.0","2,700.0","4,000.0","800.0","-1,900.0","-1,200.0","1,100.0","6,900.0","5,900.0","3,700.0"
