"","Table 4#3B# Relation of Foreign Transactions in the National Inc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"19","1","Exports of goods, ITAs","B1232C1","223,345.0","250,208.0","320,231.0","359,916.0","387,401.0","414,083.0","439,631.0","456,943.0","502,859.0","575,204.0","612,113.0","678,366.0","670,416.0","698,524.0","784,940.0","731,331.0","698,036.0","730,446.0","823,584.0","913,016.0","1,040,905.0","1,165,151.0","1,308,795.0","1,070,331.0","1,290,273.0","1,499,240.0","1,561,689.0","1,592,784.0"
"20","2","Less: Gold, ITAs \1\","B1087C1","5,692.0","2,626.0","5,812.0","3,078.0","3,730.0","3,579.0","4,540.0","9,065.0","5,814.0","5,122.0","6,939.0","5,725.0","5,484.0","5,294.0","6,063.0","4,906.0","3,370.0","4,799.0","4,470.0","5,582.0","8,817.0","13,406.0","18,813.0","14,101.0","17,896.0","34,739.0","37,289.0","34,724.0"
"21","3","Less: Statistical differences \2\","B1233C1","-5,446.0","-8,008.0","-6,270.0","-5,399.0","-6,632.0","-6,601.0","-7,358.0","-7,791.0","-8,313.0","-9,163.0","-10,458.0","-12,198.0","-11,708.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"22","4","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1234C1","8,348.0","9,965.0","11,365.0","12,513.0","12,962.0","13,030.0","12,859.0","12,055.0","13,012.0","13,196.0","13,153.0","15,048.0","15,926.0","18,494.0","18,376.0","17,409.0","18,497.0","15,772.0","15,268.0","19,148.0","17,480.0","14,674.0","8,819.0","8,887.0","7,214.0","2,360.0","2,748.0","4,754.0"
"23","5","Equals: Exports of goods, NIPAs","A253RC1","231,448.0","265,555.0","332,055.0","374,752.0","403,265.0","430,137.0","455,310.0","467,725.0","518,372.0","592,443.0","628,784.0","699,889.0","692,566.0","711,723.0","797,256.0","743,835.0","713,161.0","741,420.0","834,384.0","926,583.0","1,049,570.0","1,166,421.0","1,298,804.0","1,065,118.0","1,279,593.0","1,466,862.0","1,527,150.0","1,562,817.0"
"24","6","Exports of services, ITAs","B1235C1","86,694.0","98,657.0","110,920.0","127,089.0","147,834.0","164,262.0","177,249.0","185,914.0","200,398.0","219,180.0","239,485.0","256,091.0","262,756.0","271,342.0","290,381.0","274,322.0","280,668.0","289,972.0","337,965.0","373,006.0","416,738.0","488,397.0","532,818.0","512,722.0","563,332.0","627,781.0","654,850.0","687,410.0"
"25","7","Less: Statistical differences \2\","B1236C1","5,114.0","7,653.0","5,948.0","5,075.0","6,268.0","6,184.0","7,330.0","7,764.0","8,280.0","9,132.0","10,418.0","12,162.0","11,671.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"26","8","Less: Other items \4\","B1237C1","0.0","0.0","10.0","49.0","56.0","445.0","521.0","802.0","579.0","725.0","708.0","543.0","645.0","682.0","961.0","765.0","657.0","788.0","1,019.0","1,445.0","1,168.0","1,457.0","1,616.0","1,491.0","1,951.0","1,551.0","1,172.0","940.0"
"27","9","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1238C1","2,318.0","2,476.0","2,635.0","2,691.0","2,798.0","3,001.0","3,153.0","3,298.0","3,484.0","3,611.0","3,715.0","3,803.0","3,777.0","3,869.0","4,138.0","4,274.0","4,468.0","4,784.0","5,047.0","5,076.0","4,952.0","4,931.0","4,602.0","4,150.0","3,995.0","4,003.0","3,854.0","3,587.0"
"28","10","Plus: Financial services furnished without payment","B1607C1","5,655.0","4,909.0","4,950.0","4,883.0","4,301.0","4,161.0","5,193.0","6,430.0","7,544.0","7,435.0","6,732.0","6,728.0","6,198.0","5,729.0","6,021.0","5,046.0","4,871.0","4,892.0","5,130.0","5,680.0","6,225.0","6,334.0","7,335.0","7,243.0","7,366.0","9,276.0","9,471.0","9,343.0"
"29","11","Equals: Exports of services, NIPAs","A646RC1","89,552.0","98,389.0","112,546.0","129,539.0","148,609.0","164,795.0","177,743.0","187,075.0","202,567.0","220,370.0","238,806.0","253,917.0","260,415.0","280,257.0","299,579.0","282,878.0","289,348.0","298,859.0","347,123.0","382,318.0","426,746.0","498,204.0","543,138.0","522,624.0","572,742.0","639,509.0","667,003.0","699,399.0"
"30","12","Primary income receipts, ITAs","B1239C1","102,798.0","113,603.0","141,667.0","166,385.0","176,895.0","155,332.0","139,080.0","141,605.0","169,447.0","213,661.0","229,529.0","261,358.0","266,242.0","300,304.0","358,823.0","298,204.0","287,509.0","326,693.0","420,590.0","543,981.0","693,089.0","844,033.0","823,708.0","614,379.0","684,915.0","759,727.0","762,885.0","780,120.0"
"31","13","Less: Statistical differences \2\","B1240C1","-682.0","-842.0","-782.0","-999.0","-1,061.0","-1,243.0","0.0","1.0","0.0","0.0","0.0","0.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"32","14","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1241C1","8,056.0","9,023.0","9,846.0","10,520.0","11,085.0","11,996.0","13,217.0","14,260.0","15,386.0","16,512.0","17,380.0","19,371.0","21,376.0","22,102.0","25,025.0","28,278.0","29,416.0","30,477.0","31,857.0","32,975.0","32,702.0","33,246.0","34,979.0","36,033.0","36,693.0","35,839.0","34,723.0","34,941.0"
"33","15","Plus: Imputed interest received from the rest of the world","W320RC1","-213.0","-181.0","-177.0","-206.0","-194.0","-205.0","-247.0","-266.0","-290.0","-342.0","-506.0","-658.0","-840.0","-985.0","-1,157.0","-1,174.0","-1,121.0","-1,056.0","-1,003.0","-1,168.0","-1,552.0","-1,624.0","-1,758.0","-1,515.0","-1,590.0","-2,923.0","-3,779.0","-4,663.0"
"34","16","Equals: Income receipts, NIPAs","B645RC1","111,324.0","123,286.0","152,116.0","177,699.0","188,847.0","168,363.0","152,052.0","155,600.0","184,543.0","229,833.0","246,404.0","280,071.0","286,779.0","321,420.0","382,690.0","325,308.0","315,805.0","356,114.0","451,444.0","575,787.0","724,239.0","875,655.0","856,929.0","648,897.0","720,019.0","792,643.0","793,829.0","810,398.0"
"35","17","Imports of goods, ITAs","B1242C1","368,425.0","409,765.0","447,189.0","477,665.0","498,438.0","491,020.0","536,528.0","589,394.0","668,690.0","749,374.0","803,113.0","876,794.0","918,637.0","1,035,592.0","1,231,722.0","1,153,701.0","1,173,281.0","1,272,089.0","1,488,349.0","1,695,820.0","1,878,194.0","1,986,347.0","2,141,287.0","1,580,025.0","1,938,950.0","2,239,886.0","2,303,785.0","2,294,453.0"
"36","18","Less: Gold, ITAs \1\","B1095C1","7,856.0","3,784.0","4,862.0","3,651.0","2,452.0","2,897.0","3,808.0","8,821.0","4,737.0","5,290.0","7,748.0","6,608.0","6,527.0","6,054.0","5,942.0","4,381.0","2,963.0","3,757.0","4,223.0","4,618.0","5,878.0","9,064.0","13,497.0","10,395.0","14,504.0","17,975.0","19,214.0","17,741.0"
"37","19","Less: Statistical differences \2\","B1243C1","0.0","0.0","0.0","-22.0","20.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"38","20","Plus: Gold, NIPAs \1\","B1091C1","393.0","-935.0","-1,545.0","-2,172.0","-2,371.0","-2,752.0","-2,877.0","-3,224.0","-3,947.0","-3,622.0","-3,811.0","-3,601.0","-2,810.0","-2,232.0","-2,480.0","-2,408.0","-2,102.0","-2,292.0","-2,312.0","-2,556.0","-3,350.0","-4,047.0","-4,289.0","-5,290.0","-7,177.0","-10,690.0","-11,593.0","-7,776.0"
"39","21","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1244C1","9,045.0","9,722.0","11,342.0","12,928.0","14,476.0","15,374.0","15,083.0","15,409.0","16,807.0","16,986.0","15,899.0","19,069.0","21,449.0","23,904.0","28,173.0","29,784.0","31,116.0","30,150.0","29,747.0","30,727.0","30,690.0","30,533.0","25,876.0","25,953.0","32,544.0","33,509.0","33,060.0","33,323.0"
"40","22","Equals: Imports of goods, NIPAs","A255RC1","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,051,210.0","1,251,475.0","1,176,696.0","1,199,336.0","1,296,192.0","1,511,563.0","1,719,374.0","1,899,658.0","2,003,771.0","2,149,379.0","1,590,294.0","1,949,814.0","2,244,732.0","2,306,038.0","2,302,258.0"
"41","23","Imports of services, ITAs","B1245C1","80,147.0","90,789.0","98,530.0","102,479.0","117,655.0","118,460.0","119,562.0","123,781.0","133,059.0","141,399.0","152,555.0","165,933.0","180,680.0","192,894.0","216,116.0","213,460.0","224,380.0","242,218.0","283,084.0","304,447.0","341,165.0","372,575.0","409,052.0","386,801.0","409,313.0","435,761.0","450,360.0","462,134.0"
"42","24","Less: Statistical differences \2\","B1246C1","-682.0","-842.0","-782.0","-999.0","-1,062.0","-1,245.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"43","25","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1247C1","2,032.0","2,314.0","2,556.0","2,761.0","2,940.0","3,119.0","3,301.0","3,429.0","3,551.0","3,724.0","3,959.0","4,187.0","4,259.0","4,508.0","5,040.0","5,241.0","5,256.0","5,523.0","6,029.0","6,265.0","6,440.0","6,821.0","6,577.0","6,082.0","5,866.0","5,873.0","6,061.0","6,014.0"
"44","26","Equals: Imports of services, NIPAs","B656RC1","82,861.0","93,945.0","101,869.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","197,401.0","221,155.0","218,700.0","229,637.0","247,742.0","289,114.0","310,712.0","347,605.0","379,396.0","415,630.0","392,884.0","415,178.0","441,634.0","456,421.0","468,147.0"
"45","27","Primary income payments, ITAs","B1248C1","87,306.0","99,312.0","122,983.0","146,562.0","148,346.0","131,201.0","114,845.0","116,288.0","152,300.0","192,770.0","207,214.0","248,748.0","261,978.0","288,365.0","339,643.0","268,476.0","262,329.0","283,939.0","356,463.0","476,349.0","649,752.0","743,429.0","677,561.0","490,794.0","507,254.0","538,766.0","559,892.0","580,466.0"
"46","28","Less: Statistical differences \2\","B1249C1","-320.0","-344.0","-305.0","-304.0","-339.0","-362.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"47","29","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1250C1","1,298.0","1,416.0","1,398.0","1,361.0","1,361.0","1,258.0","1,183.0","1,148.0","1,123.0","1,212.0","1,183.0","1,151.0","1,210.0","1,178.0","1,177.0","1,158.0","1,126.0","1,225.0","1,722.0","2,357.0","2,213.0","1,935.0","1,780.0","1,327.0","1,020.0","885.0","883.0","923.0"
"48","30","Plus: Imputed interest paid to the rest of the world","W370RC1","5,442.0","4,728.0","4,773.0","4,677.0","4,107.0","3,956.0","4,946.0","6,164.0","7,254.0","7,093.0","6,226.0","6,070.0","5,358.0","4,744.0","4,864.0","3,872.0","3,750.0","3,836.0","4,127.0","4,512.0","4,673.0","4,710.0","5,577.0","5,728.0","5,776.0","6,353.0","5,692.0","4,680.0"
"49","31","Equals: Income payments, NIPAs","A655RC1","94,367.0","105,798.0","129,459.0","152,910.0","154,155.0","136,777.0","120,975.0","123,602.0","160,678.0","201,075.0","214,622.0","255,969.0","268,545.0","294,289.0","345,683.0","273,505.0","267,206.0","289,000.0","362,312.0","483,218.0","656,639.0","750,074.0","684,918.0","497,849.0","514,050.0","546,004.0","566,467.0","586,069.0"
"50","32","Balance on goods and services and primary income, ITAs (1+6+12-17-23-27)","B1260C1","-123,041.0","-137,399.0","-95,885.0","-73,316.0","-52,308.0","-7,004.0","-14,976.0","-45,001.0","-81,344.0","-75,498.0","-81,755.0","-95,661.0","-161,881.0","-246,681.0","-353,337.0","-331,780.0","-393,777.0","-451,136.0","-545,757.0","-646,613.0","-718,379.0","-604,771.0","-562,579.0","-260,189.0","-316,997.0","-327,664.0","-334,612.0","-276,739.0"
"51","33","Less: Gold (2-18+20)","A2031C1","-1,772.0","-2,093.0","-595.0","-2,745.0","-1,093.0","-2,070.0","-2,145.0","-2,980.0","-2,870.0","-3,790.0","-4,619.0","-4,484.0","-3,853.0","-2,992.0","-2,359.0","-1,884.0","-1,695.0","-1,250.0","-2,064.0","-1,592.0","-411.0","295.0","1,027.0","-1,584.0","-3,785.0","6,075.0","6,482.0","9,206.0"
"52","34","Less: Statistical differences (3+7+13-19-24-28)","B1261C1","-11.0","-11.0","-17.0","1.0","-43.0","-78.0","-26.0","-23.0","-32.0","-30.0","-44.0","-35.0","-35.0","1.0","0.0","2.0","-2.0","-2.0","-1.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"53","35","Less: Other items (8)","B1262C1","0.0","0.0","10.0","49.0","56.0","445.0","521.0","802.0","579.0","725.0","708.0","543.0","645.0","682.0","961.0","765.0","657.0","788.0","1,019.0","1,445.0","1,168.0","1,457.0","1,616.0","1,491.0","1,951.0","1,551.0","1,172.0","940.0"
"54","36","Plus: Adjustment for U.S. territories and Puerto Rico (4+9+14-21-25-29)","B1263C1","6,347.0","8,012.0","8,550.0","8,673.0","8,068.0","8,276.0","9,663.0","9,627.0","10,402.0","11,397.0","13,207.0","13,815.0","14,161.0","14,876.0","13,149.0","13,779.0","14,884.0","14,134.0","14,674.0","17,851.0","15,791.0","13,563.0","14,167.0","15,709.0","8,472.0","1,934.0","1,320.0","3,022.0"
"55","37","Equals: Net exports of goods and services and net receipts of income, NIPAs (5+11+16-22-26-31)","A1072C1","-114,910.0","-127,282.0","-86,735.0","-61,952.0","-43,163.0","2,971.0","-3,663.0","-33,176.0","-68,621.0","-61,000.0","-64,594.0","-77,868.0","-144,475.0","-229,500.0","-338,788.0","-316,880.0","-377,865.0","-436,541.0","-530,038.0","-628,616.0","-703,347.0","-592,961.0","-551,056.0","-244,388.0","-306,688.0","-333,356.0","-340,944.0","-283,860.0"
"56","38","Balance on secondary income, ITAs","B1089C1","24,134.0","23,262.0","25,276.0","26,170.0","26,656.0","-9,900.0","36,637.0","39,812.0","40,266.0","38,073.0","43,019.0","45,060.0","53,187.0","48,844.0","57,419.0","63,539.0","64,308.0","70,212.0","88,013.0","98,820.0","88,348.0","113,873.0","124,062.0","120,603.0","126,934.0","131,681.0","126,138.0","123,515.0"
"57","39","Less: Statistical differences \2\","B1264C1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-1,475.0","-609.0","-474.0","-174.0","-900.0","360.0","-6,240.0","-2,098.0","-129.0","1,365.0","1,388.0","0.0","0.0","0.0","0.0"
"58","40","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1655C1","3,628.0","3,545.0","3,713.0","4,229.0","5,079.0","4,991.0","5,266.0","5,542.0","5,813.0","5,976.0","6,495.0","6,364.0","6,846.0","7,202.0","7,413.0","8,087.0","8,563.0","8,900.0","8,748.0","9,184.0","10,231.0","10,657.0","12,367.0","13,677.0","14,277.0","15,469.0","15,119.0","14,779.0"
"59","41","Equals: Current taxes and transfer payments to the rest of the world, net, NIPAs","A123RC1","27,764.0","26,811.0","28,990.0","30,400.0","31,735.0","-4,908.0","41,912.0","45,355.0","46,078.0","44,050.0","49,513.0","51,424.0","60,033.0","57,522.0","65,442.0","72,099.0","73,044.0","80,012.0","96,401.0","114,244.0","100,677.0","124,660.0","135,066.0","132,895.0","141,210.0","147,154.0","141,265.0","138,298.0"
"60","42","Balance on current account, ITAs (32-38)","B1265C1","-147,175.0","-160,661.0","-121,161.0","-99,486.0","-78,964.0","2,896.0","-51,613.0","-84,813.0","-121,610.0","-113,571.0","-124,774.0","-140,721.0","-215,068.0","-295,525.0","-410,756.0","-395,319.0","-458,084.0","-521,348.0","-633,770.0","-745,433.0","-806,726.0","-718,643.0","-686,641.0","-380,792.0","-443,931.0","-459,345.0","-460,749.0","-400,254.0"
"61","43","Less: Gold (33)","A2031C1","-1,772.0","-2,093.0","-595.0","-2,745.0","-1,093.0","-2,070.0","-2,145.0","-2,980.0","-2,870.0","-3,790.0","-4,619.0","-4,484.0","-3,853.0","-2,992.0","-2,359.0","-1,884.0","-1,695.0","-1,250.0","-2,064.0","-1,592.0","-411.0","295.0","1,027.0","-1,584.0","-3,785.0","6,075.0","6,482.0","9,206.0"
"62","44","Less: Statistical differences (34-39)","B1266C1","-11.0","-11.0","-17.0","1.0","-43.0","-78.0","26.0","-23.0","-32.0","-30.0","-44.0","-35.0","-35.0","1,475.0","608.0","476.0","171.0","898.0","-362.0","6,239.0","2,098.0","129.0","-1,365.0","-1,388.0","0.0","0.0","0.0","0.0"
"63","45","Less: Other items (35)","B1267C1","0.0","0.0","10.0","49.0","56.0","445.0","521.0","802.0","579.0","725.0","708.0","543.0","645.0","682.0","961.0","765.0","657.0","788.0","1,019.0","1,445.0","1,168.0","1,457.0","1,616.0","1,491.0","1,951.0","1,551.0","1,172.0","940.0"
"64","46","Plus: Adjustment for U.S. territories and Puerto Rico (36-40)","B1268C1","2,719.0","4,467.0","4,837.0","4,444.0","2,989.0","3,285.0","4,397.0","4,085.0","4,589.0","5,421.0","6,712.0","7,451.0","7,315.0","7,674.0","5,736.0","5,692.0","6,320.0","5,235.0","5,926.0","8,667.0","5,559.0","2,906.0","1,801.0","2,032.0","-5,805.0","-13,535.0","-13,799.0","-11,757.0"
"65","47","Equals: Balance on current account, NIPAs (37-41)","A124RC1","-142,674.0","-154,093.0","-115,725.0","-92,352.0","-74,898.0","7,879.0","-45,575.0","-78,531.0","-114,699.0","-105,050.0","-114,107.0","-129,292.0","-204,508.0","-287,022.0","-404,230.0","-388,979.0","-450,909.0","-516,553.0","-626,439.0","-742,860.0","-804,024.0","-717,621.0","-686,122.0","-377,283.0","-447,898.0","-480,510.0","-482,209.0","-422,158.0"
"66","48","Balance on capital account, ITAs","W371RC1","0.0","0.0","0.0","207.0","7,221.0","5,129.0","-1,449.0","714.0","1,112.0","221.0","8.0","256.0","7.0","4,176.0","2.0","-13,198.0","141.0","1,821.0","-3,049.0","-13,116.0","1,788.0","-384.0","-6,010.0","141.0","158.0","1,186.0","-6,904.0","412.0"
"67","49","Less: Statistical differences \2\","W372RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","6.0","0.0","1.0","-1.0","-1.0","-2.0","0.0","0.0","0.0","0.0"
"68","50","Plus: Adjustments for U.S. territories and Puerto Rico \3\","W373RC1","111.0","138.0","134.0","141.0","152.0","170.0","172.0","161.0","158.0","198.0","201.0","220.0","223.0","291.0","341.0","258.0","359.0","305.0","261.0","262.0","278.0","294.0","600.0","423.0","525.0","450.0","413.0","429.0"
"69","51","Equals: Capital account transactions (net), NIPAs \5\","W167RC1","111.0","138.0","134.0","348.0","7,373.0","5,299.0","-1,277.0","875.0","1,270.0","419.0","209.0","476.0","230.0","4,467.0","343.0","-12,940.0","500.0","2,126.0","-2,788.0","-12,854.0","2,066.0","-91.0","-5,410.0","564.0","683.0","1,636.0","-6,492.0","841.0"
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","ITAs International transactions accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","1. Exports and imports of gold in the NIPAs differ from those in the ITAs.  ITA gold exports",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","(line 2) and imports (line 18) are excluded from the NIPAs; imports of gold in the NIPAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","(line 20) is the excess of the value of gold in gross domestic purchases over the value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","U.S. production of gold.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2. Consists of statistical revisions to the ITAs that have not yet been incorporated into the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","NIPAs and statistical revisions to the NIPAs that have not yet been incorporated into the ITAs. From",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","1986 through 1991, the NIPAs include estimates of insurance premium supplements that are not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","accounted for in the ITAs until 1992.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","3. Consists of transactions between the United States and its territories, Puerto Rico, and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Northern Mariana Islands.  The treatment of U.S. territories, Puerto Rico, and the Northern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Mariana Islands in the NIPAs differs from that in the ITAs.  In the NIPAs, they are included",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","in the rest of the world; in the ITAs, they are treated as part of the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","4. Beginning with 1988, the ITAs classify certain military grants as services that the NIPAs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","do not.  In the NIPAs these transactions are excluded from exports and included in transfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","payments from government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
