"","Table 2#7A# Wages and Salaries by Industry, Monthly             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"11","The Bureau of Economic Analysis (BEA) generally does not include estimates at ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1959","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1960","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1961","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1962","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1963","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1964","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1965","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1966","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1967","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1968","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969","1969"
"19",NA,NA,NA,"1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12","1","2","3","4","5","6","7","8","9","10","11","12"
"20","1","    Wages and salaries","A576RC1","252,231.0","253,665.0","256,137.0","258,498.0","260,805.0","262,366.0","262,115.0","260,260.0","260,322.0","261,190.0","263,323.0","267,193.0","270,227.0","270,771.0","271,249.0","272,933.0","273,750.0","273,511.0","274,044.0","273,868.0","273,980.0","275,043.0","273,725.0","271,157.0","273,466.0","273,447.0","274,453.0","275,619.0","277,299.0","279,981.0","281,189.0","282,545.0","283,022.0","285,786.0","288,965.0","290,457.0","290,653.0","293,226.0","295,950.0","298,159.0","298,520.0","299,562.0","300,377.0","300,626.0","302,522.0","302,481.0","304,636.0","305,584.0","306,495.0","307,934.0","309,457.0","310,207.0","311,992.0","314,869.0","315,044.0","316,754.0","318,738.0","320,888.0","321,628.0","324,204.0","325,066.0","329,013.0","330,586.0","332,803.0","334,908.0","336,788.0","338,614.0","341,980.0","343,632.0","343,533.0","346,335.0","350,193.0","351,004.0","352,859.0","354,579.0","356,306.0","359,449.0","360,876.0","363,524.0","365,926.0","369,195.0","373,819.0","377,181.0","380,364.0","382,485.0","385,999.0","388,805.0","392,700.0","395,463.0","399,546.0","403,510.0","406,415.0","408,471.0","411,774.0","413,663.0","415,018.0","418,304.0","418,186.0","420,033.0","421,812.0","422,716.0","426,285.0","429,297.0","432,517.0","434,213.0","435,388.0","440,601.0","448,760.0","449,033.0","455,178.0","458,419.0","461,600.0","466,192.0","469,977.0","474,567.0","478,121.0","482,301.0","485,626.0","489,847.0","492,795.0","495,599.0","498,220.0","503,385.0","507,272.0","511,310.0","515,564.0","521,931.0","526,928.0","530,434.0","533,954.0","536,432.0","538,968.0"
"21","2","Private industries","A132RC1","206,835.0","208,185.0","210,645.0","212,850.0","214,953.0","216,334.0","216,023.0","213,976.0","213,990.0","214,714.0","216,595.0","220,357.0","222,779.0","223,107.0","223,225.0","224,561.0","225,042.0","224,683.0","224,640.0","223,912.0","223,724.0","224,631.0","223,205.0","220,565.0","222,610.0","222,303.0","223,141.0","223,995.0","225,627.0","227,877.0","228,821.0","229,841.0","229,718.0","232,146.0","234,665.0","235,833.0","235,753.0","237,822.0","240,354.0","242,431.0","242,708.0","243,174.0","244,001.0","244,166.0","245,894.0","245,433.0","246,868.0","247,528.0","248,163.0","249,290.0","250,573.0","251,107.0","252,784.0","255,037.0","255,284.0","256,502.0","258,210.0","259,280.0","259,720.0","261,948.0","262,258.0","265,857.0","267,178.0","269,131.0","270,768.0","272,120.0","273,818.0","276,080.0","277,348.0","276,893.0","279,695.0","283,205.0","283,780.0","285,395.0","286,911.0","288,086.0","290,941.0","291,960.0","293,852.0","295,666.0","297,663.0","301,483.0","303,981.0","306,444.0","307,953.0","311,035.0","313,517.0","316,596.0","318,615.0","321,870.0","324,382.0","326,567.0","328,047.0","330,474.0","331,691.0","332,434.0","335,240.0","334,762.0","336,165.0","337,356.0","337,792.0","340,677.0","342,837.0","345,445.0","346,541.0","347,104.0","351,657.0","354,740.0","357,197.0","362,406.0","364,747.0","367,148.0","370,996.0","374,013.0","376,383.0","379,301.0","383,085.0","386,026.0","389,815.0","392,271.0","394,739.0","396,928.0","401,685.0","404,816.0","408,206.0","411,788.0","414,819.0","418,592.0","421,390.0","424,526.0","426,620.0","428,688.0"
"22","3","  Goods-producing industries","A206RC1","106,446.0","107,134.0","108,821.0","110,102.0","111,453.0","112,298.0","111,785.0","109,086.0","109,110.0","108,788.0","110,183.0","113,234.0","114,767.0","115,076.0","114,516.0","114,588.0","114,913.0","114,095.0","113,737.0","112,982.0","112,348.0","112,579.0","111,658.0","109,483.0","110,617.0","110,293.0","110,841.0","111,481.0","112,604.0","114,201.0","114,639.0","115,405.0","114,335.0","116,421.0","118,248.0","118,821.0","118,292.0","119,706.0","120,916.0","122,501.0","122,185.0","122,191.0","122,730.0","122,775.0","123,698.0","123,198.0","123,977.0","123,981.0","124,523.0","124,510.0","124,946.0","125,385.0","126,472.0","127,366.0","127,857.0","128,044.0","129,144.0","129,569.0","129,726.0","130,850.0","130,212.0","132,391.0","133,272.0","134,520.0","134,954.0","135,622.0","136,515.0","137,635.0","138,608.0","137,126.0","139,093.0","141,477.0","141,941.0","143,206.0","143,642.0","143,520.0","144,993.0","146,066.0","146,370.0","147,121.0","147,894.0","149,762.0","151,256.0","153,082.0","153,655.0","156,229.0","157,825.0","159,428.0","160,212.0","162,182.0","162,435.0","164,131.0","164,997.0","165,806.0","166,258.0","166,150.0","167,498.0","166,002.0","166,390.0","166,438.0","166,378.0","167,367.0","168,670.0","170,655.0","170,010.0","170,087.0","173,291.0","174,781.0","175,698.0","178,815.0","179,533.0","180,793.0","182,708.0","183,416.0","184,465.0","185,299.0","187,060.0","188,887.0","190,737.0","191,932.0","192,824.0","193,394.0","196,099.0","197,560.0","198,917.0","200,210.0","201,984.0","203,368.0","204,439.0","205,274.0","204,922.0","205,941.0"
"23","4","    Manufacturing","A552RC1","83,750.0","84,651.0","86,128.0","87,100.0","88,337.0","88,998.0","88,902.0","86,235.0","86,475.0","86,018.0","86,823.0","89,826.0","91,437.0","91,485.0","91,425.0","90,861.0","91,053.0","90,393.0","89,949.0","89,253.0","88,641.0","88,786.0","87,861.0","86,168.0","86,949.0","86,865.0","87,093.0","87,911.0","88,981.0","89,955.0","90,533.0","91,220.0","89,924.0","91,920.0","93,532.0","94,063.0","93,932.0","94,931.0","95,870.0","96,954.0","96,776.0","97,066.0","97,296.0","97,106.0","97,864.0","97,553.0","98,046.0","98,119.0","98,599.0","98,683.0","99,115.0","99,188.0","100,102.0","100,739.0","101,063.0","100,920.0","101,761.0","102,278.0","102,819.0","103,612.0","103,336.0","104,430.0","105,164.0","106,138.0","106,547.0","106,872.0","107,653.0","108,746.0","109,803.0","107,543.0","109,657.0","111,687.0","112,142.0","112,778.0","113,486.0","113,484.0","114,181.0","115,022.0","115,875.0","116,200.0","116,801.0","118,220.0","119,446.0","120,504.0","121,563.0","123,499.0","124,559.0","126,316.0","126,955.0","128,266.0","128,735.0","130,394.0","131,139.0","132,233.0","132,545.0","132,268.0","133,252.0","132,146.0","132,471.0","132,568.0","132,336.0","133,027.0","133,437.0","135,774.0","135,043.0","135,111.0","137,614.0","138,977.0","140,209.0","141,989.0","142,429.0","143,274.0","145,024.0","145,911.0","146,333.0","146,711.0","148,102.0","149,905.0","150,975.0","151,702.0","152,331.0","152,663.0","154,804.0","155,452.0","156,195.0","157,517.0","158,963.0","160,285.0","160,902.0","161,461.0","160,722.0","161,322.0"
"24","5","  Distributive industries","A212RC1","63,431.0","63,797.0","64,224.0","64,736.0","65,325.0","65,606.0","65,246.0","65,670.0","65,383.0","65,757.0","66,076.0","66,512.0","67,399.0","67,409.0","68,196.0","68,879.0","68,824.0","69,008.0","69,058.0","68,884.0","68,834.0","69,514.0","68,805.0","68,151.0","68,725.0","68,548.0","68,374.0","68,656.0","68,916.0","69,357.0","69,932.0","69,789.0","70,512.0","70,806.0","70,966.0","71,073.0","71,383.0","71,848.0","72,859.0","72,752.0","73,151.0","73,445.0","73,395.0","73,373.0","74,046.0","73,939.0","74,330.0","74,694.0","74,312.0","75,023.0","75,736.0","75,763.0","76,188.0","77,156.0","76,729.0","77,363.0","77,825.0","78,004.0","78,200.0","78,918.0","79,264.0","80,060.0","80,260.0","80,472.0","81,331.0","81,776.0","82,288.0","83,109.0","83,038.0","83,726.0","84,023.0","85,038.0","84,973.0","85,259.0","85,835.0","86,656.0","87,315.0","86,906.0","87,789.0","88,469.0","89,037.0","90,241.0","90,621.0","91,135.0","91,696.0","92,091.0","92,464.0","93,459.0","94,201.0","94,903.0","96,099.0","95,922.0","96,275.0","97,513.0","97,895.0","98,142.0","99,214.0","99,475.0","99,800.0","100,136.0","100,577.0","101,382.0","101,734.0","102,029.0","103,122.0","103,177.0","104,038.0","104,601.0","105,343.0","106,584.0","107,739.0","108,325.0","109,392.0","110,883.0","111,275.0","112,328.0","113,408.0","113,819.0","114,973.0","115,411.0","115,554.0","116,595.0","118,056.0","119,343.0","120,526.0","121,599.0","122,083.0","123,362.0","124,125.0","125,312.0","126,603.0","127,326.0"
"25","6","  Service industries","A218RC1","36,958.0","37,254.0","37,600.0","38,011.0","38,174.0","38,429.0","38,992.0","39,219.0","39,497.0","40,169.0","40,336.0","40,611.0","40,613.0","40,622.0","40,514.0","41,094.0","41,305.0","41,579.0","41,845.0","42,046.0","42,543.0","42,538.0","42,742.0","42,930.0","43,268.0","43,461.0","43,926.0","43,859.0","44,107.0","44,319.0","44,250.0","44,647.0","44,871.0","44,919.0","45,451.0","45,940.0","46,078.0","46,267.0","46,579.0","47,177.0","47,373.0","47,537.0","47,877.0","48,018.0","48,150.0","48,297.0","48,561.0","48,854.0","49,328.0","49,757.0","49,891.0","49,960.0","50,125.0","50,515.0","50,698.0","51,094.0","51,241.0","51,707.0","51,793.0","52,181.0","52,782.0","53,407.0","53,646.0","54,139.0","54,483.0","54,722.0","55,015.0","55,337.0","55,703.0","56,042.0","56,579.0","56,690.0","56,866.0","56,930.0","57,434.0","57,911.0","58,634.0","58,988.0","59,692.0","60,076.0","60,732.0","61,480.0","62,104.0","62,227.0","62,602.0","62,716.0","63,228.0","63,709.0","64,202.0","64,784.0","65,848.0","66,514.0","66,775.0","67,155.0","67,538.0","68,141.0","68,528.0","69,286.0","69,975.0","70,782.0","70,837.0","71,927.0","72,433.0","72,761.0","73,409.0","73,840.0","74,328.0","75,358.0","76,156.0","77,006.0","77,475.0","78,030.0","78,896.0","79,714.0","80,643.0","81,674.0","82,617.0","83,320.0","84,106.0","84,928.0","86,361.0","86,938.0","87,531.0","87,914.0","88,763.0","89,979.0","90,752.0","91,861.0","92,826.0","93,939.0","95,095.0","95,421.0"
