"","Table 1#4#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"12","this level of precision in the published tables because the associated sampling ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969"
"19","1","Gross domestic product","A191RX1","976,980.0","892,773.0","834,907.0","725,831.0","716,413.0","794,351.0","864,955.0","977,869.0","1,027,965.0","992,646.0","1,072,835.0","1,166,875.0","1,366,135.0","1,618,221.0","1,883,146.0","2,035,190.0","2,012,411.0","1,792,214.0","1,776,141.0","1,854,247.0","1,844,708.0","2,005,951.0","2,161,142.0","2,243,868.0","2,347,240.0","2,332,360.0","2,500,302.0","2,549,746.0","2,601,059.0","2,577,628.0","2,762,461.0","2,830,931.0","2,896,880.0","3,072,390.0","3,206,708.0","3,392,314.0","3,610,127.0","3,845,342.0","3,942,523.0","4,133,393.0","4,261,800.0"
"20","2","Less: Exports of goods and services","A020RX1","37,956.0","31,371.0","26,072.0","20,429.0","20,555.0","22,848.0","24,090.0","25,308.0","31,876.0","31,533.0","33,288.0","37,867.0","38,826.0","25,645.0","21,616.0","23,217.0","32,529.0","70,259.0","80,103.0","63,092.0","62,505.0","54,730.0","67,066.0","64,165.0","59,867.0","62,764.0","69,466.0","80,934.0","87,990.0","76,096.0","83,940.0","98,511.0","99,034.0","104,030.0","111,469.0","124,593.0","128,085.0","136,961.0","140,118.0","151,130.0","158,439.0"
"21","3","Plus: Imports of goods and services","A021RX1","49,123.0","42,730.0","37,273.0","30,926.0","32,218.0","32,916.0","43,126.0","42,630.0","47,971.0","37,286.0","39,157.0","40,105.0","49,312.0","44,773.0","56,455.0","59,084.0","62,824.0","52,069.0","49,439.0","57,687.0","55,647.0","65,773.0","68,357.0","74,373.0","81,363.0","77,352.0","86,672.0","93,708.0","97,643.0","102,282.0","113,041.0","114,545.0","113,776.0","126,689.0","130,104.0","137,017.0","151,601.0","174,130.0","186,817.0","214,657.0","226,889.0"
"22","4","Equals: Gross domestic purchases","A712RX1","994,957.0","911,840.0","854,626.0","744,511.0","735,690.0","813,387.0","892,924.0","1,006,906.0","1,053,777.0","1,008,095.0","1,089,600.0","1,180,215.0","1,392,696.0","1,669,141.0","1,961,740.0","2,118,285.0","2,080,609.0","1,775,219.0","1,738,936.0","1,858,577.0","1,847,361.0","2,036,343.0","2,177,493.0","2,274,429.0","2,395,533.0","2,370,788.0","2,542,690.0","2,583,611.0","2,629,531.0","2,629,279.0","2,817,971.0","2,867,553.0","2,933,290.0","3,118,962.0","3,248,762.0","3,426,320.0","3,659,156.0","3,910,234.0","4,018,199.0","4,225,642.0","4,358,639.0"
"23","5","Less: Change in private inventories","A014RX1","10,307.0","-4,559.0","-10,581.0","-23,829.0","-12,205.0","-5,840.0","7,570.0","7,761.0","12,968.0","-3,050.0","1,553.0","16,121.0","26,393.0","10,283.0","-3,611.0","-4,289.0","-8,052.0","25,427.0","-3,563.0","19,328.0","-10,198.0","19,277.0","26,746.0","10,758.0","6,706.0","-6,426.0","15,952.0","11,917.0","2,929.0","-744.0","13,927.0","11,832.0","10,615.0","21,888.0","20,252.0","17,260.0","32,900.0","47,142.0","33,884.0","30,789.0","30,279.0"
"24","6","Equals: Final sales to domestic purchasers","A713RX1","1,006,033.0","939,953.0","886,643.0","787,198.0","764,039.0","834,404.0","893,449.0","1,008,992.0","1,046,375.0","1,021,896.0","1,097,453.0","1,166,730.0","1,364,886.0","1,669,402.0","1,988,710.0","2,147,856.0","2,116,184.0","1,748,235.0","1,766,062.0","1,841,016.0","1,884,203.0","2,021,054.0","2,148,131.0","2,276,454.0","2,405,183.0","2,402,225.0","2,538,722.0","2,587,354.0","2,647,863.0","2,652,391.0","2,819,803.0","2,873,504.0","2,941,309.0","3,111,474.0","3,244,707.0","3,427,830.0","3,639,448.0","3,870,949.0","3,998,953.0","4,211,802.0","4,345,679.0"
"25",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","7","  Final sales of domestic product","A190RX1","987,615.0","919,997.0","865,913.0","767,238.0","743,853.0","814,691.0","865,279.0","979,722.0","1,020,633.0","1,006,079.0","1,080,469.0","1,153,748.0","1,338,959.0","1,618,096.0","1,908,674.0","2,063,208.0","2,046,403.0","1,766,215.0","1,803,227.0","1,837,224.0","1,880,905.0","1,990,749.0","2,132,246.0","2,245,727.0","2,356,436.0","2,363,040.0","2,496,176.0","2,553,265.0","2,618,938.0","2,599,995.0","2,763,968.0","2,836,631.0","2,904,610.0","3,064,878.0","3,202,599.0","3,393,729.0","3,590,663.0","3,806,614.0","3,923,312.0","4,119,355.0","4,248,593.0"
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Note. Chained (2005) dollar series are calculated as the product of the chain-type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","quantity index and the 2005 current-dollar value of the corresponding series, divided",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","by 100. Because the formula for the chain-type quantity indexes uses weights of more",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
