"","Table 1#2#6# Real Gross Domestic Product by Major Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170"
"22","3","       Change in private inventories","A014RX1","37,013.0","31,210.0","34,862.0","18,029.0","3,939.0","16,662.0","16,167.0","-14,348.0","38,479.0","32,965.0","31,473.0","-2,959.0","10,835.0","37,953.0","38,977.0","14,931.0","23,076.0","52,936.0","23,225.0","56,805.0","26,446.0","37,006.0","12,662.0","40,166.0","-15,390.0","-29,588.0","-5,783.0","-347.0","31,779.0","47,139.0","43,890.0","14,233.0","24,038.0","40,154.0","71,110.0","37,108.0","43,170.0","42,460.0","44,773.0","51,908.0","39,802.0","44,869.0","16,955.0","10,282.0","13,368.0","11,403.0","-48,822.0","-13,259.0","55,360.0","14,319.0","57,854.0","28,303.0","-27,215.0","-5,432.0","6,782.0","-52,846.0","-47,706.0","-6,693.0","-5,641.0","29,439.0","88,698.0","83,089.0","86,889.0","54,377.0","17,212.0","25,087.0","20,786.0","38,591.0","35,321.0","17,249.0","-9,450.0","-9,155.0","36,591.0","20,098.0","-657.0","76,752.0","17,900.0","22,874.0","20,709.0","26,188.0","54,384.0","41,038.0","10,769.0","16,291.0","15,113.0","37,019.0","24,927.0","-10,795.0","-17,231.0","-20,997.0","-507.0","33,021.0","2,727.0","23,904.0","21,119.0","23,843.0","40,276.0","26,832.0","6,292.0","15,598.0","50,523.0","90,485.0","56,041.0","80,091.0","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-8,231.0","-20,570.0","-27,390.0","-94,321.0","-125,799.0","-161,784.0","-128,213.0","-36,701.0","44,131.0","68,847.0","115,505.0"
"23","4","       Residual","A958RX1","-14,700.0","-17,300.0","-16,100.0","-20,100.0","-24,300.0","-21,100.0","-20,900.0","-28,100.0","-16,700.0","-16,500.0","-18,500.0","-24,900.0","-21,300.0","-16,500.0","-14,700.0","-21,800.0","-12,700.0","-10,000.0","-12,600.0","-5,100.0","-12,200.0","-15,600.0","-24,900.0","-600.0","-41,700.0","-40,600.0","-27,100.0","-26,800.0","-14,900.0","-9,100.0","-12,200.0","-16,700.0","-14,900.0","-11,100.0","-2,200.0","-13,200.0","-7,600.0","-7,300.0","-5,700.0","-10,200.0","-6,600.0","-5,900.0","-20,100.0","-24,000.0","-19,600.0","-22,800.0","-49,000.0","-30,000.0","-5,700.0","-24,300.0","-2,500.0","-12,700.0","-38,300.0","-25,800.0","-21,900.0","-44,800.0","-40,000.0","-32,800.0","-27,400.0","-16,200.0","5,000.0","5,400.0","5,600.0","-3,100.0","-15,200.0","-17,400.0","-17,200.0","-10,800.0","-11,900.0","-18,400.0","-22,900.0","-29,400.0","-16,400.0","-19,000.0","-21,900.0","-7,100.0","-18,800.0","-17,900.0","-12,600.0","-14,100.0","-7,000.0","-10,500.0","-16,600.0","-14,700.0","-16,700.0","-10,200.0","-14,000.0","-20,300.0","-20,600.0","-20,600.0","-18,500.0","-13,100.0","-18,600.0","-11,600.0","-14,200.0","-15,900.0","-11,400.0","-14,500.0","-15,700.0","-14,600.0","-11,600.0","-5,400.0","-8,900.0","-5,300.0","-7,000.0","-12,400.0","-14,300.0","-12,300.0","-15,400.0","-11,800.0","-6,100.0","-5,700.0","-9,600.0","-3,600.0","-5,200.0","-4,000.0","-2,100.0","-6,000.0","-6,100.0","-6,400.0","-5,500.0","-5,300.0","-4,400.0","-2,300.0","-3,300.0","-500.0","-1,600.0","-1,700.0","-3,100.0","-3,200.0","-2,900.0","-2,000.0","-3,400.0","-3,500.0","-3,100.0","-3,200.0","-2,200.0","-1,600.0","-900.0","-800.0","-1,000.0","-1,200.0","-300.0","-500.0","-500.0","0.0","200.0","500.0","-1,200.0","-1,000.0","100.0","1,100.0","900.0","2,800.0","2,000.0","-1,300.0","1,200.0","-2,800.0","1,300.0","-6,100.0","-5,800.0","400.0","4,500.0","4,600.0","9,200.0","11,400.0","12,000.0"
"24","5","Goods","A353RX1","919,409.0","911,575.0","919,405.0","911,114.0","907,299.0","917,066.0","921,590.0","884,947.0","936,153.0","932,483.0","941,432.0","928,624.0","947,888.0","997,096.0","1,012,868.0","1,036,245.0","1,084,996.0","1,113,238.0","1,096,351.0","1,124,326.0","1,105,185.0","1,106,318.0","1,085,526.0","1,079,480.0","1,037,959.0","1,046,860.0","1,084,801.0","1,097,478.0","1,135,243.0","1,153,467.0","1,161,162.0","1,152,166.0","1,166,000.0","1,194,247.0","1,235,412.0","1,227,411.0","1,218,661.0","1,293,998.0","1,302,371.0","1,332,277.0","1,337,222.0","1,329,554.0","1,349,176.0","1,343,962.0","1,356,266.0","1,320,409.0","1,301,016.0","1,335,464.0","1,404,171.0","1,363,656.0","1,418,194.0","1,366,741.0","1,314,870.0","1,341,879.0","1,321,011.0","1,289,359.0","1,297,755.0","1,355,653.0","1,382,238.0","1,459,318.0","1,510,776.0","1,542,233.0","1,557,006.0","1,566,137.0","1,559,516.0","1,566,499.0","1,596,099.0","1,601,760.0","1,617,455.0","1,613,544.0","1,636,030.0","1,641,511.0","1,645,635.0","1,676,226.0","1,699,279.0","1,749,730.0","1,760,694.0","1,797,103.0","1,800,116.0","1,834,161.0","1,875,369.0","1,903,024.0","1,918,589.0","1,903,722.0","1,930,982.0","1,932,737.0","1,927,768.0","1,888,739.0","1,869,716.0","1,878,468.0","1,899,478.0","1,902,840.0","1,913,704.0","1,954,770.0","1,981,990.0","2,008,293.0","2,014,925.0","2,036,732.0","2,029,563.0","2,079,997.0","2,129,244.0","2,174,851.0","2,181,698.0","2,249,440.0","2,254,550.0","2,241,525.0","2,258,952.0","2,300,973.0","2,308,817.0","2,371,356.0","2,425,152.0","2,445,519.0","2,482,444.0","2,558,467.0","2,614,262.0","2,640,341.0","2,687,978.0","2,666,408.0","2,721,842.0","2,815,752.0","2,849,332.0","2,875,016.0","2,923,596.0","3,008,051.0","2,981,874.0","3,088,006.0","3,073,015.0","3,082,123.0","3,011,743.0","3,022,336.0","2,983,934.0","3,009,495.0","3,040,396.0","3,055,898.0","3,086,336.0","3,054,257.0","3,087,167.0","3,093,272.0","3,210,770.0","3,264,936.0","3,279,058.0","3,299,361.0","3,339,963.0","3,386,561.0","3,441,687.0","3,443,981.0","3,480,965.0","3,524,839.0","3,624,545.0","3,640,555.0","3,640,948.0","3,704,926.0","3,723,002.0","3,779,910.0","3,810,814.0","3,899,560.0","3,887,602.0","3,886,171.0","3,776,866.0","3,587,021.0","3,565,549.0","3,562,291.0","3,621,207.0","3,820,381.0","3,994,654.0","3,986,956.0","4,022,180.0"
"25","6","    Final sales","A325RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,202,085.0","2,214,887.0","2,256,632.0","2,290,684.0","2,311,357.0","2,352,603.0","2,374,227.0","2,417,412.0","2,449,066.0","2,471,643.0","2,551,530.0","2,567,096.0","2,588,272.0","2,630,563.0","2,671,622.0","2,761,687.0","2,774,639.0","2,840,739.0","2,885,672.0","2,921,983.0","2,965,595.0","2,998,319.0","3,016,908.0","3,030,201.0","3,042,508.0","3,031,857.0","3,010,954.0","3,089,032.0","3,053,819.0","3,043,793.0","3,068,073.0","3,024,026.0","3,057,083.0","3,095,229.0","3,205,821.0","3,226,449.0","3,227,381.0","3,222,654.0","3,277,757.0","3,315,890.0","3,351,568.0","3,428,499.0","3,468,936.0","3,442,660.0","3,559,546.0","3,568,525.0","3,572,994.0","3,672,938.0","3,706,441.0","3,732,432.0","3,773,433.0","3,890,673.0","3,898,394.0","3,914,587.0","3,807,879.0","3,698,781.0","3,711,265.0","3,740,240.0","3,758,421.0","3,857,810.0","3,937,824.0","3,900,668.0","3,883,897.0"
"26","7","    Change in private inventories","A014RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","65,862.0","37,721.0","8,211.0","16,493.0","3,163.0","26,774.0","62,015.0","32,778.0","43,189.0","103,888.0","75,428.0","86,976.0","117,202.0","43,242.0","60,576.0","65,481.0","89,433.0","41,067.0","44,552.0","99,080.0","18,741.0","101,007.0","63,074.0","58,110.0","-34,837.0","-10,665.0","-30,834.0","-90,747.0","-15,050.0","13,413.0","19,823.0","32,889.0","31,540.0","-3,491.0","2,961.0","38,347.0","52,379.0","78,658.0","62,691.0","71,577.0","91,430.0","15,543.0","11,807.0","81,030.0","65,813.0","72,544.0","67,510.0","31,825.0","17,324.0","44,868.0","36,093.0","12,617.0","-8,231.0","-20,570.0","-27,390.0","-94,321.0","-125,799.0","-161,784.0","-128,213.0","-36,701.0","44,131.0","68,847.0","115,505.0"
"27","8","  Durable goods","A354RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,034,399.0","1,028,693.0","1,050,986.0","1,082,045.0","1,079,462.0","1,116,620.0","1,150,380.0","1,154,066.0","1,195,201.0","1,241,143.0","1,285,711.0","1,306,586.0","1,347,382.0","1,337,015.0","1,380,037.0","1,444,595.0","1,465,543.0","1,477,040.0","1,533,205.0","1,571,939.0","1,593,255.0","1,643,175.0","1,629,285.0","1,634,812.0","1,590,133.0","1,587,530.0","1,551,549.0","1,570,569.0","1,600,040.0","1,610,993.0","1,637,614.0","1,609,510.0","1,606,696.0","1,632,776.0","1,695,191.0","1,747,321.0","1,747,173.0","1,762,027.0","1,793,905.0","1,810,643.0","1,859,091.0","1,864,871.0","1,909,170.0","1,931,296.0","1,964,207.0","1,986,884.0","2,005,301.0","2,001,388.0","2,043,545.0","2,086,567.0","2,121,140.0","2,193,963.0","2,141,246.0","2,136,204.0","2,132,383.0","1,960,174.0","1,828,146.0","1,833,095.0","1,899,088.0","1,972,113.0","2,118,845.0","2,175,678.0","2,212,855.0"
"28","9","    Final sales","A326RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","996,354.0","1,003,482.0","1,033,479.0","1,058,531.0","1,072,875.0","1,102,905.0","1,119,663.0","1,147,979.0","1,173,052.0","1,195,913.0","1,256,542.0","1,265,464.0","1,284,585.0","1,316,211.0","1,351,256.0","1,413,857.0","1,416,805.0","1,465,926.0","1,508,338.0","1,514,724.0","1,576,264.0","1,587,084.0","1,597,504.0","1,601,304.0","1,629,983.0","1,607,755.0","1,580,669.0","1,640,215.0","1,594,590.0","1,593,350.0","1,623,660.0","1,575,131.0","1,578,560.0","1,629,795.0","1,703,978.0","1,712,758.0","1,711,727.0","1,714,456.0","1,756,731.0","1,778,674.0","1,797,817.0","1,856,280.0","1,896,969.0","1,872,483.0","1,943,792.0","1,953,837.0","1,962,381.0","1,997,632.0","2,033,765.0","2,082,380.0","2,115,333.0","2,174,766.0","2,162,153.0","2,170,793.0","2,134,173.0","2,012,170.0","1,980,726.0","1,987,560.0","2,016,387.0","2,036,369.0","2,091,004.0","2,118,012.0","2,133,891.0"
"29","10","    Change in private inventories \1\","A355RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","45,212.0","30,886.0","21,575.0","27,971.0","9,422.0","17,989.0","36,243.0","8,079.0","27,579.0","53,268.0","33,295.0","46,806.0","72,264.0","22,970.0","32,494.0","34,753.0","55,689.0","11,323.0","26,991.0","63,938.0","17,910.0","62,074.0","34,405.0","36,214.0","-46,750.0","-24,557.0","-34,372.0","-80,026.0","4,445.0","17,992.0","13,738.0","36,327.0","29,341.0","1,567.0","-11,584.0","34,734.0","35,451.0","48,077.0","37,084.0","31,896.0","61,563.0","8,577.0","12,154.0","58,586.0","20,601.0","32,865.0","42,376.0","5,156.0","11,143.0","5,730.0","7,073.0","19,167.0","-17,785.0","-29,266.0","-1,603.0","-44,918.0","-133,703.0","-135,324.0","-102,126.0","-55,648.0","24,417.0","50,040.0","68,183.0"
"30","11","  Nondurable goods","A356RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,260,971.0","1,253,291.0","1,243,907.0","1,251,738.0","1,264,312.0","1,288,100.0","1,306,241.0","1,325,021.0","1,314,000.0","1,342,190.0","1,349,175.0","1,352,440.0","1,355,217.0","1,343,739.0","1,352,919.0","1,378,966.0","1,390,872.0","1,405,418.0","1,392,430.0","1,439,247.0","1,386,035.0","1,443,306.0","1,443,152.0","1,446,679.0","1,422,021.0","1,436,149.0","1,435,217.0","1,441,240.0","1,441,462.0","1,445,726.0","1,448,635.0","1,445,349.0","1,482,342.0","1,460,829.0","1,515,878.0","1,517,352.0","1,531,886.0","1,537,392.0","1,546,144.0","1,576,004.0","1,582,621.0","1,579,073.0","1,571,797.0","1,593,552.0","1,660,400.0","1,653,811.0","1,636,154.0","1,702,804.0","1,679,672.0","1,694,047.0","1,691,511.0","1,708,967.0","1,747,127.0","1,750,257.0","1,649,268.0","1,624,811.0","1,723,652.0","1,716,526.0","1,713,758.0","1,835,968.0","1,868,879.0","1,811,113.0","1,811,596.0"
"31","12","    Final sales","A334RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,250,017.0","1,255,426.0","1,264,155.0","1,270,572.0","1,275,634.0","1,284,034.0","1,287,148.0","1,300,130.0","1,304,024.0","1,300,459.0","1,314,417.0","1,320,779.0","1,320,674.0","1,328,930.0","1,331,769.0","1,355,888.0","1,366,672.0","1,380,926.0","1,380,096.0","1,412,305.0","1,387,951.0","1,410,950.0","1,419,132.0","1,429,227.0","1,409,850.0","1,423,468.0","1,431,261.0","1,448,050.0","1,460,959.0","1,451,744.0","1,444,223.0","1,450,506.0","1,481,012.0","1,465,872.0","1,501,570.0","1,513,539.0","1,515,664.0","1,508,251.0","1,521,100.0","1,537,293.0","1,553,780.0","1,572,144.0","1,571,973.0","1,570,217.0","1,615,919.0","1,614,948.0","1,611,003.0","1,675,014.0","1,672,771.0","1,651,831.0","1,660,601.0","1,718,098.0","1,737,620.0","1,745,205.0","1,676,955.0","1,683,961.0","1,724,221.0","1,745,369.0","1,737,124.0","1,812,425.0","1,838,964.0","1,780,309.0","1,751,187.0"
"32","13","    Change in private inventories \1\","A357RX1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","16,735.0","3,489.0","-17,446.0","-15,828.0","-7,858.0","7,674.0","24,264.0","25,889.0","14,093.0","49,371.0","42,163.0","38,820.0","41,624.0","19,648.0","27,120.0","29,748.0","31,049.0","30,874.0","16,449.0","32,298.0","-345.0","36,975.0","28,004.0","20,923.0","14,643.0","15,611.0","5,504.0","-6,563.0","-20,599.0","-5,710.0","5,708.0","-4,860.0","1,423.0","-5,209.0","14,965.0","3,315.0","16,759.0","30,414.0","25,398.0","39,636.0","29,467.0","6,957.0","-326.0","22,832.0","45,115.0","39,680.0","25,099.0","26,640.0","6,060.0","38,597.0","28,514.0","-5,765.0","8,363.0","6,637.0","-24,429.0","-49,245.0","3,522.0","-29,804.0","-28,508.0","16,317.0","20,001.0","19,762.0","48,284.0"
"33","14","Services \2\","A341RX1","2,757,671.0","2,797,401.0","2,811,789.0","2,836,396.0","2,841,170.0","2,846,227.0","2,866,710.0","2,878,695.0","2,899,303.0","2,915,119.0","2,929,265.0","2,963,481.0","2,998,812.0","3,024,020.0","3,045,025.0","3,070,914.0","3,096,245.0","3,121,297.0","3,135,194.0","3,149,084.0","3,161,172.0","3,184,469.0","3,199,350.0","3,233,352.0","3,268,514.0","3,314,215.0","3,310,336.0","3,343,353.0","3,363,931.0","3,381,263.0","3,409,618.0","3,445,884.0","3,477,688.0","3,497,991.0","3,534,684.0","3,557,713.0","3,602,353.0","3,645,386.0","3,668,434.0","3,689,864.0","3,722,641.0","3,738,376.0","3,732,987.0","3,766,505.0","3,784,482.0","3,791,607.0","3,820,665.0","3,847,999.0","3,857,832.0","3,893,244.0","3,897,496.0","3,900,990.0","3,918,160.0","3,927,821.0","3,963,497.0","4,017,947.0","4,068,505.0","4,106,112.0","4,157,617.0","4,148,172.0","4,168,401.0","4,217,005.0","4,254,374.0","4,296,685.0","4,368,006.0","4,412,228.0","4,486,106.0","4,528,680.0","4,565,711.0","4,616,926.0","4,661,035.0","4,697,172.0","4,737,482.0","4,769,485.0","4,791,285.0","4,843,068.0","4,896,139.0","4,931,784.0","4,980,143.0","5,037,236.0","5,055,785.0","5,092,288.0","5,130,927.0","5,180,110.0","5,212,227.0","5,265,695.0","5,294,934.0","5,304,383.0","5,318,406.0","5,364,443.0","5,373,262.0","5,395,971.0","5,459,091.0","5,488,040.0","5,547,559.0","5,591,927.0","5,605,314.0","5,622,968.0","5,668,342.0","5,695,145.0","5,726,722.0","5,761,255.0","5,811,996.0","5,824,658.0","5,843,445.0","5,888,851.0","5,936,342.0","5,941,194.0","5,983,478.0","6,039,974.0","6,046,554.0","6,111,027.0","6,130,911.0","6,184,593.0","6,233,649.0","6,284,150.0","6,320,506.0","6,405,007.0","6,450,749.0","6,510,716.0","6,562,190.0","6,618,709.0","6,696,110.0","6,777,412.0","6,823,876.0","6,916,858.0","6,938,904.0","6,995,245.0","7,043,732.0","7,081,837.0","7,109,790.0","7,146,099.0","7,211,653.0","7,264,431.0","7,297,877.0","7,328,398.0","7,338,660.0","7,405,552.0","7,440,213.0","7,479,650.0","7,548,568.0","7,583,553.0","7,628,946.0","7,691,211.0","7,741,521.0","7,777,357.0","7,836,816.0","7,852,744.0","7,918,509.0","7,957,774.0","7,996,646.0","8,067,193.0","8,097,117.0","8,136,704.0","8,197,396.0","8,247,135.0","8,276,924.0","8,298,838.0","8,294,730.0","8,294,928.0","8,262,910.0","8,280,229.0","8,276,332.0","8,293,158.0","8,293,391.0","8,331,524.0","8,380,918.0"
"34","15","Structures","A755RX1","713,165.0","709,926.0","712,256.0","678,030.0","673,376.0","652,185.0","673,474.0","692,953.0","704,689.0","733,475.0","745,241.0","758,583.0","784,369.0","784,555.0","784,744.0","807,134.0","829,946.0","812,228.0","802,232.0","784,130.0","758,059.0","748,236.0","716,559.0","670,872.0","653,896.0","635,684.0","659,205.0","681,719.0","724,157.0","715,351.0","702,053.0","735,227.0","750,764.0","803,951.0","800,558.0","793,359.0","791,668.0","862,504.0","892,715.0","904,190.0","873,873.0","881,479.0","897,948.0","896,336.0","877,588.0","794,464.0","792,180.0","827,759.0","831,333.0","818,641.0","796,080.0","801,641.0","767,500.0","745,263.0","722,918.0","734,653.0","756,951.0","772,222.0","817,519.0","838,477.0","873,182.0","903,049.0","916,468.0","922,752.0","939,489.0","951,531.0","951,273.0","961,535.0","977,252.0","965,035.0","961,962.0","956,224.0","954,914.0","961,057.0","975,171.0","986,250.0","957,544.0","975,058.0","966,307.0","971,666.0","969,668.0","954,247.0","962,984.0","956,980.0","978,495.0","956,449.0","932,311.0","900,257.0","868,174.0","869,210.0","865,099.0","873,777.0","896,705.0","903,313.0","896,622.0","913,094.0","906,095.0","917,838.0","935,128.0","963,039.0","950,439.0","986,581.0","989,120.0","987,649.0","985,678.0","979,270.0","992,135.0","998,588.0","1,016,230.0","1,051,635.0","1,060,918.0","1,083,739.0","1,094,952.0","1,093,138.0","1,103,388.0","1,099,800.0","1,102,803.0","1,149,156.0","1,178,749.0","1,189,712.0","1,195,229.0","1,193,655.0","1,199,482.0","1,220,492.0","1,238,173.0","1,242,318.0","1,249,031.0","1,251,680.0","1,247,265.0","1,276,398.0","1,259,738.0","1,232,897.0","1,232,494.0","1,223,805.0","1,214,079.0","1,222,243.0","1,223,344.0","1,245,566.0","1,286,679.0","1,298,660.0","1,300,531.0","1,333,102.0","1,335,874.0","1,332,767.0","1,350,862.0","1,366,370.0","1,365,321.0","1,371,037.0","1,373,960.0","1,365,375.0","1,330,687.0","1,294,397.0","1,276,310.0","1,286,119.0","1,270,888.0","1,234,869.0","1,194,969.0","1,194,412.0","1,165,344.0","1,112,750.0","1,010,833.0","975,004.0","974,850.0","933,544.0","895,794.0","918,660.0","901,574.0"
