"","Table 2#8#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"26","6","  PCE excluding food and energy","DPCCRC1","222,275.0","226,089.0","230,152.0","229,917.0","232,349.0","233,867.0","233,744.0","235,997.0","239,819.0","237,666.0","238,061.0","237,685.0","239,276.0","241,397.0","243,729.0","249,196.0","243,952.0","243,829.0","244,718.0","245,707.0","247,467.0","249,174.0","247,618.0","244,648.0","244,912.0","246,455.0","250,282.0","249,539.0","252,092.0","252,887.0","253,614.0","254,501.0","256,427.0","259,069.0","262,143.0","264,237.0","264,950.0","264,846.0","267,900.0","270,001.0","272,611.0","271,357.0","272,445.0","273,204.0","277,808.0","275,946.0","280,852.0","282,674.0","282,353.0","281,678.0","283,580.0","285,674.0","285,889.0","290,432.0","292,142.0","292,878.0","293,456.0","294,005.0","296,781.0","301,131.0","302,889.0","306,015.0","306,890.0","307,661.0","312,619.0","314,745.0","317,379.0","319,373.0","318,393.0","320,639.0","318,791.0","320,764.0","325,438.0","331,021.0","333,313.0","335,582.0","335,522.0","331,938.0","336,423.0","339,893.0","347,965.0","349,991.0","351,757.0","352,830.0","356,338.0","360,444.0","364,388.0","365,064.0","361,708.0","363,904.0","367,765.0","370,716.0","375,893.0","375,680.0","376,793.0","378,157.0","380,522.0","378,520.0","381,848.0","386,970.0","387,186.0","391,204.0","391,883.0","394,470.0","399,243.0","395,995.0","399,753.0","405,530.0","411,640.0","413,699.0","421,965.0","422,595.0","427,646.0","432,266.0","438,228.0","440,920.0","442,599.0","445,669.0","448,557.0","449,492.0","454,685.0","458,873.0","458,556.0","463,704.0","468,117.0","469,413.0","470,014.0","475,515.0","479,367.0","482,117.0","483,593.0","485,269.0"
"27","7","  Food \1\","DFXARC1","61,876.0","61,379.0","60,463.0","60,348.0","61,562.0","61,872.0","61,583.0","61,642.0","62,080.0","62,145.0","61,500.0","62,709.0","61,630.0","61,100.0","62,565.0","63,416.0","62,755.0","62,646.0","63,185.0","62,311.0","62,041.0","62,556.0","63,830.0","62,641.0","63,488.0","63,752.0","63,871.0","64,128.0","63,808.0","63,863.0","62,962.0","63,806.0","64,034.0","63,637.0","63,454.0","64,159.0","63,849.0","64,498.0","64,555.0","64,166.0","64,609.0","64,326.0","64,309.0","64,868.0","65,812.0","65,086.0","65,073.0","64,725.0","65,438.0","65,047.0","65,243.0","64,934.0","65,304.0","65,797.0","66,520.0","66,941.0","65,588.0","66,157.0","66,851.0","66,620.0","67,358.0","67,435.0","68,150.0","68,215.0","69,116.0","69,346.0","70,188.0","70,563.0","70,441.0","70,524.0","70,070.0","72,477.0","71,395.0","72,125.0","71,457.0","72,618.0","73,129.0","73,904.0","74,890.0","75,077.0","74,395.0","78,313.0","77,185.0","78,819.0","78,549.0","79,740.0","80,333.0","81,095.0","80,343.0","80,331.0","81,477.0","80,794.0","81,379.0","80,596.0","81,437.0","81,241.0","81,781.0","81,802.0","82,022.0","82,111.0","81,511.0","82,290.0","81,437.0","82,742.0","83,312.0","82,956.0","83,398.0","85,343.0","84,699.0","85,017.0","87,415.0","86,796.0","87,771.0","89,194.0","89,912.0","90,537.0","90,023.0","90,597.0","92,678.0","91,338.0","92,778.0","93,342.0","93,078.0","93,149.0","95,048.0","94,145.0","95,233.0","96,590.0","95,960.0","98,039.0","98,303.0","98,787.0"
"28","8","  Energy goods and services \2\","DNRGRC1","22,550.0","22,693.0","22,686.0","22,510.0","22,786.0","23,014.0","23,015.0","23,075.0","22,880.0","23,537.0","23,856.0","23,038.0","23,264.0","23,412.0","24,435.0","24,459.0","23,933.0","24,230.0","24,081.0","24,222.0","24,526.0","24,315.0","24,576.0","24,683.0","24,451.0","24,192.0","24,202.0","24,668.0","24,672.0","24,819.0","24,701.0","24,483.0","24,631.0","24,515.0","25,013.0","24,745.0","25,134.0","25,392.0","25,690.0","25,626.0","25,541.0","25,484.0","25,380.0","25,587.0","25,916.0","26,303.0","26,533.0","26,966.0","27,321.0","27,350.0","26,846.0","26,404.0","26,678.0","26,122.0","26,416.0","27,142.0","27,122.0","26,536.0","26,496.0","27,647.0","27,298.0","27,501.0","27,569.0","27,753.0","27,509.0","28,084.0","28,170.0","28,634.0","28,622.0","29,285.0","28,343.0","28,600.0","28,433.0","29,070.0","29,344.0","29,681.0","29,799.0","30,229.0","30,552.0","30,241.0","30,489.0","31,025.0","30,972.0","30,897.0","31,156.0","30,936.0","31,226.0","31,721.0","31,993.0","32,256.0","32,306.0","32,641.0","32,900.0","33,029.0","32,855.0","33,501.0","32,984.0","33,727.0","33,029.0","33,331.0","34,640.0","34,411.0","34,477.0","33,702.0","34,167.0","34,365.0","35,355.0","35,360.0","35,645.0","35,946.0","36,002.0","35,697.0","35,480.0","35,933.0","36,179.0","36,737.0","36,788.0","36,602.0","36,770.0","37,017.0","37,410.0","37,903.0","38,700.0","38,482.0","38,577.0","38,786.0","38,937.0","39,330.0","39,425.0","39,893.0","40,124.0","40,254.0"
"29","9","  Market-based PCE \3\","DPCMRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"30","10","  Market-based PCE excluding food and energy \3\","DPCXRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
