"","Table 2#2B# Wage and Salary Disbursements by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42"
"13","and nonsampling errors are larger than this implied level of precision. Compared ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","with the published aggregates, the million-dollar estimates ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010"
"19",NA,NA,NA,"1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3","4","1","2","3"
"20","1","    Wage and salary disbursements","A576RC1","4,988,117.0","4,961,425.0","4,932,431.0","4,926,837.0","4,963,557.0","5,002,990.0","5,006,293.0","5,016,386.0","5,049,563.0","5,109,864.0","5,159,579.0","5,239,391.0","5,279,397.0","5,385,092.0","5,493,902.0","5,544,377.0","5,584,179.0","5,651,665.0","5,758,339.0","5,809,745.0","5,978,894.0","6,018,598.0","6,075,433.0","6,202,646.0","6,353,128.0","6,382,797.0","6,427,563.0","6,523,411.0","6,595,945.0","6,575,092.0","6,567,867.0","6,497,271.0","6,260,022.0","6,287,656.0","6,263,889.0","6,284,913.0","6,291,419.0","6,342,540.0","6,380,853.0"
"21","2","Private industries","A132RC1","4,183,713.0","4,146,001.0","4,103,999.0","4,087,561.0","4,101,981.0","4,132,618.0","4,128,481.0","4,133,694.0","4,146,142.0","4,196,045.0","4,243,959.0","4,318,951.0","4,338,969.0","4,432,872.0","4,538,062.0","4,581,633.0","4,601,739.0","4,664,053.0","4,763,883.0","4,808,297.0","4,959,878.0","4,990,282.0","5,034,453.0","5,150,354.0","5,276,752.0","5,300,145.0","5,334,983.0","5,418,907.0","5,468,913.0","5,436,864.0","5,416,951.0","5,337,527.0","5,092,450.0","5,111,412.0","5,088,313.0","5,110,021.0","5,105,914.0","5,149,408.0","5,196,033.0"
"22","3","  Goods-producing industries","N231RC1","1,072,461.0","1,053,924.0","1,031,640.0","1,017,243.0","1,016,248.0","1,017,750.0","1,008,457.0","1,003,655.0","1,002,778.0","1,003,452.0","1,004,980.0","1,033,040.0","1,021,011.0","1,047,306.0","1,074,491.0","1,074,799.0","1,081,917.0","1,094,002.0","1,118,604.0","1,119,106.0","1,171,534.0","1,170,085.0","1,169,780.0","1,192,452.0","1,206,681.0","1,210,985.0","1,210,245.0","1,225,789.0","1,225,840.0","1,222,460.0","1,206,222.0","1,175,952.0","1,100,168.0","1,062,959.0","1,046,709.0","1,046,051.0","1,032,190.0","1,041,601.0","1,050,175.0"
"23","4","    Manufacturing","N552RC1","737,839.0","722,522.0","701,967.0","688,936.0","682,156.0","687,075.0","677,168.0","672,124.0","670,462.0","669,041.0","667,702.0","687,673.0","673,539.0","688,223.0","705,733.0","704,857.0","703,321.0","707,355.0","716,574.0","714,259.0","738,797.0","735,359.0","734,057.0","746,482.0","753,175.0","751,590.0","748,271.0","755,756.0","751,634.0","750,655.0","742,978.0","719,621.0","678,643.0","659,092.0","649,766.0","658,297.0","652,627.0","659,990.0","664,987.0"
"24","5","  Services-producing industries","N233RC1","3,111,252.0","3,092,077.0","3,072,359.0","3,070,318.0","3,085,733.0","3,114,868.0","3,120,024.0","3,130,039.0","3,143,364.0","3,192,593.0","3,238,979.0","3,285,911.0","3,317,958.0","3,385,566.0","3,463,571.0","3,506,834.0","3,519,822.0","3,570,051.0","3,645,279.0","3,689,191.0","3,788,344.0","3,820,197.0","3,864,673.0","3,957,902.0","4,070,071.0","4,089,160.0","4,124,738.0","4,193,118.0","4,243,073.0","4,214,404.0","4,210,729.0","4,161,575.0","3,992,282.0","4,048,453.0","4,041,604.0","4,063,970.0","4,073,724.0","4,107,807.0","4,145,858.0"
"25","6","    Trade, transportation, and utilities","N234RC1","853,173.0","848,938.0","842,918.0","839,428.0","842,474.0","847,885.0","848,512.0","847,269.0","853,874.0","857,197.0","864,001.0","878,059.0","879,927.0","898,581.0","917,893.0","924,968.0","928,687.0","938,943.0","953,112.0","957,713.0","982,536.0","989,375.0","997,772.0","1,014,272.0","1,032,735.0","1,046,631.0","1,043,702.0","1,057,588.0","1,061,024.0","1,055,503.0","1,051,978.0","1,035,022.0","996,968.0","989,917.0","986,946.0","988,229.0","987,973.0","996,815.0","1,004,169.0"
"26","7","    Other services-producing industries \1\","N235RC1","2,258,079.0","2,243,139.0","2,229,441.0","2,230,890.0","2,243,259.0","2,266,983.0","2,271,512.0","2,282,770.0","2,289,490.0","2,335,396.0","2,374,978.0","2,407,852.0","2,438,031.0","2,486,985.0","2,545,678.0","2,581,866.0","2,591,135.0","2,631,108.0","2,692,167.0","2,731,478.0","2,805,808.0","2,830,822.0","2,866,901.0","2,943,630.0","3,037,336.0","3,042,529.0","3,081,036.0","3,135,530.0","3,182,049.0","3,158,901.0","3,158,751.0","3,126,553.0","2,995,314.0","3,058,536.0","3,054,658.0","3,075,741.0","3,085,751.0","3,110,992.0","3,141,689.0"
"27","8","Government","B202RC1","804,404.0","815,424.0","828,432.0","839,276.0","861,576.0","870,372.0","877,812.0","882,692.0","903,421.0","913,819.0","915,620.0","920,440.0","940,428.0","952,220.0","955,840.0","962,744.0","982,440.0","987,612.0","994,456.0","1,001,448.0","1,019,016.0","1,028,316.0","1,040,980.0","1,052,292.0","1,076,376.0","1,082,652.0","1,092,580.0","1,104,504.0","1,127,032.0","1,138,228.0","1,150,916.0","1,159,744.0","1,167,572.0","1,176,244.0","1,175,576.0","1,174,892.0","1,185,505.0","1,193,132.0","1,184,820.0"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1. Other services-producing industries consists of information; finance and insurance; real estate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","and rental and leasing; professional, scientific, and technical services; management of companies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and enterprises, administrative and support and waste management and remediation services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","educational services; health care and social assistance; arts, entertainment, and recreation;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","accommodation and food services; and other services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Note. Estimates in this table are based on the 2002 North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
